t,v,s,r
2022-03-31T23:45:04.604-07:00,332,0,0
2022-04-01T00:00:16.448-07:00,341,0,0
2022-04-01T00:15:05.665-07:00,333,0,0
2022-04-01T00:30:20.170-07:00,346,0,0
2022-04-01T00:45:04.727-07:00,333,0,0
2022-04-01T01:00:04.440-07:00,328,0,0
2022-04-01T01:15:08.388-07:00,330,0,0
2022-04-01T01:30:19.136-07:00,325,0,0
2022-04-01T01:45:04.774-07:00,329,0,0
2022-04-01T02:00:16.928-07:00,327,0,0
2022-04-01T02:15:04.801-07:00,332,0,0
2022-04-01T02:30:21.280-07:00,330,0,0
2022-04-01T02:45:04.539-07:00,329,0,0
2022-04-01T03:00:04.405-07:00,328,0,0
2022-04-01T03:15:04.908-07:00,340,0,0
2022-04-01T03:30:04.538-07:00,328,0,0
2022-04-01T03:45:04.530-07:00,337,0,0
2022-04-01T04:00:04.577-07:00,326,0,0
2022-04-01T04:15:04.611-07:00,332,0,0
2022-04-01T04:30:08.109-07:00,330,0,0
2022-04-01T04:45:05.049-07:00,333,0,0
2022-04-01T05:00:24.564-07:00,333,0,0
2022-04-01T05:15:04.581-07:00,330,0,0
2022-04-01T05:30:10.613-07:00,336,0,0
2022-04-01T05:45:07.192-07:00,333,0,0
2022-04-01T06:00:05.653-07:00,341,0,0
2022-04-01T06:15:04.720-07:00,338,0,0
2022-04-01T06:30:13.807-07:00,328,0,0
2022-04-01T06:45:04.697-07:00,332,0,0
2022-04-01T07:00:04.469-07:00,321,0,0
2022-04-01T07:15:04.715-07:00,319,0,0
2022-04-01T07:30:04.523-07:00,328,0,0
2022-04-01T07:45:04.627-07:00,322,0,0
2022-04-01T08:00:06.388-07:00,324,0,0
2022-04-01T08:15:04.795-07:00,353,0,0
2022-04-01T08:30:04.592-07:00,328,0,0
2022-04-01T08:45:04.594-07:00,331,0,0
2022-04-01T09:00:04.277-07:00,319,0,0
2022-04-01T09:15:04.553-07:00,329,0,0
2022-04-01T09:30:04.614-07:00,329,0,0
2022-04-01T09:45:04.629-07:00,355,0,0
2022-04-01T10:00:04.548-07:00,322,0,0
2022-04-01T10:15:04.659-07:00,350,0,0
2022-04-01T10:30:04.631-07:00,330,0,0
2022-04-01T10:45:04.591-07:00,329,0,0
2022-04-01T11:00:04.690-07:00,329,0,0
2022-04-01T11:15:04.486-07:00,355,0,0
2022-04-01T11:30:04.856-07:00,332,0,0
2022-04-01T11:45:04.795-07:00,373,0,0
2022-04-01T12:00:05.048-07:00,362,0,0
2022-04-01T12:15:04.501-07:00,325,0,0
2022-04-01T12:30:04.509-07:00,328,0,0
2022-04-01T12:45:05.184-07:00,324,0,0
2022-04-01T13:00:04.463-07:00,330,0,0
2022-04-01T13:15:04.803-07:00,356,0,0
2022-04-01T13:30:00.536-07:00,325,0,0
2022-04-01T13:45:04.466-07:00,325,0,0
2022-04-01T14:00:04.487-07:00,344,0,0
2022-04-01T14:15:05.520-07:00,332,0,0
2022-04-01T14:30:04.560-07:00,338,0,0
2022-04-01T14:45:04.372-07:00,325,0,0
2022-04-01T15:00:05.551-07:00,326,0,0
2022-04-01T15:15:04.817-07:00,335,0,0
2022-04-01T15:30:09.112-07:00,332,0,0
2022-04-01T15:45:04.544-07:00,331,0,0
2022-04-01T16:00:09.407-07:00,324,0,0
2022-04-01T16:15:05.771-07:00,324,0,0
2022-04-01T16:30:07.198-07:00,335,0,0
2022-04-01T16:45:04.528-07:00,334,0,0
2022-04-01T17:00:11.445-07:00,339,0,0
2022-04-01T17:15:04.545-07:00,368,0,0
2022-04-01T17:30:11.014-07:00,329,0,0
2022-04-01T17:45:04.396-07:00,328,0,0
2022-04-01T18:00:12.369-07:00,335,0,0
2022-04-01T18:15:05.694-07:00,324,0,0
2022-04-01T18:30:12.344-07:00,335,0,0
2022-04-01T18:45:04.592-07:00,328,0,0
2022-04-01T19:00:11.483-07:00,323,0,0
2022-04-01T19:15:04.512-07:00,325,0,0
