t,v,s,r
2022-03-31T23:45:04.710-07:00,478,0,0
2022-04-01T00:00:16.644-07:00,479,0,0
2022-04-01T00:15:05.806-07:00,479,0,0
2022-04-01T00:30:20.254-07:00,481,0,0
2022-04-01T00:45:04.813-07:00,478,0,0
2022-04-01T01:00:04.516-07:00,479,0,0
2022-04-01T01:15:08.471-07:00,481,0,0
2022-04-01T01:30:19.236-07:00,480,0,0
2022-04-01T01:45:04.893-07:00,482,0,0
2022-04-01T02:00:18.481-07:00,481,0,0
2022-04-01T02:15:04.897-07:00,480,0,0
2022-04-01T02:30:22.693-07:00,482,0,0
2022-04-01T02:45:04.665-07:00,481,0,0
2022-04-01T03:00:04.488-07:00,481,0,0
2022-04-01T03:15:05.073-07:00,481,0,0
2022-04-01T03:30:04.656-07:00,480,0,0
2022-04-01T03:45:04.661-07:00,481,0,0
2022-04-01T04:00:04.671-07:00,479,0,0
2022-04-01T04:15:04.691-07:00,480,0,0
2022-04-01T04:30:10.146-07:00,481,0,0
2022-04-01T04:45:05.139-07:00,479,0,0
2022-04-01T05:00:24.743-07:00,479,0,0
2022-04-01T05:15:04.667-07:00,481,0,0
2022-04-01T05:30:10.715-07:00,481,0,0
2022-04-01T05:45:07.280-07:00,481,0,0
2022-04-01T06:00:05.739-07:00,478,0,0
2022-04-01T06:15:04.817-07:00,481,0,0
2022-04-01T06:30:13.888-07:00,480,0,0
2022-04-01T06:45:04.775-07:00,481,0,0
2022-04-01T07:00:04.558-07:00,480,0,0
2022-04-01T07:15:04.813-07:00,480,0,0
2022-04-01T07:30:04.678-07:00,482,0,0
2022-04-01T07:45:04.730-07:00,479,0,0
2022-04-01T08:00:06.478-07:00,478,0,0
2022-04-01T08:15:04.881-07:00,477,0,0
2022-04-01T08:30:04.726-07:00,482,0,0
2022-04-01T08:45:04.745-07:00,480,0,0
2022-04-01T09:00:04.402-07:00,479,0,0
2022-04-01T09:15:04.669-07:00,479,0,0
2022-04-01T09:30:04.697-07:00,483,0,0
2022-04-01T09:45:04.715-07:00,483,0,0
2022-04-01T10:00:04.664-07:00,483,0,0
