t,v,s,r
2022-03-31T23:45:02.011-07:00,0.8230000138282776,0,0
2022-04-01T00:00:02.053-07:00,0.8159999847412109,0,0
2022-04-01T00:15:02.074-07:00,0.8240000009536743,0,0
2022-04-01T00:30:02.066-07:00,0.8159999847412109,0,0
2022-04-01T00:45:02.118-07:00,0.8309999704360962,0,0
2022-04-01T01:00:02.032-07:00,0.8360000252723694,0,0
2022-04-01T01:15:02.133-07:00,0.8169999718666077,0,0
2022-04-01T01:30:02.095-07:00,0.8190000057220459,0,0
2022-04-01T01:45:02.111-07:00,0.8190000057220459,0,0
2022-04-01T02:00:01.997-07:00,0.8289999961853027,0,0
2022-04-01T02:15:01.955-07:00,0.8180000185966492,0,0
2022-04-01T02:30:01.985-07:00,0.8199999928474426,0,0
2022-04-01T02:45:02.047-07:00,0.8180000185966492,0,0
2022-04-01T03:00:02.134-07:00,0.8270000219345093,0,0
2022-04-01T03:15:02.092-07:00,0.8130000233650208,0,0
2022-04-01T03:30:02.021-07:00,0.8199999928474426,0,0
2022-04-01T03:45:02.005-07:00,0.8209999799728394,0,0
2022-04-01T04:00:02.133-07:00,0.8270000219345093,0,0
2022-04-01T04:15:01.997-07:00,0.8090000152587891,0,0
2022-04-01T04:30:01.992-07:00,0.8180000185966492,0,0
2022-04-01T04:45:02.042-07:00,0.8100000023841858,0,0
2022-04-01T05:00:04.556-07:00,0.8169999718666077,0,0
2022-04-01T05:15:02.127-07:00,0.8050000071525574,0,0
2022-04-01T05:30:02.037-07:00,0.8199999928474426,0,0
2022-04-01T05:45:02.041-07:00,0.8149999976158142,0,0
2022-04-01T06:00:01.991-07:00,0.8370000123977661,0,0
2022-04-01T06:15:02.026-07:00,0.8140000104904175,0,0
2022-04-01T06:30:04.837-07:00,0.8259999752044678,0,0
2022-04-01T06:45:02.113-07:00,0.7820000052452087,0,0
2022-04-01T07:00:02.009-07:00,0.7749999761581421,0,0
2022-04-01T07:15:01.984-07:00,0.7710000276565552,0,0
2022-04-01T07:30:01.980-07:00,0.7429999709129333,0,0
2022-04-01T07:45:02.008-07:00,0.7080000042915344,0,0
2022-04-01T08:00:02.313-07:00,0.6570000052452087,0,0
2022-04-01T08:15:02.075-07:00,0.6129999756813049,0,0
2022-04-01T08:30:02.103-07:00,0.5360000133514404,0,0
2022-04-01T08:45:02.077-07:00,0.47099998593330383,0,0
2022-04-01T09:00:01.976-07:00,0.3580000102519989,0,0
2022-04-01T09:15:02.040-07:00,0.22699999809265137,0,0
2022-04-01T09:30:02.356-07:00,0.14000000059604645,0,0
2022-04-01T09:45:02.111-07:00,0.25099998712539673,0,0
2022-04-01T10:00:02.831-07:00,0.04399999976158142,0,0
2022-04-01T10:15:02.071-07:00,0.7049999833106995,0,0
2022-04-01T10:30:02.457-07:00,0.7250000238418579,0,0
