t,v,s,r
2022-03-31T23:45:01.995-07:00,2462,0,0
2022-04-01T00:00:02.014-07:00,2464,0,0
2022-04-01T00:15:02.047-07:00,2464,0,0
2022-04-01T00:30:02.050-07:00,2469,0,0
2022-04-01T00:45:02.102-07:00,2455,0,0
2022-04-01T01:00:02.014-07:00,2451,0,0
2022-04-01T01:15:02.116-07:00,2455,0,0
2022-04-01T01:30:02.078-07:00,2455,0,0
2022-04-01T01:45:02.096-07:00,2460,0,0
2022-04-01T02:00:01.981-07:00,2457,0,0
2022-04-01T02:15:01.915-07:00,2457,0,0
2022-04-01T02:30:01.945-07:00,2459,0,0
2022-04-01T02:45:02.031-07:00,2460,0,0
2022-04-01T03:00:02.114-07:00,2458,0,0
2022-04-01T03:15:02.074-07:00,2459,0,0
2022-04-01T03:30:01.995-07:00,2457,0,0
2022-04-01T03:45:01.989-07:00,2457,0,0
2022-04-01T04:00:02.115-07:00,2453,0,0
2022-04-01T04:15:01.982-07:00,2469,0,0
2022-04-01T04:30:01.979-07:00,2469,0,0
2022-04-01T04:45:02.026-07:00,2467,0,0
2022-04-01T05:00:04.531-07:00,2464,0,0
2022-04-01T05:15:02.109-07:00,2474,0,0
2022-04-01T05:30:02.021-07:00,2462,0,0
2022-04-01T05:45:02.024-07:00,2461,0,0
2022-04-01T06:00:01.978-07:00,2449,0,0
2022-04-01T06:15:02.008-07:00,2469,0,0
2022-04-01T06:30:04.820-07:00,2458,0,0
2022-04-01T06:45:02.096-07:00,2459,0,0
2022-04-01T07:00:01.990-07:00,2459,0,0
2022-04-01T07:15:01.969-07:00,2452,0,0
2022-04-01T07:30:01.964-07:00,2463,0,0
2022-04-01T07:45:01.993-07:00,2451,0,0
2022-04-01T08:00:02.298-07:00,2463,0,0
2022-04-01T08:15:02.060-07:00,2463,0,0
2022-04-01T08:30:02.086-07:00,2469,0,0
2022-04-01T08:45:02.064-07:00,2459,0,0
2022-04-01T09:00:01.960-07:00,2459,0,0
2022-04-01T09:15:02.026-07:00,2457,0,0
2022-04-01T09:30:02.340-07:00,2470,0,0
2022-04-01T09:45:02.095-07:00,2473,0,0
2022-04-01T10:00:02.811-07:00,2469,0,0
2022-04-01T10:15:02.045-07:00,2460,0,0
2022-04-01T10:30:02.443-07:00,2457,0,0
2022-04-01T10:45:01.960-07:00,2455,0,0
2022-04-01T11:00:02.045-07:00,2455,0,0
2022-04-01T11:15:02.129-07:00,2456,0,0
2022-04-01T11:30:02.082-07:00,2472,0,0
2022-04-01T11:45:02.069-07:00,2467,0,0
2022-04-01T12:00:02.101-07:00,2461,0,0
2022-04-01T12:15:01.974-07:00,2465,0,0
2022-04-01T12:30:01.983-07:00,2465,0,0
2022-04-01T12:45:02.026-07:00,2466,0,0
2022-04-01T13:00:02.085-07:00,2464,0,0
2022-04-01T13:15:02.035-07:00,2462,0,0
2022-04-01T13:30:01.991-07:00,2464,0,0
2022-04-01T13:45:02.142-07:00,2462,0,0
2022-04-01T14:00:01.971-07:00,2460,0,0
2022-04-01T14:15:02.088-07:00,2455,0,0
2022-04-01T14:30:02.050-07:00,2459,0,0
2022-04-01T14:45:02.057-07:00,2454,0,0
2022-04-01T15:00:02.106-07:00,2453,0,0
2022-04-01T15:15:01.943-07:00,2457,0,0
2022-04-01T15:30:01.977-07:00,2454,0,0
2022-04-01T15:45:01.983-07:00,2454,0,0
2022-04-01T16:00:02.135-07:00,2455,0,0
2022-04-01T16:15:02.064-07:00,2455,0,0
2022-04-01T16:30:02.053-07:00,2457,0,0
2022-04-01T16:45:01.912-07:00,2459,0,0
2022-04-01T17:00:02.042-07:00,2459,0,0
2022-04-01T17:15:02.084-07:00,2461,0,0
2022-04-01T17:30:02.025-07:00,2458,0,0
2022-04-01T17:45:01.987-07:00,2457,0,0
2022-04-01T18:00:02.015-07:00,2461,0,0
2022-04-01T18:15:01.965-07:00,2451,0,0
2022-04-01T18:30:01.987-07:00,2446,0,0
2022-04-01T18:45:02.005-07:00,2458,0,0
2022-04-01T19:00:02.024-07:00,2457,0,0
2022-04-01T19:15:01.975-07:00,2452,0,0
2022-04-01T19:30:01.998-07:00,2450,0,0
2022-04-01T19:45:01.953-07:00,2450,0,0
2022-04-01T20:00:01.998-07:00,2452,0,0
2022-04-01T20:15:01.969-07:00,2454,0,0
2022-04-01T20:30:02.001-07:00,2454,0,0
2022-04-01T20:45:02.035-07:00,2459,0,0
2022-04-01T21:00:02.000-07:00,2463,0,0
2022-04-01T21:15:02.094-07:00,2463,0,0
2022-04-01T21:30:02.923-07:00,2461,0,0
2022-04-01T21:45:01.923-07:00,2463,0,0
2022-04-01T22:00:01.997-07:00,2467,0,0
2022-04-01T22:15:02.021-07:00,2463,0,0
2022-04-01T22:30:02.089-07:00,2462,0,0
2022-04-01T22:45:02.119-07:00,2459,0,0
2022-04-01T23:00:01.989-07:00,2459,0,0
2022-04-01T23:15:02.080-07:00,2460,0,0
2022-04-01T23:30:01.921-07:00,2460,0,0
2022-04-01T23:45:01.986-07:00,2463,0,0
2022-04-02T00:00:01.979-07:00,2464,0,0
2022-04-02T00:15:02.061-07:00,2464,0,0
2022-04-02T00:30:02.015-07:00,2463,0,0
2022-04-02T00:45:02.008-07:00,2464,0,0
2022-04-02T01:00:01.975-07:00,2465,0,0
2022-04-02T01:15:02.029-07:00,2467,0,0
2022-04-02T01:30:02.001-07:00,2466,0,0
2022-04-02T01:45:01.993-07:00,2459,0,0
2022-04-02T02:00:02.013-07:00,2462,0,0
2022-04-02T02:15:01.981-07:00,2463,0,0
2022-04-02T02:30:01.911-07:00,2464,0,0
2022-04-02T02:45:01.930-07:00,2465,0,0
2022-04-02T03:00:01.973-07:00,2461,0,0
2022-04-02T03:15:02.050-07:00,2463,0,0
2022-04-02T03:30:01.976-07:00,2462,0,0
2022-04-02T03:45:02.049-07:00,2461,0,0
2022-04-02T04:00:02.077-07:00,2461,0,0
2022-04-02T04:15:02.097-07:00,2460,0,0
2022-04-02T04:30:01.996-07:00,2465,0,0
2022-04-02T04:45:02.036-07:00,2465,0,0
2022-04-02T05:00:02.151-07:00,2460,0,0
2022-04-02T05:15:01.995-07:00,2453,0,0
2022-04-02T05:30:02.019-07:00,2453,0,0
2022-04-02T05:45:01.977-07:00,2452,0,0
2022-04-02T06:00:01.969-07:00,2453,0,0
2022-04-02T06:15:02.041-07:00,2449,0,0
2022-04-02T06:30:02.041-07:00,2450,0,0
2022-04-02T06:45:01.955-07:00,2454,0,0
2022-04-02T07:00:01.974-07:00,2449,0,0
2022-04-02T07:15:02.111-07:00,2462,0,0
2022-04-02T07:30:01.942-07:00,2466,0,0
2022-04-02T07:45:01.956-07:00,2462,0,0
2022-04-02T08:00:02.005-07:00,2457,0,0
2022-04-02T08:15:01.951-07:00,2462,0,0
2022-04-02T08:30:01.990-07:00,2454,0,0
2022-04-02T08:45:01.960-07:00,2461,0,0
2022-04-02T09:00:02.027-07:00,2458,0,0
2022-04-02T09:15:02.023-07:00,2470,0,0
2022-04-02T09:30:01.932-07:00,2472,0,0
2022-04-02T09:45:01.960-07:00,2467,0,0
2022-04-02T10:00:02.703-07:00,2462,0,0
2022-04-02T10:15:01.952-07:00,2463,0,0
2022-04-02T10:30:02.019-07:00,2474,0,0
2022-04-02T10:45:01.954-07:00,2470,0,0
