t,v,s,r
2022-03-31T23:45:00.432-07:00,145.6415252685547,0,0
2022-04-01T00:00:00.419-07:00,145.07679748535156,0,0
2022-04-01T00:15:00.461-07:00,143.00901794433594,0,0
2022-04-01T00:30:00.747-07:00,144.55482482910156,0,0
2022-04-01T00:45:00.596-07:00,145.40867614746094,0,0
2022-04-01T01:00:00.436-07:00,143.54127502441406,0,0
2022-04-01T01:15:00.550-07:00,143.0399627685547,0,0
2022-04-01T01:30:00.600-07:00,142.09429931640625,0,0
2022-04-01T01:45:00.597-07:00,143.387939453125,0,0
2022-04-01T02:00:05.181-07:00,144.9508056640625,0,0
2022-04-01T02:15:00.600-07:00,143.07861328125,0,0
2022-04-01T02:30:00.621-07:00,142.17880249023438,0,0
2022-04-01T02:45:00.617-07:00,143.50704956054688,0,0
2022-04-01T03:00:00.587-07:00,143.91465759277344,0,0
2022-04-01T03:15:00.564-07:00,144.52755737304688,0,0
2022-04-01T03:30:00.593-07:00,140.25857543945312,0,0
2022-04-01T03:45:00.407-07:00,142.38760375976562,0,0
2022-04-01T04:00:00.420-07:00,142.74432373046875,0,0
2022-04-01T04:15:00.601-07:00,143.5505828857422,0,0
2022-04-01T04:30:00.392-07:00,144.45860290527344,0,0
2022-04-01T04:45:00.419-07:00,142.57907104492188,0,0
2022-04-01T05:00:00.512-07:00,143.41273498535156,0,0
2022-04-01T05:15:00.520-07:00,146.01025390625,0,0
2022-04-01T05:30:00.424-07:00,141.2369384765625,0,0
2022-04-01T05:45:00.469-07:00,143.45103454589844,0,0
2022-04-01T06:00:00.479-07:00,140.37454223632812,0,0
2022-04-01T06:15:00.503-07:00,144.22254943847656,0,0
2022-04-01T06:30:02.791-07:00,141.5091094970703,0,0
2022-04-01T06:45:00.435-07:00,142.64019775390625,0,0
2022-04-01T07:00:02.686-07:00,141.28018188476562,0,0
2022-04-01T07:15:00.616-07:00,138.56117248535156,0,0
2022-04-01T07:30:00.396-07:00,156.81517028808594,0,0
2022-04-01T07:45:00.443-07:00,139.11485290527344,0,0
2022-04-01T08:00:00.650-07:00,146.1543731689453,0,0
2022-04-01T08:15:00.453-07:00,148.06155395507812,0,0
2022-04-01T08:30:00.468-07:00,142.27557373046875,0,0
2022-04-01T08:45:00.435-07:00,156.28567504882812,0,0
2022-04-01T09:00:00.379-07:00,145.3109588623047,0,0
2022-04-01T09:15:00.436-07:00,147.2056884765625,0,0
2022-04-01T09:30:00.414-07:00,146.4821319580078,0,0
2022-04-01T09:45:00.428-07:00,148.4517822265625,0,0
2022-04-01T10:00:00.403-07:00,157.17086791992188,0,0
2022-04-01T10:15:00.480-07:00,156.27943420410156,0,0
2022-04-01T10:30:00.441-07:00,153.89122009277344,0,0
2022-04-01T10:45:00.638-07:00,160.8311767578125,0,0
2022-04-01T11:00:00.449-07:00,164.185546875,0,0
2022-04-01T11:15:00.425-07:00,158.94186401367188,0,0
2022-04-01T11:30:00.618-07:00,158.75088500976562,0,0
2022-04-01T11:45:00.412-07:00,158.78369140625,0,0
2022-04-01T12:00:00.673-07:00,161.03677368164062,0,0
2022-04-01T12:15:00.431-07:00,158.12814331054688,0,0
2022-04-01T12:30:00.466-07:00,158.66494750976562,0,0
2022-04-01T12:45:00.596-07:00,155.64991760253906,0,0
2022-04-01T13:00:00.491-07:00,155.0445098876953,0,0
2022-04-01T13:15:00.471-07:00,167.4136505126953,0,0
2022-04-01T13:30:00.510-07:00,154.87796020507812,0,0
2022-04-01T13:45:00.537-07:00,167.89764404296875,0,0
2022-04-01T14:00:00.505-07:00,164.00096130371094,0,0
2022-04-01T14:15:00.600-07:00,164.15872192382812,0,0
2022-04-01T14:30:00.434-07:00,169.26292419433594,0,0
2022-04-01T14:45:00.507-07:00,169.45982360839844,0,0
2022-04-01T15:00:00.412-07:00,167.35255432128906,0,0
2022-04-01T15:15:00.477-07:00,157.13255310058594,0,0
2022-04-01T15:30:00.878-07:00,166.14480590820312,0,0
2022-04-01T15:45:00.437-07:00,165.07864379882812,0,0
2022-04-01T16:00:01.070-07:00,165.71334838867188,0,0
