t,v,s,r
2022-03-31T23:45:06.703-07:00,491.13385009765625,0,0
2022-04-01T00:00:06.627-07:00,491.01617431640625,0,0
2022-04-01T00:15:06.550-07:00,491.8403015136719,0,0
2022-04-01T00:30:07.854-07:00,492.3373718261719,0,0
2022-04-01T00:45:06.924-07:00,489.6844177246094,0,0
2022-04-01T01:00:06.921-07:00,489.0102844238281,0,0
2022-04-01T01:15:06.758-07:00,489.7928466796875,0,0
2022-04-01T01:30:06.704-07:00,489.9039306640625,0,0
2022-04-01T01:45:06.721-07:00,490.5757751464844,0,0
2022-04-01T02:00:06.671-07:00,490.02532958984375,0,0
2022-04-01T02:15:06.757-07:00,490.393798828125,0,0
2022-04-01T02:30:06.482-07:00,490.4468688964844,0,0
2022-04-01T02:45:06.835-07:00,490.86602783203125,0,0
2022-04-01T03:00:06.744-07:00,490.326416015625,0,0
2022-04-01T03:15:06.652-07:00,490.3997497558594,0,0
2022-04-01T03:30:06.709-07:00,489.98779296875,0,0
2022-04-01T03:45:06.641-07:00,490.59246826171875,0,0
2022-04-01T04:00:06.603-07:00,488.943359375,0,0
2022-04-01T04:15:06.822-07:00,492.597412109375,0,0
2022-04-01T04:30:06.727-07:00,492.9200134277344,0,0
2022-04-01T04:45:06.790-07:00,492.1117248535156,0,0
2022-04-01T05:00:06.618-07:00,491.5064392089844,0,0
2022-04-01T05:15:06.725-07:00,493.9305419921875,0,0
2022-04-01T05:30:06.774-07:00,491.4819030761719,0,0
2022-04-01T05:45:06.831-07:00,490.86749267578125,0,0
2022-04-01T06:00:06.629-07:00,488.39044189453125,0,0
2022-04-01T06:15:06.795-07:00,492.50030517578125,0,0
2022-04-01T06:30:06.762-07:00,490.6529235839844,0,0
2022-04-01T06:45:06.716-07:00,490.5161437988281,0,0
2022-04-01T07:00:06.543-07:00,490.6535949707031,0,0
2022-04-01T07:15:06.658-07:00,489.0114440917969,0,0
2022-04-01T07:30:06.634-07:00,491.5914611816406,0,0
2022-04-01T07:45:06.844-07:00,489.1314697265625,0,0
2022-04-01T08:00:07.554-07:00,491.5198669433594,0,0
2022-04-01T08:15:06.832-07:00,491.2744140625,0,0
2022-04-01T08:30:06.629-07:00,491.964599609375,0,0
2022-04-01T08:45:06.732-07:00,491.0790100097656,0,0
2022-04-01T09:00:06.681-07:00,490.5975341796875,0,0
2022-04-01T09:15:06.706-07:00,490.16278076171875,0,0
2022-04-01T09:30:06.496-07:00,492.76593017578125,0,0
2022-04-01T09:45:06.548-07:00,493.0152587890625,0,0
2022-04-01T10:00:06.720-07:00,491.9528503417969,0,0
2022-04-01T10:15:12.706-07:00,490.8973388671875,0,0
2022-04-01T10:30:06.782-07:00,490.0671691894531,0,0
2022-04-01T10:45:06.671-07:00,489.4502868652344,0,0
2022-04-01T11:00:06.716-07:00,490.0268249511719,0,0
2022-04-01T11:15:06.652-07:00,490.2304992675781,0,0
2022-04-01T11:30:06.708-07:00,492.7808532714844,0,0
2022-04-01T11:45:06.595-07:00,492.3743896484375,0,0
2022-04-01T12:00:07.653-07:00,490.5924377441406,0,0
2022-04-01T12:15:06.650-07:00,491.80560302734375,0,0
2022-04-01T12:30:06.732-07:00,491.4321594238281,0,0
