t,v,s,r
2022-03-31T23:45:07.632-07:00,28.282560348510742,0,0
2022-04-01T00:00:07.540-07:00,27.753719329833984,0,0
2022-04-01T00:15:07.549-07:00,29.07472038269043,0,0
2022-04-01T00:30:08.800-07:00,28.75453758239746,0,0
2022-04-01T00:45:07.855-07:00,28.614959716796875,0,0
2022-04-01T01:00:07.834-07:00,28.09433364868164,0,0
2022-04-01T01:15:07.649-07:00,24.602924346923828,0,0
2022-04-01T01:30:07.634-07:00,29.280353546142578,0,0
2022-04-01T01:45:07.694-07:00,28.363311767578125,0,0
2022-04-01T02:00:07.610-07:00,28.523250579833984,0,0
2022-04-01T02:15:07.642-07:00,27.823598861694336,0,0
2022-04-01T02:30:07.393-07:00,32.079376220703125,0,0
2022-04-01T02:45:07.718-07:00,27.99874496459961,0,0
2022-04-01T03:00:07.665-07:00,27.134620666503906,0,0
2022-04-01T03:15:07.763-07:00,31.82549285888672,0,0
2022-04-01T03:30:07.651-07:00,29.44757843017578,0,0
2022-04-01T03:45:07.585-07:00,25.339754104614258,0,0
2022-04-01T04:00:07.605-07:00,29.39046287536621,0,0
2022-04-01T04:15:07.752-07:00,28.299846649169922,0,0
2022-04-01T04:30:07.626-07:00,29.98313331604004,0,0
2022-04-01T04:45:07.698-07:00,28.230268478393555,0,0
2022-04-01T05:00:07.545-07:00,31.644515991210938,0,0
2022-04-01T05:15:07.585-07:00,28.340579986572266,0,0
2022-04-01T05:30:07.688-07:00,28.54228973388672,0,0
2022-04-01T05:45:07.745-07:00,27.925567626953125,0,0
2022-04-01T06:00:07.495-07:00,30.01508140563965,0,0
2022-04-01T06:15:07.673-07:00,28.069807052612305,0,0
2022-04-01T06:30:07.658-07:00,29.877696990966797,0,0
2022-04-01T06:45:07.592-07:00,30.187484741210938,0,0
2022-04-01T07:00:07.463-07:00,27.93248748779297,0,0
2022-04-01T07:15:07.607-07:00,27.816205978393555,0,0
2022-04-01T07:30:07.583-07:00,27.981304168701172,0,0
2022-04-01T07:45:07.832-07:00,34.23919677734375,0,0
2022-04-01T08:00:08.553-07:00,32.14105224609375,0,0
2022-04-01T08:15:07.799-07:00,29.49625587463379,0,0
2022-04-01T08:30:07.539-07:00,29.318403244018555,0,0
2022-04-01T08:45:07.632-07:00,31.92730712890625,0,0
2022-04-01T09:00:07.587-07:00,28.187549591064453,0,0
2022-04-01T09:15:07.621-07:00,30.450647354125977,0,0
2022-04-01T09:30:07.407-07:00,29.315513610839844,0,0
2022-04-01T09:45:07.433-07:00,31.53774070739746,0,0
2022-04-01T10:00:07.629-07:00,29.282733917236328,0,0
2022-04-01T10:15:20.110-07:00,28.155302047729492,0,0
2022-04-01T10:30:07.696-07:00,29.961620330810547,0,0
2022-04-01T10:45:07.644-07:00,33.28011703491211,0,0
2022-04-01T11:00:07.644-07:00,29.087114334106445,0,0
2022-04-01T11:15:07.507-07:00,28.85773277282715,0,0
2022-04-01T11:30:07.576-07:00,28.412599563598633,0,0
2022-04-01T11:45:07.503-07:00,26.611865997314453,0,0
2022-04-01T12:00:08.591-07:00,31.42875099182129,0,0
2022-04-01T12:15:07.589-07:00,30.213302612304688,0,0
2022-04-01T12:30:07.640-07:00,28.16472625732422,0,0
2022-04-01T12:45:07.651-07:00,27.809446334838867,0,0
2022-04-01T13:00:07.652-07:00,28.341753005981445,0,0
2022-04-01T13:15:07.745-07:00,29.955093383789062,0,0
2022-04-01T13:30:07.524-07:00,28.562280654907227,0,0
2022-04-01T13:45:07.555-07:00,28.14565086364746,0,0
2022-04-01T14:00:07.581-07:00,28.758962631225586,0,0
2022-04-01T14:15:07.823-07:00,28.683500289916992,0,0
2022-04-01T14:30:07.611-07:00,27.575618743896484,0,0
2022-04-01T14:45:07.964-07:00,28.163225173950195,0,0
2022-04-01T15:00:07.601-07:00,28.270729064941406,0,0
2022-04-01T15:15:07.623-07:00,28.083175659179688,0,0
2022-04-01T15:30:07.633-07:00,29.21912956237793,0,0
2022-04-01T15:45:07.457-07:00,28.33620262145996,0,0
