t,v,s,r
2022-03-31T23:45:04.798-07:00,65494,0,0
2022-04-01T00:00:05.016-07:00,65494,0,0
2022-04-01T00:15:05.053-07:00,65499,0,0
2022-04-01T00:30:07.182-07:00,65504,0,0
2022-04-01T00:45:04.588-07:00,65499,0,0
2022-04-01T01:00:06.867-07:00,65505,0,0
2022-04-01T01:15:06.090-07:00,65503,0,0
2022-04-01T01:30:04.711-07:00,65504,0,0
2022-04-01T01:45:04.864-07:00,65500,0,0
2022-04-01T02:00:04.594-07:00,65503,0,0
2022-04-01T02:15:04.910-07:00,65502,0,0
2022-04-01T02:30:04.745-07:00,65502,0,0
2022-04-01T02:45:04.830-07:00,65502,0,0
2022-04-01T03:00:04.826-07:00,65504,0,0
2022-04-01T03:15:04.898-07:00,65495,0,0
2022-04-01T03:30:04.891-07:00,65496,0,0
2022-04-01T03:45:04.850-07:00,65496,0,0
2022-04-01T04:00:04.710-07:00,65505,0,0
2022-04-01T04:15:05.049-07:00,65505,0,0
2022-04-01T04:30:04.757-07:00,65503,0,0
2022-04-01T04:45:04.885-07:00,65503,0,0
2022-04-01T05:00:00.549-07:00,65503,0,0
2022-04-01T05:15:04.842-07:00,65503,0,0
2022-04-01T05:30:04.853-07:00,65504,0,0
2022-04-01T05:45:04.797-07:00,65496,0,0
2022-04-01T06:00:05.851-07:00,65496,0,0
2022-04-01T06:15:04.794-07:00,65495,0,0
2022-04-01T06:30:06.730-07:00,65504,0,0
2022-04-01T06:45:06.135-07:00,65504,0,0
2022-04-01T07:00:05.008-07:00,65504,0,0
2022-04-01T07:15:04.908-07:00,65503,0,0
2022-04-01T07:30:05.599-07:00,65503,0,0
2022-04-01T07:45:04.776-07:00,65498,0,0
2022-04-01T08:00:04.996-07:00,65504,0,0
2022-04-01T08:15:04.546-07:00,65505,0,0
2022-04-01T08:30:04.449-07:00,65505,0,0
2022-04-01T08:45:04.519-07:00,65504,0,0
2022-04-01T09:00:04.891-07:00,65495,0,0
2022-04-01T09:15:04.710-07:00,65495,0,0
2022-04-01T09:30:00.420-07:00,65502,0,0
2022-04-01T09:45:05.070-07:00,65496,0,0
2022-04-01T10:00:04.667-07:00,65501,0,0
2022-04-01T10:15:04.870-07:00,65501,0,0
2022-04-01T10:30:04.870-07:00,65502,0,0
2022-04-01T10:45:04.753-07:00,65502,0,0
2022-04-01T11:00:04.763-07:00,65503,0,0
2022-04-01T11:15:05.795-07:00,65502,0,0
2022-04-01T11:30:04.739-07:00,65492,0,0
2022-04-01T11:45:04.843-07:00,65503,0,0
2022-04-01T12:00:05.527-07:00,65491,0,0
2022-04-01T12:15:05.133-07:00,65494,0,0
2022-04-01T12:30:00.440-07:00,65494,0,0
2022-04-01T12:45:05.434-07:00,65502,0,0
2022-04-01T13:00:04.802-07:00,65503,0,0
2022-04-01T13:15:06.321-07:00,65496,0,0
2022-04-01T13:30:04.730-07:00,65487,0,0
2022-04-01T13:45:05.121-07:00,65502,0,0
2022-04-01T14:00:04.553-07:00,65503,0,0
2022-04-01T14:15:04.475-07:00,65503,0,0
2022-04-01T14:30:05.815-07:00,65504,0,0
2022-04-01T14:45:04.555-07:00,65492,0,0
2022-04-01T15:00:04.572-07:00,65493,0,0
2022-04-01T15:15:05.109-07:00,65494,0,0
2022-04-01T15:30:20.856-07:00,65494,0,0
2022-04-01T15:45:05.438-07:00,65502,0,0
2022-04-01T16:00:04.939-07:00,65504,0,0
2022-04-01T16:15:05.098-07:00,65504,0,0
2022-04-01T16:30:07.314-07:00,65504,0,0
2022-04-01T16:45:04.765-07:00,65503,0,0
2022-04-01T17:00:00.584-07:00,65498,0,0
2022-04-01T17:15:05.055-07:00,65504,0,0
2022-04-01T17:30:06.077-07:00,65502,0,0
2022-04-01T17:45:04.864-07:00,65497,0,0
2022-04-01T18:00:04.842-07:00,65495,0,0
2022-04-01T18:15:04.710-07:00,65491,0,0
2022-04-01T18:30:05.107-07:00,65505,0,0
2022-04-01T18:45:04.626-07:00,65503,0,0
2022-04-01T19:00:05.081-07:00,65500,0,0
2022-04-01T19:15:05.160-07:00,65504,0,0
2022-04-01T19:30:04.845-07:00,65503,0,0
2022-04-01T19:45:05.116-07:00,65503,0,0
2022-04-01T20:00:04.720-07:00,65504,0,0
2022-04-01T20:15:04.809-07:00,65505,0,0
2022-04-01T20:30:05.490-07:00,65496,0,0
2022-04-01T20:45:05.152-07:00,65495,0,0
2022-04-01T21:00:04.600-07:00,65504,0,0
2022-04-01T21:15:05.134-07:00,65494,0,0
2022-04-01T21:30:04.893-07:00,65495,0,0
2022-04-01T21:45:04.909-07:00,65495,0,0
2022-04-01T22:00:05.135-07:00,65504,0,0
2022-04-01T22:15:06.017-07:00,65504,0,0
2022-04-01T22:30:00.578-07:00,65504,0,0
2022-04-01T22:45:06.401-07:00,65504,0,0
2022-04-01T23:00:05.146-07:00,65504,0,0
2022-04-01T23:15:05.240-07:00,65505,0,0
2022-04-01T23:30:05.363-07:00,65505,0,0
2022-04-01T23:45:04.834-07:00,65505,0,0
2022-04-02T00:00:05.103-07:00,65499,0,0
2022-04-02T00:15:04.924-07:00,65495,0,0
2022-04-02T00:30:04.915-07:00,65494,0,0
2022-04-02T00:45:05.047-07:00,65494,0,0
2022-04-02T01:00:05.080-07:00,65494,0,0
2022-04-02T01:15:00.444-07:00,65498,0,0
2022-04-02T01:30:05.533-07:00,65504,0,0
2022-04-02T01:45:04.820-07:00,65505,0,0
2022-04-02T02:00:04.796-07:00,65504,0,0
2022-04-02T02:15:04.766-07:00,65505,0,0
2022-04-02T02:30:04.821-07:00,65504,0,0
2022-04-02T02:45:05.322-07:00,65496,0,0
2022-04-02T03:00:04.747-07:00,65497,0,0
2022-04-02T03:15:04.905-07:00,65495,0,0
2022-04-02T03:30:04.783-07:00,65504,0,0
2022-04-02T03:45:05.055-07:00,65503,0,0
2022-04-02T04:00:01.192-07:00,65497,0,0
2022-04-02T04:15:04.721-07:00,65503,0,0
2022-04-02T04:30:04.891-07:00,65504,0,0
2022-04-02T04:45:04.762-07:00,65504,0,0
2022-04-02T05:00:11.287-07:00,65504,0,0
2022-04-02T05:15:04.946-07:00,65505,0,0
2022-04-02T05:30:05.312-07:00,65505,0,0
2022-04-02T05:45:05.151-07:00,65505,0,0
2022-04-02T06:00:04.757-07:00,65504,0,0
2022-04-02T06:15:04.941-07:00,65488,0,0
2022-04-02T06:30:04.949-07:00,65495,0,0
2022-04-02T06:45:00.570-07:00,65495,0,0
2022-04-02T07:00:05.019-07:00,65504,0,0
2022-04-02T07:15:04.809-07:00,65505,0,0
2022-04-02T07:30:04.946-07:00,65505,0,0
2022-04-02T07:45:05.369-07:00,65504,0,0
