t,v,s,r
2022-03-31T23:45:05.202-07:00,0.800000011920929,0,0
2022-04-01T00:00:05.409-07:00,0.699999988079071,0,0
2022-04-01T00:15:05.455-07:00,0.699999988079071,0,0
2022-04-01T00:30:07.601-07:00,0.699999988079071,0,0
2022-04-01T00:45:04.702-07:00,0.699999988079071,0,0
2022-04-01T01:00:07.264-07:00,0.699999988079071,0,0
2022-04-01T01:15:06.481-07:00,0.699999988079071,0,0
2022-04-01T01:30:05.140-07:00,0.699999988079071,0,0
2022-04-01T01:45:05.309-07:00,0.6000000238418579,0,0
2022-04-01T02:00:05.055-07:00,0.800000011920929,0,0
2022-04-01T02:15:05.491-07:00,0.800000011920929,0,0
2022-04-01T02:30:05.153-07:00,0.800000011920929,0,0
2022-04-01T02:45:05.236-07:00,0.699999988079071,0,0
2022-04-01T03:00:05.188-07:00,0.6000000238418579,0,0
2022-04-01T03:15:05.334-07:00,0.699999988079071,0,0
2022-04-01T03:30:05.399-07:00,0.699999988079071,0,0
2022-04-01T03:45:05.256-07:00,0.699999988079071,0,0
2022-04-01T04:00:05.277-07:00,0.800000011920929,0,0
2022-04-01T04:15:05.440-07:00,0.699999988079071,0,0
2022-04-01T04:30:05.167-07:00,0.800000011920929,0,0
2022-04-01T04:45:05.314-07:00,0.699999988079071,0,0
2022-04-01T05:00:00.597-07:00,0.699999988079071,0,0
2022-04-01T05:15:05.255-07:00,0.699999988079071,0,0
2022-04-01T05:30:05.268-07:00,0.800000011920929,0,0
2022-04-01T05:45:05.250-07:00,0.699999988079071,0,0
2022-04-01T06:00:06.203-07:00,0.699999988079071,0,0
2022-04-01T06:15:05.216-07:00,0.699999988079071,0,0
2022-04-01T06:30:07.171-07:00,0.699999988079071,0,0
2022-04-01T06:45:06.637-07:00,0.800000011920929,0,0
2022-04-01T07:00:05.469-07:00,0.800000011920929,0,0
2022-04-01T07:15:05.300-07:00,0.800000011920929,0,0
2022-04-01T07:30:06.010-07:00,0.800000011920929,0,0
2022-04-01T07:45:05.154-07:00,0.699999988079071,0,0
2022-04-01T08:00:05.449-07:00,0.800000011920929,0,0
2022-04-01T08:15:04.934-07:00,0.699999988079071,0,0
2022-04-01T08:30:04.893-07:00,0.6000000238418579,0,0
2022-04-01T08:45:04.961-07:00,0.8999999761581421,0,0
2022-04-01T09:00:05.291-07:00,1.100000023841858,0,0
2022-04-01T09:15:05.138-07:00,0.8999999761581421,0,0
2022-04-01T09:30:00.455-07:00,0.8999999761581421,0,0
2022-04-01T09:45:05.453-07:00,1.0,0,0
2022-04-01T10:00:05.108-07:00,1.100000023841858,0,0
2022-04-01T10:15:05.258-07:00,1.100000023841858,0,0
2022-04-01T10:30:05.262-07:00,1.0,0,0
2022-04-01T10:45:05.171-07:00,1.2000000476837158,0,0
2022-04-01T11:00:05.145-07:00,1.100000023841858,0,0
2022-04-01T11:15:06.234-07:00,0.8999999761581421,0,0
2022-04-01T11:30:05.181-07:00,1.0,0,0
2022-04-01T11:45:05.249-07:00,1.100000023841858,0,0
2022-04-01T12:00:05.947-07:00,1.0,0,0
2022-04-01T12:15:05.566-07:00,1.100000023841858,0,0
2022-04-01T12:30:00.471-07:00,1.100000023841858,0,0
2022-04-01T12:45:05.824-07:00,0.6000000238418579,0,0
2022-04-01T13:00:05.203-07:00,0.8999999761581421,0,0
2022-04-01T13:15:06.738-07:00,0.6000000238418579,0,0
2022-04-01T13:30:05.129-07:00,0.699999988079071,0,0
2022-04-01T13:45:05.511-07:00,0.699999988079071,0,0
2022-04-01T14:00:04.968-07:00,0.800000011920929,0,0
2022-04-01T14:15:04.879-07:00,0.800000011920929,0,0
2022-04-01T14:30:06.212-07:00,0.699999988079071,0,0
2022-04-01T14:45:04.930-07:00,1.2000000476837158,0,0
2022-04-01T15:00:04.956-07:00,1.2000000476837158,0,0
2022-04-01T15:15:05.512-07:00,1.2000000476837158,0,0
2022-04-01T15:30:21.830-07:00,1.2999999523162842,0,0
2022-04-01T15:45:05.854-07:00,1.100000023841858,0,0
2022-04-01T16:00:05.388-07:00,1.0,0,0
2022-04-01T16:15:05.508-07:00,1.100000023841858,0,0
2022-04-01T16:30:07.802-07:00,1.0,0,0
2022-04-01T16:45:05.205-07:00,1.0,0,0
2022-04-01T17:00:00.617-07:00,1.100000023841858,0,0
2022-04-01T17:15:05.490-07:00,1.100000023841858,0,0
2022-04-01T17:30:07.159-07:00,1.100000023841858,0,0
2022-04-01T17:45:05.437-07:00,1.0,0,0
2022-04-01T18:00:05.261-07:00,0.8999999761581421,0,0
2022-04-01T18:15:05.115-07:00,0.699999988079071,0,0
2022-04-01T18:30:05.556-07:00,0.800000011920929,0,0
2022-04-01T18:45:05.027-07:00,0.699999988079071,0,0
2022-04-01T19:00:05.485-07:00,0.699999988079071,0,0
2022-04-01T19:15:05.847-07:00,0.699999988079071,0,0
2022-04-01T19:30:05.238-07:00,0.6000000238418579,0,0
2022-04-01T19:45:05.531-07:00,0.699999988079071,0,0
2022-04-01T20:00:05.127-07:00,0.800000011920929,0,0
2022-04-01T20:15:05.191-07:00,0.699999988079071,0,0
2022-04-01T20:30:06.070-07:00,0.699999988079071,0,0
2022-04-01T20:45:05.841-07:00,0.800000011920929,0,0
2022-04-01T21:00:05.019-07:00,0.6000000238418579,0,0
2022-04-01T21:15:08.087-07:00,0.699999988079071,0,0
2022-04-01T21:30:05.304-07:00,0.800000011920929,0,0
2022-04-01T21:45:05.322-07:00,0.699999988079071,0,0
2022-04-01T22:00:05.525-07:00,0.800000011920929,0,0
2022-04-01T22:15:06.451-07:00,0.699999988079071,0,0
2022-04-01T22:30:00.624-07:00,0.699999988079071,0,0
2022-04-01T22:45:06.779-07:00,0.699999988079071,0,0
2022-04-01T23:00:05.556-07:00,0.699999988079071,0,0
2022-04-01T23:15:05.660-07:00,0.699999988079071,0,0
2022-04-01T23:30:05.961-07:00,0.699999988079071,0,0
2022-04-01T23:45:05.260-07:00,0.699999988079071,0,0
2022-04-02T00:00:05.498-07:00,0.6000000238418579,0,0
2022-04-02T00:15:05.320-07:00,0.699999988079071,0,0
2022-04-02T00:30:05.297-07:00,0.699999988079071,0,0
2022-04-02T00:45:05.440-07:00,0.6000000238418579,0,0
2022-04-02T01:00:05.501-07:00,0.800000011920929,0,0
2022-04-02T01:15:00.616-07:00,0.699999988079071,0,0
2022-04-02T01:30:05.971-07:00,0.699999988079071,0,0
2022-04-02T01:45:05.264-07:00,0.699999988079071,0,0
2022-04-02T02:00:05.187-07:00,0.699999988079071,0,0
2022-04-02T02:15:05.148-07:00,0.699999988079071,0,0
2022-04-02T02:30:05.261-07:00,0.800000011920929,0,0
2022-04-02T02:45:05.794-07:00,0.699999988079071,0,0
2022-04-02T03:00:05.153-07:00,0.6000000238418579,0,0
2022-04-02T03:15:05.294-07:00,0.6000000238418579,0,0
2022-04-02T03:30:05.222-07:00,0.6000000238418579,0,0
2022-04-02T03:45:05.492-07:00,0.800000011920929,0,0
2022-04-02T04:00:01.237-07:00,0.800000011920929,0,0
2022-04-02T04:15:05.123-07:00,0.800000011920929,0,0
2022-04-02T04:30:05.323-07:00,0.6000000238418579,0,0
2022-04-02T04:45:05.150-07:00,0.699999988079071,0,0
2022-04-02T05:00:11.693-07:00,0.699999988079071,0,0
2022-04-02T05:15:05.335-07:00,0.6000000238418579,0,0
2022-04-02T05:30:06.029-07:00,0.699999988079071,0,0
2022-04-02T05:45:05.586-07:00,0.800000011920929,0,0
2022-04-02T06:00:05.137-07:00,0.699999988079071,0,0
2022-04-02T06:15:05.365-07:00,0.699999988079071,0,0
2022-04-02T06:30:05.360-07:00,0.800000011920929,0,0
2022-04-02T06:45:00.602-07:00,0.699999988079071,0,0
2022-04-02T07:00:05.461-07:00,0.699999988079071,0,0
2022-04-02T07:15:05.210-07:00,0.699999988079071,0,0
2022-04-02T07:30:05.374-07:00,0.6000000238418579,0,0
2022-04-02T07:45:05.773-07:00,0.699999988079071,0,0
2022-04-02T08:00:05.822-07:00,0.699999988079071,0,0
2022-04-02T08:15:05.621-07:00,0.699999988079071,0,0
2022-04-02T08:30:05.240-07:00,0.6000000238418579,0,0
