t,v,s,r
2022-03-31T23:45:06.042-07:00,217.3000030517578,0,0
2022-04-01T00:00:06.275-07:00,217.39999389648438,0,0
2022-04-01T00:15:06.315-07:00,217.1999969482422,0,0
2022-04-01T00:30:08.690-07:00,217.8000030517578,0,0
2022-04-01T00:45:04.956-07:00,216.3000030517578,0,0
2022-04-01T01:00:08.116-07:00,215.60000610351562,0,0
2022-04-01T01:15:07.315-07:00,217.0,0,0
2022-04-01T01:30:06.015-07:00,216.5,0,0
2022-04-01T01:45:06.148-07:00,217.39999389648438,0,0
2022-04-01T02:00:05.886-07:00,216.60000610351562,0,0
2022-04-01T02:15:06.626-07:00,217.1999969482422,0,0
2022-04-01T02:30:05.962-07:00,217.5,0,0
2022-04-01T02:45:06.107-07:00,216.5,0,0
2022-04-01T03:00:06.578-07:00,216.39999389648438,0,0
2022-04-01T03:15:06.124-07:00,216.8000030517578,0,0
2022-04-01T03:30:06.226-07:00,216.6999969482422,0,0
2022-04-01T03:45:06.113-07:00,217.5,0,0
2022-04-01T04:00:06.138-07:00,216.1999969482422,0,0
2022-04-01T04:15:06.284-07:00,217.6999969482422,0,0
2022-04-01T04:30:05.991-07:00,217.3000030517578,0,0
2022-04-01T04:45:06.116-07:00,217.6999969482422,0,0
2022-04-01T05:00:00.679-07:00,217.0,0,0
2022-04-01T05:15:06.098-07:00,218.5,0,0
2022-04-01T05:30:06.124-07:00,217.5,0,0
2022-04-01T05:45:06.063-07:00,217.0,0,0
2022-04-01T06:00:06.848-07:00,216.1999969482422,0,0
2022-04-01T06:15:06.085-07:00,217.89999389648438,0,0
2022-04-01T06:30:08.044-07:00,217.6999969482422,0,0
2022-04-01T06:45:07.607-07:00,217.1999969482422,0,0
2022-04-01T07:00:06.345-07:00,217.6999969482422,0,0
2022-04-01T07:15:06.134-07:00,216.0,0,0
2022-04-01T07:30:06.866-07:00,217.8000030517578,0,0
2022-04-01T07:45:06.011-07:00,216.60000610351562,0,0
2022-04-01T08:00:06.325-07:00,217.10000610351562,0,0
2022-04-01T08:15:05.749-07:00,216.89999389648438,0,0
2022-04-01T08:30:05.701-07:00,217.39999389648438,0,0
2022-04-01T08:45:05.722-07:00,217.5,0,0
2022-04-01T09:00:06.098-07:00,216.39999389648438,0,0
2022-04-01T09:15:06.111-07:00,216.89999389648438,0,0
2022-04-01T09:30:00.519-07:00,218.5,0,0
2022-04-01T09:45:06.196-07:00,218.5,0,0
2022-04-01T10:00:05.995-07:00,217.0,0,0
2022-04-01T10:15:06.073-07:00,216.89999389648438,0,0
2022-04-01T10:30:06.602-07:00,218.0,0,0
2022-04-01T10:45:05.949-07:00,216.6999969482422,0,0
2022-04-01T11:00:05.975-07:00,216.60000610351562,0,0
2022-04-01T11:15:07.080-07:00,215.8000030517578,0,0
2022-04-01T11:30:06.028-07:00,218.6999969482422,0,0
2022-04-01T11:45:06.124-07:00,218.10000610351562,0,0
2022-04-01T12:00:06.783-07:00,217.39999389648438,0,0
2022-04-01T12:15:06.400-07:00,217.0,0,0
2022-04-01T12:30:00.546-07:00,217.6999969482422,0,0
2022-04-01T12:45:06.651-07:00,218.3000030517578,0,0
2022-04-01T13:00:06.382-07:00,216.89999389648438,0,0
2022-04-01T13:15:07.747-07:00,217.39999389648438,0,0
2022-04-01T13:30:06.009-07:00,217.10000610351562,0,0
2022-04-01T13:45:06.368-07:00,216.60000610351562,0,0
2022-04-01T14:00:05.775-07:00,217.60000610351562,0,0
2022-04-01T14:15:05.804-07:00,217.39999389648438,0,0
2022-04-01T14:30:06.994-07:00,217.3000030517578,0,0
2022-04-01T14:45:05.749-07:00,215.6999969482422,0,0
2022-04-01T15:00:05.849-07:00,216.3000030517578,0,0
2022-04-01T15:15:06.343-07:00,216.89999389648438,0,0
2022-04-01T15:30:23.064-07:00,216.3000030517578,0,0
2022-04-01T15:45:06.633-07:00,216.6999969482422,0,0
2022-04-01T16:00:06.177-07:00,216.3000030517578,0,0
2022-04-01T16:15:06.348-07:00,216.6999969482422,0,0
2022-04-01T16:30:08.634-07:00,216.1999969482422,0,0
2022-04-01T16:45:06.143-07:00,217.3000030517578,0,0
2022-04-01T17:00:00.691-07:00,217.0,0,0
2022-04-01T17:15:06.314-07:00,217.39999389648438,0,0
2022-04-01T17:30:07.992-07:00,217.3000030517578,0,0
2022-04-01T17:45:06.268-07:00,216.8000030517578,0,0
2022-04-01T18:00:06.108-07:00,216.5,0,0
2022-04-01T18:15:05.919-07:00,216.6999969482422,0,0
2022-04-01T18:30:06.525-07:00,216.10000610351562,0,0
2022-04-01T18:45:05.827-07:00,216.89999389648438,0,0
2022-04-01T19:00:06.308-07:00,217.0,0,0
2022-04-01T19:15:06.908-07:00,216.3000030517578,0,0
2022-04-01T19:30:06.079-07:00,216.89999389648438,0,0
2022-04-01T19:45:06.434-07:00,216.1999969482422,0,0
2022-04-01T20:00:05.961-07:00,215.89999389648438,0,0
2022-04-01T20:15:06.036-07:00,217.3000030517578,0,0
2022-04-01T20:30:06.880-07:00,217.10000610351562,0,0
2022-04-01T20:45:07.135-07:00,217.60000610351562,0,0
2022-04-01T21:00:06.036-07:00,217.60000610351562,0,0
2022-04-01T21:15:09.260-07:00,217.10000610351562,0,0
2022-04-01T21:30:06.158-07:00,217.3000030517578,0,0
2022-04-01T21:45:06.161-07:00,217.89999389648438,0,0
2022-04-01T22:00:06.498-07:00,218.39999389648438,0,0
2022-04-01T22:15:07.352-07:00,217.6999969482422,0,0
2022-04-01T22:30:00.712-07:00,217.3000030517578,0,0
2022-04-01T22:45:07.627-07:00,217.3000030517578,0,0
2022-04-01T23:00:06.480-07:00,216.60000610351562,0,0
2022-04-01T23:15:06.645-07:00,217.0,0,0
2022-04-01T23:30:06.912-07:00,217.39999389648438,0,0
2022-04-01T23:45:06.103-07:00,217.6999969482422,0,0
2022-04-02T00:00:06.426-07:00,217.5,0,0
2022-04-02T00:15:06.158-07:00,217.8000030517578,0,0
2022-04-02T00:30:06.178-07:00,216.6999969482422,0,0
2022-04-02T00:45:06.457-07:00,216.89999389648438,0,0
2022-04-02T01:00:06.328-07:00,217.3000030517578,0,0
2022-04-02T01:15:00.696-07:00,218.0,0,0
2022-04-02T01:30:07.006-07:00,217.8000030517578,0,0
2022-04-02T01:45:06.079-07:00,217.3000030517578,0,0
2022-04-02T02:00:06.090-07:00,217.6999969482422,0,0
2022-04-02T02:15:05.971-07:00,217.8000030517578,0,0
2022-04-02T02:30:06.168-07:00,217.3000030517578,0,0
2022-04-02T02:45:06.723-07:00,217.6999969482422,0,0
2022-04-02T03:00:06.140-07:00,216.5,0,0
2022-04-02T03:15:06.145-07:00,217.60000610351562,0,0
2022-04-02T03:30:06.028-07:00,217.10000610351562,0,0
2022-04-02T03:45:06.352-07:00,216.8000030517578,0,0
2022-04-02T04:00:01.327-07:00,218.0,0,0
2022-04-02T04:15:05.948-07:00,216.6999969482422,0,0
2022-04-02T04:30:06.159-07:00,217.8000030517578,0,0
2022-04-02T04:45:06.024-07:00,217.6999969482422,0,0
2022-04-02T05:00:12.535-07:00,217.3000030517578,0,0
2022-04-02T05:15:06.194-07:00,216.6999969482422,0,0
2022-04-02T05:30:07.189-07:00,216.5,0,0
2022-04-02T05:45:06.408-07:00,216.39999389648438,0,0
2022-04-02T06:00:06.010-07:00,216.39999389648438,0,0
2022-04-02T06:15:06.188-07:00,215.8000030517578,0,0
2022-04-02T06:30:06.194-07:00,216.10000610351562,0,0
2022-04-02T06:45:00.706-07:00,216.5,0,0
2022-04-02T07:00:06.347-07:00,216.10000610351562,0,0
2022-04-02T07:15:06.201-07:00,217.1999969482422,0,0
2022-04-02T07:30:06.215-07:00,218.5,0,0
2022-04-02T07:45:06.697-07:00,216.89999389648438,0,0
2022-04-02T08:00:06.673-07:00,217.0,0,0
2022-04-02T08:15:06.502-07:00,217.3000030517578,0,0
2022-04-02T08:30:06.085-07:00,216.39999389648438,0,0
2022-04-02T08:45:06.302-07:00,217.60000610351562,0,0
2022-04-02T09:00:07.428-07:00,217.60000610351562,0,0
2022-04-02T09:15:06.361-07:00,217.39999389648438,0,0
2022-04-02T09:30:00.837-07:00,218.0,0,0
2022-04-02T09:45:05.596-07:00,217.6999969482422,0,0
2022-04-02T10:00:05.762-07:00,216.6999969482422,0,0
2022-04-02T10:15:05.838-07:00,217.0,0,0
2022-04-02T10:30:05.848-07:00,218.3000030517578,0,0
2022-04-02T10:45:05.675-07:00,217.89999389648438,0,0
2022-04-02T11:00:06.336-07:00,218.8000030517578,0,0
2022-04-02T11:15:00.502-07:00,217.8000030517578,0,0
2022-04-02T11:30:05.857-07:00,218.1999969482422,0,0
2022-04-02T11:45:05.676-07:00,218.6999969482422,0,0
2022-04-02T12:00:05.772-07:00,217.5,0,0
2022-04-02T12:15:05.613-07:00,217.5,0,0
2022-04-02T12:30:08.136-07:00,217.1999969482422,0,0
2022-04-02T12:45:05.758-07:00,217.8000030517578,0,0
