t,v,s,r
2022-03-31T23:45:04.162-07:00,0,20,0
2022-04-01T00:00:04.133-07:00,0,20,0
2022-04-01T00:15:04.365-07:00,0,20,0
2022-04-01T00:30:04.348-07:00,0,20,0
2022-04-01T00:45:04.259-07:00,0,20,0
2022-04-01T01:00:04.320-07:00,0,20,0
2022-04-01T01:15:04.174-07:00,0,20,0
2022-04-01T01:30:04.106-07:00,0,20,0
2022-04-01T01:45:04.225-07:00,0,20,0
2022-04-01T02:00:04.243-07:00,0,20,0
2022-04-01T02:15:04.184-07:00,0,20,0
2022-04-01T02:30:04.209-07:00,0,20,0
2022-04-01T02:45:04.355-07:00,0,20,0
2022-04-01T03:00:04.334-07:00,0,20,0
2022-04-01T03:15:04.214-07:00,0,20,0
2022-04-01T03:30:04.198-07:00,0,20,0
2022-04-01T03:45:04.194-07:00,0,20,0
2022-04-01T04:00:04.292-07:00,0,20,0
2022-04-01T04:15:04.187-07:00,0,20,0
2022-04-01T04:30:05.131-07:00,0,20,0
2022-04-01T04:45:04.190-07:00,0,20,0
2022-04-01T05:00:05.257-07:00,0,20,0
2022-04-01T05:15:04.144-07:00,0,20,0
2022-04-01T05:30:04.178-07:00,0,20,0
2022-04-01T05:45:04.226-07:00,0,20,0
2022-04-01T06:00:04.322-07:00,0,20,0
2022-04-01T06:15:04.288-07:00,0,20,0
2022-04-01T06:30:04.219-07:00,0,20,0
2022-04-01T06:45:04.286-07:00,0,20,0
2022-04-01T07:00:04.490-07:00,0,20,0
2022-04-01T07:15:04.277-07:00,0,20,0
2022-04-01T07:30:04.476-07:00,0,20,0
2022-04-01T07:45:04.395-07:00,0,20,0
2022-04-01T08:00:04.520-07:00,0,20,0
2022-04-01T08:15:04.491-07:00,0,20,0
2022-04-01T08:30:04.602-07:00,0,20,0
2022-04-01T08:45:04.300-07:00,0,20,0
2022-04-01T09:00:04.373-07:00,0,20,0
2022-04-01T09:15:04.375-07:00,0,20,0
2022-04-01T09:30:04.370-07:00,0,20,0
2022-04-01T09:45:04.317-07:00,0,20,0
2022-04-01T10:00:04.446-07:00,0,20,0
2022-04-01T10:15:04.333-07:00,0,20,0
2022-04-01T10:30:04.112-07:00,0,20,0
2022-04-01T10:45:04.575-07:00,0,20,0
2022-04-01T11:00:04.141-07:00,0,20,0
2022-04-01T11:15:04.162-07:00,0,20,0
2022-04-01T11:30:04.142-07:00,0,20,0
2022-04-01T11:45:04.213-07:00,0,20,0
2022-04-01T12:00:04.157-07:00,0,20,0
2022-04-01T12:15:04.151-07:00,0,20,0
2022-04-01T12:30:04.328-07:00,0,20,0
2022-04-01T12:45:04.192-07:00,0,20,0
2022-04-01T13:00:04.141-07:00,0,20,0
2022-04-01T13:15:04.269-07:00,0,20,0
2022-04-01T13:30:04.202-07:00,0,20,0
2022-04-01T13:45:00.449-07:00,0,20,0
2022-04-01T14:00:00.401-07:00,0,20,0
2022-04-01T14:15:00.485-07:00,0,20,0
2022-04-01T14:30:00.430-07:00,0,20,0
2022-04-01T14:45:00.416-07:00,0,20,0
2022-04-01T15:00:00.445-07:00,0,20,0
2022-04-01T15:15:00.471-07:00,0,20,0
2022-04-01T15:30:00.997-07:00,0,20,0
2022-04-01T15:45:00.435-07:00,0,20,0
2022-04-01T16:00:04.493-07:00,0,20,0
2022-04-01T16:15:04.116-07:00,0,20,0
2022-04-01T16:30:04.129-07:00,0,20,0
2022-04-01T16:45:04.184-07:00,0,20,0
2022-04-01T17:00:04.193-07:00,0,20,0
2022-04-01T17:15:04.456-07:00,0,20,0
2022-04-01T17:30:04.355-07:00,0,20,0
2022-04-01T17:45:04.226-07:00,0,20,0
2022-04-01T18:00:04.181-07:00,0,20,0
2022-04-01T18:15:04.246-07:00,0,20,0
2022-04-01T18:30:04.367-07:00,0,20,0
2022-04-01T18:45:04.224-07:00,0,20,0
2022-04-01T19:00:04.195-07:00,0,20,0
2022-04-01T19:15:04.764-07:00,0,20,0
2022-04-01T19:30:04.222-07:00,0,20,0
2022-04-01T19:45:04.191-07:00,0,20,0
2022-04-01T20:00:04.120-07:00,0,20,0
2022-04-01T20:15:04.179-07:00,0,20,0
2022-04-01T20:30:04.366-07:00,0,20,0
2022-04-01T20:45:04.162-07:00,0,20,0
2022-04-01T21:00:04.126-07:00,0,20,0
2022-04-01T21:15:04.177-07:00,0,20,0
2022-04-01T21:30:04.186-07:00,0,20,0
2022-04-01T21:45:04.340-07:00,0,20,0
2022-04-01T22:00:04.479-07:00,0,20,0
2022-04-01T22:15:04.445-07:00,0,20,0
2022-04-01T22:30:04.393-07:00,0,20,0
2022-04-01T22:45:05.081-07:00,0,20,0
2022-04-01T23:00:04.327-07:00,0,20,0
2022-04-01T23:15:04.201-07:00,0,20,0
2022-04-01T23:30:04.142-07:00,0,20,0
2022-04-01T23:45:04.115-07:00,0,20,0
2022-04-02T00:00:04.148-07:00,0,20,0
2022-04-02T00:15:04.323-07:00,0,20,0
2022-04-02T00:30:04.547-07:00,0,20,0
2022-04-02T00:45:04.166-07:00,0,20,0
2022-04-02T01:00:04.166-07:00,0,20,0
2022-04-02T01:15:04.150-07:00,0,20,0
2022-04-02T01:30:04.294-07:00,0,20,0
2022-04-02T01:45:04.315-07:00,0,20,0
2022-04-02T02:00:04.146-07:00,0,20,0
2022-04-02T02:15:04.237-07:00,0,20,0
2022-04-02T02:30:04.190-07:00,0,20,0
2022-04-02T02:45:04.210-07:00,0,20,0
2022-04-02T03:00:04.171-07:00,0,20,0
2022-04-02T03:15:04.181-07:00,0,20,0
2022-04-02T03:30:04.528-07:00,0,20,0
2022-04-02T03:45:04.259-07:00,0,20,0
2022-04-02T04:00:04.297-07:00,0,20,0
2022-04-02T04:15:04.270-07:00,0,20,0
2022-04-02T04:30:04.480-07:00,0,20,0
2022-04-02T04:45:04.164-07:00,0,20,0
2022-04-02T05:00:04.277-07:00,0,20,0
2022-04-02T05:15:04.284-07:00,0,20,0
2022-04-02T05:30:04.251-07:00,0,20,0
2022-04-02T05:45:04.286-07:00,0,20,0
2022-04-02T06:00:04.269-07:00,0,20,0
2022-04-02T06:15:04.151-07:00,0,20,0
2022-04-02T06:30:04.236-07:00,0,20,0
2022-04-02T06:45:04.326-07:00,0,20,0
2022-04-02T07:00:04.304-07:00,0,20,0
2022-04-02T07:15:04.359-07:00,0,20,0
2022-04-02T07:30:04.886-07:00,0,20,0
2022-04-02T07:45:04.312-07:00,0,20,0
2022-04-02T08:00:04.181-07:00,0,20,0
2022-04-02T08:15:04.304-07:00,0,20,0
2022-04-02T08:30:04.289-07:00,0,20,0
2022-04-02T08:45:04.235-07:00,0,20,0
2022-04-02T09:00:04.543-07:00,0,20,0
2022-04-02T09:15:04.307-07:00,0,20,0
2022-04-02T09:30:04.298-07:00,0,20,0
2022-04-02T09:45:04.206-07:00,0,20,0
2022-04-02T10:00:04.211-07:00,0,20,0
2022-04-02T10:15:04.151-07:00,0,20,0
2022-04-02T10:30:04.184-07:00,0,20,0
2022-04-02T10:45:04.249-07:00,0,20,0
2022-04-02T11:00:04.165-07:00,0,20,0
2022-04-02T11:15:04.279-07:00,0,20,0
2022-04-02T11:30:00.436-07:00,0,20,0
2022-04-02T11:45:00.655-07:00,0,20,0
2022-04-02T12:00:00.421-07:00,0,20,0
2022-04-02T12:15:00.437-07:00,0,20,0
2022-04-02T12:30:00.556-07:00,0,20,0
2022-04-02T12:45:00.523-07:00,0,20,0
2022-04-02T13:00:04.205-07:00,0,20,0
2022-04-02T13:15:04.271-07:00,0,20,0
2022-04-02T13:30:04.280-07:00,0,20,0
2022-04-02T13:45:04.388-07:00,0,20,0
2022-04-02T14:00:04.178-07:00,0,20,0
2022-04-02T14:15:04.172-07:00,0,20,0
2022-04-02T14:30:04.319-07:00,0,20,0
2022-04-02T14:45:04.166-07:00,0,20,0
2022-04-02T15:00:04.242-07:00,0,20,0
2022-04-02T15:15:04.337-07:00,0,20,0
2022-04-02T15:30:04.264-07:00,0,20,0
2022-04-02T15:45:04.253-07:00,0,20,0
2022-04-02T16:00:04.282-07:00,0,20,0
2022-04-02T16:15:04.346-07:00,0,20,0
2022-04-02T16:30:04.287-07:00,0,20,0
2022-04-02T16:45:04.373-07:00,0,20,0
2022-04-02T17:00:04.237-07:00,0,20,0
2022-04-02T17:15:04.229-07:00,0,20,0
2022-04-02T17:30:04.222-07:00,0,20,0
2022-04-02T17:45:04.241-07:00,0,20,0
2022-04-02T18:00:04.357-07:00,0,20,0
2022-04-02T18:15:04.506-07:00,0,20,0
2022-04-02T18:30:04.216-07:00,0,20,0
