t,v,s,r
2022-03-31T23:45:06.680-07:00,0,20,0
2022-04-01T00:00:06.835-07:00,0,20,0
2022-04-01T00:15:06.881-07:00,0,20,0
2022-04-01T00:30:06.656-07:00,0,20,0
2022-04-01T00:45:06.674-07:00,0,20,0
2022-04-01T01:00:06.867-07:00,0,20,0
2022-04-01T01:15:06.864-07:00,0,20,0
2022-04-01T01:30:06.826-07:00,0,20,0
2022-04-01T01:45:07.435-07:00,0,20,0
2022-04-01T02:00:06.823-07:00,0,20,0
2022-04-01T02:15:06.821-07:00,0,20,0
2022-04-01T02:30:07.190-07:00,0,20,0
2022-04-01T02:45:06.857-07:00,0,20,0
2022-04-01T03:00:07.062-07:00,0,20,0
2022-04-01T03:15:07.091-07:00,0,20,0
2022-04-01T03:30:06.738-07:00,0,20,0
2022-04-01T03:45:06.889-07:00,0,20,0
2022-04-01T04:00:06.856-07:00,0,20,0
2022-04-01T04:15:06.901-07:00,0,20,0
2022-04-01T04:30:06.881-07:00,0,20,0
2022-04-01T04:45:06.766-07:00,0,20,0
2022-04-01T05:00:07.006-07:00,0,20,0
2022-04-01T05:15:06.835-07:00,0,20,0
2022-04-01T05:30:06.949-07:00,0,20,0
2022-04-01T05:45:06.970-07:00,0,20,0
2022-04-01T06:00:06.908-07:00,0,20,0
2022-04-01T06:15:06.629-07:00,0,20,0
2022-04-01T06:30:06.766-07:00,0,20,0
2022-04-01T06:45:07.010-07:00,0,20,0
2022-04-01T07:00:07.032-07:00,0,20,0
2022-04-01T07:15:06.928-07:00,0,20,0
2022-04-01T07:30:06.741-07:00,0,20,0
2022-04-01T07:45:06.838-07:00,0,20,0
2022-04-01T08:00:06.671-07:00,0,20,0
2022-04-01T08:15:06.824-07:00,0,20,0
2022-04-01T08:30:06.824-07:00,0,20,0
2022-04-01T08:45:06.709-07:00,0,20,0
2022-04-01T09:00:06.700-07:00,0,20,0
2022-04-01T09:15:06.670-07:00,0,20,0
2022-04-01T09:30:08.633-07:00,0,20,0
2022-04-01T09:45:08.525-07:00,0,20,0
2022-04-01T10:00:10.207-07:00,0,20,0
2022-04-01T10:15:08.583-07:00,0,20,0
2022-04-01T10:30:08.389-07:00,0,20,0
2022-04-01T10:45:08.678-07:00,0,20,0
2022-04-01T11:00:08.572-07:00,0,20,0
2022-04-01T11:15:09.097-07:00,0,20,0
2022-04-01T11:30:08.302-07:00,0,20,0
2022-04-01T11:45:08.616-07:00,0,20,0
2022-04-01T12:00:08.510-07:00,0,20,0
2022-04-01T12:15:08.382-07:00,0,20,0
2022-04-01T12:30:08.719-07:00,0,20,0
2022-04-01T12:45:08.354-07:00,0,20,0
2022-04-01T13:00:08.598-07:00,0,20,0
2022-04-01T13:15:08.601-07:00,0,20,0
2022-04-01T13:30:08.401-07:00,0,20,0
2022-04-01T13:45:08.333-07:00,0,20,0
2022-04-01T14:00:08.394-07:00,0,20,0
2022-04-01T14:15:08.567-07:00,0,20,0
2022-04-01T14:30:08.509-07:00,0,20,0
2022-04-01T14:45:08.571-07:00,0,20,0
2022-04-01T15:00:08.488-07:00,0,20,0
2022-04-01T15:15:08.816-07:00,0,20,0
2022-04-01T15:30:08.446-07:00,0,20,0
2022-04-01T15:45:08.324-07:00,0,20,0
2022-04-01T16:00:08.886-07:00,0,20,0
2022-04-01T16:15:08.335-07:00,0,20,0
2022-04-01T16:30:08.365-07:00,0,20,0
2022-04-01T16:45:08.466-07:00,0,20,0
2022-04-01T17:00:08.467-07:00,0,20,0
2022-04-01T17:15:08.465-07:00,0,20,0
2022-04-01T17:30:08.841-07:00,0,20,0
2022-04-01T17:45:08.416-07:00,0,20,0
2022-04-01T18:00:08.249-07:00,0,20,0
2022-04-01T18:15:08.354-07:00,0,20,0
2022-04-01T18:30:08.425-07:00,0,20,0
2022-04-01T18:45:08.450-07:00,0,20,0
2022-04-01T19:00:08.478-07:00,0,20,0
2022-04-01T19:15:08.206-07:00,0,20,0
2022-04-01T19:30:08.628-07:00,0,20,0
2022-04-01T19:45:08.639-07:00,0,20,0
2022-04-01T20:00:08.680-07:00,0,20,0
2022-04-01T20:15:08.713-07:00,0,20,0
2022-04-01T20:30:08.781-07:00,0,20,0
2022-04-01T20:45:08.728-07:00,0,20,0
2022-04-01T21:00:08.575-07:00,0,20,0
2022-04-01T21:15:08.305-07:00,0,20,0
2022-04-01T21:30:08.322-07:00,0,20,0
2022-04-01T21:45:08.596-07:00,0,20,0
2022-04-01T22:00:08.520-07:00,0,20,0
2022-04-01T22:15:08.561-07:00,0,20,0
2022-04-01T22:30:08.574-07:00,0,20,0
2022-04-01T22:45:08.773-07:00,0,20,0
2022-04-01T23:00:08.316-07:00,0,20,0
2022-04-01T23:15:08.491-07:00,0,20,0
2022-04-01T23:30:08.696-07:00,0,20,0
2022-04-01T23:45:09.117-07:00,0,20,0
2022-04-02T00:00:08.499-07:00,0,20,0
2022-04-02T00:15:08.471-07:00,0,20,0
2022-04-02T00:30:08.391-07:00,0,20,0
2022-04-02T00:45:08.517-07:00,0,20,0
2022-04-02T01:00:08.459-07:00,0,20,0
2022-04-02T01:15:08.684-07:00,0,20,0
2022-04-02T01:30:08.905-07:00,0,20,0
2022-04-02T01:45:08.203-07:00,0,20,0
2022-04-02T02:00:09.251-07:00,0,20,0
2022-04-02T02:15:10.261-07:00,0,20,0
2022-04-02T02:30:09.000-07:00,0,20,0
2022-04-02T02:45:08.240-07:00,0,20,0
2022-04-02T03:00:08.556-07:00,0,20,0
2022-04-02T03:15:09.164-07:00,0,20,0
2022-04-02T03:30:08.620-07:00,0,20,0
2022-04-02T03:45:08.377-07:00,0,20,0
2022-04-02T04:00:08.494-07:00,0,20,0
2022-04-02T04:15:08.347-07:00,0,20,0
2022-04-02T04:30:08.381-07:00,0,20,0
2022-04-02T04:45:08.267-07:00,0,20,0
2022-04-02T05:00:08.406-07:00,0,20,0
2022-04-02T05:15:08.682-07:00,0,20,0
2022-04-02T05:30:08.400-07:00,0,20,0
2022-04-02T05:45:08.587-07:00,0,20,0
2022-04-02T06:00:09.087-07:00,0,20,0
2022-04-02T06:15:08.470-07:00,0,20,0
2022-04-02T06:30:09.155-07:00,0,20,0
2022-04-02T06:45:08.149-07:00,0,20,0
