t,v,s,r
2022-03-31T23:45:07.051-07:00,22,0,0
2022-04-01T00:00:07.179-07:00,22,0,0
2022-04-01T00:15:07.230-07:00,22,0,0
2022-04-01T00:30:06.995-07:00,22,0,0
2022-04-01T00:45:07.007-07:00,22,0,0
2022-04-01T01:00:07.207-07:00,22,0,0
2022-04-01T01:15:07.208-07:00,22,0,0
2022-04-01T01:30:07.177-07:00,22,0,0
2022-04-01T01:45:07.812-07:00,22,0,0
2022-04-01T02:00:07.166-07:00,22,0,0
2022-04-01T02:15:07.157-07:00,23,0,0
2022-04-01T02:30:07.525-07:00,22,0,0
2022-04-01T02:45:07.189-07:00,22,0,0
2022-04-01T03:00:07.398-07:00,22,0,0
2022-04-01T03:15:07.462-07:00,22,0,0
2022-04-01T03:30:07.090-07:00,22,0,0
2022-04-01T03:45:07.206-07:00,22,0,0
2022-04-01T04:00:07.245-07:00,23,0,0
2022-04-01T04:15:07.236-07:00,22,0,0
2022-04-01T04:30:07.217-07:00,22,0,0
2022-04-01T04:45:07.104-07:00,22,0,0
2022-04-01T05:00:07.372-07:00,22,0,0
2022-04-01T05:15:07.169-07:00,22,0,0
2022-04-01T05:30:07.300-07:00,23,0,0
2022-04-01T05:45:07.319-07:00,23,0,0
2022-04-01T06:00:07.302-07:00,23,0,0
2022-04-01T06:15:06.994-07:00,23,0,0
2022-04-01T06:30:07.117-07:00,22,0,0
2022-04-01T06:45:07.523-07:00,23,0,0
2022-04-01T07:00:07.372-07:00,23,0,0
2022-04-01T07:15:07.261-07:00,22,0,0
2022-04-01T07:30:07.135-07:00,22,0,0
2022-04-01T07:45:07.161-07:00,23,0,0
2022-04-01T08:00:06.998-07:00,22,0,0
2022-04-01T08:15:07.161-07:00,23,0,0
2022-04-01T08:30:07.148-07:00,23,0,0
2022-04-01T08:45:07.030-07:00,22,0,0
2022-04-01T09:00:07.089-07:00,22,0,0
2022-04-01T09:15:07.027-07:00,23,0,0
2022-04-01T09:30:09.046-07:00,23,0,0
2022-04-01T09:45:08.948-07:00,23,0,0
2022-04-01T10:00:10.705-07:00,22,0,0
2022-04-01T10:15:08.999-07:00,23,0,0
2022-04-01T10:30:08.868-07:00,23,0,0
2022-04-01T10:45:09.117-07:00,23,0,0
2022-04-01T11:00:08.972-07:00,23,0,0
2022-04-01T11:15:09.509-07:00,23,0,0
2022-04-01T11:30:08.704-07:00,25,0,0
2022-04-01T11:45:09.032-07:00,25,0,0
2022-04-01T12:00:08.922-07:00,25,0,0
2022-04-01T12:15:08.791-07:00,25,0,0
2022-04-01T12:30:09.134-07:00,25,0,0
2022-04-01T12:45:08.876-07:00,24,0,0
2022-04-01T13:00:09.073-07:00,24,0,0
2022-04-01T13:15:09.962-07:00,23,0,0
2022-04-01T13:30:08.816-07:00,23,0,0
2022-04-01T13:45:08.747-07:00,23,0,0
2022-04-01T14:00:08.807-07:00,23,0,0
2022-04-01T14:15:08.984-07:00,24,0,0
