t,v,s,r
2022-03-31T23:45:07.078-07:00,2410,0,0
2022-04-01T00:00:07.200-07:00,2414,0,0
2022-04-01T00:15:07.254-07:00,2417,0,0
2022-04-01T00:30:07.018-07:00,2419,0,0
2022-04-01T00:45:07.027-07:00,2404,0,0
2022-04-01T01:00:07.227-07:00,2402,0,0
2022-04-01T01:15:07.230-07:00,2407,0,0
2022-04-01T01:30:07.201-07:00,2407,0,0
2022-04-01T01:45:07.836-07:00,2410,0,0
2022-04-01T02:00:07.187-07:00,2409,0,0
2022-04-01T02:15:07.178-07:00,2410,0,0
2022-04-01T02:30:07.546-07:00,2411,0,0
2022-04-01T02:45:07.214-07:00,2411,0,0
2022-04-01T03:00:07.420-07:00,2411,0,0
2022-04-01T03:15:07.484-07:00,2412,0,0
2022-04-01T03:30:07.115-07:00,2409,0,0
2022-04-01T03:45:07.229-07:00,2409,0,0
2022-04-01T04:00:07.268-07:00,2403,0,0
2022-04-01T04:15:07.258-07:00,2421,0,0
2022-04-01T04:30:07.238-07:00,2422,0,0
2022-04-01T04:45:07.124-07:00,2418,0,0
2022-04-01T05:00:07.398-07:00,2416,0,0
2022-04-01T05:15:07.191-07:00,2426,0,0
2022-04-01T05:30:07.323-07:00,2415,0,0
2022-04-01T05:45:07.339-07:00,2411,0,0
2022-04-01T06:00:07.329-07:00,2396,0,0
2022-04-01T06:15:07.016-07:00,2421,0,0
2022-04-01T06:30:07.140-07:00,2409,0,0
2022-04-01T06:45:07.554-07:00,2408,0,0
2022-04-01T07:00:07.392-07:00,2411,0,0
2022-04-01T07:15:07.283-07:00,2399,0,0
2022-04-01T07:30:07.163-07:00,2414,0,0
2022-04-01T07:45:07.181-07:00,2404,0,0
2022-04-01T08:00:07.019-07:00,2418,0,0
2022-04-01T08:15:07.181-07:00,2413,0,0
2022-04-01T08:30:07.168-07:00,2421,0,0
2022-04-01T08:45:07.053-07:00,2413,0,0
2022-04-01T09:00:07.111-07:00,2412,0,0
2022-04-01T09:15:07.051-07:00,2408,0,0
2022-04-01T09:30:09.072-07:00,2422,0,0
2022-04-01T09:45:08.975-07:00,2423,0,0
2022-04-01T10:00:10.730-07:00,2417,0,0
2022-04-01T10:15:09.026-07:00,2411,0,0
2022-04-01T10:30:08.893-07:00,2406,0,0
2022-04-01T10:45:09.141-07:00,2406,0,0
2022-04-01T11:00:08.998-07:00,2407,0,0
2022-04-01T11:15:09.538-07:00,2407,0,0
2022-04-01T11:30:08.729-07:00,2420,0,0
2022-04-01T11:45:09.058-07:00,2422,0,0
2022-04-01T12:00:08.949-07:00,2412,0,0
2022-04-01T12:15:08.816-07:00,2419,0,0
2022-04-01T12:30:09.166-07:00,2419,0,0
2022-04-01T12:45:08.906-07:00,2420,0,0
2022-04-01T13:00:09.097-07:00,2419,0,0
2022-04-01T13:15:09.988-07:00,2415,0,0
2022-04-01T13:30:08.844-07:00,2417,0,0
2022-04-01T13:45:08.773-07:00,2413,0,0
2022-04-01T14:00:08.833-07:00,2411,0,0
2022-04-01T14:15:09.010-07:00,2409,0,0
2022-04-01T14:30:08.971-07:00,2410,0,0
2022-04-01T14:45:09.013-07:00,2408,0,0
2022-04-01T15:00:08.927-07:00,2407,0,0
2022-04-01T15:15:09.274-07:00,2406,0,0
2022-04-01T15:30:08.875-07:00,2406,0,0
2022-04-01T15:45:08.764-07:00,2407,0,0
2022-04-01T16:00:09.348-07:00,2408,0,0
2022-04-01T16:15:08.766-07:00,2408,0,0
2022-04-01T16:30:08.813-07:00,2412,0,0
2022-04-01T16:45:08.969-07:00,2410,0,0
2022-04-01T17:00:08.912-07:00,2411,0,0
2022-04-01T17:15:08.908-07:00,2411,0,0
2022-04-01T17:30:09.278-07:00,2408,0,0
2022-04-01T17:45:08.862-07:00,2406,0,0
2022-04-01T18:00:08.674-07:00,2411,0,0
2022-04-01T18:15:08.804-07:00,2401,0,0
2022-04-01T18:30:08.946-07:00,2394,0,0
2022-04-01T18:45:08.904-07:00,2409,0,0
2022-04-01T19:00:08.943-07:00,2410,0,0
2022-04-01T19:15:08.700-07:00,2400,0,0
2022-04-01T19:30:09.137-07:00,2398,0,0
2022-04-01T19:45:09.068-07:00,2398,0,0
2022-04-01T20:00:09.105-07:00,2403,0,0
2022-04-01T20:15:09.164-07:00,2403,0,0
2022-04-01T20:30:09.206-07:00,2407,0,0
2022-04-01T20:45:09.212-07:00,2408,0,0
2022-04-01T21:00:09.103-07:00,2413,0,0
2022-04-01T21:15:08.735-07:00,2415,0,0
2022-04-01T21:30:08.782-07:00,2409,0,0
2022-04-01T21:45:09.327-07:00,2414,0,0
2022-04-01T22:00:08.953-07:00,2420,0,0
2022-04-01T22:15:08.989-07:00,2414,0,0
2022-04-01T22:30:09.066-07:00,2413,0,0
2022-04-01T22:45:09.437-07:00,2412,0,0
2022-04-01T23:00:08.764-07:00,2413,0,0
2022-04-01T23:15:09.059-07:00,2412,0,0
2022-04-01T23:30:09.182-07:00,2414,0,0
2022-04-01T23:45:09.554-07:00,2416,0,0
2022-04-02T00:00:08.934-07:00,2415,0,0
2022-04-02T00:15:08.929-07:00,2416,0,0
2022-04-02T00:30:08.832-07:00,2414,0,0
2022-04-02T00:45:08.972-07:00,2415,0,0
2022-04-02T01:00:08.907-07:00,2419,0,0
2022-04-02T01:15:09.153-07:00,2418,0,0
2022-04-02T01:30:09.372-07:00,2417,0,0
2022-04-02T01:45:08.637-07:00,2410,0,0
2022-04-02T02:00:09.710-07:00,2413,0,0
2022-04-02T02:15:10.807-07:00,2417,0,0
2022-04-02T02:30:09.440-07:00,2416,0,0
2022-04-02T02:45:08.681-07:00,2416,0,0
2022-04-02T03:00:09.026-07:00,2413,0,0
2022-04-02T03:15:09.655-07:00,2415,0,0
2022-04-02T03:30:09.065-07:00,2414,0,0
2022-04-02T03:45:08.891-07:00,2412,0,0
2022-04-02T04:00:08.934-07:00,2413,0,0
2022-04-02T04:15:08.804-07:00,2412,0,0
2022-04-02T04:30:08.809-07:00,2417,0,0
2022-04-02T04:45:08.699-07:00,2416,0,0
2022-04-02T05:00:08.835-07:00,2411,0,0
2022-04-02T05:15:09.121-07:00,2407,0,0
2022-04-02T05:30:08.918-07:00,2405,0,0
2022-04-02T05:45:09.037-07:00,2406,0,0
2022-04-02T06:00:09.521-07:00,2406,0,0
2022-04-02T06:15:08.921-07:00,2403,0,0
2022-04-02T06:30:09.596-07:00,2402,0,0
2022-04-02T06:45:08.580-07:00,2407,0,0
2022-04-02T07:00:09.831-07:00,2404,0,0
2022-04-02T07:15:08.898-07:00,2417,0,0
2022-04-02T07:30:10.038-07:00,2422,0,0
2022-04-02T07:45:08.837-07:00,2418,0,0
2022-04-02T08:00:09.829-07:00,2411,0,0
2022-04-02T08:15:08.728-07:00,2414,0,0
2022-04-02T08:30:09.809-07:00,2407,0,0
2022-04-02T08:45:08.878-07:00,2416,0,0
2022-04-02T09:00:09.522-07:00,2413,0,0
2022-04-02T09:15:08.954-07:00,2424,0,0
2022-04-02T09:30:09.742-07:00,2430,0,0
2022-04-02T09:45:08.947-07:00,2421,0,0
2022-04-02T10:00:09.727-07:00,2413,0,0
2022-04-02T10:15:09.222-07:00,2417,0,0
2022-04-02T10:30:09.640-07:00,2430,0,0
2022-04-02T10:45:08.888-07:00,2429,0,0
2022-04-02T11:00:10.905-07:00,2425,0,0
2022-04-02T11:15:08.769-07:00,2420,0,0
2022-04-02T11:30:09.637-07:00,2421,0,0
2022-04-02T11:45:08.842-07:00,2427,0,0
2022-04-02T12:00:09.690-07:00,2410,0,0
2022-04-02T12:15:08.712-07:00,2414,0,0
2022-04-02T12:30:09.530-07:00,2415,0,0
2022-04-02T12:45:08.801-07:00,2420,0,0
2022-04-02T13:00:09.771-07:00,2433,0,0
2022-04-02T13:15:08.868-07:00,2421,0,0
2022-04-02T13:30:09.761-07:00,2415,0,0
2022-04-02T13:45:08.948-07:00,2418,0,0
2022-04-02T14:00:09.639-07:00,2416,0,0
2022-04-02T14:15:08.832-07:00,2423,0,0
2022-04-02T14:30:10.165-07:00,2417,0,0
2022-04-02T14:45:08.653-07:00,2423,0,0
2022-04-02T15:00:08.875-07:00,2420,0,0
2022-04-02T15:15:08.938-07:00,2422,0,0
2022-04-02T15:30:08.833-07:00,2417,0,0
2022-04-02T15:45:08.821-07:00,2420,0,0
2022-04-02T16:00:08.666-07:00,2416,0,0
2022-04-02T16:15:08.924-07:00,2417,0,0
2022-04-02T16:30:08.705-07:00,2415,0,0
2022-04-02T16:45:09.123-07:00,2420,0,0
2022-04-02T17:00:08.988-07:00,2419,0,0
2022-04-02T17:15:08.816-07:00,2418,0,0
2022-04-02T17:30:09.737-07:00,2419,0,0
2022-04-02T17:45:08.884-07:00,2420,0,0
2022-04-02T18:00:08.896-07:00,2414,0,0
2022-04-02T18:15:10.947-07:00,2415,0,0
2022-04-02T18:30:10.043-07:00,2414,0,0
2022-04-02T18:45:08.992-07:00,2414,0,0
2022-04-02T19:00:08.897-07:00,2414,0,0
2022-04-02T19:15:08.796-07:00,2412,0,0
2022-04-02T19:30:09.140-07:00,2408,0,0
2022-04-02T19:45:09.193-07:00,2417,0,0
2022-04-02T20:00:09.043-07:00,2418,0,0
2022-04-02T20:15:09.023-07:00,2401,0,0
2022-04-02T20:30:08.802-07:00,2403,0,0
2022-04-02T20:45:08.813-07:00,2402,0,0
2022-04-02T21:00:09.026-07:00,2411,0,0
2022-04-02T21:15:08.842-07:00,2415,0,0
2022-04-02T21:30:09.079-07:00,2416,0,0
2022-04-02T21:45:09.209-07:00,2417,0,0
2022-04-02T22:00:08.955-07:00,2413,0,0
2022-04-02T22:15:08.907-07:00,2412,0,0
2022-04-02T22:30:08.786-07:00,2412,0,0
2022-04-02T22:45:08.937-07:00,2413,0,0
2022-04-02T23:00:09.059-07:00,2418,0,0
2022-04-02T23:15:08.888-07:00,2399,0,0
2022-04-02T23:30:09.026-07:00,2402,0,0
2022-04-02T23:45:08.942-07:00,2401,0,0
2022-04-03T00:00:09.072-07:00,2405,0,0
2022-04-03T00:15:11.096-07:00,2410,0,0
2022-04-03T00:30:08.950-07:00,2402,0,0
2022-04-03T00:45:10.069-07:00,2398,0,0
2022-04-03T01:00:08.808-07:00,2399,0,0
2022-04-03T01:15:09.381-07:00,2403,0,0
2022-04-03T01:30:09.254-07:00,2404,0,0
2022-04-03T01:45:09.249-07:00,2405,0,0
2022-04-03T02:00:08.904-07:00,2413,0,0
2022-04-03T02:15:08.946-07:00,2414,0,0
2022-04-03T02:30:09.041-07:00,2415,0,0
2022-04-03T02:45:09.157-07:00,2415,0,0
2022-04-03T03:00:09.028-07:00,2416,0,0
2022-04-03T03:15:09.343-07:00,2415,0,0
2022-04-03T03:30:08.915-07:00,2416,0,0
2022-04-03T03:45:08.940-07:00,2417,0,0
2022-04-03T04:00:09.108-07:00,2408,0,0
2022-04-03T04:15:10.163-07:00,2409,0,0
2022-04-03T04:30:08.961-07:00,2408,0,0
2022-04-03T04:45:08.916-07:00,2406,0,0
2022-04-03T05:00:11.410-07:00,2408,0,0
2022-04-03T05:15:10.054-07:00,2414,0,0
2022-04-03T05:30:08.968-07:00,2413,0,0
2022-04-03T05:45:10.010-07:00,2413,0,0
2022-04-03T06:00:08.907-07:00,2413,0,0
2022-04-03T06:15:08.607-07:00,2412,0,0
2022-04-03T06:30:09.202-07:00,2413,0,0
2022-04-03T06:45:09.140-07:00,2416,0,0
2022-04-03T07:00:09.217-07:00,2413,0,0
2022-04-03T07:15:10.077-07:00,2412,0,0
2022-04-03T07:30:08.621-07:00,2415,0,0
2022-04-03T07:45:08.778-07:00,2414,0,0
2022-04-03T08:00:08.925-07:00,2413,0,0
2022-04-03T08:15:08.863-07:00,2410,0,0
2022-04-03T08:30:08.842-07:00,2406,0,0
2022-04-03T08:45:09.017-07:00,2428,0,0
2022-04-03T09:00:09.083-07:00,2421,0,0
2022-04-03T09:15:08.817-07:00,2423,0,0
2022-04-03T09:30:08.994-07:00,2415,0,0
2022-04-03T09:45:09.087-07:00,2420,0,0
2022-04-03T10:00:09.241-07:00,2414,0,0
2022-04-03T10:15:09.018-07:00,2418,0,0
2022-04-03T10:30:09.866-07:00,2418,0,0
2022-04-03T10:45:09.145-07:00,2411,0,0
2022-04-03T11:00:09.287-07:00,2417,0,0
2022-04-03T11:15:09.428-07:00,2417,0,0
2022-04-03T11:30:08.826-07:00,2416,0,0
2022-04-03T11:45:09.074-07:00,2421,0,0
2022-04-03T12:00:08.887-07:00,2422,0,0
2022-04-03T12:15:08.814-07:00,2421,0,0
2022-04-03T12:30:08.883-07:00,2422,0,0
2022-04-03T12:45:08.723-07:00,2416,0,0
2022-04-03T13:00:09.347-07:00,2416,0,0
2022-04-03T13:15:08.873-07:00,2416,0,0
2022-04-03T13:30:08.854-07:00,2415,0,0
2022-04-03T13:45:09.823-07:00,2415,0,0
2022-04-03T14:00:08.752-07:00,2412,0,0
2022-04-03T14:15:09.018-07:00,2420,0,0
2022-04-03T14:30:09.063-07:00,2418,0,0
2022-04-03T14:45:08.955-07:00,2417,0,0
2022-04-03T15:00:08.874-07:00,2420,0,0
2022-04-03T15:15:08.864-07:00,2426,0,0
2022-04-03T15:30:09.062-07:00,2417,0,0
2022-04-03T15:45:09.180-07:00,2413,0,0
2022-04-03T16:00:09.051-07:00,2419,0,0
