t,v,s,r
2022-03-31T23:45:04.236-07:00,0.0,0,0
2022-04-01T00:00:03.987-07:00,0.0,0,0
2022-04-01T00:15:04.048-07:00,65.53500366210938,0,0
2022-04-01T00:30:03.644-07:00,0.0,0,0
2022-04-01T00:45:03.896-07:00,0.0,0,0
2022-04-01T01:00:00.974-07:00,0.0,0,0
2022-04-01T01:15:03.850-07:00,0.0,0,0
2022-04-01T01:30:18.500-07:00,0.0,0,0
2022-04-01T01:45:04.018-07:00,0.0,0,0
2022-04-01T02:00:04.242-07:00,0.0,0,0
2022-04-01T02:15:04.734-07:00,0.0,0,0
2022-04-01T02:30:18.968-07:00,0.0,0,0
2022-04-01T02:45:03.499-07:00,0.0,0,0
2022-04-01T03:00:04.316-07:00,0.0,0,0
2022-04-01T03:15:04.157-07:00,0.0,0,0
2022-04-01T03:30:21.038-07:00,0.0,0,0
2022-04-01T03:45:04.167-07:00,0.0,0,0
2022-04-01T04:00:00.326-07:00,0.0,4,0
2022-04-01T04:15:04.148-07:00,0.0,0,0
2022-04-01T04:30:04.157-07:00,0.0,0,0
2022-04-01T04:45:04.653-07:00,0.0,0,0
2022-04-01T05:00:06.440-07:00,0.0,0,0
2022-04-01T05:15:04.129-07:00,0.0,0,0
2022-04-01T05:30:05.195-07:00,0.0,0,0
2022-04-01T05:45:04.212-07:00,0.0,0,0
2022-04-01T06:00:03.882-07:00,0.0,0,0
2022-04-01T06:15:04.112-07:00,0.0,0,0
2022-04-01T06:30:04.301-07:00,0.0,0,0
2022-04-01T06:45:03.988-07:00,0.0,0,0
2022-04-01T07:00:04.347-07:00,0.0,0,0
2022-04-01T07:15:04.124-07:00,0.0,0,0
2022-04-01T07:30:14.740-07:00,0.0,0,0
2022-04-01T07:45:04.071-07:00,0.0010000000474974513,0,0
2022-04-01T08:00:04.748-07:00,0.0,0,0
2022-04-01T08:15:04.144-07:00,65.53500366210938,0,0
2022-04-01T08:30:05.859-07:00,65.53500366210938,0,0
2022-04-01T08:45:06.882-07:00,65.53500366210938,0,0
2022-04-01T09:00:04.155-07:00,0.0,0,0
2022-04-01T09:15:04.801-07:00,0.0,0,0
2022-04-01T09:30:03.861-07:00,65.53500366210938,0,0
2022-04-01T09:45:04.120-07:00,65.53500366210938,0,0
2022-04-01T10:00:04.207-07:00,65.53399658203125,0,0
2022-04-01T10:15:04.282-07:00,0.0,0,0
2022-04-01T10:30:03.975-07:00,0.0,0,0
2022-04-01T10:45:04.143-07:00,65.53500366210938,0,0
2022-04-01T11:00:04.173-07:00,65.53399658203125,0,0
2022-04-01T11:15:04.289-07:00,0.0,0,0
2022-04-01T11:30:04.311-07:00,65.53299713134766,0,0
2022-04-01T11:45:03.917-07:00,0.0010000000474974513,0,0
2022-04-01T12:00:04.351-07:00,0.0,0,0
2022-04-01T12:15:04.546-07:00,65.53500366210938,0,0
2022-04-01T12:30:04.286-07:00,0.0010000000474974513,0,0
2022-04-01T12:45:00.488-07:00,0.0010000000474974513,0,0
2022-04-01T13:00:04.261-07:00,0.0010000000474974513,0,0
2022-04-01T13:15:03.961-07:00,65.53500366210938,0,0
2022-04-01T13:30:04.368-07:00,65.53500366210938,0,0
2022-04-01T13:45:03.939-07:00,0.0010000000474974513,0,0
2022-04-01T14:00:04.245-07:00,0.0,0,0
2022-04-01T14:15:04.392-07:00,0.0,0,0
2022-04-01T14:30:04.032-07:00,0.0,0,0
2022-04-01T14:45:04.101-07:00,65.53399658203125,0,0
2022-04-01T15:00:04.480-07:00,0.0,0,0
2022-04-01T15:15:04.114-07:00,65.53500366210938,0,0
2022-04-01T15:30:04.589-07:00,0.0,0,0
2022-04-01T15:45:00.468-07:00,65.53500366210938,0,0
2022-04-01T16:00:03.991-07:00,0.0,0,0
2022-04-01T16:15:04.603-07:00,65.53500366210938,0,0
2022-04-01T16:30:04.056-07:00,0.0,0,0
2022-04-01T16:45:04.245-07:00,0.0,0,0
2022-04-01T17:00:06.693-07:00,0.0,0,0
2022-04-01T17:15:03.974-07:00,0.0,0,0
2022-04-01T17:30:07.659-07:00,65.53500366210938,0,0
2022-04-01T17:45:04.187-07:00,0.0,0,0
2022-04-01T18:00:07.452-07:00,0.0,0,0
2022-04-01T18:15:04.063-07:00,0.0,0,0
2022-04-01T18:30:06.657-07:00,0.0,0,0
2022-04-01T18:45:04.011-07:00,0.0,0,0
2022-04-01T19:00:06.945-07:00,0.0,0,0
2022-04-01T19:15:04.209-07:00,0.0,0,0
2022-04-01T19:30:06.587-07:00,0.0,0,0
2022-04-01T19:45:04.532-07:00,0.0,0,0
2022-04-01T20:00:06.530-07:00,0.0,0,0
2022-04-01T20:15:04.457-07:00,0.0,0,0
2022-04-01T20:30:06.797-07:00,0.0,0,0
2022-04-01T20:45:03.613-07:00,0.0,0,0
2022-04-01T21:00:07.190-07:00,0.0,0,0
2022-04-01T21:15:03.974-07:00,0.0,0,0
2022-04-01T21:30:06.060-07:00,0.0,0,0
2022-04-01T21:45:04.323-07:00,0.0,0,0
2022-04-01T22:00:04.318-07:00,0.0,0,0
2022-04-01T22:15:04.063-07:00,65.53500366210938,0,0
2022-04-01T22:30:04.195-07:00,0.0,0,0
2022-04-01T22:45:05.128-07:00,0.0,0,0
2022-04-01T23:00:03.868-07:00,0.0,0,0
2022-04-01T23:15:04.163-07:00,0.0,0,0
2022-04-01T23:30:04.252-07:00,0.0,0,0
2022-04-01T23:45:04.185-07:00,65.53500366210938,0,0
2022-04-02T00:00:04.130-07:00,0.0,0,0
2022-04-02T00:15:04.009-07:00,65.53500366210938,0,0
2022-04-02T00:30:04.254-07:00,0.0,0,0
2022-04-02T00:45:04.417-07:00,65.53500366210938,0,0
2022-04-02T01:00:04.590-07:00,0.0,0,0
2022-04-02T01:15:03.517-07:00,65.53500366210938,0,0
2022-04-02T01:30:04.487-07:00,0.0,0,0
2022-04-02T01:45:03.878-07:00,65.53500366210938,0,0
2022-04-02T02:00:03.825-07:00,0.0,0,0
2022-04-02T02:15:06.991-07:00,65.53500366210938,0,0
2022-04-02T02:30:03.975-07:00,0.0,0,0
2022-04-02T02:45:04.616-07:00,65.53500366210938,0,0
2022-04-02T03:00:04.112-07:00,0.0,0,0
2022-04-02T03:15:04.376-07:00,0.0,0,0
2022-04-02T03:30:03.783-07:00,0.0,0,0
2022-04-02T03:45:16.930-07:00,0.0,0,0
2022-04-02T04:00:04.555-07:00,0.0,0,0
2022-04-02T04:15:04.220-07:00,0.0,0,0
2022-04-02T04:30:04.169-07:00,0.0,0,0
2022-04-02T04:45:04.431-07:00,0.0,0,0
2022-04-02T05:00:09.110-07:00,0.0,0,0
2022-04-02T05:15:03.829-07:00,65.53500366210938,0,0
2022-04-02T05:30:04.000-07:00,0.0,0,0
2022-04-02T05:45:03.705-07:00,0.0,0,0
2022-04-02T06:00:04.390-07:00,0.0,0,0
2022-04-02T06:15:06.829-07:00,0.0,0,0
2022-04-02T06:30:03.924-07:00,0.0,0,0
2022-04-02T06:45:00.472-07:00,0.0,0,0
2022-04-02T07:00:04.235-07:00,0.0,0,0
2022-04-02T07:15:04.586-07:00,0.0,0,0
2022-04-02T07:30:03.939-07:00,65.53500366210938,0,0
2022-04-02T07:45:04.272-07:00,0.0,0,0
2022-04-02T08:00:03.676-07:00,0.0,0,0
2022-04-02T08:15:04.344-07:00,0.0,0,0
