t,v,s,r
2022-03-31T23:45:06.012-07:00,115,0,0
2022-04-01T00:00:05.570-07:00,113,0,0
2022-04-01T00:15:05.743-07:00,108,0,0
2022-04-01T00:30:08.913-07:00,111,0,0
2022-04-01T00:45:05.777-07:00,137,0,0
2022-04-01T01:00:08.479-07:00,113,0,0
2022-04-01T01:15:05.930-07:00,118,0,0
2022-04-01T01:30:05.586-07:00,108,0,0
2022-04-01T01:45:07.091-07:00,110,0,0
2022-04-01T02:00:00.707-07:00,110,0,0
2022-04-01T02:15:06.527-07:00,136,0,0
2022-04-01T02:30:05.853-07:00,130,0,0
2022-04-01T02:45:06.259-07:00,111,0,0
2022-04-01T03:00:05.354-07:00,109,0,0
2022-04-01T03:15:05.992-07:00,110,0,0
2022-04-01T03:30:06.030-07:00,109,0,0
2022-04-01T03:45:06.259-07:00,111,0,0
2022-04-01T04:00:09.401-07:00,114,0,0
2022-04-01T04:15:06.709-07:00,114,0,0
2022-04-01T04:30:06.397-07:00,110,0,0
2022-04-01T04:45:05.601-07:00,106,0,0
2022-04-01T05:00:09.206-07:00,129,0,0
2022-04-01T05:15:05.894-07:00,120,0,0
2022-04-01T05:30:09.289-07:00,135,0,0
2022-04-01T05:45:05.899-07:00,120,0,0
2022-04-01T06:00:05.558-07:00,110,0,0
2022-04-01T06:15:05.916-07:00,121,0,0
2022-04-01T06:30:07.020-07:00,142,0,0
2022-04-01T06:45:06.468-07:00,159,0,0
2022-04-01T07:00:06.870-07:00,170,0,0
2022-04-01T07:15:06.310-07:00,124,0,0
2022-04-01T07:30:00.568-07:00,129,0,0
2022-04-01T07:45:09.448-07:00,167,0,0
2022-04-01T08:00:06.303-07:00,149,0,0
2022-04-01T08:15:06.314-07:00,141,0,0
2022-04-01T08:30:07.241-07:00,135,0,0
2022-04-01T08:45:05.675-07:00,142,0,0
2022-04-01T09:00:05.885-07:00,170,0,0
2022-04-01T09:15:06.491-07:00,157,0,0
2022-04-01T09:30:06.542-07:00,158,0,0
2022-04-01T09:45:06.295-07:00,143,0,0
2022-04-01T10:00:06.355-07:00,140,0,0
2022-04-01T10:15:07.721-07:00,0,16,1
2022-04-01T10:30:07.341-07:00,163,0,0
2022-04-01T10:45:06.736-07:00,142,0,0
2022-04-01T11:00:06.740-07:00,155,0,0
2022-04-01T11:15:06.518-07:00,144,0,0
2022-04-01T11:30:06.459-07:00,155,0,0
