t,v,s,r
2022-03-31T23:45:06.254-07:00,-0.0031544268131256104,0,0
2022-04-01T00:00:05.806-07:00,-0.00421471893787384,0,0
2022-04-01T00:15:06.055-07:00,-0.003102526068687439,0,0
2022-04-01T00:30:10.464-07:00,-0.004048660397529602,0,0
2022-04-01T00:45:06.043-07:00,-0.00337807834148407,0,0
2022-04-01T01:00:08.697-07:00,-0.00420011579990387,0,0
2022-04-01T01:15:06.161-07:00,-0.003457188606262207,0,0
2022-04-01T01:30:05.821-07:00,-0.0034623295068740845,0,0
2022-04-01T01:45:07.257-07:00,-0.0035559386014938354,0,0
2022-04-01T02:00:00.719-07:00,-0.0034715235233306885,0,0
2022-04-01T02:15:06.828-07:00,-0.0035704821348190308,0,0
2022-04-01T02:30:06.095-07:00,-0.0035084038972854614,0,0
2022-04-01T02:45:06.519-07:00,-0.004332810640335083,0,0
2022-04-01T03:00:05.594-07:00,-0.003593623638153076,0,0
2022-04-01T03:15:06.276-07:00,-0.0034800171852111816,0,0
2022-04-01T03:30:06.214-07:00,-0.0038154125213623047,0,0
2022-04-01T03:45:06.543-07:00,-0.0037523359060287476,0,0
2022-04-01T04:00:09.642-07:00,-0.0039024651050567627,0,0
2022-04-01T04:15:06.983-07:00,-0.004987388849258423,0,0
2022-04-01T04:30:06.602-07:00,-0.0033880025148391724,0,0
2022-04-01T04:45:05.851-07:00,-0.0037563294172286987,0,0
2022-04-01T05:00:09.718-07:00,-0.004366815090179443,0,0
2022-04-01T05:15:06.144-07:00,-0.0038686394691467285,0,0
2022-04-01T05:30:09.496-07:00,-0.0036864429712295532,0,0
2022-04-01T05:45:06.144-07:00,-0.005191594362258911,0,0
2022-04-01T06:00:05.792-07:00,-0.0038878023624420166,0,0
2022-04-01T06:15:06.115-07:00,-0.00520208477973938,0,0
2022-04-01T06:30:07.263-07:00,-0.006391808390617371,0,0
2022-04-01T06:45:06.658-07:00,-0.005616098642349243,0,0
2022-04-01T07:00:07.102-07:00,-0.005946159362792969,0,0
2022-04-01T07:15:06.597-07:00,-0.005880102515220642,0,0
2022-04-01T07:30:00.581-07:00,-0.005752995610237122,0,0
2022-04-01T07:45:09.682-07:00,-0.005517065525054932,0,0
2022-04-01T08:00:06.557-07:00,-0.008860275149345398,0,0
2022-04-01T08:15:06.565-07:00,-0.005517929792404175,0,0
2022-04-01T08:30:07.454-07:00,-0.007665231823921204,0,0
2022-04-01T08:45:05.905-07:00,-0.00533236563205719,0,0
2022-04-01T09:00:06.142-07:00,-0.005464449524879456,0,0
2022-04-01T09:15:06.731-07:00,-0.0063672661781311035,0,0
2022-04-01T09:30:06.850-07:00,-0.0066086649894714355,0,0
2022-04-01T09:45:06.517-07:00,-0.0056126415729522705,0,0
2022-04-01T10:00:06.592-07:00,-0.0055008381605148315,0,0
2022-04-01T10:15:07.776-07:00,0.0,16,1
2022-04-01T10:30:07.640-07:00,-0.006493687629699707,0,0
2022-04-01T10:45:06.993-07:00,-0.005216166377067566,0,0
2022-04-01T11:00:06.998-07:00,-0.004950627684593201,0,0
2022-04-01T11:15:06.782-07:00,-0.0050863176584243774,0,0
2022-04-01T11:30:06.700-07:00,-0.004963308572769165,0,0
2022-04-01T11:45:06.827-07:00,-0.006376102566719055,0,0
2022-04-01T12:00:07.331-07:00,-0.006905302405357361,0,0
2022-04-01T12:15:06.506-07:00,-0.004921436309814453,0,0
2022-04-01T12:30:06.630-07:00,-0.006807193160057068,0,0
2022-04-01T12:45:06.381-07:00,-0.005220949649810791,0,0
2022-04-01T13:00:06.555-07:00,-0.006365612149238586,0,0
2022-04-01T13:15:06.095-07:00,-0.007930874824523926,0,0
2022-04-01T13:30:10.151-07:00,-0.00741267204284668,0,0
2022-04-01T13:45:00.664-07:00,-0.008240431547164917,0,0
2022-04-01T14:00:06.508-07:00,-0.006237521767616272,0,0
2022-04-01T14:15:06.879-07:00,-0.007981941103935242,0,0
2022-04-01T14:30:06.363-07:00,-0.009243965148925781,0,0
2022-04-01T14:45:06.675-07:00,-0.006163880228996277,0,0
2022-04-01T15:00:06.273-07:00,-0.006396457552909851,0,0
2022-04-01T15:15:05.983-07:00,-0.0077872127294540405,0,0
2022-04-01T15:30:12.656-07:00,-0.00465807318687439,0,0
2022-04-01T15:45:08.873-07:00,-0.0047258734703063965,0,0
2022-04-01T16:00:06.278-07:00,-0.006310611963272095,0,0
2022-04-01T16:15:06.338-07:00,-0.006347090005874634,0,0
2022-04-01T16:30:09.393-07:00,-0.008059412240982056,0,0
2022-04-01T16:45:05.922-07:00,-0.005013599991798401,0,0
2022-04-01T17:00:06.300-07:00,-0.0046892911195755005,0,0
2022-04-01T17:15:09.582-07:00,-0.0072657763957977295,0,0
2022-04-01T17:30:06.170-07:00,-0.007281109690666199,0,0
2022-04-01T17:45:07.774-07:00,-0.0068778395652771,0,0
2022-04-01T18:00:06.373-07:00,-0.006094038486480713,0,0
2022-04-01T18:15:07.373-07:00,-0.008265316486358643,0,0
2022-04-01T18:30:06.580-07:00,-0.0068770647048950195,0,0
2022-04-01T18:45:06.158-07:00,-0.005256518721580505,0,0
2022-04-01T19:00:05.882-07:00,-0.004216030240058899,0,0
2022-04-01T19:15:06.370-07:00,-0.003339529037475586,0,0
2022-04-01T19:30:06.636-07:00,-0.0023164749145507812,0,0
2022-04-01T19:45:06.134-07:00,-0.002754509449005127,0,0
2022-04-01T20:00:06.527-07:00,-0.0019592121243476868,0,0
2022-04-01T20:15:09.147-07:00,-0.0019293427467346191,0,0
2022-04-01T20:30:05.693-07:00,-0.0027751103043556213,0,0
2022-04-01T20:45:06.382-07:00,-0.002872966229915619,0,0
2022-04-01T21:00:05.853-07:00,-0.0018451511859893799,0,0
2022-04-01T21:15:06.439-07:00,-0.003418341279029846,0,0
2022-04-01T21:30:06.158-07:00,-0.002827197313308716,0,0
2022-04-01T21:45:06.107-07:00,-0.002029992640018463,0,0
2022-04-01T22:00:17.478-07:00,-0.0018878430128097534,0,0
2022-04-01T22:15:06.420-07:00,-0.0018667206168174744,0,0
2022-04-01T22:30:05.873-07:00,-0.0028681010007858276,0,0
2022-04-01T22:45:05.912-07:00,-0.0018560141324996948,0,0
2022-04-01T23:00:06.163-07:00,-0.0018555894494056702,0,0
2022-04-01T23:15:09.426-07:00,-0.002251535654067993,0,0
2022-04-01T23:30:06.405-07:00,-0.0019460991024971008,0,0
2022-04-01T23:45:05.875-07:00,-0.0021197348833084106,0,0
2022-04-02T00:00:05.937-07:00,-0.002869628369808197,0,0
2022-04-02T00:15:06.063-07:00,-0.0017784163355827332,0,0
2022-04-02T00:30:05.858-07:00,-0.00217263400554657,0,0
2022-04-02T00:45:05.942-07:00,-0.0020060688257217407,0,0
2022-04-02T01:00:05.910-07:00,-0.0021144598722457886,0,0
2022-04-02T01:15:05.974-07:00,-0.001972772181034088,0,0
2022-04-02T01:30:06.062-07:00,-0.0021735653281211853,0,0
2022-04-02T01:45:06.250-07:00,-0.002081349492073059,0,0
2022-04-02T02:00:05.805-07:00,-0.0020195022225379944,0,0
2022-04-02T02:15:06.099-07:00,-0.002702876925468445,0,0
2022-04-02T02:30:05.952-07:00,-0.0028548985719680786,0,0
2022-04-02T02:45:06.053-07:00,-0.0021448731422424316,0,0
2022-04-02T03:00:06.344-07:00,-0.001964375376701355,0,0
2022-04-02T03:15:05.322-07:00,-0.0022483468055725098,0,0
2022-04-02T03:30:06.167-07:00,-0.0019974634051322937,0,0
2022-04-02T03:45:06.201-07:00,-0.002076447010040283,0,0
2022-04-02T04:00:06.394-07:00,-0.0020367279648780823,0,0
2022-04-02T04:15:06.095-07:00,-0.0019677206873893738,0,0
2022-04-02T04:30:05.900-07:00,-0.0025368183851242065,0,0
2022-04-02T04:45:05.782-07:00,-0.002013683319091797,0,0
2022-04-02T05:00:12.442-07:00,-0.0020414739847183228,0,0
2022-04-02T05:15:06.618-07:00,-0.0019936487078666687,0,0
2022-04-02T05:30:20.077-07:00,-0.0018237009644508362,0,0
2022-04-02T05:45:08.930-07:00,-0.0020783990621566772,0,0
2022-04-02T06:00:05.929-07:00,-0.0018987059593200684,0,0
2022-04-02T06:15:05.961-07:00,-0.0019408389925956726,0,0
2022-04-02T06:30:05.713-07:00,-0.0018519237637519836,0,0
2022-04-02T06:45:06.084-07:00,-0.0022915974259376526,0,0
2022-04-02T07:00:06.149-07:00,-0.0020278841257095337,0,0
2022-04-02T07:15:05.876-07:00,-0.0021258890628814697,0,0
2022-04-02T07:30:06.062-07:00,-0.002000480890274048,0,0
2022-04-02T07:45:06.339-07:00,-0.001927994191646576,0,0
2022-04-02T08:00:05.784-07:00,-0.0020277127623558044,0,0
2022-04-02T08:15:05.901-07:00,-0.0028488412499427795,0,0
2022-04-02T08:30:10.109-07:00,-0.0018917098641395569,0,0
2022-04-02T08:45:00.536-07:00,-0.002007395029067993,0,0
2022-04-02T09:00:05.336-07:00,-0.0021317675709724426,0,0
2022-04-02T09:15:08.262-07:00,-0.0018423646688461304,0,0
2022-04-02T09:30:05.937-07:00,-0.00190020352602005,0,0
2022-04-02T09:45:05.507-07:00,-0.0019770264625549316,0,0
