t,v,s,r
2022-03-31T23:45:07.745-07:00,141,4,0
2022-04-01T00:00:10.676-07:00,141,4,0
2022-04-01T00:15:07.874-07:00,141,4,0
2022-04-01T00:30:07.335-07:00,141,4,0
2022-04-01T00:45:07.729-07:00,141,4,0
2022-04-01T01:00:08.712-07:00,141,4,0
2022-04-01T01:15:08.023-07:00,141,4,0
2022-04-01T01:30:07.803-07:00,141,4,0
2022-04-01T01:45:07.595-07:00,141,4,0
2022-04-01T02:00:24.704-07:00,141,4,0
2022-04-01T02:15:08.045-07:00,141,4,0
2022-04-01T02:30:07.659-07:00,141,4,0
2022-04-01T02:45:07.578-07:00,141,4,0
2022-04-01T03:00:07.799-07:00,141,4,0
2022-04-01T03:15:07.805-07:00,141,4,0
2022-04-01T03:30:07.560-07:00,141,4,0
2022-04-01T03:45:07.507-07:00,141,4,0
2022-04-01T04:00:07.880-07:00,141,4,0
2022-04-01T04:15:08.367-07:00,141,4,0
2022-04-01T04:30:07.753-07:00,141,4,0
2022-04-01T04:45:07.632-07:00,141,4,0
2022-04-01T05:00:10.393-07:00,141,4,0
2022-04-01T05:15:10.680-07:00,141,4,0
2022-04-01T05:30:07.645-07:00,141,4,0
2022-04-01T05:45:10.639-07:00,141,4,0
2022-04-01T06:00:26.772-07:00,141,4,0
2022-04-01T06:15:07.657-07:00,141,4,0
2022-04-01T06:30:09.771-07:00,141,4,0
2022-04-01T06:45:09.529-07:00,141,4,0
2022-04-01T07:00:07.652-07:00,141,4,0
2022-04-01T07:15:10.618-07:00,141,4,0
2022-04-01T07:30:07.915-07:00,141,4,0
2022-04-01T07:45:07.622-07:00,141,4,0
2022-04-01T08:00:07.800-07:00,141,4,0
2022-04-01T08:15:07.868-07:00,141,4,0
2022-04-01T08:30:08.164-07:00,141,4,0
2022-04-01T08:45:07.838-07:00,141,4,0
2022-04-01T09:00:07.503-07:00,141,4,0
2022-04-01T09:15:07.565-07:00,141,4,0
2022-04-01T09:30:07.441-07:00,141,4,0
2022-04-01T09:45:07.728-07:00,141,4,0
2022-04-01T10:00:26.302-07:00,141,4,0
2022-04-01T10:15:07.768-07:00,141,4,0
2022-04-01T10:30:10.505-07:00,141,4,0
2022-04-01T10:45:07.489-07:00,141,4,0
2022-04-01T11:00:07.627-07:00,141,4,0
2022-04-01T11:15:07.641-07:00,141,4,0
2022-04-01T11:30:07.470-07:00,141,4,0
2022-04-01T11:45:07.833-07:00,141,4,0
2022-04-01T12:00:07.877-07:00,141,4,0
2022-04-01T12:15:09.593-07:00,141,4,0
2022-04-01T12:30:07.828-07:00,141,4,0
2022-04-01T12:45:07.984-07:00,141,4,0
2022-04-01T13:00:07.915-07:00,141,4,0
2022-04-01T13:15:07.711-07:00,141,4,0
2022-04-01T13:30:07.570-07:00,141,4,0
2022-04-01T13:45:07.579-07:00,141,4,0
2022-04-01T14:00:27.256-07:00,141,4,0
2022-04-01T14:15:07.723-07:00,141,4,0
2022-04-01T14:30:07.762-07:00,141,4,0
2022-04-01T14:45:07.702-07:00,141,4,0
2022-04-01T15:00:07.406-07:00,141,4,0
2022-04-01T15:15:07.496-07:00,141,4,0
2022-04-01T15:30:08.062-07:00,141,4,0
2022-04-01T15:45:10.585-07:00,141,4,0
2022-04-01T16:00:08.101-07:00,141,4,0
2022-04-01T16:15:07.961-07:00,141,4,0
2022-04-01T16:30:08.156-07:00,141,4,0
2022-04-01T16:45:07.638-07:00,141,4,0
2022-04-01T17:00:10.688-07:00,141,4,0
2022-04-01T17:15:07.666-07:00,141,4,0
2022-04-01T17:30:10.680-07:00,141,4,0
