t,v,s,r
2022-03-31T23:45:10.019-07:00,61,4,0
2022-04-01T00:00:13.183-07:00,61,4,0
2022-04-01T00:15:10.339-07:00,61,4,0
2022-04-01T00:30:10.011-07:00,61,4,0
2022-04-01T00:45:10.077-07:00,61,4,0
2022-04-01T01:00:11.002-07:00,61,4,0
2022-04-01T01:15:10.563-07:00,61,4,0
2022-04-01T01:30:10.078-07:00,61,4,0
2022-04-01T01:45:10.175-07:00,61,4,0
2022-04-01T02:00:27.233-07:00,61,4,0
2022-04-01T02:15:10.387-07:00,61,4,0
2022-04-01T02:30:10.142-07:00,61,4,0
2022-04-01T02:45:10.274-07:00,61,4,0
2022-04-01T03:00:10.472-07:00,61,4,0
2022-04-01T03:15:10.164-07:00,61,4,0
2022-04-01T03:30:09.744-07:00,61,4,0
2022-04-01T03:45:09.910-07:00,61,4,0
2022-04-01T04:00:10.241-07:00,61,4,0
2022-04-01T04:15:10.802-07:00,61,4,0
2022-04-01T04:30:10.109-07:00,61,4,0
2022-04-01T04:45:10.057-07:00,61,4,0
2022-04-01T05:00:12.682-07:00,61,4,0
2022-04-01T05:15:12.932-07:00,61,4,0
2022-04-01T05:30:10.176-07:00,61,4,0
2022-04-01T05:45:12.898-07:00,61,4,0
2022-04-01T06:00:29.064-07:00,61,4,0
2022-04-01T06:15:10.121-07:00,61,4,0
2022-04-01T06:30:12.240-07:00,61,4,0
2022-04-01T06:45:11.924-07:00,61,4,0
2022-04-01T07:00:09.838-07:00,61,4,0
2022-04-01T07:15:12.853-07:00,61,4,0
2022-04-01T07:30:10.249-07:00,61,4,0
2022-04-01T07:45:09.856-07:00,61,4,0
2022-04-01T08:00:10.233-07:00,61,4,0
2022-04-01T08:15:10.199-07:00,61,4,0
2022-04-01T08:30:10.420-07:00,61,4,0
2022-04-01T08:45:10.283-07:00,61,4,0
2022-04-01T09:00:09.734-07:00,61,4,0
2022-04-01T09:15:09.931-07:00,61,4,0
2022-04-01T09:30:09.843-07:00,61,4,0
2022-04-01T09:45:09.965-07:00,61,4,0
2022-04-01T10:00:34.196-07:00,61,4,0
2022-04-01T10:15:10.058-07:00,61,4,0
2022-04-01T10:30:12.855-07:00,61,4,0
2022-04-01T10:45:09.789-07:00,61,4,0
2022-04-01T11:00:09.925-07:00,61,4,0
2022-04-01T11:15:10.024-07:00,61,4,0
2022-04-01T11:30:09.863-07:00,61,4,0
2022-04-01T11:45:10.453-07:00,61,4,0
2022-04-01T12:00:10.098-07:00,61,4,0
2022-04-01T12:15:11.959-07:00,61,4,0
2022-04-01T12:30:10.228-07:00,61,4,0
2022-04-01T12:45:10.243-07:00,61,4,0
2022-04-01T13:00:10.241-07:00,61,4,0
2022-04-01T13:15:10.147-07:00,61,4,0
2022-04-01T13:30:10.098-07:00,61,4,0
2022-04-01T13:45:10.039-07:00,61,4,0
2022-04-01T14:00:29.763-07:00,61,4,0
2022-04-01T14:15:10.033-07:00,61,4,0
2022-04-01T14:30:10.342-07:00,61,4,0
2022-04-01T14:45:10.010-07:00,61,4,0
2022-04-01T15:00:09.873-07:00,61,4,0
2022-04-01T15:15:09.917-07:00,61,4,0
2022-04-01T15:30:10.319-07:00,61,4,0
2022-04-01T15:45:13.038-07:00,61,4,0
2022-04-01T16:00:10.442-07:00,61,4,0
2022-04-01T16:15:10.385-07:00,61,4,0
2022-04-01T16:30:10.394-07:00,61,4,0
2022-04-01T16:45:10.078-07:00,61,4,0
2022-04-01T17:00:13.055-07:00,61,4,0
2022-04-01T17:15:10.210-07:00,61,4,0
2022-04-01T17:30:13.032-07:00,61,4,0
2022-04-01T17:45:11.883-07:00,61,4,0
2022-04-01T18:00:13.093-07:00,61,4,0
2022-04-01T18:15:10.085-07:00,61,4,0
2022-04-01T18:30:13.036-07:00,61,4,0
2022-04-01T18:45:10.083-07:00,61,4,0
2022-04-01T19:00:12.712-07:00,61,4,0
2022-04-01T19:15:09.840-07:00,61,4,0
