t,v,s,r
2022-03-31T23:45:08.540-07:00,55,4,0
2022-04-01T00:00:11.614-07:00,55,4,0
2022-04-01T00:15:08.717-07:00,55,4,0
2022-04-01T00:30:08.328-07:00,55,4,0
2022-04-01T00:45:08.543-07:00,55,4,0
2022-04-01T01:00:09.554-07:00,55,4,0
2022-04-01T01:15:09.001-07:00,55,4,0
2022-04-01T01:30:08.585-07:00,55,4,0
2022-04-01T01:45:08.443-07:00,55,4,0
2022-04-01T02:00:25.576-07:00,55,4,0
2022-04-01T02:15:08.870-07:00,55,4,0
2022-04-01T02:30:08.624-07:00,55,4,0
2022-04-01T02:45:08.443-07:00,55,4,0
2022-04-01T03:00:08.627-07:00,55,4,0
2022-04-01T03:15:08.647-07:00,55,4,0
2022-04-01T03:30:08.364-07:00,55,4,0
2022-04-01T03:45:08.423-07:00,55,4,0
2022-04-01T04:00:08.671-07:00,55,4,0
2022-04-01T04:15:09.268-07:00,55,4,0
2022-04-01T04:30:08.578-07:00,55,4,0
2022-04-01T04:45:08.460-07:00,55,4,0
2022-04-01T05:00:11.241-07:00,55,4,0
2022-04-01T05:15:11.472-07:00,55,4,0
2022-04-01T05:30:08.490-07:00,55,4,0
2022-04-01T05:45:11.464-07:00,55,4,0
2022-04-01T06:00:27.657-07:00,55,4,0
2022-04-01T06:15:08.475-07:00,55,4,0
2022-04-01T06:30:10.837-07:00,55,4,0
2022-04-01T06:45:10.413-07:00,55,4,0
2022-04-01T07:00:08.474-07:00,55,4,0
2022-04-01T07:15:11.453-07:00,55,4,0
2022-04-01T07:30:08.774-07:00,55,4,0
2022-04-01T07:45:08.467-07:00,55,4,0
2022-04-01T08:00:08.635-07:00,55,4,0
2022-04-01T08:15:08.711-07:00,55,4,0
2022-04-01T08:30:08.937-07:00,55,4,0
2022-04-01T08:45:08.780-07:00,55,4,0
2022-04-01T09:00:08.283-07:00,55,4,0
2022-04-01T09:15:08.434-07:00,55,4,0
2022-04-01T09:30:08.405-07:00,55,4,0
2022-04-01T09:45:08.531-07:00,55,4,0
2022-04-01T10:00:27.086-07:00,55,4,0
2022-04-01T10:15:08.555-07:00,55,4,0
2022-04-01T10:30:11.351-07:00,55,4,0
2022-04-01T10:45:08.328-07:00,55,4,0
2022-04-01T11:00:08.466-07:00,55,4,0
2022-04-01T11:15:08.549-07:00,55,4,0
2022-04-01T11:30:08.267-07:00,55,4,0
2022-04-01T11:45:08.737-07:00,55,4,0
2022-04-01T12:00:08.696-07:00,55,4,0
2022-04-01T12:15:10.469-07:00,55,4,0
2022-04-01T12:30:08.739-07:00,55,4,0
2022-04-01T12:45:08.822-07:00,55,4,0
2022-04-01T13:00:08.744-07:00,55,4,0
2022-04-01T13:15:08.479-07:00,55,4,0
2022-04-01T13:30:08.572-07:00,55,4,0
2022-04-01T13:45:08.464-07:00,55,4,0
2022-04-01T14:00:28.173-07:00,55,4,0
2022-04-01T14:15:08.632-07:00,55,4,0
2022-04-01T14:30:08.624-07:00,55,4,0
2022-04-01T14:45:08.525-07:00,55,4,0
2022-04-01T15:00:08.228-07:00,55,4,0
2022-04-01T15:15:08.372-07:00,55,4,0
2022-04-01T15:30:08.928-07:00,55,4,0
2022-04-01T15:45:11.504-07:00,55,4,0
2022-04-01T16:00:08.922-07:00,55,4,0
2022-04-01T16:15:08.822-07:00,55,4,0
2022-04-01T16:30:09.012-07:00,55,4,0
2022-04-01T16:45:08.517-07:00,55,4,0
2022-04-01T17:00:11.463-07:00,55,4,0
2022-04-01T17:15:08.523-07:00,55,4,0
2022-04-01T17:30:11.524-07:00,55,4,0
2022-04-01T17:45:10.459-07:00,55,4,0
2022-04-01T18:00:11.506-07:00,55,4,0
2022-04-01T18:15:08.444-07:00,55,4,0
2022-04-01T18:30:11.264-07:00,55,4,0
2022-04-01T18:45:08.545-07:00,55,4,0
2022-04-01T19:00:11.153-07:00,55,4,0
