t,v,s,r
2022-03-31T23:45:09.166-07:00,2482,4,0
2022-04-01T00:00:12.347-07:00,2482,4,0
2022-04-01T00:15:09.417-07:00,2482,4,0
2022-04-01T00:30:09.112-07:00,2482,4,0
2022-04-01T00:45:09.224-07:00,2482,4,0
2022-04-01T01:00:10.194-07:00,2482,4,0
2022-04-01T01:15:09.623-07:00,2482,4,0
2022-04-01T01:30:09.212-07:00,2482,4,0
2022-04-01T01:45:09.088-07:00,2482,4,0
2022-04-01T02:00:26.281-07:00,2482,4,0
2022-04-01T02:15:09.552-07:00,2482,4,0
2022-04-01T02:30:09.272-07:00,2482,4,0
2022-04-01T02:45:09.300-07:00,2482,4,0
2022-04-01T03:00:09.269-07:00,2482,4,0
2022-04-01T03:15:09.260-07:00,2482,4,0
2022-04-01T03:30:08.942-07:00,2482,4,0
2022-04-01T03:45:09.048-07:00,2482,4,0
2022-04-01T04:00:09.368-07:00,2482,4,0
2022-04-01T04:15:09.875-07:00,2482,4,0
2022-04-01T04:30:09.252-07:00,2482,4,0
2022-04-01T04:45:09.116-07:00,2482,4,0
2022-04-01T05:00:11.882-07:00,2482,4,0
2022-04-01T05:15:12.117-07:00,2482,4,0
2022-04-01T05:30:09.315-07:00,2482,4,0
2022-04-01T05:45:12.086-07:00,2482,4,0
2022-04-01T06:00:28.319-07:00,2482,4,0
2022-04-01T06:15:09.209-07:00,2482,4,0
2022-04-01T06:30:11.452-07:00,2482,4,0
2022-04-01T06:45:11.053-07:00,2482,4,0
2022-04-01T07:00:09.008-07:00,2482,4,0
2022-04-01T07:15:12.057-07:00,2482,4,0
2022-04-01T07:30:09.403-07:00,2482,4,0
2022-04-01T07:45:09.065-07:00,2482,4,0
2022-04-01T08:00:09.286-07:00,2482,4,0
2022-04-01T08:15:09.412-07:00,2482,4,0
2022-04-01T08:30:09.530-07:00,2482,4,0
2022-04-01T08:45:09.435-07:00,2482,4,0
2022-04-01T09:00:08.913-07:00,2482,4,0
2022-04-01T09:15:09.082-07:00,2482,4,0
2022-04-01T09:30:08.974-07:00,2482,4,0
2022-04-01T09:45:09.105-07:00,2482,4,0
2022-04-01T10:00:33.249-07:00,2482,4,0
2022-04-01T10:15:09.171-07:00,2482,4,0
2022-04-01T10:30:11.996-07:00,2482,4,0
2022-04-01T10:45:08.969-07:00,2482,4,0
2022-04-01T11:00:09.092-07:00,2482,4,0
2022-04-01T11:15:09.203-07:00,2482,4,0
2022-04-01T11:30:08.994-07:00,2482,4,0
2022-04-01T11:45:09.634-07:00,2482,4,0
2022-04-01T12:00:09.322-07:00,2482,4,0
2022-04-01T12:15:11.065-07:00,2482,4,0
2022-04-01T12:30:09.352-07:00,2482,4,0
2022-04-01T12:45:09.436-07:00,2482,4,0
2022-04-01T13:00:09.461-07:00,2482,4,0
2022-04-01T13:15:09.097-07:00,2482,4,0
2022-04-01T13:30:09.251-07:00,2482,4,0
2022-04-01T13:45:09.188-07:00,2482,4,0
2022-04-01T14:00:28.775-07:00,2482,4,0
2022-04-01T14:15:09.220-07:00,2482,4,0
2022-04-01T14:30:09.337-07:00,2482,4,0
2022-04-01T14:45:09.223-07:00,2482,4,0
2022-04-01T15:00:08.909-07:00,2482,4,0
2022-04-01T15:15:09.074-07:00,2482,4,0
2022-04-01T15:30:09.552-07:00,2482,4,0
2022-04-01T15:45:12.153-07:00,2482,4,0
2022-04-01T16:00:09.599-07:00,2482,4,0
2022-04-01T16:15:09.556-07:00,2482,4,0
2022-04-01T16:30:09.609-07:00,2482,4,0
2022-04-01T16:45:09.180-07:00,2482,4,0
2022-04-01T17:00:12.134-07:00,2482,4,0
2022-04-01T17:15:09.350-07:00,2482,4,0
2022-04-01T17:30:12.142-07:00,2482,4,0
2022-04-01T17:45:11.074-07:00,2482,4,0
2022-04-01T18:00:12.119-07:00,2482,4,0
2022-04-01T18:15:09.060-07:00,2482,4,0
2022-04-01T18:30:11.864-07:00,2482,4,0
2022-04-01T18:45:09.179-07:00,2482,4,0
