t,v,s,r
2022-03-31T23:45:09.391-07:00,2468,4,0
2022-04-01T00:00:12.583-07:00,2468,4,0
2022-04-01T00:15:09.666-07:00,2468,4,0
2022-04-01T00:30:09.364-07:00,2468,4,0
2022-04-01T00:45:09.412-07:00,2468,4,0
2022-04-01T01:00:10.433-07:00,2468,4,0
2022-04-01T01:15:09.857-07:00,2468,4,0
2022-04-01T01:30:09.433-07:00,2468,4,0
2022-04-01T01:45:09.336-07:00,2468,4,0
2022-04-01T02:00:26.511-07:00,2468,4,0
2022-04-01T02:15:09.761-07:00,2468,4,0
2022-04-01T02:30:09.444-07:00,2468,4,0
2022-04-01T02:45:09.493-07:00,2468,4,0
2022-04-01T03:00:09.472-07:00,2468,4,0
2022-04-01T03:15:09.462-07:00,2468,4,0
2022-04-01T03:30:09.135-07:00,2468,4,0
2022-04-01T03:45:09.267-07:00,2468,4,0
2022-04-01T04:00:09.549-07:00,2468,4,0
2022-04-01T04:15:10.105-07:00,2468,4,0
2022-04-01T04:30:09.437-07:00,2468,4,0
2022-04-01T04:45:09.363-07:00,2468,4,0
2022-04-01T05:00:12.090-07:00,2468,4,0
2022-04-01T05:15:12.302-07:00,2468,4,0
2022-04-01T05:30:09.525-07:00,2468,4,0
2022-04-01T05:45:12.288-07:00,2468,4,0
2022-04-01T06:00:28.503-07:00,2468,4,0
2022-04-01T06:15:09.426-07:00,2468,4,0
2022-04-01T06:30:11.644-07:00,2468,4,0
2022-04-01T06:45:11.285-07:00,2468,4,0
2022-04-01T07:00:09.234-07:00,2468,4,0
2022-04-01T07:15:12.229-07:00,2468,4,0
2022-04-01T07:30:09.606-07:00,2468,4,0
2022-04-01T07:45:09.271-07:00,2468,4,0
2022-04-01T08:00:09.513-07:00,2468,4,0
2022-04-01T08:15:09.600-07:00,2468,4,0
2022-04-01T08:30:09.714-07:00,2468,4,0
2022-04-01T08:45:09.632-07:00,2468,4,0
2022-04-01T09:00:09.100-07:00,2468,4,0
2022-04-01T09:15:09.311-07:00,2468,4,0
2022-04-01T09:30:09.220-07:00,2468,4,0
2022-04-01T09:45:09.347-07:00,2468,4,0
2022-04-01T10:00:33.563-07:00,2468,4,0
2022-04-01T10:15:09.409-07:00,2468,4,0
2022-04-01T10:30:12.205-07:00,2468,4,0
2022-04-01T10:45:09.176-07:00,2468,4,0
2022-04-01T11:00:09.302-07:00,2468,4,0
2022-04-01T11:15:09.429-07:00,2468,4,0
2022-04-01T11:30:09.228-07:00,2468,4,0
2022-04-01T11:45:09.823-07:00,2468,4,0
2022-04-01T12:00:09.510-07:00,2468,4,0
2022-04-01T12:15:11.280-07:00,2468,4,0
2022-04-01T12:30:09.547-07:00,2468,4,0
2022-04-01T12:45:09.636-07:00,2468,4,0
2022-04-01T13:00:09.648-07:00,2468,4,0
2022-04-01T13:15:09.350-07:00,2468,4,0
2022-04-01T13:30:09.475-07:00,2468,4,0
2022-04-01T13:45:09.447-07:00,2468,4,0
2022-04-01T14:00:28.983-07:00,2468,4,0
2022-04-01T14:15:09.412-07:00,2468,4,0
2022-04-01T14:30:09.714-07:00,2468,4,0
2022-04-01T14:45:09.424-07:00,2468,4,0
2022-04-01T15:00:09.115-07:00,2468,4,0
2022-04-01T15:15:09.281-07:00,2468,4,0
2022-04-01T15:30:09.737-07:00,2468,4,0
2022-04-01T15:45:12.366-07:00,2468,4,0
2022-04-01T16:00:09.829-07:00,2468,4,0
2022-04-01T16:15:09.744-07:00,2468,4,0
2022-04-01T16:30:09.799-07:00,2468,4,0
2022-04-01T16:45:09.463-07:00,2468,4,0
2022-04-01T17:00:12.383-07:00,2468,4,0
2022-04-01T17:15:09.593-07:00,2468,4,0
2022-04-01T17:30:12.326-07:00,2468,4,0
2022-04-01T17:45:11.278-07:00,2468,4,0
2022-04-01T18:00:12.306-07:00,2468,4,0
2022-04-01T18:15:09.324-07:00,2468,4,0
2022-04-01T18:30:12.069-07:00,2468,4,0
2022-04-01T18:45:09.436-07:00,2468,4,0
2022-04-01T19:00:12.004-07:00,2468,4,0
2022-04-01T19:15:09.110-07:00,2468,4,0
2022-04-01T19:30:12.269-07:00,2468,4,0
2022-04-01T19:45:09.495-07:00,2468,4,0
2022-04-01T20:00:12.191-07:00,2468,4,0
2022-04-01T20:15:09.414-07:00,2468,4,0
2022-04-01T20:30:12.188-07:00,2468,4,0
2022-04-01T20:45:09.629-07:00,2468,4,0
2022-04-01T21:00:14.841-07:00,2468,4,0
2022-04-01T21:15:09.308-07:00,2468,4,0
2022-04-01T21:30:12.217-07:00,2468,4,0
2022-04-01T21:45:09.596-07:00,2468,4,0
2022-04-01T22:00:12.210-07:00,2468,4,0
2022-04-01T22:15:09.312-07:00,2468,4,0
2022-04-01T22:30:12.439-07:00,2468,4,0
2022-04-01T22:45:09.472-07:00,2468,4,0
