t,v,s,r
2022-03-31T23:45:09.652-07:00,0.7429999709129333,0,0
2022-04-01T00:00:12.818-07:00,0.7429999709129333,0,0
2022-04-01T00:15:09.967-07:00,0.7429999709129333,0,0
2022-04-01T00:30:09.623-07:00,0.7429999709129333,0,0
2022-04-01T00:45:09.652-07:00,0.7429999709129333,0,0
2022-04-01T01:00:10.665-07:00,0.7429999709129333,0,0
2022-04-01T01:15:10.096-07:00,0.7429999709129333,0,0
2022-04-01T01:30:09.709-07:00,0.7429999709129333,0,0
2022-04-01T01:45:09.615-07:00,0.7429999709129333,0,0
2022-04-01T02:00:26.838-07:00,0.7429999709129333,0,0
2022-04-01T02:15:10.040-07:00,0.7429999709129333,0,0
2022-04-01T02:30:09.739-07:00,0.7429999709129333,0,0
2022-04-01T02:45:09.805-07:00,0.7429999709129333,0,0
2022-04-01T03:00:09.768-07:00,0.7429999709129333,0,0
2022-04-01T03:15:09.763-07:00,0.7429999709129333,0,0
2022-04-01T03:30:09.389-07:00,0.7429999709129333,0,0
2022-04-01T03:45:09.534-07:00,0.7429999709129333,0,0
2022-04-01T04:00:09.841-07:00,0.7429999709129333,0,0
2022-04-01T04:15:10.450-07:00,0.7429999709129333,0,0
2022-04-01T04:30:09.704-07:00,0.7429999709129333,0,0
2022-04-01T04:45:09.624-07:00,0.7429999709129333,0,0
2022-04-01T05:00:12.348-07:00,0.7429999709129333,0,0
2022-04-01T05:15:12.551-07:00,0.7429999709129333,0,0
2022-04-01T05:30:09.746-07:00,0.7429999709129333,0,0
2022-04-01T05:45:12.534-07:00,0.7429999709129333,0,0
2022-04-01T06:00:28.736-07:00,0.7429999709129333,0,0
2022-04-01T06:15:09.702-07:00,0.7429999709129333,0,0
2022-04-01T06:30:11.881-07:00,0.7429999709129333,0,0
2022-04-01T06:45:11.560-07:00,0.7429999709129333,0,0
2022-04-01T07:00:09.490-07:00,0.7429999709129333,0,0
2022-04-01T07:15:12.469-07:00,0.7429999709129333,0,0
2022-04-01T07:30:09.866-07:00,0.7429999709129333,0,0
2022-04-01T07:45:09.512-07:00,0.7429999709129333,0,0
2022-04-01T08:00:09.845-07:00,0.7429999709129333,0,0
2022-04-01T08:15:09.843-07:00,0.7429999709129333,0,0
2022-04-01T08:30:10.019-07:00,0.7429999709129333,0,0
2022-04-01T08:45:09.884-07:00,0.7429999709129333,0,0
2022-04-01T09:00:09.393-07:00,0.7429999709129333,0,0
2022-04-01T09:15:09.561-07:00,0.7429999709129333,0,0
