t,v,s,r
2022-03-31T23:45:09.743-07:00,91,4,0
2022-04-01T00:00:12.874-07:00,91,4,0
2022-04-01T00:15:10.017-07:00,91,4,0
2022-04-01T00:30:09.686-07:00,91,4,0
2022-04-01T00:45:09.718-07:00,91,4,0
2022-04-01T01:00:10.720-07:00,91,4,0
2022-04-01T01:15:10.150-07:00,91,4,0
2022-04-01T01:30:09.764-07:00,91,4,0
2022-04-01T01:45:09.675-07:00,91,4,0
2022-04-01T02:00:26.891-07:00,91,4,0
2022-04-01T02:15:10.105-07:00,91,4,0
2022-04-01T02:30:09.817-07:00,91,4,0
2022-04-01T02:45:09.897-07:00,91,4,0
2022-04-01T03:00:09.841-07:00,91,4,0
2022-04-01T03:15:09.841-07:00,91,4,0
2022-04-01T03:30:09.434-07:00,91,4,0
2022-04-01T03:45:09.575-07:00,91,4,0
2022-04-01T04:00:09.928-07:00,91,4,0
2022-04-01T04:15:10.508-07:00,91,4,0
2022-04-01T04:30:09.758-07:00,91,4,0
2022-04-01T04:45:09.678-07:00,91,4,0
2022-04-01T05:00:12.392-07:00,91,4,0
2022-04-01T05:15:12.607-07:00,91,4,0
2022-04-01T05:30:09.851-07:00,91,4,0
2022-04-01T05:45:12.595-07:00,91,4,0
2022-04-01T06:00:28.777-07:00,91,4,0
2022-04-01T06:15:09.772-07:00,91,4,0
2022-04-01T06:30:11.935-07:00,91,4,0
2022-04-01T06:45:11.606-07:00,91,4,0
2022-04-01T07:00:09.551-07:00,91,4,0
2022-04-01T07:15:12.532-07:00,91,4,0
2022-04-01T07:30:09.923-07:00,91,4,0
2022-04-01T07:45:09.555-07:00,91,4,0
2022-04-01T08:00:09.899-07:00,91,4,0
2022-04-01T08:15:09.908-07:00,91,4,0
2022-04-01T08:30:10.075-07:00,91,4,0
2022-04-01T08:45:09.951-07:00,91,4,0
2022-04-01T09:00:09.443-07:00,91,4,0
2022-04-01T09:15:09.609-07:00,91,4,0
2022-04-01T09:30:09.534-07:00,91,4,0
2022-04-01T09:45:09.663-07:00,91,4,0
2022-04-01T10:00:33.849-07:00,91,4,0
2022-04-01T10:15:09.723-07:00,91,4,0
2022-04-01T10:30:12.541-07:00,91,4,0
2022-04-01T10:45:09.487-07:00,91,4,0
2022-04-01T11:00:09.608-07:00,91,4,0
2022-04-01T11:15:09.722-07:00,91,4,0
2022-04-01T11:30:09.554-07:00,91,4,0
2022-04-01T11:45:10.149-07:00,91,4,0
2022-04-01T12:00:09.808-07:00,91,4,0
2022-04-01T12:15:11.659-07:00,91,4,0
2022-04-01T12:30:09.866-07:00,91,4,0
