t,v,s,r
2022-03-31T23:45:14.085-07:00,2448,0,0
2022-04-01T00:00:13.830-07:00,2450,0,0
2022-04-01T00:15:13.973-07:00,2452,0,0
2022-04-01T00:30:15.164-07:00,2456,0,0
2022-04-01T00:45:13.967-07:00,2442,0,0
2022-04-01T01:00:14.427-07:00,2437,0,0
2022-04-01T01:15:14.088-07:00,2444,0,0
2022-04-01T01:30:14.062-07:00,2442,0,0
2022-04-01T01:45:14.164-07:00,2447,0,0
2022-04-01T02:00:13.774-07:00,2444,0,0
2022-04-01T02:15:14.079-07:00,2445,0,0
2022-04-01T02:30:13.650-07:00,2446,0,0
2022-04-01T02:45:13.954-07:00,2447,0,0
2022-04-01T03:00:14.153-07:00,2446,0,0
2022-04-01T03:15:13.975-07:00,2446,0,0
2022-04-01T03:30:13.857-07:00,2444,0,0
2022-04-01T03:45:14.004-07:00,2444,0,0
2022-04-01T04:00:15.074-07:00,2438,0,0
2022-04-01T04:15:14.181-07:00,2457,0,0
2022-04-01T04:30:13.936-07:00,2457,0,0
2022-04-01T04:45:14.049-07:00,2453,0,0
2022-04-01T05:00:13.867-07:00,2452,0,0
2022-04-01T05:15:13.955-07:00,2462,0,0
2022-04-01T05:30:14.027-07:00,2449,0,0
2022-04-01T05:45:14.018-07:00,2448,0,0
2022-04-01T06:00:13.900-07:00,2436,0,0
2022-04-01T06:15:14.207-07:00,2456,0,0
2022-04-01T06:30:14.102-07:00,2444,0,0
2022-04-01T06:45:13.864-07:00,2445,0,0
2022-04-01T07:00:13.799-07:00,2447,0,0
2022-04-01T07:15:13.994-07:00,2440,0,0
2022-04-01T07:30:13.866-07:00,2452,0,0
2022-04-01T07:45:14.256-07:00,2439,0,0
2022-04-01T08:00:14.859-07:00,2450,0,0
2022-04-01T08:15:14.039-07:00,2449,0,0
2022-04-01T08:30:13.978-07:00,2456,0,0
2022-04-01T08:45:13.991-07:00,2446,0,0
2022-04-01T09:00:13.985-07:00,2444,0,0
2022-04-01T09:15:14.018-07:00,2443,0,0
2022-04-01T09:30:13.874-07:00,2456,0,0
2022-04-01T09:45:13.631-07:00,2458,0,0
2022-04-01T10:00:13.973-07:00,2453,0,0
2022-04-01T10:15:37.415-07:00,2449,0,0
2022-04-01T10:30:14.153-07:00,2442,0,0
2022-04-01T10:45:14.101-07:00,2440,0,0
2022-04-01T11:00:14.061-07:00,2444,0,0
2022-04-01T11:15:13.898-07:00,2444,0,0
2022-04-01T11:30:13.821-07:00,2457,0,0
2022-04-01T11:45:13.969-07:00,2453,0,0
2022-04-01T12:00:15.012-07:00,2447,0,0
2022-04-01T12:15:13.867-07:00,2451,0,0
2022-04-01T12:30:14.154-07:00,2451,0,0
2022-04-01T12:45:14.297-07:00,2451,0,0
2022-04-01T13:00:13.952-07:00,2450,0,0
2022-04-01T13:15:14.066-07:00,2449,0,0
2022-04-01T13:30:13.874-07:00,2450,0,0
2022-04-01T13:45:13.917-07:00,2445,0,0
2022-04-01T14:00:14.094-07:00,2445,0,0
