t,v,s,r
2022-03-31T23:45:14.133-07:00,2451,0,0
2022-04-01T00:00:13.865-07:00,2455,0,0
2022-04-01T00:15:14.013-07:00,2456,0,0
2022-04-01T00:30:15.200-07:00,2458,0,0
2022-04-01T00:45:14.028-07:00,2446,0,0
2022-04-01T01:00:14.476-07:00,2442,0,0
2022-04-01T01:15:14.133-07:00,2447,0,0
2022-04-01T01:30:14.098-07:00,2447,0,0
2022-04-01T01:45:14.209-07:00,2451,0,0
2022-04-01T02:00:13.811-07:00,2448,0,0
2022-04-01T02:15:14.118-07:00,2449,0,0
2022-04-01T02:30:13.685-07:00,2450,0,0
2022-04-01T02:45:14.014-07:00,2451,0,0
2022-04-01T03:00:14.189-07:00,2450,0,0
2022-04-01T03:15:14.008-07:00,2451,0,0
2022-04-01T03:30:13.892-07:00,2448,0,0
2022-04-01T03:45:14.040-07:00,2448,0,0
2022-04-01T04:00:15.123-07:00,2443,0,0
2022-04-01T04:15:14.217-07:00,2461,0,0
2022-04-01T04:30:13.986-07:00,2461,0,0
2022-04-01T04:45:14.096-07:00,2458,0,0
2022-04-01T05:00:13.919-07:00,2455,0,0
2022-04-01T05:15:13.992-07:00,2467,0,0
2022-04-01T05:30:14.089-07:00,2454,0,0
2022-04-01T05:45:14.060-07:00,2453,0,0
2022-04-01T06:00:13.939-07:00,2442,0,0
2022-04-01T06:15:14.251-07:00,2461,0,0
2022-04-01T06:30:14.156-07:00,2451,0,0
2022-04-01T06:45:13.903-07:00,2452,0,0
2022-04-01T07:00:13.843-07:00,2454,0,0
2022-04-01T07:15:14.036-07:00,2445,0,0
2022-04-01T07:30:13.900-07:00,2458,0,0
2022-04-01T07:45:14.297-07:00,2444,0,0
2022-04-01T08:00:14.894-07:00,2454,0,0
2022-04-01T08:15:14.091-07:00,2454,0,0
2022-04-01T08:30:14.024-07:00,2461,0,0
2022-04-01T08:45:14.035-07:00,2451,0,0
2022-04-01T09:00:14.021-07:00,2448,0,0
2022-04-01T09:15:14.054-07:00,2447,0,0
2022-04-01T09:30:13.919-07:00,2460,0,0
2022-04-01T09:45:13.673-07:00,2463,0,0
2022-04-01T10:00:14.008-07:00,2458,0,0
2022-04-01T10:15:37.423-07:00,2453,0,0
2022-04-01T10:30:14.189-07:00,2447,0,0
2022-04-01T10:45:14.144-07:00,2445,0,0
2022-04-01T11:00:14.103-07:00,2447,0,0
2022-04-01T11:15:13.931-07:00,2448,0,0
2022-04-01T11:30:13.861-07:00,2460,0,0
2022-04-01T11:45:14.008-07:00,2457,0,0
2022-04-01T12:00:15.051-07:00,2450,0,0
2022-04-01T12:15:13.909-07:00,2455,0,0
2022-04-01T12:30:14.191-07:00,2454,0,0
2022-04-01T12:45:14.335-07:00,2456,0,0
2022-04-01T13:00:13.997-07:00,2454,0,0
2022-04-01T13:15:14.122-07:00,2453,0,0
2022-04-01T13:30:13.909-07:00,2453,0,0
2022-04-01T13:45:13.969-07:00,2448,0,0
2022-04-01T14:00:14.133-07:00,2449,0,0
2022-04-01T14:15:14.094-07:00,2444,0,0
2022-04-01T14:30:14.135-07:00,2447,0,0
2022-04-01T14:45:14.484-07:00,2443,0,0
2022-04-01T15:00:14.212-07:00,2446,0,0
2022-04-01T15:15:14.202-07:00,2448,0,0
2022-04-01T15:30:14.078-07:00,2443,0,0
2022-04-01T15:45:13.876-07:00,2442,0,0
2022-04-01T16:00:13.829-07:00,2443,0,0
2022-04-01T16:15:14.255-07:00,2445,0,0
2022-04-01T16:30:13.889-07:00,2448,0,0
2022-04-01T16:45:13.968-07:00,2449,0,0
2022-04-01T17:00:13.852-07:00,2449,0,0
2022-04-01T17:15:14.227-07:00,2451,0,0
2022-04-01T17:30:13.981-07:00,2448,0,0
2022-04-01T17:45:13.989-07:00,2446,0,0
2022-04-01T18:00:13.983-07:00,2453,0,0
2022-04-01T18:15:13.973-07:00,2441,0,0
2022-04-01T18:30:13.920-07:00,2437,0,0
2022-04-01T18:45:13.710-07:00,2448,0,0
2022-04-01T19:00:14.218-07:00,2449,0,0
2022-04-01T19:15:13.871-07:00,2443,0,0
2022-04-01T19:30:14.169-07:00,2440,0,0
2022-04-01T19:45:14.126-07:00,2439,0,0
2022-04-01T20:00:14.202-07:00,2441,0,0
2022-04-01T20:15:13.939-07:00,2446,0,0
2022-04-01T20:30:13.755-07:00,2447,0,0
2022-04-01T20:45:13.986-07:00,2450,0,0
2022-04-01T21:00:14.023-07:00,2456,0,0
2022-04-01T21:15:14.032-07:00,2455,0,0
2022-04-01T21:30:14.060-07:00,2451,0,0
2022-04-01T21:45:15.151-07:00,2454,0,0
2022-04-01T22:00:14.044-07:00,2456,0,0
2022-04-01T22:15:14.045-07:00,2453,0,0
2022-04-01T22:30:15.118-07:00,2452,0,0
2022-04-01T22:45:14.082-07:00,2451,0,0
2022-04-01T23:00:14.166-07:00,2450,0,0
2022-04-01T23:15:13.683-07:00,2449,0,0
2022-04-01T23:30:13.934-07:00,2452,0,0
2022-04-01T23:45:13.979-07:00,2454,0,0
2022-04-02T00:00:13.884-07:00,2454,0,0
2022-04-02T00:15:14.011-07:00,2454,0,0
2022-04-02T00:30:14.145-07:00,2452,0,0
2022-04-02T00:45:14.428-07:00,2453,0,0
2022-04-02T01:00:14.842-07:00,2456,0,0
2022-04-02T01:15:13.836-07:00,2457,0,0
2022-04-02T01:30:14.048-07:00,2457,0,0
2022-04-02T01:45:14.045-07:00,2449,0,0
2022-04-02T02:00:14.054-07:00,2452,0,0
2022-04-02T02:15:13.823-07:00,2454,0,0
2022-04-02T02:30:13.718-07:00,2456,0,0
2022-04-02T02:45:13.872-07:00,2455,0,0
2022-04-02T03:00:13.898-07:00,2451,0,0
2022-04-02T03:15:13.992-07:00,2452,0,0
2022-04-02T03:30:14.073-07:00,2452,0,0
2022-04-02T03:45:13.959-07:00,2453,0,0
2022-04-02T04:00:14.018-07:00,2453,0,0
2022-04-02T04:15:15.251-07:00,2452,0,0
2022-04-02T04:30:14.154-07:00,2456,0,0
2022-04-02T04:45:14.139-07:00,2455,0,0
2022-04-02T05:00:13.937-07:00,2450,0,0
2022-04-02T05:15:13.827-07:00,2445,0,0
2022-04-02T05:30:13.824-07:00,2444,0,0
2022-04-02T05:45:14.077-07:00,2446,0,0
2022-04-02T06:00:14.149-07:00,2445,0,0
2022-04-02T06:15:14.055-07:00,2442,0,0
2022-04-02T06:30:14.179-07:00,2443,0,0
2022-04-02T06:45:14.246-07:00,2445,0,0
2022-04-02T07:00:14.159-07:00,2442,0,0
2022-04-02T07:15:14.606-07:00,2455,0,0
2022-04-02T07:30:14.550-07:00,2458,0,0
2022-04-02T07:45:14.241-07:00,2455,0,0
2022-04-02T08:00:13.990-07:00,2449,0,0
2022-04-02T08:15:14.012-07:00,2455,0,0
2022-04-02T08:30:15.247-07:00,2445,0,0
2022-04-02T08:45:14.068-07:00,2450,0,0
2022-04-02T09:00:14.080-07:00,2457,0,0
2022-04-02T09:15:14.006-07:00,2460,0,0
2022-04-02T09:30:14.076-07:00,2463,0,0
2022-04-02T09:45:13.842-07:00,2457,0,0
2022-04-02T10:00:13.914-07:00,2449,0,0
2022-04-02T10:15:37.747-07:00,2454,0,0
2022-04-02T10:30:14.089-07:00,2464,0,0
2022-04-02T10:45:13.921-07:00,2462,0,0
2022-04-02T11:00:14.110-07:00,2461,0,0
2022-04-02T11:15:14.033-07:00,2456,0,0
2022-04-02T11:30:14.140-07:00,2459,0,0
2022-04-02T11:45:14.191-07:00,2463,0,0
2022-04-02T12:00:14.240-07:00,2460,0,0
2022-04-02T12:15:14.642-07:00,2448,0,0
2022-04-02T12:30:17.496-07:00,2453,0,0
2022-04-02T12:45:14.403-07:00,2457,0,0
2022-04-02T13:00:14.003-07:00,2465,0,0
2022-04-02T13:15:14.089-07:00,2456,0,0
2022-04-02T13:30:13.757-07:00,2452,0,0
2022-04-02T13:45:13.600-07:00,2453,0,0
2022-04-02T14:00:13.839-07:00,2454,0,0
2022-04-02T14:15:13.717-07:00,2457,0,0
2022-04-02T14:30:13.625-07:00,2455,0,0
2022-04-02T14:45:13.652-07:00,2460,0,0
2022-04-02T15:00:13.699-07:00,2460,0,0
2022-04-02T15:15:13.881-07:00,2459,0,0
2022-04-02T15:30:13.899-07:00,2458,0,0
2022-04-02T15:45:13.915-07:00,2457,0,0
2022-04-02T16:00:13.902-07:00,2452,0,0
2022-04-02T16:15:14.755-07:00,2453,0,0
2022-04-02T16:30:13.786-07:00,2455,0,0
2022-04-02T16:45:13.939-07:00,2458,0,0
2022-04-02T17:00:13.904-07:00,2459,0,0
2022-04-02T17:15:13.700-07:00,2454,0,0
2022-04-02T17:30:13.796-07:00,2457,0,0
2022-04-02T17:45:14.016-07:00,2457,0,0
2022-04-02T18:00:13.791-07:00,2452,0,0
2022-04-02T18:15:13.863-07:00,2444,0,0
2022-04-02T18:30:13.979-07:00,2450,0,0
2022-04-02T18:45:14.063-07:00,2453,0,0
2022-04-02T19:00:13.453-07:00,2453,0,0
2022-04-02T19:15:13.722-07:00,2449,0,0
2022-04-02T19:30:13.887-07:00,2442,0,0
2022-04-02T19:45:15.078-07:00,2453,0,0
2022-04-02T20:00:13.912-07:00,2458,0,0
2022-04-02T20:15:13.994-07:00,2439,0,0
2022-04-02T20:30:14.129-07:00,2440,0,0
2022-04-02T20:45:13.849-07:00,2439,0,0
2022-04-02T21:00:13.744-07:00,2450,0,0
2022-04-02T21:15:13.947-07:00,2456,0,0
2022-04-02T21:30:14.152-07:00,2455,0,0
2022-04-02T21:45:13.627-07:00,2456,0,0
2022-04-02T22:00:13.843-07:00,2454,0,0
2022-04-02T22:15:13.902-07:00,2448,0,0
2022-04-02T22:30:13.885-07:00,2452,0,0
2022-04-02T22:45:13.881-07:00,2452,0,0
2022-04-02T23:00:13.865-07:00,2459,0,0
2022-04-02T23:15:13.866-07:00,2439,0,0
2022-04-02T23:30:13.893-07:00,2443,0,0
2022-04-02T23:45:14.069-07:00,2445,0,0
2022-04-03T00:00:14.032-07:00,2448,0,0
2022-04-03T00:15:13.699-07:00,2454,0,0
2022-04-03T00:30:13.883-07:00,2445,0,0
2022-04-03T00:45:13.981-07:00,2440,0,0
2022-04-03T01:00:13.997-07:00,2444,0,0
2022-04-03T01:15:14.612-07:00,2446,0,0
2022-04-03T01:30:14.271-07:00,2447,0,0
2022-04-03T01:45:14.048-07:00,2448,0,0
2022-04-03T02:00:13.631-07:00,2454,0,0
2022-04-03T02:15:13.724-07:00,2457,0,0
2022-04-03T02:30:13.733-07:00,2456,0,0
2022-04-03T02:45:13.941-07:00,2457,0,0
2022-04-03T03:00:14.967-07:00,2457,0,0
2022-04-03T03:15:13.742-07:00,2458,0,0
2022-04-03T03:30:13.932-07:00,2459,0,0
2022-04-03T03:45:13.933-07:00,2459,0,0
2022-04-03T04:00:14.117-07:00,2451,0,0
2022-04-03T04:15:13.992-07:00,2451,0,0
2022-04-03T04:30:17.902-07:00,2450,0,0
2022-04-03T04:45:14.809-07:00,2450,0,0
2022-04-03T05:00:16.961-07:00,2451,0,0
2022-04-03T05:15:14.049-07:00,2456,0,0
2022-04-03T05:30:14.148-07:00,2456,0,0
2022-04-03T05:45:13.938-07:00,2454,0,0
2022-04-03T06:00:13.938-07:00,2454,0,0
2022-04-03T06:15:14.884-07:00,2454,0,0
2022-04-03T06:30:13.964-07:00,2454,0,0
2022-04-03T06:45:14.125-07:00,2456,0,0
2022-04-03T07:00:13.754-07:00,2454,0,0
2022-04-03T07:15:13.941-07:00,2460,0,0
2022-04-03T07:30:13.966-07:00,2457,0,0
2022-04-03T07:45:14.116-07:00,2455,0,0
2022-04-03T08:00:14.026-07:00,2452,0,0
2022-04-03T08:15:14.051-07:00,2451,0,0
2022-04-03T08:30:14.117-07:00,2449,0,0
2022-04-03T08:45:14.112-07:00,2466,0,0
2022-04-03T09:00:13.880-07:00,2460,0,0
2022-04-03T09:15:14.327-07:00,2459,0,0
2022-04-03T09:30:13.683-07:00,2457,0,0
2022-04-03T09:45:13.768-07:00,2457,0,0
2022-04-03T10:00:13.803-07:00,2457,0,0
2022-04-03T10:15:13.815-07:00,2457,0,0
2022-04-03T10:30:14.079-07:00,2457,0,0
2022-04-03T10:45:13.818-07:00,2455,0,0
2022-04-03T11:00:15.037-07:00,2456,0,0
2022-04-03T11:15:13.913-07:00,2457,0,0
2022-04-03T11:30:14.179-07:00,2455,0,0
2022-04-03T11:45:14.104-07:00,2459,0,0
2022-04-03T12:00:14.110-07:00,2461,0,0
2022-04-03T12:15:14.221-07:00,2462,0,0
2022-04-03T12:30:14.139-07:00,2461,0,0
2022-04-03T12:45:14.242-07:00,2456,0,0
2022-04-03T13:00:13.946-07:00,2458,0,0
2022-04-03T13:15:14.311-07:00,2458,0,0
2022-04-03T13:30:14.129-07:00,2458,0,0
2022-04-03T13:45:13.790-07:00,2455,0,0
2022-04-03T14:00:14.233-07:00,2456,0,0
2022-04-03T14:15:14.054-07:00,2461,0,0
2022-04-03T14:30:14.145-07:00,2459,0,0
2022-04-03T14:45:13.713-07:00,2456,0,0
2022-04-03T15:00:14.405-07:00,2459,0,0
2022-04-03T15:15:14.211-07:00,2464,0,0
2022-04-03T15:30:14.294-07:00,2457,0,0
2022-04-03T15:45:14.059-07:00,2456,0,0
2022-04-03T16:00:13.766-07:00,2459,0,0
2022-04-03T16:15:14.178-07:00,2452,0,0
2022-04-03T16:30:13.784-07:00,2450,0,0
2022-04-03T16:45:14.045-07:00,2458,0,0
2022-04-03T17:00:14.070-07:00,2466,0,0
2022-04-03T17:15:13.967-07:00,2455,0,0
2022-04-03T17:30:13.808-07:00,2454,0,0
2022-04-03T17:45:13.949-07:00,2458,0,0
2022-04-03T18:00:14.068-07:00,2458,0,0
2022-04-03T18:15:13.881-07:00,2453,0,0
2022-04-03T18:30:15.019-07:00,2453,0,0
2022-04-03T18:45:14.113-07:00,2455,0,0
2022-04-03T19:00:15.231-07:00,2447,0,0
2022-04-03T19:15:13.845-07:00,2440,0,0
2022-04-03T19:30:13.906-07:00,2446,0,0
2022-04-03T19:45:14.233-07:00,2444,0,0
2022-04-03T20:00:14.218-07:00,2456,0,0
2022-04-03T20:15:13.811-07:00,2456,0,0
2022-04-03T20:30:15.199-07:00,2458,0,0
2022-04-03T20:45:14.154-07:00,2458,0,0
2022-04-03T21:00:13.874-07:00,2464,0,0
2022-04-03T21:15:13.977-07:00,2460,0,0
2022-04-03T21:30:14.042-07:00,2462,0,0
2022-04-03T21:45:13.988-07:00,2462,0,0
2022-04-03T22:00:13.770-07:00,2454,0,0
2022-04-03T22:15:13.968-07:00,2458,0,0
2022-04-03T22:30:14.026-07:00,2450,0,0
2022-04-03T22:45:14.007-07:00,2452,0,0
2022-04-03T23:00:14.067-07:00,2449,0,0
2022-04-03T23:15:14.200-07:00,2458,0,0
2022-04-03T23:30:13.955-07:00,2457,0,0
2022-04-03T23:45:13.797-07:00,2459,0,0
2022-04-04T00:00:14.111-07:00,2452,0,0
2022-04-04T00:15:14.043-07:00,2456,0,0
2022-04-04T00:30:13.900-07:00,2448,0,0
2022-04-04T00:45:13.879-07:00,2448,0,0
2022-04-04T01:00:13.883-07:00,2450,0,0
2022-04-04T01:15:14.038-07:00,2448,0,0
2022-04-04T01:30:14.296-07:00,2449,0,0
2022-04-04T01:45:14.007-07:00,2449,0,0
2022-04-04T02:00:13.932-07:00,2449,0,0
2022-04-04T02:15:14.059-07:00,2446,0,0
2022-04-04T02:30:13.847-07:00,2445,0,0
2022-04-04T02:45:14.148-07:00,2449,0,0
2022-04-04T03:00:14.065-07:00,2447,0,0
2022-04-04T03:15:14.215-07:00,2447,0,0
2022-04-04T03:30:15.113-07:00,2448,0,0
2022-04-04T03:45:14.086-07:00,2445,0,0
2022-04-04T04:00:14.181-07:00,2442,0,0
2022-04-04T04:15:14.048-07:00,2452,0,0
2022-04-04T04:30:14.229-07:00,2449,0,0
2022-04-04T04:45:14.048-07:00,2446,0,0
2022-04-04T05:00:13.944-07:00,2445,0,0
2022-04-04T05:15:13.974-07:00,2451,0,0
2022-04-04T05:30:14.088-07:00,2453,0,0
2022-04-04T05:45:13.953-07:00,2456,0,0
2022-04-04T06:00:13.761-07:00,2454,0,0
2022-04-04T06:15:13.993-07:00,2448,0,0
2022-04-04T06:30:14.230-07:00,2460,0,0
2022-04-04T06:45:14.330-07:00,2460,0,0
2022-04-04T07:00:14.020-07:00,2446,0,0
2022-04-04T07:15:14.199-07:00,2460,0,0
2022-04-04T07:30:14.179-07:00,2454,0,0
2022-04-04T07:45:14.363-07:00,2448,0,0
2022-04-04T08:00:14.300-07:00,2460,0,0
2022-04-04T08:15:14.330-07:00,2461,0,0
2022-04-04T08:30:13.930-07:00,2458,0,0
2022-04-04T08:45:13.896-07:00,2451,0,0
2022-04-04T09:00:14.069-07:00,2451,0,0
2022-04-04T09:15:14.136-07:00,2450,0,0
2022-04-04T09:30:14.106-07:00,2447,0,0
2022-04-04T09:45:14.273-07:00,2449,0,0
2022-04-04T10:00:14.196-07:00,2456,0,0
2022-04-04T10:15:14.455-07:00,2451,0,0
2022-04-04T10:30:14.145-07:00,2455,0,0
2022-04-04T10:45:14.979-07:00,2453,0,0
2022-04-04T11:00:14.008-07:00,2455,0,0
2022-04-04T11:15:22.722-07:00,2462,0,0
2022-04-04T11:30:14.148-07:00,2459,0,0
2022-04-04T11:45:14.086-07:00,2462,0,0
2022-04-04T12:00:14.073-07:00,2464,0,0
2022-04-04T12:15:14.111-07:00,2459,0,0
2022-04-04T12:30:13.899-07:00,2459,0,0
2022-04-04T12:45:14.042-07:00,2456,0,0
2022-04-04T13:00:14.618-07:00,2451,0,0
2022-04-04T13:15:14.058-07:00,2450,0,0
2022-04-04T13:30:14.034-07:00,2467,0,0
2022-04-04T13:45:14.160-07:00,2443,0,0
2022-04-04T14:00:14.153-07:00,2449,0,0
2022-04-04T14:15:14.674-07:00,2460,0,0
2022-04-04T14:30:14.091-07:00,2458,0,0
2022-04-04T14:45:13.958-07:00,2459,0,0
2022-04-04T15:00:13.780-07:00,2455,0,0
2022-04-04T15:15:14.262-07:00,2458,0,0
2022-04-04T15:30:14.031-07:00,2452,0,0
2022-04-04T15:45:13.894-07:00,2453,0,0
2022-04-04T16:00:14.080-07:00,2449,0,0
2022-04-04T16:15:14.101-07:00,2446,0,0
2022-04-04T16:30:15.134-07:00,2446,0,0
2022-04-04T16:45:14.098-07:00,2451,0,0
2022-04-04T17:00:14.238-07:00,2460,0,0
2022-04-04T17:15:13.996-07:00,2448,0,0
2022-04-04T17:30:13.967-07:00,2442,0,0
2022-04-04T17:45:13.785-07:00,2439,0,0
2022-04-04T18:00:14.225-07:00,2442,0,0
2022-04-04T18:15:14.091-07:00,2438,0,0
2022-04-04T18:30:13.827-07:00,2434,0,0
2022-04-04T18:45:14.122-07:00,2444,0,0
2022-04-04T19:00:14.322-07:00,2447,0,0
2022-04-04T19:15:14.464-07:00,2444,0,0
2022-04-04T19:30:13.850-07:00,2440,0,0
2022-04-04T19:45:15.084-07:00,2439,0,0
2022-04-04T20:00:14.072-07:00,2442,0,0
2022-04-04T20:15:13.968-07:00,2444,0,0
2022-04-04T20:30:14.221-07:00,2444,0,0
2022-04-04T20:45:14.079-07:00,2448,0,0
2022-04-04T21:00:15.002-07:00,2452,0,0
2022-04-04T21:15:14.110-07:00,2457,0,0
2022-04-04T21:30:13.987-07:00,2455,0,0
2022-04-04T21:45:15.098-07:00,2450,0,0
2022-04-04T22:00:14.146-07:00,2455,0,0
2022-04-04T22:15:13.762-07:00,2461,0,0
2022-04-04T22:30:14.087-07:00,2457,0,0
2022-04-04T22:45:14.132-07:00,2450,0,0
2022-04-04T23:00:14.110-07:00,2452,0,0
2022-04-04T23:15:14.053-07:00,2442,0,0
2022-04-04T23:30:14.153-07:00,2446,0,0
2022-04-04T23:45:14.637-07:00,2448,0,0
2022-04-05T00:00:14.120-07:00,2449,0,0
2022-04-05T00:15:14.231-07:00,2454,0,0
2022-04-05T00:30:14.051-07:00,2447,0,0
2022-04-05T00:45:14.010-07:00,2456,0,0
2022-04-05T01:00:13.926-07:00,2453,0,0
2022-04-05T01:15:14.059-07:00,2461,0,0
2022-04-05T01:30:13.961-07:00,2461,0,0
2022-04-05T01:45:13.925-07:00,2455,0,0
2022-04-05T02:00:14.364-07:00,2449,0,0
2022-04-05T02:15:13.966-07:00,2439,0,0
2022-04-05T02:30:14.022-07:00,2453,0,0
2022-04-05T02:45:13.972-07:00,2458,0,0
2022-04-05T03:00:14.170-07:00,2458,0,0
2022-04-05T03:15:15.104-07:00,2461,0,0
2022-04-05T03:30:13.846-07:00,2460,0,0
2022-04-05T03:45:13.934-07:00,2460,0,0
2022-04-05T04:00:14.235-07:00,2455,0,0
2022-04-05T04:15:17.658-07:00,2461,0,0
2022-04-05T04:30:15.160-07:00,2460,0,0
2022-04-05T04:45:13.827-07:00,2456,0,0
2022-04-05T05:00:14.670-07:00,2447,0,0
2022-04-05T05:15:13.894-07:00,2459,0,0
2022-04-05T05:30:13.862-07:00,2459,0,0
2022-04-05T05:45:14.804-07:00,2451,0,0
2022-04-05T06:00:13.855-07:00,2458,0,0
2022-04-05T06:15:13.988-07:00,2462,0,0
2022-04-05T06:30:14.161-07:00,2465,0,0
2022-04-05T06:45:13.807-07:00,2464,0,0
2022-04-05T07:00:15.091-07:00,2454,0,0
2022-04-05T07:15:13.643-07:00,2454,0,0
2022-04-05T07:30:13.922-07:00,2456,0,0
2022-04-05T07:45:14.116-07:00,2465,0,0
2022-04-05T08:00:13.900-07:00,2456,0,0
2022-04-05T08:15:15.034-07:00,2452,0,0
2022-04-05T08:30:13.856-07:00,2452,0,0
2022-04-05T08:45:13.897-07:00,2447,0,0
2022-04-05T09:00:13.591-07:00,2449,0,0
2022-04-05T09:15:13.683-07:00,2448,0,0
2022-04-05T09:30:14.885-07:00,2452,0,0
2022-04-05T09:45:13.795-07:00,2464,0,0
2022-04-05T10:00:13.977-07:00,2452,0,0
2022-04-05T10:15:13.955-07:00,2464,0,0
2022-04-05T10:30:13.891-07:00,2462,0,0
