t,v,s,r
2022-03-31T23:45:08.952-07:00,2396,0,0
2022-04-01T00:00:08.908-07:00,2398,0,0
2022-04-01T00:15:08.912-07:00,2402,0,0
2022-04-01T00:30:10.111-07:00,2404,0,0
2022-04-01T00:45:09.177-07:00,2389,0,0
2022-04-01T01:00:09.297-07:00,2386,0,0
2022-04-01T01:15:09.006-07:00,2391,0,0
2022-04-01T01:30:09.026-07:00,2388,0,0
2022-04-01T01:45:09.174-07:00,2395,0,0
2022-04-01T02:00:08.928-07:00,2390,0,0
2022-04-01T02:15:08.934-07:00,2393,0,0
2022-04-01T02:30:08.786-07:00,2395,0,0
2022-04-01T02:45:09.026-07:00,2396,0,0
2022-04-01T03:00:09.003-07:00,2393,0,0
2022-04-01T03:15:09.099-07:00,2393,0,0
2022-04-01T03:30:08.965-07:00,2392,0,0
2022-04-01T03:45:08.954-07:00,2392,0,0
2022-04-01T04:00:08.928-07:00,2386,0,0
2022-04-01T04:15:09.179-07:00,2405,0,0
2022-04-01T04:30:08.975-07:00,2405,0,0
2022-04-01T04:45:09.012-07:00,2402,0,0
2022-04-01T05:00:08.867-07:00,2398,0,0
2022-04-01T05:15:08.947-07:00,2409,0,0
2022-04-01T05:30:09.091-07:00,2397,0,0
2022-04-01T05:45:09.063-07:00,2396,0,0
2022-04-01T06:00:08.867-07:00,2381,0,0
2022-04-01T06:15:09.031-07:00,2404,0,0
2022-04-01T06:30:08.970-07:00,2393,0,0
2022-04-01T06:45:08.919-07:00,2390,0,0
2022-04-01T07:00:08.864-07:00,2394,0,0
2022-04-01T07:15:08.980-07:00,2388,0,0
2022-04-01T07:30:08.950-07:00,2399,0,0
2022-04-01T07:45:09.286-07:00,2388,0,0
2022-04-01T08:00:09.898-07:00,2398,0,0
2022-04-01T08:15:09.110-07:00,2399,0,0
2022-04-01T08:30:08.873-07:00,2405,0,0
2022-04-01T08:45:08.968-07:00,2398,0,0
2022-04-01T09:00:08.954-07:00,2395,0,0
2022-04-01T09:15:09.052-07:00,2391,0,0
2022-04-01T09:30:08.844-07:00,2406,0,0
2022-04-01T09:45:08.737-07:00,2408,0,0
2022-04-01T10:00:08.947-07:00,2403,0,0
2022-04-01T10:15:35.812-07:00,2393,0,0
2022-04-01T10:30:09.015-07:00,2393,0,0
2022-04-01T10:45:08.993-07:00,2391,0,0
2022-04-01T11:00:08.991-07:00,2391,0,0
2022-04-01T11:15:08.867-07:00,2391,0,0
2022-04-01T11:30:08.917-07:00,2401,0,0
2022-04-01T11:45:08.876-07:00,2405,0,0
2022-04-01T12:00:10.069-07:00,2395,0,0
2022-04-01T12:15:08.997-07:00,2405,0,0
2022-04-01T12:30:08.958-07:00,2399,0,0
2022-04-01T12:45:09.097-07:00,2403,0,0
2022-04-01T13:00:08.989-07:00,2400,0,0
