t,v,s,r
2022-03-31T23:45:09.067-07:00,64.99800109863281,0,0
2022-04-01T00:00:09.038-07:00,65.02300262451172,0,0
2022-04-01T00:15:09.023-07:00,65.0199966430664,0,0
2022-04-01T00:30:10.253-07:00,65.01799774169922,0,0
2022-04-01T00:45:09.303-07:00,65.0199966430664,0,0
2022-04-01T01:00:09.438-07:00,65.03600311279297,0,0
2022-04-01T01:15:09.153-07:00,65.03299713134766,0,0
2022-04-01T01:30:09.150-07:00,65.02200317382812,0,0
2022-04-01T01:45:09.323-07:00,65.02999877929688,0,0
2022-04-01T02:00:09.041-07:00,65.02300262451172,0,0
2022-04-01T02:15:09.047-07:00,65.02899932861328,0,0
2022-04-01T02:30:08.904-07:00,65.02999877929688,0,0
2022-04-01T02:45:09.152-07:00,65.0250015258789,0,0
2022-04-01T03:00:09.141-07:00,65.02899932861328,0,0
2022-04-01T03:15:09.207-07:00,65.01899719238281,0,0
2022-04-01T03:30:09.088-07:00,65.02400207519531,0,0
2022-04-01T03:45:09.087-07:00,65.03299713134766,0,0
2022-04-01T04:00:09.046-07:00,65.03500366210938,0,0
2022-04-01T04:15:09.314-07:00,65.01899719238281,0,0
2022-04-01T04:30:09.112-07:00,65.0199966430664,0,0
2022-04-01T04:45:09.124-07:00,65.02300262451172,0,0
2022-04-01T05:00:09.007-07:00,65.01899719238281,0,0
2022-04-01T05:15:09.102-07:00,65.01599884033203,0,0
2022-04-01T05:30:09.212-07:00,65.02400207519531,0,0
2022-04-01T05:45:09.187-07:00,65.0260009765625,0,0
2022-04-01T06:00:09.002-07:00,65.00700378417969,0,0
2022-04-01T06:15:09.164-07:00,65.01799774169922,0,0
2022-04-01T06:30:09.094-07:00,65.03199768066406,0,0
2022-04-01T06:45:09.036-07:00,64.97899627685547,0,0
2022-04-01T07:00:08.978-07:00,65.03800201416016,0,0
2022-04-01T07:15:09.118-07:00,64.99400329589844,0,0
2022-04-01T07:30:09.098-07:00,65.0,0,0
2022-04-01T07:45:09.399-07:00,65.04399871826172,0,0
2022-04-01T08:00:10.020-07:00,65.03099822998047,0,0
2022-04-01T08:15:09.213-07:00,65.03199768066406,0,0
2022-04-01T08:30:08.986-07:00,65.03099822998047,0,0
2022-04-01T08:45:09.084-07:00,65.0459976196289,0,0
2022-04-01T09:00:09.183-07:00,65.05599975585938,0,0
2022-04-01T09:15:09.184-07:00,65.03299713134766,0,0
2022-04-01T09:30:08.954-07:00,65.0260009765625,0,0
2022-04-01T09:45:08.862-07:00,65.03399658203125,0,0
2022-04-01T10:00:09.079-07:00,65.01899719238281,0,0
2022-04-01T10:15:36.790-07:00,64.9990005493164,0,0
2022-04-01T10:30:09.144-07:00,65.00900268554688,0,0
2022-04-01T10:45:09.123-07:00,65.04100036621094,0,0
2022-04-01T11:00:09.129-07:00,65.01499938964844,0,0
2022-04-01T11:15:08.984-07:00,65.00700378417969,0,0
2022-04-01T11:30:09.026-07:00,64.96700286865234,0,0
2022-04-01T11:45:08.999-07:00,65.0479965209961,0,0
2022-04-01T12:00:10.180-07:00,65.02200317382812,0,0
2022-04-01T12:15:09.108-07:00,65.05899810791016,0,0
2022-04-01T12:30:09.102-07:00,65.01499938964844,0,0
2022-04-01T12:45:09.247-07:00,65.04900360107422,0,0
2022-04-01T13:00:09.130-07:00,65.02799987792969,0,0
2022-04-01T13:15:09.212-07:00,65.0530014038086,0,0
2022-04-01T13:30:09.000-07:00,65.0469970703125,0,0
2022-04-01T13:45:09.065-07:00,65.0250015258789,0,0
2022-04-01T14:00:09.074-07:00,65.0459976196289,0,0
2022-04-01T14:15:09.238-07:00,65.06099700927734,0,0
2022-04-01T14:30:09.200-07:00,65.05699920654297,0,0
2022-04-01T14:45:09.512-07:00,65.04399871826172,0,0
2022-04-01T15:00:09.290-07:00,65.0530014038086,0,0
2022-04-01T15:15:09.062-07:00,65.04100036621094,0,0
2022-04-01T15:30:09.124-07:00,65.0469970703125,0,0
2022-04-01T15:45:08.989-07:00,65.04199981689453,0,0
2022-04-01T16:00:08.892-07:00,65.04499816894531,0,0
2022-04-01T16:15:09.134-07:00,65.03800201416016,0,0
2022-04-01T16:30:09.099-07:00,65.02899932861328,0,0
2022-04-01T16:45:09.052-07:00,65.02899932861328,0,0
2022-04-01T17:00:09.137-07:00,65.01599884033203,0,0
2022-04-01T17:15:09.409-07:00,65.01200103759766,0,0
2022-04-01T17:30:08.993-07:00,65.00399780273438,0,0
2022-04-01T17:45:09.091-07:00,65.00800323486328,0,0
2022-04-01T18:00:09.084-07:00,64.99400329589844,0,0
2022-04-01T18:15:09.062-07:00,65.00299835205078,0,0
2022-04-01T18:30:09.049-07:00,65.00299835205078,0,0
2022-04-01T18:45:08.981-07:00,65.03500366210938,0,0
2022-04-01T19:00:09.228-07:00,65.0270004272461,0,0
2022-04-01T19:15:09.053-07:00,65.00599670410156,0,0
2022-04-01T19:30:09.235-07:00,65.02400207519531,0,0
2022-04-01T19:45:09.117-07:00,65.00499725341797,0,0
2022-04-01T20:00:09.186-07:00,65.03399658203125,0,0
2022-04-01T20:15:09.141-07:00,64.99500274658203,0,0
2022-04-01T20:30:08.998-07:00,65.02799987792969,0,0
2022-04-01T20:45:09.074-07:00,64.98699951171875,0,0
2022-04-01T21:00:09.193-07:00,64.98899841308594,0,0
2022-04-01T21:15:09.153-07:00,65.01599884033203,0,0
2022-04-01T21:30:09.135-07:00,64.99099731445312,0,0
2022-04-01T21:45:10.326-07:00,65.01499938964844,0,0
2022-04-01T22:00:09.173-07:00,65.00800323486328,0,0
2022-04-01T22:15:09.120-07:00,65.03099822998047,0,0
2022-04-01T22:30:08.953-07:00,65.0270004272461,0,0
2022-04-01T22:45:09.162-07:00,65.0270004272461,0,0
2022-04-01T23:00:09.202-07:00,65.02400207519531,0,0
2022-04-01T23:15:08.962-07:00,65.0260009765625,0,0
2022-04-01T23:30:08.976-07:00,65.03299713134766,0,0
2022-04-01T23:45:09.059-07:00,65.02799987792969,0,0
2022-04-02T00:00:09.144-07:00,65.03099822998047,0,0
2022-04-02T00:15:09.113-07:00,65.02999877929688,0,0
2022-04-02T00:30:09.127-07:00,65.0270004272461,0,0
2022-04-02T00:45:09.342-07:00,65.02899932861328,0,0
2022-04-02T01:00:10.010-07:00,65.0250015258789,0,0
2022-04-02T01:15:08.871-07:00,65.02400207519531,0,0
2022-04-02T01:30:09.199-07:00,65.03099822998047,0,0
2022-04-02T01:45:09.105-07:00,65.03800201416016,0,0
2022-04-02T02:00:09.145-07:00,65.01799774169922,0,0
2022-04-02T02:15:09.027-07:00,65.03299713134766,0,0
2022-04-02T02:30:08.949-07:00,65.0260009765625,0,0
2022-04-02T02:45:09.004-07:00,65.0250015258789,0,0
2022-04-02T03:00:08.913-07:00,65.03399658203125,0,0
2022-04-02T03:15:08.969-07:00,65.0260009765625,0,0
2022-04-02T03:30:09.028-07:00,65.03099822998047,0,0
2022-04-02T03:45:09.421-07:00,65.02799987792969,0,0
2022-04-02T04:00:09.089-07:00,65.03099822998047,0,0
2022-04-02T04:15:10.334-07:00,65.03099822998047,0,0
2022-04-02T04:30:09.184-07:00,65.02200317382812,0,0
2022-04-02T04:45:09.395-07:00,65.0199966430664,0,0
2022-04-02T05:00:09.002-07:00,65.03399658203125,0,0
2022-04-02T05:15:08.994-07:00,65.04000091552734,0,0
2022-04-02T05:30:09.137-07:00,65.03500366210938,0,0
2022-04-02T05:45:09.228-07:00,65.03399658203125,0,0
2022-04-02T06:00:09.112-07:00,65.03700256347656,0,0
2022-04-02T06:15:09.266-07:00,65.0459976196289,0,0
2022-04-02T06:30:09.139-07:00,65.03700256347656,0,0
2022-04-02T06:45:09.407-07:00,65.03199768066406,0,0
2022-04-02T07:00:09.187-07:00,65.04900360107422,0,0
2022-04-02T07:15:09.656-07:00,65.04000091552734,0,0
2022-04-02T07:30:09.485-07:00,65.04199981689453,0,0
2022-04-02T07:45:09.087-07:00,65.03700256347656,0,0
2022-04-02T08:00:08.961-07:00,65.04900360107422,0,0
2022-04-02T08:15:09.254-07:00,65.03600311279297,0,0
2022-04-02T08:30:10.414-07:00,65.05000305175781,0,0
2022-04-02T08:45:09.024-07:00,65.052001953125,0,0
2022-04-02T09:00:09.244-07:00,65.0530014038086,0,0
2022-04-02T09:15:09.042-07:00,65.0479965209961,0,0
2022-04-02T09:30:09.098-07:00,65.06500244140625,0,0
2022-04-02T09:45:08.913-07:00,65.0459976196289,0,0
2022-04-02T10:00:09.065-07:00,65.0479965209961,0,0
2022-04-02T10:15:13.282-07:00,65.05000305175781,0,0
2022-04-02T10:30:09.245-07:00,65.06199645996094,0,0
2022-04-02T10:45:09.040-07:00,65.08999633789062,0,0
2022-04-02T11:00:09.129-07:00,65.06500244140625,0,0
2022-04-02T11:15:09.073-07:00,65.04299926757812,0,0
2022-04-02T11:30:09.295-07:00,65.0199966430664,0,0
2022-04-02T11:45:09.255-07:00,65.04399871826172,0,0
2022-04-02T12:00:09.269-07:00,65.06500244140625,0,0
2022-04-02T12:15:09.481-07:00,65.0780029296875,0,0
2022-04-02T12:30:11.064-07:00,65.06700134277344,0,0
2022-04-02T12:45:09.359-07:00,65.06099700927734,0,0
2022-04-02T13:00:08.931-07:00,65.0530014038086,0,0
2022-04-02T13:15:09.323-07:00,65.05899810791016,0,0
2022-04-02T13:30:08.959-07:00,65.03299713134766,0,0
2022-04-02T13:45:08.705-07:00,65.05999755859375,0,0
2022-04-02T14:00:09.001-07:00,65.0250015258789,0,0
2022-04-02T14:15:08.929-07:00,65.05400085449219,0,0
2022-04-02T14:30:08.849-07:00,65.02300262451172,0,0
2022-04-02T14:45:08.856-07:00,65.0510025024414,0,0
2022-04-02T15:00:08.784-07:00,65.0250015258789,0,0
2022-04-02T15:15:09.076-07:00,65.0250015258789,0,0
2022-04-02T15:30:09.033-07:00,65.02200317382812,0,0
2022-04-02T15:45:08.999-07:00,65.02100372314453,0,0
2022-04-02T16:00:09.078-07:00,65.02400207519531,0,0
2022-04-02T16:15:10.109-07:00,65.05799865722656,0,0
2022-04-02T16:30:08.934-07:00,65.01899719238281,0,0
2022-04-02T16:45:09.020-07:00,65.01399993896484,0,0
2022-04-02T17:00:09.050-07:00,65.02200317382812,0,0
2022-04-02T17:15:09.006-07:00,65.03700256347656,0,0
2022-04-02T17:30:08.910-07:00,65.03800201416016,0,0
2022-04-02T17:45:08.837-07:00,65.04199981689453,0,0
2022-04-02T18:00:08.943-07:00,65.0530014038086,0,0
2022-04-02T18:15:08.941-07:00,65.04000091552734,0,0
2022-04-02T18:30:09.182-07:00,65.01699829101562,0,0
2022-04-02T18:45:09.129-07:00,65.03800201416016,0,0
2022-04-02T19:00:08.829-07:00,65.0479965209961,0,0
2022-04-02T19:15:08.895-07:00,65.03299713134766,0,0
2022-04-02T19:30:09.102-07:00,65.03500366210938,0,0
2022-04-02T19:45:10.127-07:00,65.02899932861328,0,0
2022-04-02T20:00:09.141-07:00,65.02899932861328,0,0
2022-04-02T20:15:09.082-07:00,65.03800201416016,0,0
2022-04-02T20:30:09.301-07:00,65.0469970703125,0,0
2022-04-02T20:45:09.032-07:00,65.03500366210938,0,0
2022-04-02T21:00:08.921-07:00,65.0260009765625,0,0
