t,v,s,r
2022-03-31T23:45:09.245-07:00,93,0,0
2022-04-01T00:00:09.204-07:00,94,0,0
2022-04-01T00:15:09.182-07:00,93,0,0
2022-04-01T00:30:10.409-07:00,93,0,0
2022-04-01T00:45:09.497-07:00,92,0,0
2022-04-01T01:00:09.611-07:00,93,0,0
2022-04-01T01:15:09.312-07:00,93,0,0
2022-04-01T01:30:09.322-07:00,95,0,0
2022-04-01T01:45:09.490-07:00,94,0,0
2022-04-01T02:00:09.198-07:00,93,0,0
2022-04-01T02:15:09.246-07:00,93,0,0
2022-04-01T02:30:09.064-07:00,97,0,0
2022-04-01T02:45:09.328-07:00,93,0,0
2022-04-01T03:00:09.295-07:00,93,0,0
2022-04-01T03:15:09.373-07:00,96,0,0
2022-04-01T03:30:09.265-07:00,94,0,0
2022-04-01T03:45:09.238-07:00,91,0,0
2022-04-01T04:00:09.503-07:00,93,0,0
2022-04-01T04:15:09.472-07:00,99,0,0
2022-04-01T04:30:09.261-07:00,92,0,0
2022-04-01T04:45:09.312-07:00,93,0,0
2022-04-01T05:00:09.161-07:00,95,0,0
2022-04-01T05:15:09.258-07:00,94,0,0
2022-04-01T05:30:09.395-07:00,93,0,0
2022-04-01T05:45:09.360-07:00,97,0,0
2022-04-01T06:00:09.162-07:00,95,0,0
2022-04-01T06:15:09.320-07:00,95,0,0
2022-04-01T06:30:09.251-07:00,92,0,0
2022-04-01T06:45:09.206-07:00,93,0,0
2022-04-01T07:00:09.155-07:00,93,0,0
2022-04-01T07:15:09.315-07:00,93,0,0
2022-04-01T07:30:09.283-07:00,93,0,0
2022-04-01T07:45:09.556-07:00,95,0,0
2022-04-01T08:00:10.209-07:00,94,0,0
2022-04-01T08:15:09.380-07:00,95,0,0
2022-04-01T08:30:09.182-07:00,95,0,0
2022-04-01T08:45:09.246-07:00,94,0,0
2022-04-01T09:00:09.361-07:00,97,0,0
2022-04-01T09:15:09.349-07:00,95,0,0
2022-04-01T09:30:09.122-07:00,96,0,0
2022-04-01T09:45:09.019-07:00,96,0,0
2022-04-01T10:00:09.236-07:00,95,0,0
2022-04-01T10:15:36.822-07:00,99,0,0
2022-04-01T10:30:09.329-07:00,97,0,0
2022-04-01T10:45:09.286-07:00,98,0,0
2022-04-01T11:00:09.284-07:00,97,0,0
2022-04-01T11:15:09.165-07:00,102,0,0
2022-04-01T11:30:09.191-07:00,100,0,0
2022-04-01T11:45:09.163-07:00,98,0,0
2022-04-01T12:00:10.337-07:00,99,0,0
2022-04-01T12:15:09.266-07:00,96,0,0
2022-04-01T12:30:09.256-07:00,97,0,0
2022-04-01T12:45:09.401-07:00,97,0,0
2022-04-01T13:00:09.284-07:00,101,0,0
2022-04-01T13:15:09.381-07:00,100,0,0
2022-04-01T13:30:09.165-07:00,97,0,0
2022-04-01T13:45:09.256-07:00,101,0,0
2022-04-01T14:00:09.237-07:00,99,0,0
2022-04-01T14:15:09.403-07:00,96,0,0
2022-04-01T14:30:09.359-07:00,97,0,0
2022-04-01T14:45:09.657-07:00,102,0,0
2022-04-01T15:00:09.470-07:00,101,0,0
2022-04-01T15:15:09.214-07:00,101,0,0
2022-04-01T15:30:09.305-07:00,101,0,0
2022-04-01T15:45:09.203-07:00,99,0,0
2022-04-01T16:00:09.048-07:00,97,0,0
2022-04-01T16:15:09.297-07:00,98,0,0
2022-04-01T16:30:09.293-07:00,100,0,0
2022-04-01T16:45:09.221-07:00,99,0,0
2022-04-01T17:00:09.306-07:00,99,0,0
2022-04-01T17:15:09.578-07:00,99,0,0
2022-04-01T17:30:09.151-07:00,98,0,0
2022-04-01T17:45:09.257-07:00,97,0,0
2022-04-01T18:00:09.267-07:00,101,0,0
2022-04-01T18:15:09.217-07:00,92,0,0
2022-04-01T18:30:09.206-07:00,97,0,0
2022-04-01T18:45:09.146-07:00,93,0,0
2022-04-01T19:00:09.425-07:00,94,0,0
2022-04-01T19:15:09.217-07:00,90,0,0
2022-04-01T19:30:09.423-07:00,94,0,0
2022-04-01T19:45:09.271-07:00,91,0,0
2022-04-01T20:00:09.355-07:00,92,0,0
2022-04-01T20:15:09.302-07:00,93,0,0
2022-04-01T20:30:09.182-07:00,92,0,0
2022-04-01T20:45:09.231-07:00,95,0,0
2022-04-01T21:00:09.350-07:00,92,0,0
2022-04-01T21:15:09.321-07:00,97,0,0
2022-04-01T21:30:09.330-07:00,95,0,0
2022-04-01T21:45:10.515-07:00,92,0,0
2022-04-01T22:00:09.328-07:00,93,0,0
2022-04-01T22:15:09.290-07:00,94,0,0
2022-04-01T22:30:09.142-07:00,93,0,0
2022-04-01T22:45:09.324-07:00,92,0,0
2022-04-01T23:00:09.364-07:00,93,0,0
2022-04-01T23:15:09.136-07:00,93,0,0
2022-04-01T23:30:09.144-07:00,90,0,0
2022-04-01T23:45:09.229-07:00,90,0,0
2022-04-02T00:00:09.309-07:00,92,0,0
2022-04-02T00:15:09.265-07:00,93,0,0
2022-04-02T00:30:09.291-07:00,91,0,0
2022-04-02T00:45:09.507-07:00,93,0,0
2022-04-02T01:00:10.186-07:00,93,0,0
2022-04-02T01:15:09.035-07:00,93,0,0
2022-04-02T01:30:09.359-07:00,93,0,0
2022-04-02T01:45:09.272-07:00,92,0,0
2022-04-02T02:00:09.300-07:00,95,0,0
2022-04-02T02:15:09.189-07:00,90,0,0
2022-04-02T02:30:09.114-07:00,93,0,0
2022-04-02T02:45:09.153-07:00,92,0,0
2022-04-02T03:00:09.097-07:00,90,0,0
2022-04-02T03:15:09.130-07:00,92,0,0
2022-04-02T03:30:09.198-07:00,91,0,0
2022-04-02T03:45:09.578-07:00,91,0,0
2022-04-02T04:00:09.267-07:00,90,0,0
2022-04-02T04:15:10.497-07:00,90,0,0
2022-04-02T04:30:09.351-07:00,93,0,0
2022-04-02T04:45:09.563-07:00,90,0,0
2022-04-02T05:00:09.177-07:00,90,0,0
2022-04-02T05:15:09.177-07:00,95,0,0
2022-04-02T05:30:09.320-07:00,90,0,0
2022-04-02T05:45:09.385-07:00,91,0,0
2022-04-02T06:00:09.288-07:00,92,0,0
2022-04-02T06:15:09.442-07:00,89,0,0
2022-04-02T06:30:09.303-07:00,89,0,0
2022-04-02T06:45:09.559-07:00,92,0,0
2022-04-02T07:00:09.346-07:00,89,0,0
2022-04-02T07:15:09.837-07:00,91,0,0
2022-04-02T07:30:09.637-07:00,89,0,0
2022-04-02T07:45:09.246-07:00,91,0,0
2022-04-02T08:00:09.144-07:00,88,0,0
2022-04-02T08:15:09.432-07:00,93,0,0
2022-04-02T08:30:10.607-07:00,90,0,0
2022-04-02T08:45:09.202-07:00,89,0,0
2022-04-02T09:00:09.404-07:00,90,0,0
2022-04-02T09:15:09.203-07:00,89,0,0
2022-04-02T09:30:09.279-07:00,94,0,0
2022-04-02T09:45:09.091-07:00,92,0,0
2022-04-02T10:00:09.232-07:00,90,0,0
2022-04-02T10:15:14.689-07:00,91,0,0
2022-04-02T10:30:09.428-07:00,91,0,0
2022-04-02T10:45:09.250-07:00,90,0,0
2022-04-02T11:00:09.285-07:00,93,0,0
2022-04-02T11:15:09.230-07:00,91,0,0
2022-04-02T11:30:09.490-07:00,88,0,0
2022-04-02T11:45:09.417-07:00,90,0,0
2022-04-02T12:00:09.443-07:00,89,0,0
2022-04-02T12:15:10.121-07:00,94,0,0
2022-04-02T12:30:11.281-07:00,95,0,0
2022-04-02T12:45:09.520-07:00,91,0,0
2022-04-02T13:00:09.368-07:00,93,0,0
2022-04-02T13:15:09.484-07:00,91,0,0
2022-04-02T13:30:09.149-07:00,90,0,0
2022-04-02T13:45:08.886-07:00,90,0,0
2022-04-02T14:00:09.163-07:00,92,0,0
2022-04-02T14:15:09.101-07:00,91,0,0
2022-04-02T14:30:09.001-07:00,93,0,0
2022-04-02T14:45:09.022-07:00,91,0,0
2022-04-02T15:00:08.949-07:00,91,0,0
2022-04-02T15:15:09.240-07:00,92,0,0
2022-04-02T15:30:09.188-07:00,90,0,0
2022-04-02T15:45:09.161-07:00,96,0,0
2022-04-02T16:00:09.247-07:00,89,0,0
2022-04-02T16:15:10.270-07:00,89,0,0
2022-04-02T16:30:09.104-07:00,94,0,0
2022-04-02T16:45:09.185-07:00,91,0,0
2022-04-02T17:00:09.195-07:00,89,0,0
2022-04-02T17:15:09.165-07:00,94,0,0
2022-04-02T17:30:09.102-07:00,93,0,0
2022-04-02T17:45:08.991-07:00,91,0,0
2022-04-02T18:00:09.106-07:00,91,0,0
2022-04-02T18:15:09.125-07:00,94,0,0
2022-04-02T18:30:09.361-07:00,92,0,0
2022-04-02T18:45:09.292-07:00,92,0,0
2022-04-02T19:00:08.986-07:00,92,0,0
2022-04-02T19:15:09.069-07:00,92,0,0
2022-04-02T19:30:09.260-07:00,93,0,0
2022-04-02T19:45:10.283-07:00,89,0,0
2022-04-02T20:00:09.314-07:00,89,0,0
2022-04-02T20:15:09.286-07:00,94,0,0
2022-04-02T20:30:09.459-07:00,90,0,0
2022-04-02T20:45:09.194-07:00,93,0,0
2022-04-02T21:00:09.097-07:00,92,0,0
2022-04-02T21:15:09.192-07:00,97,0,0
2022-04-02T21:30:09.405-07:00,91,0,0
2022-04-02T21:45:09.102-07:00,93,0,0
2022-04-02T22:00:09.102-07:00,91,0,0
2022-04-02T22:15:09.232-07:00,95,0,0
2022-04-02T22:30:09.226-07:00,88,0,0
2022-04-02T22:45:09.124-07:00,93,0,0
2022-04-02T23:00:09.170-07:00,90,0,0
2022-04-02T23:15:09.208-07:00,93,0,0
2022-04-02T23:30:09.284-07:00,90,0,0
2022-04-02T23:45:09.347-07:00,92,0,0
2022-04-03T00:00:09.105-07:00,88,0,0
2022-04-03T00:15:09.178-07:00,89,0,0
2022-04-03T00:30:09.251-07:00,89,0,0
2022-04-03T00:45:09.340-07:00,89,0,0
2022-04-03T01:00:09.248-07:00,91,0,0
2022-04-03T01:15:09.572-07:00,89,0,0
2022-04-03T01:30:09.420-07:00,89,0,0
2022-04-03T01:45:09.196-07:00,95,0,0
2022-04-03T02:00:09.090-07:00,89,0,0
2022-04-03T02:15:09.058-07:00,92,0,0
2022-04-03T02:30:09.011-07:00,88,0,0
2022-04-03T02:45:09.235-07:00,91,0,0
2022-04-03T03:00:10.310-07:00,92,0,0
2022-04-03T03:15:09.041-07:00,89,0,0
2022-04-03T03:30:09.124-07:00,93,0,0
2022-04-03T03:45:09.236-07:00,92,0,0
2022-04-03T04:00:09.283-07:00,91,0,0
