t,v,s,r
2022-03-31T23:45:11.191-07:00,60.02000045776367,0,0
2022-04-01T00:00:11.196-07:00,60.029998779296875,0,0
2022-04-01T00:15:11.174-07:00,60.0099983215332,0,0
2022-04-01T00:30:12.468-07:00,60.0099983215332,0,0
2022-04-01T00:45:11.343-07:00,60.0,0,0
2022-04-01T01:00:11.743-07:00,60.0099983215332,0,0
2022-04-01T01:15:11.515-07:00,60.02000045776367,0,0
2022-04-01T01:30:11.254-07:00,59.9900016784668,0,0
2022-04-01T01:45:11.526-07:00,59.9900016784668,0,0
2022-04-01T02:00:11.089-07:00,59.9900016784668,0,0
2022-04-01T02:15:11.290-07:00,60.0,0,0
2022-04-01T02:30:11.020-07:00,60.02000045776367,0,0
2022-04-01T02:45:11.308-07:00,60.0099983215332,0,0
2022-04-01T03:00:11.435-07:00,60.0,0,0
2022-04-01T03:15:11.270-07:00,60.029998779296875,0,0
2022-04-01T03:30:11.237-07:00,60.029998779296875,0,0
2022-04-01T03:45:11.323-07:00,60.029998779296875,0,0
2022-04-01T04:00:12.132-07:00,60.0,0,0
2022-04-01T04:15:11.580-07:00,60.0,0,0
2022-04-01T04:30:11.211-07:00,60.02000045776367,0,0
2022-04-01T04:45:11.241-07:00,60.0099983215332,0,0
2022-04-01T05:00:11.088-07:00,60.0099983215332,0,0
2022-04-01T05:15:11.220-07:00,60.0,0,0
2022-04-01T05:30:11.349-07:00,59.9900016784668,0,0
2022-04-01T05:45:11.344-07:00,60.0,0,0
2022-04-01T06:00:11.274-07:00,60.02000045776367,0,0
2022-04-01T06:15:11.279-07:00,59.97999954223633,0,0
2022-04-01T06:30:11.300-07:00,59.9900016784668,0,0
2022-04-01T06:45:11.177-07:00,60.02000045776367,0,0
2022-04-01T07:00:11.127-07:00,60.0099983215332,0,0
2022-04-01T07:15:11.386-07:00,60.0,0,0
2022-04-01T07:30:11.270-07:00,60.0,0,0
2022-04-01T07:45:11.535-07:00,60.029998779296875,0,0
2022-04-01T08:00:12.129-07:00,60.04999923706055,0,0
2022-04-01T08:15:11.319-07:00,60.0099983215332,0,0
2022-04-01T08:30:11.233-07:00,60.029998779296875,0,0
2022-04-01T08:45:11.205-07:00,60.040000915527344,0,0
2022-04-01T09:00:11.346-07:00,60.0099983215332,0,0
2022-04-01T09:15:11.314-07:00,60.0,0,0
2022-04-01T09:30:11.141-07:00,60.029998779296875,0,0
