t,v,s,r
2022-03-31T23:45:06.480-07:00,152,0,0
2022-04-01T00:00:06.083-07:00,163,0,0
2022-04-01T00:15:06.387-07:00,169,0,0
2022-04-01T00:30:10.946-07:00,166,0,0
2022-04-01T00:45:06.318-07:00,172,0,0
2022-04-01T01:00:09.051-07:00,182,0,0
2022-04-01T01:15:06.553-07:00,173,0,0
2022-04-01T01:30:06.060-07:00,176,0,0
2022-04-01T01:45:07.485-07:00,177,0,0
2022-04-01T02:00:00.733-07:00,178,0,0
2022-04-01T02:15:07.086-07:00,176,0,0
2022-04-01T02:30:06.364-07:00,176,0,0
2022-04-01T02:45:06.804-07:00,182,0,0
2022-04-01T03:00:05.833-07:00,180,0,0
2022-04-01T03:15:06.510-07:00,185,0,0
2022-04-01T03:30:06.485-07:00,177,0,0
2022-04-01T03:45:06.837-07:00,186,0,0
2022-04-01T04:00:09.981-07:00,195,0,0
2022-04-01T04:15:07.283-07:00,181,0,0
2022-04-01T04:30:06.859-07:00,176,0,0
2022-04-01T04:45:06.147-07:00,184,0,0
2022-04-01T05:00:09.974-07:00,187,0,0
2022-04-01T05:15:06.423-07:00,174,0,0
2022-04-01T05:30:09.779-07:00,173,0,0
2022-04-01T05:45:06.552-07:00,176,0,0
2022-04-01T06:00:06.106-07:00,177,0,0
2022-04-01T06:15:06.429-07:00,171,0,0
2022-04-01T06:30:07.542-07:00,161,0,0
2022-04-01T06:45:06.912-07:00,165,0,0
2022-04-01T07:00:07.364-07:00,170,0,0
2022-04-01T07:15:06.891-07:00,175,0,0
2022-04-01T07:30:00.664-07:00,176,0,0
2022-04-01T07:45:09.935-07:00,184,0,0
2022-04-01T08:00:06.807-07:00,179,0,0
2022-04-01T08:15:06.875-07:00,163,0,0
2022-04-01T08:30:07.757-07:00,169,0,0
2022-04-01T08:45:06.169-07:00,171,0,0
2022-04-01T09:00:06.403-07:00,171,0,0
2022-04-01T09:15:07.030-07:00,178,0,0
2022-04-01T09:30:07.183-07:00,164,0,0
2022-04-01T09:45:06.793-07:00,168,0,0
2022-04-01T10:00:06.910-07:00,145,0,0
2022-04-01T10:15:07.834-07:00,0,16,1
2022-04-01T10:30:07.953-07:00,105,0,0
2022-04-01T10:45:07.337-07:00,111,0,0
2022-04-01T11:00:07.286-07:00,123,0,0
2022-04-01T11:15:07.072-07:00,114,0,0
2022-04-01T11:30:07.168-07:00,117,0,0
2022-04-01T11:45:07.186-07:00,121,0,0
2022-04-01T12:00:07.635-07:00,131,0,0
2022-04-01T12:15:06.858-07:00,175,0,0
2022-04-01T12:30:06.967-07:00,133,0,0
2022-04-01T12:45:06.683-07:00,135,0,0
2022-04-01T13:00:06.870-07:00,156,0,0
2022-04-01T13:15:06.428-07:00,147,0,0
2022-04-01T13:30:10.470-07:00,124,0,0
2022-04-01T13:45:00.693-07:00,120,0,0
2022-04-01T14:00:06.835-07:00,117,0,0
2022-04-01T14:15:07.197-07:00,111,0,0
2022-04-01T14:30:06.676-07:00,104,0,0
2022-04-01T14:45:06.962-07:00,72,0,0
2022-04-01T15:00:06.535-07:00,69,0,0
2022-04-01T15:15:06.319-07:00,96,0,0
2022-04-01T15:30:12.946-07:00,91,0,0
2022-04-01T15:45:09.175-07:00,75,0,0
2022-04-01T16:00:06.580-07:00,72,0,0
2022-04-01T16:15:06.667-07:00,69,0,0
2022-04-01T16:30:09.669-07:00,63,0,0
2022-04-01T16:45:06.204-07:00,75,0,0
2022-04-01T17:00:06.535-07:00,76,0,0
2022-04-01T17:15:09.921-07:00,73,0,0
2022-04-01T17:30:06.610-07:00,76,0,0
2022-04-01T17:45:08.030-07:00,107,0,0
2022-04-01T18:00:06.630-07:00,89,0,0
2022-04-01T18:15:07.690-07:00,94,0,0
2022-04-01T18:30:06.838-07:00,86,0,0
2022-04-01T18:45:06.414-07:00,112,0,0
2022-04-01T19:00:06.163-07:00,106,0,0
2022-04-01T19:15:06.650-07:00,106,0,0
2022-04-01T19:30:06.959-07:00,122,0,0
2022-04-01T19:45:06.414-07:00,121,0,0
2022-04-01T20:00:06.781-07:00,129,0,0
2022-04-01T20:15:09.423-07:00,146,0,0
2022-04-01T20:30:06.037-07:00,144,0,0
2022-04-01T20:45:06.724-07:00,137,0,0
2022-04-01T21:00:06.108-07:00,144,0,0
2022-04-01T21:15:06.683-07:00,157,0,0
2022-04-01T21:30:06.417-07:00,161,0,0
2022-04-01T21:45:06.374-07:00,156,0,0
2022-04-01T22:00:17.743-07:00,152,0,0
2022-04-01T22:15:06.720-07:00,170,0,0
2022-04-01T22:30:06.153-07:00,164,0,0
2022-04-01T22:45:06.253-07:00,169,0,0
2022-04-01T23:00:06.453-07:00,166,0,0
2022-04-01T23:15:09.762-07:00,171,0,0
2022-04-01T23:30:06.726-07:00,178,0,0
2022-04-01T23:45:06.158-07:00,177,0,0
2022-04-02T00:00:06.252-07:00,179,0,0
2022-04-02T00:15:06.336-07:00,181,0,0
