t,v,s,r
2022-03-31T23:45:06.637-07:00,36,0,0
2022-04-01T00:00:06.206-07:00,36,0,0
2022-04-01T00:15:06.540-07:00,35,0,0
2022-04-01T00:30:11.192-07:00,35,0,0
2022-04-01T00:45:06.455-07:00,36,0,0
2022-04-01T01:00:09.177-07:00,35,0,0
2022-04-01T01:15:06.731-07:00,35,0,0
2022-04-01T01:30:06.290-07:00,35,0,0
2022-04-01T01:45:07.633-07:00,35,0,0
2022-04-01T02:00:00.740-07:00,36,0,0
2022-04-01T02:15:07.256-07:00,35,0,0
2022-04-01T02:30:06.515-07:00,35,0,0
2022-04-01T02:45:06.992-07:00,35,0,0
2022-04-01T03:00:05.961-07:00,35,0,0
2022-04-01T03:15:06.652-07:00,35,0,0
2022-04-01T03:30:06.649-07:00,35,0,0
2022-04-01T03:45:07.028-07:00,35,0,0
2022-04-01T04:00:10.226-07:00,35,0,0
2022-04-01T04:15:07.430-07:00,35,0,0
2022-04-01T04:30:06.996-07:00,36,0,0
2022-04-01T04:45:06.281-07:00,35,0,0
2022-04-01T05:00:10.083-07:00,35,0,0
2022-04-01T05:15:06.585-07:00,35,0,0
2022-04-01T05:30:09.933-07:00,35,0,0
2022-04-01T05:45:06.732-07:00,36,0,0
2022-04-01T06:00:06.248-07:00,35,0,0
2022-04-01T06:15:06.615-07:00,35,0,0
2022-04-01T06:30:07.708-07:00,37,0,0
2022-04-01T06:45:07.021-07:00,36,0,0
2022-04-01T07:00:07.494-07:00,35,0,0
2022-04-01T07:15:07.008-07:00,37,0,0
2022-04-01T07:30:00.877-07:00,36,0,0
2022-04-01T07:45:10.091-07:00,35,0,0
2022-04-01T08:00:06.928-07:00,37,0,0
2022-04-01T08:15:07.036-07:00,35,0,0
2022-04-01T08:30:07.933-07:00,35,0,0
2022-04-01T08:45:06.303-07:00,36,0,0
2022-04-01T09:00:06.570-07:00,35,0,0
2022-04-01T09:15:07.168-07:00,35,0,0
2022-04-01T09:30:07.319-07:00,36,0,0
2022-04-01T09:45:06.997-07:00,36,0,0
2022-04-01T10:00:07.046-07:00,36,0,0
2022-04-01T10:15:08.004-07:00,0,16,1
2022-04-01T10:30:08.098-07:00,37,0,0
2022-04-01T10:45:07.502-07:00,37,0,0
2022-04-01T11:00:07.394-07:00,36,0,0
2022-04-01T11:15:07.271-07:00,36,0,0
2022-04-01T11:30:07.343-07:00,35,0,0
2022-04-01T11:45:07.694-07:00,37,0,0
2022-04-01T12:00:07.823-07:00,36,0,0
2022-04-01T12:15:06.977-07:00,36,0,0
2022-04-01T12:30:07.101-07:00,36,0,0
2022-04-01T12:45:06.826-07:00,38,0,0
2022-04-01T13:00:07.018-07:00,35,0,0
2022-04-01T13:15:06.613-07:00,36,0,0
2022-04-01T13:30:10.602-07:00,36,0,0
2022-04-01T13:45:00.701-07:00,36,0,0
2022-04-01T14:00:06.964-07:00,36,0,0
2022-04-01T14:15:07.382-07:00,36,0,0
2022-04-01T14:30:06.811-07:00,36,0,0
2022-04-01T14:45:07.155-07:00,37,0,0
2022-04-01T15:00:06.700-07:00,36,0,0
2022-04-01T15:15:06.438-07:00,36,0,0
2022-04-01T15:30:13.077-07:00,36,0,0
2022-04-01T15:45:09.328-07:00,35,0,0
2022-04-01T16:00:06.679-07:00,36,0,0
2022-04-01T16:15:06.805-07:00,37,0,0
2022-04-01T16:30:09.799-07:00,36,0,0
2022-04-01T16:45:06.349-07:00,36,0,0
2022-04-01T17:00:06.635-07:00,37,0,0
2022-04-01T17:15:10.121-07:00,36,0,0
2022-04-01T17:30:06.763-07:00,36,0,0
2022-04-01T17:45:08.220-07:00,36,0,0
2022-04-01T18:00:06.793-07:00,35,0,0
2022-04-01T18:15:07.835-07:00,35,0,0
2022-04-01T18:30:07.003-07:00,35,0,0
2022-04-01T18:45:06.554-07:00,35,0,0
2022-04-01T19:00:06.326-07:00,35,0,0
2022-04-01T19:15:06.776-07:00,35,0,0
2022-04-01T19:30:07.068-07:00,35,0,0
2022-04-01T19:45:06.613-07:00,35,0,0
2022-04-01T20:00:06.920-07:00,35,0,0
2022-04-01T20:15:09.576-07:00,35,0,0
2022-04-01T20:30:06.188-07:00,35,0,0
2022-04-01T20:45:06.864-07:00,35,0,0
2022-04-01T21:00:06.254-07:00,35,0,0
2022-04-01T21:15:06.813-07:00,35,0,0
2022-04-01T21:30:06.554-07:00,35,0,0
2022-04-01T21:45:06.558-07:00,35,0,0
2022-04-01T22:00:17.874-07:00,35,0,0
2022-04-01T22:15:06.857-07:00,35,0,0
2022-04-01T22:30:06.262-07:00,35,0,0
2022-04-01T22:45:06.371-07:00,35,0,0
2022-04-01T23:00:06.607-07:00,35,0,0
2022-04-01T23:15:09.916-07:00,35,0,0
2022-04-01T23:30:06.842-07:00,35,0,0
2022-04-01T23:45:06.271-07:00,36,0,0
2022-04-02T00:00:06.400-07:00,35,0,0
2022-04-02T00:15:06.453-07:00,35,0,0
2022-04-02T00:30:06.249-07:00,35,0,0
2022-04-02T00:45:06.407-07:00,35,0,0
2022-04-02T01:00:06.336-07:00,35,0,0
2022-04-02T01:15:06.338-07:00,35,0,0
2022-04-02T01:30:06.619-07:00,35,0,0
2022-04-02T01:45:06.681-07:00,35,0,0
2022-04-02T02:00:06.174-07:00,35,0,0
2022-04-02T02:15:06.607-07:00,35,0,0
2022-04-02T02:30:06.351-07:00,35,0,0
2022-04-02T02:45:06.534-07:00,36,0,0
2022-04-02T03:00:06.768-07:00,35,0,0
2022-04-02T03:15:05.572-07:00,35,0,0
2022-04-02T03:30:06.620-07:00,36,0,0
2022-04-02T03:45:06.656-07:00,35,0,0
2022-04-02T04:00:06.886-07:00,36,0,0
2022-04-02T04:15:06.527-07:00,35,0,0
2022-04-02T04:30:06.388-07:00,35,0,0
2022-04-02T04:45:06.210-07:00,35,0,0
2022-04-02T05:00:12.886-07:00,35,0,0
2022-04-02T05:15:07.034-07:00,36,0,0
2022-04-02T05:30:20.469-07:00,35,0,0
2022-04-02T05:45:09.461-07:00,35,0,0
2022-04-02T06:00:06.349-07:00,35,0,0
