t,v,s,r
2022-03-31T23:45:06.650-07:00,35,0,0
2022-04-01T00:00:06.223-07:00,35,0,0
2022-04-01T00:15:06.558-07:00,35,0,0
2022-04-01T00:30:11.208-07:00,34,0,0
2022-04-01T00:45:06.502-07:00,35,0,0
2022-04-01T01:00:09.201-07:00,35,0,0
2022-04-01T01:15:06.761-07:00,35,0,0
2022-04-01T01:30:06.314-07:00,35,0,0
2022-04-01T01:45:07.650-07:00,34,0,0
2022-04-01T02:00:00.741-07:00,35,0,0
2022-04-01T02:15:07.283-07:00,35,0,0
2022-04-01T02:30:06.538-07:00,35,0,0
2022-04-01T02:45:07.017-07:00,35,0,0
2022-04-01T03:00:06.002-07:00,34,0,0
2022-04-01T03:15:06.680-07:00,34,0,0
2022-04-01T03:30:06.672-07:00,34,0,0
2022-04-01T03:45:07.095-07:00,34,0,0
2022-04-01T04:00:10.264-07:00,35,0,0
2022-04-01T04:15:07.458-07:00,34,0,0
2022-04-01T04:30:07.022-07:00,35,0,0
2022-04-01T04:45:06.297-07:00,35,0,0
2022-04-01T05:00:10.095-07:00,35,0,0
2022-04-01T05:15:06.601-07:00,34,0,0
2022-04-01T05:30:09.968-07:00,35,0,0
2022-04-01T05:45:06.753-07:00,35,0,0
2022-04-01T06:00:06.276-07:00,35,0,0
2022-04-01T06:15:06.655-07:00,35,0,0
2022-04-01T06:30:07.723-07:00,36,0,0
2022-04-01T06:45:07.034-07:00,35,0,0
2022-04-01T07:00:07.519-07:00,34,0,0
2022-04-01T07:15:07.020-07:00,35,0,0
2022-04-01T07:30:00.879-07:00,35,0,0
2022-04-01T07:45:10.104-07:00,34,0,0
2022-04-01T08:00:06.950-07:00,36,0,0
2022-04-01T08:15:07.081-07:00,35,0,0
2022-04-01T08:30:07.946-07:00,35,0,0
2022-04-01T08:45:06.337-07:00,35,0,0
2022-04-01T09:00:06.622-07:00,35,0,0
2022-04-01T09:15:07.184-07:00,35,0,0
2022-04-01T09:30:07.332-07:00,35,0,0
2022-04-01T09:45:07.010-07:00,35,0,0
2022-04-01T10:00:07.067-07:00,36,0,0
2022-04-01T10:15:08.032-07:00,0,16,1
2022-04-01T10:30:08.116-07:00,36,0,0
2022-04-01T10:45:07.519-07:00,36,0,0
2022-04-01T11:00:07.408-07:00,36,0,0
2022-04-01T11:15:07.289-07:00,35,0,0
2022-04-01T11:30:07.359-07:00,35,0,0
2022-04-01T11:45:07.747-07:00,38,0,0
2022-04-01T12:00:07.851-07:00,35,0,0
2022-04-01T12:15:06.994-07:00,36,0,0
2022-04-01T12:30:07.129-07:00,36,0,0
2022-04-01T12:45:06.841-07:00,38,0,0
2022-04-01T13:00:07.040-07:00,35,0,0
2022-04-01T13:15:06.635-07:00,36,0,0
2022-04-01T13:30:10.616-07:00,35,0,0
2022-04-01T13:45:00.707-07:00,36,0,0
2022-04-01T14:00:06.998-07:00,36,0,0
2022-04-01T14:15:07.416-07:00,35,0,0
2022-04-01T14:30:06.825-07:00,36,0,0
2022-04-01T14:45:07.187-07:00,36,0,0
2022-04-01T15:00:06.726-07:00,36,0,0
2022-04-01T15:15:06.452-07:00,37,0,0
2022-04-01T15:30:13.095-07:00,36,0,0
2022-04-01T15:45:09.352-07:00,35,0,0
2022-04-01T16:00:06.692-07:00,35,0,0
2022-04-01T16:15:06.830-07:00,37,0,0
2022-04-01T16:30:09.847-07:00,36,0,0
2022-04-01T16:45:06.366-07:00,35,0,0
2022-04-01T17:00:06.652-07:00,37,0,0
2022-04-01T17:15:10.144-07:00,35,0,0
2022-04-01T17:30:06.817-07:00,36,0,0
2022-04-01T17:45:08.241-07:00,36,0,0
2022-04-01T18:00:06.807-07:00,35,0,0
2022-04-01T18:15:07.849-07:00,35,0,0
2022-04-01T18:30:07.036-07:00,35,0,0
2022-04-01T18:45:06.590-07:00,35,0,0
2022-04-01T19:00:06.350-07:00,35,0,0
2022-04-01T19:15:06.790-07:00,35,0,0
2022-04-01T19:30:07.091-07:00,35,0,0
2022-04-01T19:45:06.637-07:00,35,0,0
2022-04-01T20:00:06.949-07:00,35,0,0
2022-04-01T20:15:09.611-07:00,34,0,0
2022-04-01T20:30:06.229-07:00,36,0,0
2022-04-01T20:45:06.878-07:00,35,0,0
2022-04-01T21:00:06.271-07:00,35,0,0
2022-04-01T21:15:06.849-07:00,35,0,0
2022-04-01T21:30:06.576-07:00,35,0,0
2022-04-01T21:45:06.581-07:00,35,0,0
2022-04-01T22:00:17.898-07:00,35,0,0
2022-04-01T22:15:06.890-07:00,34,0,0
2022-04-01T22:30:06.275-07:00,35,0,0
2022-04-01T22:45:06.388-07:00,35,0,0
2022-04-01T23:00:06.635-07:00,35,0,0
2022-04-01T23:15:09.936-07:00,35,0,0
2022-04-01T23:30:06.867-07:00,35,0,0
2022-04-01T23:45:06.299-07:00,36,0,0
2022-04-02T00:00:06.414-07:00,35,0,0
2022-04-02T00:15:06.480-07:00,35,0,0
2022-04-02T00:30:06.267-07:00,34,0,0
2022-04-02T00:45:06.423-07:00,35,0,0
2022-04-02T01:00:06.354-07:00,35,0,0
2022-04-02T01:15:06.363-07:00,35,0,0
2022-04-02T01:30:06.662-07:00,34,0,0
