t,v,s,r
2022-03-31T23:45:07.061-07:00,0.1599999964237213,0,0
2022-04-01T00:00:06.584-07:00,0.20000000298023224,0,0
2022-04-01T00:15:06.960-07:00,-32.60599899291992,0,0
2022-04-01T00:30:11.518-07:00,0.09099999815225601,0,0
2022-04-01T00:45:06.869-07:00,-32.45399856567383,0,0
2022-04-01T01:00:09.596-07:00,0.026000000536441803,0,0
2022-04-01T01:15:07.155-07:00,-32.66299819946289,0,0
2022-04-01T01:30:06.727-07:00,0.1889999955892563,0,0
2022-04-01T01:45:08.031-07:00,-32.566001892089844,0,0
2022-04-01T02:00:00.768-07:00,0.1860000044107437,0,0
2022-04-01T02:15:07.674-07:00,0.3630000054836273,0,0
2022-04-01T02:30:06.966-07:00,-32.70000076293945,0,0
2022-04-01T02:45:07.370-07:00,-32.70399856567383,0,0
2022-04-01T03:00:06.396-07:00,-32.63100051879883,0,0
2022-04-01T03:15:07.124-07:00,0.19200000166893005,0,0
2022-04-01T03:30:07.048-07:00,0.009999999776482582,0,0
2022-04-01T03:45:07.521-07:00,0.05299999937415123,0,0
2022-04-01T04:00:10.653-07:00,0.17100000381469727,0,0
2022-04-01T04:15:07.859-07:00,-32.70000076293945,0,0
2022-04-01T04:30:07.546-07:00,-32.518001556396484,0,0
2022-04-01T04:45:06.633-07:00,-32.64799880981445,0,0
2022-04-01T05:00:10.526-07:00,-32.45000076293945,0,0
2022-04-01T05:15:06.941-07:00,0.46700000762939453,0,0
2022-04-01T05:30:10.381-07:00,0.515999972820282,0,0
2022-04-01T05:45:07.151-07:00,0.3790000081062317,0,0
2022-04-01T06:00:06.653-07:00,0.6520000100135803,0,0
2022-04-01T06:15:07.050-07:00,0.5410000085830688,0,0
2022-04-01T06:30:08.078-07:00,0.45399999618530273,0,0
2022-04-01T06:45:07.562-07:00,0.5270000100135803,0,0
2022-04-01T07:00:07.910-07:00,0.23199999332427979,0,0
2022-04-01T07:15:07.380-07:00,0.34299999475479126,0,0
2022-04-01T07:30:00.917-07:00,-32.67300033569336,0,0
2022-04-01T07:45:10.454-07:00,0.07800000160932541,0,0
2022-04-01T08:00:07.354-07:00,-32.36199951171875,0,0
2022-04-01T08:15:07.431-07:00,-32.220001220703125,0,0
2022-04-01T08:30:08.493-07:00,-32.11600112915039,0,0
2022-04-01T08:45:06.586-07:00,-32.13399887084961,0,0
2022-04-01T09:00:06.970-07:00,-31.950000762939453,0,0
2022-04-01T09:15:07.622-07:00,-32.034000396728516,0,0
2022-04-01T09:30:07.700-07:00,-32.053001403808594,0,0
2022-04-01T09:45:07.413-07:00,-31.902000427246094,0,0
2022-04-01T10:00:07.445-07:00,0.00800000037997961,0,0
2022-04-01T10:15:08.138-07:00,-32.768001556396484,16,1
2022-04-01T10:30:08.544-07:00,0.4480000138282776,0,0
2022-04-01T10:45:07.949-07:00,0.4090000092983246,0,0
2022-04-01T11:00:07.739-07:00,0.49799999594688416,0,0
2022-04-01T11:15:07.690-07:00,-32.75,0,0
2022-04-01T11:30:07.780-07:00,-32.21799850463867,0,0
2022-04-01T11:45:08.336-07:00,-32.112998962402344,0,0
2022-04-01T12:00:08.235-07:00,-32.04499816894531,0,0
2022-04-01T12:15:07.495-07:00,-31.83300018310547,0,0
2022-04-01T12:30:07.558-07:00,-31.843000411987305,0,0
2022-04-01T12:45:07.287-07:00,-31.92799949645996,0,0
2022-04-01T13:00:07.436-07:00,-31.93600082397461,0,0
2022-04-01T13:15:07.128-07:00,-31.910999298095703,0,0
2022-04-01T13:30:11.036-07:00,-31.868999481201172,0,0
2022-04-01T13:45:00.731-07:00,-31.849000930786133,0,0
2022-04-01T14:00:07.381-07:00,-31.867000579833984,0,0
2022-04-01T14:15:07.776-07:00,-31.915000915527344,0,0
2022-04-01T14:30:07.338-07:00,-31.886999130249023,0,0
2022-04-01T14:45:07.642-07:00,-31.8439998626709,0,0
