t,v,s,r
2022-03-31T23:45:07.341-07:00,52,0,0
2022-04-01T00:00:06.886-07:00,26,0,0
2022-04-01T00:15:07.281-07:00,15,0,0
2022-04-01T00:30:11.747-07:00,65535,0,0
2022-04-01T00:45:07.146-07:00,65492,0,0
2022-04-01T01:00:09.856-07:00,0,0,0
2022-04-01T01:15:07.439-07:00,65516,0,0
2022-04-01T01:30:07.058-07:00,65508,0,0
2022-04-01T01:45:08.291-07:00,65534,0,0
2022-04-01T02:00:00.784-07:00,25,0,0
2022-04-01T02:15:07.986-07:00,22,0,0
2022-04-01T02:30:07.309-07:00,65509,0,0
2022-04-01T02:45:07.713-07:00,19,0,0
2022-04-01T03:00:06.688-07:00,65513,0,0
2022-04-01T03:15:07.361-07:00,22,0,0
2022-04-01T03:30:07.325-07:00,65528,0,0
2022-04-01T03:45:07.859-07:00,65506,0,0
2022-04-01T04:00:10.960-07:00,26,0,0
2022-04-01T04:15:08.225-07:00,41,0,0
2022-04-01T04:30:07.835-07:00,65500,0,0
2022-04-01T04:45:06.966-07:00,65523,0,0
2022-04-01T05:00:10.953-07:00,65496,0,0
2022-04-01T05:15:07.273-07:00,53,0,0
2022-04-01T05:30:10.693-07:00,11,0,0
2022-04-01T05:45:07.485-07:00,52,0,0
2022-04-01T06:00:06.969-07:00,122,0,0
2022-04-01T06:15:07.358-07:00,191,0,0
2022-04-01T06:30:08.404-07:00,68,0,0
2022-04-01T06:45:07.822-07:00,51,0,0
2022-04-01T07:00:08.248-07:00,18,0,0
2022-04-01T07:15:07.737-07:00,43,0,0
2022-04-01T07:30:00.938-07:00,65509,0,0
2022-04-01T07:45:10.741-07:00,47,0,0
2022-04-01T08:00:07.686-07:00,65523,0,0
2022-04-01T08:15:07.749-07:00,65481,0,0
2022-04-01T08:30:08.885-07:00,65437,0,0
2022-04-01T08:45:06.880-07:00,65406,0,0
2022-04-01T09:00:07.348-07:00,65345,0,0
2022-04-01T09:15:08.018-07:00,65413,0,0
