t,v,s,r
2022-03-31T23:45:12.311-07:00,0,21,0
2022-04-01T00:00:12.186-07:00,0,21,0
2022-04-01T00:15:12.990-07:00,0,21,0
2022-04-01T00:30:12.242-07:00,0,21,0
2022-04-01T00:45:12.620-07:00,0,21,0
2022-04-01T01:00:12.111-07:00,0,21,0
2022-04-01T01:15:12.176-07:00,0,21,0
2022-04-01T01:30:12.165-07:00,0,21,0
2022-04-01T01:45:11.923-07:00,0,21,0
2022-04-01T02:00:12.180-07:00,0,21,0
2022-04-01T02:15:11.745-07:00,0,21,0
2022-04-01T02:30:12.018-07:00,0,21,0
2022-04-01T02:45:12.440-07:00,0,21,0
2022-04-01T03:00:12.025-07:00,0,21,0
2022-04-01T03:15:12.200-07:00,0,21,0
2022-04-01T03:30:12.130-07:00,0,21,0
2022-04-01T03:45:13.829-07:00,0,21,0
2022-04-01T04:00:12.250-07:00,0,21,0
2022-04-01T04:15:12.068-07:00,0,21,0
2022-04-01T04:30:11.980-07:00,0,21,0
2022-04-01T04:45:12.409-07:00,0,21,0
2022-04-01T05:00:11.990-07:00,0,21,0
2022-04-01T05:15:12.197-07:00,0,21,0
2022-04-01T05:30:12.388-07:00,0,21,0
2022-04-01T05:45:11.993-07:00,0,21,0
2022-04-01T06:00:12.283-07:00,0,21,0
2022-04-01T06:15:12.276-07:00,0,21,0
2022-04-01T06:30:11.822-07:00,0,21,0
2022-04-01T06:45:12.156-07:00,0,21,0
2022-04-01T07:00:12.156-07:00,0,21,0
2022-04-01T07:15:12.896-07:00,0,21,0
2022-04-01T07:30:12.086-07:00,0,21,0
2022-04-01T07:45:12.250-07:00,0,21,0
2022-04-01T08:00:11.986-07:00,0,21,0
2022-04-01T08:15:12.128-07:00,0,21,0
2022-04-01T08:30:12.329-07:00,0,21,0
2022-04-01T08:45:11.945-07:00,0,21,0
2022-04-01T09:00:11.955-07:00,0,21,0
2022-04-01T09:15:11.967-07:00,0,21,0
2022-04-01T09:30:12.201-07:00,0,21,0
2022-04-01T09:45:11.952-07:00,0,21,0
2022-04-01T10:00:11.916-07:00,0,21,0
2022-04-01T10:15:12.174-07:00,0,21,0
2022-04-01T10:30:12.300-07:00,0,21,0
2022-04-01T10:45:11.858-07:00,0,21,0
2022-04-01T11:00:12.494-07:00,0,21,0
2022-04-01T11:15:12.092-07:00,0,21,0
2022-04-01T11:30:12.825-07:00,0,21,0
2022-04-01T11:45:12.197-07:00,0,21,0
2022-04-01T12:00:11.919-07:00,0,21,0
2022-04-01T12:15:12.203-07:00,0,21,0
2022-04-01T12:30:12.689-07:00,0,21,0
2022-04-01T12:45:12.476-07:00,0,21,0
2022-04-01T13:00:12.838-07:00,0,21,0
2022-04-01T13:15:12.222-07:00,0,21,0
2022-04-01T13:30:11.956-07:00,0,21,0
2022-04-01T13:45:13.469-07:00,0,21,0
2022-04-01T14:00:12.561-07:00,0,21,0
2022-04-01T14:15:13.648-07:00,0,21,0
2022-04-01T14:30:12.395-07:00,0,21,0
2022-04-01T14:45:12.183-07:00,0,21,0
2022-04-01T15:00:12.608-07:00,0,21,0
2022-04-01T15:15:12.427-07:00,0,21,0
2022-04-01T15:30:12.105-07:00,0,21,0
2022-04-01T15:45:12.522-07:00,0,21,0
2022-04-01T16:00:12.126-07:00,0,21,0
2022-04-01T16:15:12.048-07:00,0,21,0
2022-04-01T16:30:12.535-07:00,0,21,0
2022-04-01T16:45:12.968-07:00,0,21,0
2022-04-01T17:00:12.304-07:00,0,21,0
2022-04-01T17:15:13.246-07:00,0,21,0
2022-04-01T17:30:12.172-07:00,0,21,0
2022-04-01T17:45:12.330-07:00,0,21,0
2022-04-01T18:00:11.995-07:00,0,21,0
2022-04-01T18:15:12.061-07:00,0,21,0
2022-04-01T18:30:13.147-07:00,0,21,0
2022-04-01T18:45:12.023-07:00,0,21,0
2022-04-01T19:00:12.231-07:00,0,21,0
2022-04-01T19:15:12.186-07:00,0,21,0
2022-04-01T19:30:12.187-07:00,0,21,0
2022-04-01T19:45:12.106-07:00,0,21,0
2022-04-01T20:00:13.254-07:00,0,21,0
2022-04-01T20:15:12.142-07:00,0,21,0
2022-04-01T20:30:12.357-07:00,0,21,0
2022-04-01T20:45:11.984-07:00,0,21,0
2022-04-01T21:00:12.356-07:00,0,21,0
2022-04-01T21:15:12.369-07:00,0,21,0
2022-04-01T21:30:11.900-07:00,0,21,0
2022-04-01T21:45:13.229-07:00,0,21,0
2022-04-01T22:00:12.503-07:00,0,21,0
2022-04-01T22:15:12.268-07:00,0,21,0
2022-04-01T22:30:12.211-07:00,0,21,0
2022-04-01T22:45:12.280-07:00,0,21,0
2022-04-01T23:00:12.258-07:00,0,21,0
2022-04-01T23:15:12.340-07:00,0,21,0
2022-04-01T23:30:12.090-07:00,0,21,0
2022-04-01T23:45:12.189-07:00,0,21,0
2022-04-02T00:00:12.512-07:00,0,21,0
2022-04-02T00:15:11.886-07:00,0,21,0
2022-04-02T00:30:12.446-07:00,0,21,0
2022-04-02T00:45:13.554-07:00,0,21,0
2022-04-02T01:00:11.994-07:00,0,21,0
2022-04-02T01:15:12.329-07:00,0,21,0
2022-04-02T01:30:12.449-07:00,0,21,0
2022-04-02T01:45:12.013-07:00,0,21,0
2022-04-02T02:00:12.456-07:00,0,21,0
2022-04-02T02:15:12.939-07:00,0,21,0
2022-04-02T02:30:12.199-07:00,0,21,0
2022-04-02T02:45:12.028-07:00,0,21,0
2022-04-02T03:00:12.071-07:00,0,21,0
2022-04-02T03:15:12.245-07:00,0,21,0
2022-04-02T03:30:12.170-07:00,0,21,0
2022-04-02T03:45:12.070-07:00,0,21,0
2022-04-02T04:00:12.279-07:00,0,21,0
2022-04-02T04:15:12.078-07:00,0,21,0
2022-04-02T04:30:12.223-07:00,0,21,0
2022-04-02T04:45:12.249-07:00,0,21,0
2022-04-02T05:00:12.073-07:00,0,21,0
2022-04-02T05:15:12.191-07:00,0,21,0
2022-04-02T05:30:12.097-07:00,0,21,0
2022-04-02T05:45:12.736-07:00,0,21,0
2022-04-02T06:00:12.575-07:00,0,21,0
2022-04-02T06:15:13.571-07:00,0,21,0
2022-04-02T06:30:12.376-07:00,0,21,0
2022-04-02T06:45:12.516-07:00,0,21,0
2022-04-02T07:00:12.265-07:00,0,21,0
2022-04-02T07:15:12.514-07:00,0,21,0
2022-04-02T07:30:12.348-07:00,0,21,0
2022-04-02T07:45:12.221-07:00,0,21,0
2022-04-02T08:00:13.389-07:00,0,21,0
2022-04-02T08:15:11.896-07:00,0,21,0
2022-04-02T08:30:13.349-07:00,0,21,0
2022-04-02T08:45:12.243-07:00,0,21,0
2022-04-02T09:00:12.122-07:00,0,21,0
2022-04-02T09:15:12.300-07:00,0,21,0
2022-04-02T09:30:12.206-07:00,0,21,0
2022-04-02T09:45:13.597-07:00,0,21,0
2022-04-02T10:00:12.455-07:00,0,21,0
2022-04-02T10:15:12.047-07:00,0,21,0
2022-04-02T10:30:12.458-07:00,0,21,0
2022-04-02T10:45:12.084-07:00,0,21,0
2022-04-02T11:00:12.290-07:00,0,21,0
2022-04-02T11:15:12.626-07:00,0,21,0
2022-04-02T11:30:12.193-07:00,0,21,0
2022-04-02T11:45:12.260-07:00,0,21,0
2022-04-02T12:00:12.338-07:00,0,21,0
2022-04-02T12:15:11.976-07:00,0,21,0
2022-04-02T12:30:12.182-07:00,0,21,0
2022-04-02T12:45:12.147-07:00,0,21,0
2022-04-02T13:00:12.265-07:00,0,21,0
2022-04-02T13:15:12.194-07:00,0,21,0
2022-04-02T13:30:12.172-07:00,0,21,0
2022-04-02T13:45:12.532-07:00,0,21,0
2022-04-02T14:00:12.197-07:00,0,21,0
2022-04-02T14:15:12.112-07:00,0,21,0
2022-04-02T14:30:12.166-07:00,0,21,0
2022-04-02T14:45:12.385-07:00,0,21,0
2022-04-02T15:00:12.102-07:00,0,21,0
2022-04-02T15:15:12.207-07:00,0,21,0
2022-04-02T15:30:11.996-07:00,0,21,0
2022-04-02T15:45:13.132-07:00,0,21,0
2022-04-02T16:00:12.018-07:00,0,21,0
2022-04-02T16:15:12.089-07:00,0,21,0
2022-04-02T16:30:12.464-07:00,0,21,0
2022-04-02T16:45:12.061-07:00,0,21,0
2022-04-02T17:00:12.322-07:00,0,21,0
2022-04-02T17:15:12.709-07:00,0,21,0
2022-04-02T17:30:12.468-07:00,0,21,0
2022-04-02T17:45:13.234-07:00,0,21,0
2022-04-02T18:00:12.048-07:00,0,21,0
2022-04-02T18:15:12.220-07:00,0,21,0
2022-04-02T18:30:12.413-07:00,0,21,0
2022-04-02T18:45:12.099-07:00,0,21,0
2022-04-02T19:00:12.784-07:00,0,21,0
2022-04-02T19:15:12.576-07:00,0,21,0
2022-04-02T19:30:12.118-07:00,0,21,0
2022-04-02T19:45:12.608-07:00,0,21,0
2022-04-02T20:00:12.704-07:00,0,21,0
2022-04-02T20:15:12.440-07:00,0,21,0
2022-04-02T20:30:12.684-07:00,0,21,0
2022-04-02T20:45:12.496-07:00,0,21,0
2022-04-02T21:00:12.102-07:00,0,21,0
2022-04-02T21:15:12.376-07:00,0,21,0
2022-04-02T21:30:12.092-07:00,0,21,0
2022-04-02T21:45:12.086-07:00,0,21,0
2022-04-02T22:00:12.111-07:00,0,21,0
2022-04-02T22:15:12.149-07:00,0,21,0
2022-04-02T22:30:12.137-07:00,0,21,0
2022-04-02T22:45:12.152-07:00,0,21,0
2022-04-02T23:00:12.119-07:00,0,21,0
2022-04-02T23:15:12.200-07:00,0,21,0
2022-04-02T23:30:12.355-07:00,0,21,0
2022-04-02T23:45:12.474-07:00,0,21,0
2022-04-03T00:00:12.444-07:00,0,21,0
2022-04-03T00:15:12.854-07:00,0,21,0
2022-04-03T00:30:11.997-07:00,0,21,0
2022-04-03T00:45:12.274-07:00,0,21,0
2022-04-03T01:00:11.969-07:00,0,21,0
2022-04-03T01:15:12.027-07:00,0,21,0
2022-04-03T01:30:12.023-07:00,0,21,0
2022-04-03T01:45:12.405-07:00,0,21,0
2022-04-03T02:00:12.442-07:00,0,21,0
2022-04-03T02:15:12.055-07:00,0,21,0
2022-04-03T02:30:12.438-07:00,0,21,0
2022-04-03T02:45:13.169-07:00,0,21,0
2022-04-03T03:00:12.139-07:00,0,21,0
2022-04-03T03:15:12.241-07:00,0,21,0
2022-04-03T03:30:12.142-07:00,0,21,0
2022-04-03T03:45:12.195-07:00,0,21,0
2022-04-03T04:00:12.297-07:00,0,21,0
2022-04-03T04:15:12.219-07:00,0,21,0
2022-04-03T04:30:12.495-07:00,0,21,0
2022-04-03T04:45:12.395-07:00,0,21,0
2022-04-03T05:00:15.636-07:00,0,21,0
2022-04-03T05:15:12.457-07:00,0,21,0
2022-04-03T05:30:11.990-07:00,0,21,0
2022-04-03T05:45:12.916-07:00,0,21,0
2022-04-03T06:00:12.263-07:00,0,21,0
2022-04-03T06:15:11.998-07:00,0,21,0
2022-04-03T06:30:12.253-07:00,0,21,0
2022-04-03T06:45:12.120-07:00,0,21,0
2022-04-03T07:00:12.042-07:00,0,21,0
2022-04-03T07:15:12.268-07:00,0,21,0
2022-04-03T07:30:12.256-07:00,0,21,0
2022-04-03T07:45:13.170-07:00,0,21,0
2022-04-03T08:00:12.111-07:00,0,21,0
2022-04-03T08:15:12.138-07:00,0,21,0
2022-04-03T08:30:12.320-07:00,0,21,0
2022-04-03T08:45:11.951-07:00,0,21,0
2022-04-03T09:00:12.237-07:00,0,21,0
2022-04-03T09:15:13.057-07:00,0,21,0
2022-04-03T09:30:12.060-07:00,0,21,0
2022-04-03T09:45:12.301-07:00,0,21,0
2022-04-03T10:00:12.358-07:00,0,21,0
2022-04-03T10:15:12.204-07:00,0,21,0
2022-04-03T10:30:12.243-07:00,0,21,0
2022-04-03T10:45:12.045-07:00,0,21,0
2022-04-03T11:00:12.254-07:00,0,21,0
2022-04-03T11:15:12.118-07:00,0,21,0
2022-04-03T11:30:12.309-07:00,0,21,0
2022-04-03T11:45:12.454-07:00,0,21,0
2022-04-03T12:00:12.500-07:00,0,21,0
2022-04-03T12:15:12.154-07:00,0,21,0
2022-04-03T12:30:13.608-07:00,0,21,0
2022-04-03T12:45:12.020-07:00,0,21,0
2022-04-03T13:00:12.123-07:00,0,21,0
2022-04-03T13:15:12.182-07:00,0,21,0
2022-04-03T13:30:13.228-07:00,0,21,0
2022-04-03T13:45:13.772-07:00,0,21,0
2022-04-03T14:00:13.534-07:00,0,21,0
2022-04-03T14:15:11.998-07:00,0,21,0
2022-04-03T14:30:12.405-07:00,0,21,0
2022-04-03T14:45:12.178-07:00,0,21,0
2022-04-03T15:00:12.003-07:00,0,21,0
2022-04-03T15:15:12.361-07:00,0,21,0
2022-04-03T15:30:12.196-07:00,0,21,0
2022-04-03T15:45:13.054-07:00,0,21,0
2022-04-03T16:00:12.348-07:00,0,21,0
2022-04-03T16:15:11.937-07:00,0,21,0
2022-04-03T16:30:12.093-07:00,0,21,0
2022-04-03T16:45:12.461-07:00,0,21,0
2022-04-03T17:00:11.945-07:00,0,21,0
2022-04-03T17:15:13.016-07:00,0,21,0
2022-04-03T17:30:11.937-07:00,0,21,0
2022-04-03T17:45:12.024-07:00,0,21,0
2022-04-03T18:00:12.032-07:00,0,21,0
2022-04-03T18:15:12.819-07:00,0,21,0
2022-04-03T18:30:12.165-07:00,0,21,0
2022-04-03T18:45:13.000-07:00,0,21,0
2022-04-03T19:00:11.983-07:00,0,21,0
2022-04-03T19:15:12.161-07:00,0,21,0
2022-04-03T19:30:12.042-07:00,0,21,0
2022-04-03T19:45:11.914-07:00,0,21,0
2022-04-03T20:00:12.282-07:00,0,21,0
2022-04-03T20:15:13.204-07:00,0,21,0
2022-04-03T20:30:11.864-07:00,0,21,0
2022-04-03T20:45:12.175-07:00,0,21,0
2022-04-03T21:00:11.889-07:00,0,21,0
2022-04-03T21:15:12.016-07:00,0,21,0
2022-04-03T21:30:12.046-07:00,0,21,0
2022-04-03T21:45:12.009-07:00,0,21,0
2022-04-03T22:00:12.098-07:00,0,21,0
2022-04-03T22:15:12.201-07:00,0,21,0
2022-04-03T22:30:12.193-07:00,0,21,0
2022-04-03T22:45:13.226-07:00,0,21,0
2022-04-03T23:00:11.900-07:00,0,21,0
2022-04-03T23:15:12.088-07:00,0,21,0
2022-04-03T23:30:11.890-07:00,0,21,0
2022-04-03T23:45:11.954-07:00,0,21,0
2022-04-04T00:00:12.198-07:00,0,21,0
2022-04-04T00:15:12.378-07:00,0,21,0
2022-04-04T00:30:11.851-07:00,0,21,0
2022-04-04T00:45:12.258-07:00,0,21,0
2022-04-04T01:00:12.108-07:00,0,21,0
2022-04-04T01:15:11.982-07:00,0,21,0
2022-04-04T01:30:12.695-07:00,0,21,0
2022-04-04T01:45:12.210-07:00,0,21,0
2022-04-04T02:00:13.254-07:00,0,21,0
2022-04-04T02:15:13.734-07:00,0,21,0
2022-04-04T02:30:12.708-07:00,0,21,0
2022-04-04T02:45:12.180-07:00,0,21,0
2022-04-04T03:00:13.034-07:00,0,21,0
2022-04-04T03:15:12.886-07:00,0,21,0
2022-04-04T03:30:12.906-07:00,0,21,0
2022-04-04T03:45:12.569-07:00,0,21,0
2022-04-04T04:00:12.286-07:00,0,21,0
2022-04-04T04:15:12.158-07:00,0,21,0
2022-04-04T04:30:12.073-07:00,0,21,0
2022-04-04T04:45:12.397-07:00,0,21,0
2022-04-04T05:00:12.454-07:00,0,21,0
2022-04-04T05:15:11.952-07:00,0,21,0
2022-04-04T05:30:13.262-07:00,0,21,0
2022-04-04T05:45:12.927-07:00,0,21,0
2022-04-04T06:00:13.395-07:00,0,21,0
2022-04-04T06:15:12.652-07:00,0,21,0
2022-04-04T06:30:11.974-07:00,0,21,0
2022-04-04T06:45:12.141-07:00,0,21,0
2022-04-04T07:00:12.360-07:00,0,21,0
2022-04-04T07:15:12.038-07:00,0,21,0
