t,v,s,r
2022-03-31T23:45:12.735-07:00,0,21,0
2022-04-01T00:00:12.545-07:00,0,21,0
2022-04-01T00:15:13.315-07:00,0,21,0
2022-04-01T00:30:12.565-07:00,0,21,0
2022-04-01T00:45:12.942-07:00,0,21,0
2022-04-01T01:00:12.435-07:00,0,21,0
2022-04-01T01:15:12.549-07:00,0,21,0
2022-04-01T01:30:12.485-07:00,0,21,0
2022-04-01T01:45:12.255-07:00,0,21,0
2022-04-01T02:00:12.500-07:00,0,21,0
2022-04-01T02:15:12.278-07:00,0,21,0
2022-04-01T02:30:12.347-07:00,0,21,0
2022-04-01T02:45:12.749-07:00,0,21,0
2022-04-01T03:00:12.348-07:00,0,21,0
2022-04-01T03:15:12.554-07:00,0,21,0
2022-04-01T03:30:12.456-07:00,0,21,0
2022-04-01T03:45:14.159-07:00,0,21,0
2022-04-01T04:00:12.569-07:00,0,21,0
2022-04-01T04:15:12.419-07:00,0,21,0
2022-04-01T04:30:12.302-07:00,0,21,0
2022-04-01T04:45:12.757-07:00,0,21,0
2022-04-01T05:00:12.531-07:00,0,21,0
2022-04-01T05:15:12.514-07:00,0,21,0
2022-04-01T05:30:12.877-07:00,0,21,0
2022-04-01T05:45:12.326-07:00,0,21,0
2022-04-01T06:00:12.626-07:00,0,21,0
2022-04-01T06:15:12.576-07:00,0,21,0
2022-04-01T06:30:12.166-07:00,0,21,0
2022-04-01T06:45:12.522-07:00,0,21,0
2022-04-01T07:00:12.490-07:00,0,21,0
2022-04-01T07:15:13.223-07:00,0,21,0
2022-04-01T07:30:12.407-07:00,0,21,0
2022-04-01T07:45:12.569-07:00,0,21,0
2022-04-01T08:00:12.351-07:00,0,21,0
2022-04-01T08:15:12.439-07:00,0,21,0
2022-04-01T08:30:12.687-07:00,0,21,0
2022-04-01T08:45:12.288-07:00,0,21,0
2022-04-01T09:00:12.274-07:00,0,21,0
2022-04-01T09:15:12.293-07:00,0,21,0
2022-04-01T09:30:12.532-07:00,0,21,0
2022-04-01T09:45:12.291-07:00,0,21,0
2022-04-01T10:00:12.250-07:00,0,21,0
2022-04-01T10:15:12.511-07:00,0,21,0
2022-04-01T10:30:12.625-07:00,0,21,0
2022-04-01T10:45:12.171-07:00,0,21,0
2022-04-01T11:00:12.837-07:00,0,21,0
2022-04-01T11:15:12.400-07:00,0,21,0
2022-04-01T11:30:13.162-07:00,0,21,0
2022-04-01T11:45:12.540-07:00,0,21,0
2022-04-01T12:00:12.238-07:00,0,21,0
2022-04-01T12:15:12.540-07:00,0,21,0
2022-04-01T12:30:13.016-07:00,0,21,0
2022-04-01T12:45:12.825-07:00,0,21,0
2022-04-01T13:00:13.258-07:00,0,21,0
2022-04-01T13:15:12.580-07:00,0,21,0
2022-04-01T13:30:12.300-07:00,0,21,0
2022-04-01T13:45:13.810-07:00,0,21,0
2022-04-01T14:00:12.884-07:00,0,21,0
2022-04-01T14:15:13.981-07:00,0,21,0
2022-04-01T14:30:12.704-07:00,0,21,0
2022-04-01T14:45:12.503-07:00,0,21,0
2022-04-01T15:00:12.935-07:00,0,21,0
2022-04-01T15:15:12.769-07:00,0,21,0
2022-04-01T15:30:12.453-07:00,0,21,0
2022-04-01T15:45:12.854-07:00,0,21,0
2022-04-01T16:00:12.446-07:00,0,21,0
2022-04-01T16:15:12.384-07:00,0,21,0
2022-04-01T16:30:12.857-07:00,0,21,0
2022-04-01T16:45:13.303-07:00,0,21,0
2022-04-01T17:00:12.623-07:00,0,21,0
2022-04-01T17:15:13.596-07:00,0,21,0
2022-04-01T17:30:12.501-07:00,0,21,0
2022-04-01T17:45:12.631-07:00,0,21,0
2022-04-01T18:00:12.332-07:00,0,21,0
2022-04-01T18:15:12.370-07:00,0,21,0
2022-04-01T18:30:13.477-07:00,0,21,0
2022-04-01T18:45:12.349-07:00,0,21,0
2022-04-01T19:00:12.570-07:00,0,21,0
2022-04-01T19:15:12.530-07:00,0,21,0
2022-04-01T19:30:12.513-07:00,0,21,0
2022-04-01T19:45:12.440-07:00,0,21,0
2022-04-01T20:00:13.593-07:00,0,21,0
2022-04-01T20:15:12.474-07:00,0,21,0
2022-04-01T20:30:12.679-07:00,0,21,0
2022-04-01T20:45:12.309-07:00,0,21,0
2022-04-01T21:00:12.687-07:00,0,21,0
2022-04-01T21:15:12.686-07:00,0,21,0
2022-04-01T21:30:12.229-07:00,0,21,0
2022-04-01T21:45:13.562-07:00,0,21,0
2022-04-01T22:00:12.846-07:00,0,21,0
2022-04-01T22:15:12.602-07:00,0,21,0
2022-04-01T22:30:12.676-07:00,0,21,0
2022-04-01T22:45:12.632-07:00,0,21,0
2022-04-01T23:00:12.590-07:00,0,21,0
2022-04-01T23:15:12.800-07:00,0,21,0
2022-04-01T23:30:12.429-07:00,0,21,0
2022-04-01T23:45:12.508-07:00,0,21,0
2022-04-02T00:00:12.821-07:00,0,21,0
2022-04-02T00:15:12.221-07:00,0,21,0
2022-04-02T00:30:12.780-07:00,0,21,0
2022-04-02T00:45:13.887-07:00,0,21,0
2022-04-02T01:00:12.335-07:00,0,21,0
2022-04-02T01:15:12.656-07:00,0,21,0
2022-04-02T01:30:12.769-07:00,0,21,0
2022-04-02T01:45:12.337-07:00,0,21,0
2022-04-02T02:00:12.783-07:00,0,21,0
2022-04-02T02:15:13.479-07:00,0,21,0
2022-04-02T02:30:12.517-07:00,0,21,0
2022-04-02T02:45:12.347-07:00,0,21,0
2022-04-02T03:00:12.396-07:00,0,21,0
