t,v,s,r
2022-03-31T23:45:15.248-07:00,0,21,0
2022-04-01T00:00:14.500-07:00,0,21,0
2022-04-01T00:15:15.549-07:00,0,21,0
2022-04-01T00:30:14.496-07:00,0,21,0
2022-04-01T00:45:14.868-07:00,0,21,0
2022-04-01T01:00:14.518-07:00,0,21,0
2022-04-01T01:15:14.482-07:00,0,21,0
2022-04-01T01:30:14.592-07:00,0,21,0
2022-04-01T01:45:14.185-07:00,0,21,0
2022-04-01T02:00:14.460-07:00,0,21,0
2022-04-01T02:15:14.438-07:00,0,21,0
2022-04-01T02:30:14.302-07:00,0,21,0
2022-04-01T02:45:14.714-07:00,0,21,0
2022-04-01T03:00:14.465-07:00,0,21,0
2022-04-01T03:15:14.493-07:00,0,21,0
2022-04-01T03:30:14.401-07:00,0,21,0
2022-04-01T03:45:16.294-07:00,0,21,0
2022-04-01T04:00:14.509-07:00,0,21,0
2022-04-01T04:15:14.455-07:00,0,21,0
2022-04-01T04:30:14.246-07:00,0,21,0
2022-04-01T04:45:14.673-07:00,0,21,0
2022-04-01T05:00:14.773-07:00,0,21,0
2022-04-01T05:15:14.479-07:00,0,21,0
2022-04-01T05:30:14.829-07:00,0,21,0
2022-04-01T05:45:14.641-07:00,0,21,0
2022-04-01T06:00:14.619-07:00,0,21,0
2022-04-01T06:15:14.514-07:00,0,21,0
2022-04-01T06:30:14.221-07:00,0,21,0
2022-04-01T06:45:14.495-07:00,0,21,0
2022-04-01T07:00:14.429-07:00,0,21,0
2022-04-01T07:15:15.157-07:00,0,21,0
2022-04-01T07:30:14.437-07:00,0,21,0
2022-04-01T07:45:14.503-07:00,0,21,0
2022-04-01T08:00:14.258-07:00,0,21,0
2022-04-01T08:15:14.479-07:00,0,21,0
2022-04-01T08:30:14.894-07:00,0,21,0
2022-04-01T08:45:14.236-07:00,0,21,0
2022-04-01T09:00:14.350-07:00,0,21,0
2022-04-01T09:15:14.390-07:00,0,21,0
2022-04-01T09:30:14.473-07:00,0,21,0
2022-04-01T09:45:14.391-07:00,0,21,0
2022-04-01T10:00:14.198-07:00,0,21,0
2022-04-01T10:15:14.453-07:00,0,21,0
2022-04-01T10:30:14.569-07:00,0,21,0
2022-04-01T10:45:14.138-07:00,0,21,0
2022-04-01T11:00:14.734-07:00,0,21,0
2022-04-01T11:15:14.454-07:00,0,21,0
2022-04-01T11:30:15.083-07:00,0,21,0
2022-04-01T11:45:14.471-07:00,0,21,0
2022-04-01T12:00:14.158-07:00,0,21,0
2022-04-01T12:15:14.474-07:00,0,21,0
2022-04-01T12:30:15.095-07:00,0,21,0
2022-04-01T12:45:14.791-07:00,0,21,0
2022-04-01T13:00:15.507-07:00,0,21,0
2022-04-01T13:15:14.512-07:00,0,21,0
2022-04-01T13:30:14.279-07:00,0,21,0
2022-04-01T13:45:15.925-07:00,0,21,0
2022-04-01T14:00:15.215-07:00,0,21,0
2022-04-01T14:15:15.934-07:00,0,21,0
2022-04-01T14:30:14.651-07:00,0,21,0
2022-04-01T14:45:14.439-07:00,0,21,0
2022-04-01T15:00:14.867-07:00,0,21,0
2022-04-01T15:15:14.708-07:00,0,21,0
2022-04-01T15:30:14.366-07:00,0,21,0
2022-04-01T15:45:14.769-07:00,0,21,0
2022-04-01T16:00:14.775-07:00,0,21,0
2022-04-01T16:15:14.514-07:00,0,21,0
2022-04-01T16:30:14.888-07:00,0,21,0
2022-04-01T16:45:15.393-07:00,0,21,0
2022-04-01T17:00:14.571-07:00,0,21,0
2022-04-01T17:15:15.535-07:00,0,21,0
2022-04-01T17:30:14.445-07:00,0,21,0
2022-04-01T17:45:14.597-07:00,0,21,0
2022-04-01T18:00:14.608-07:00,0,21,0
2022-04-01T18:15:14.440-07:00,0,21,0
2022-04-01T18:30:15.454-07:00,0,21,0
2022-04-01T18:45:14.300-07:00,0,21,0
2022-04-01T19:00:14.574-07:00,0,21,0
2022-04-01T19:15:14.437-07:00,0,21,0
2022-04-01T19:30:14.463-07:00,0,21,0
2022-04-01T19:45:14.579-07:00,0,21,0
2022-04-01T20:00:15.525-07:00,0,21,0
2022-04-01T20:15:14.410-07:00,0,21,0
2022-04-01T20:30:14.592-07:00,0,21,0
2022-04-01T20:45:14.470-07:00,0,21,0
2022-04-01T21:00:14.616-07:00,0,21,0
2022-04-01T21:15:14.654-07:00,0,21,0
2022-04-01T21:30:14.322-07:00,0,21,0
2022-04-01T21:45:15.511-07:00,0,21,0
2022-04-01T22:00:14.829-07:00,0,21,0
2022-04-01T22:15:14.538-07:00,0,21,0
2022-04-01T22:30:14.608-07:00,0,21,0
2022-04-01T22:45:14.580-07:00,0,21,0
2022-04-01T23:00:14.572-07:00,0,21,0
2022-04-01T23:15:15.434-07:00,0,21,0
2022-04-01T23:30:14.539-07:00,0,21,0
2022-04-01T23:45:14.461-07:00,0,21,0
2022-04-02T00:00:14.758-07:00,0,21,0
2022-04-02T00:15:14.163-07:00,0,21,0
2022-04-02T00:30:14.744-07:00,0,21,0
2022-04-02T00:45:15.832-07:00,0,21,0
2022-04-02T01:00:14.289-07:00,0,21,0
2022-04-02T01:15:14.627-07:00,0,21,0
2022-04-02T01:30:14.707-07:00,0,21,0
2022-04-02T01:45:14.458-07:00,0,21,0
2022-04-02T02:00:14.734-07:00,0,21,0
2022-04-02T02:15:16.499-07:00,0,21,0
2022-04-02T02:30:14.448-07:00,0,21,0
2022-04-02T02:45:14.422-07:00,0,21,0
2022-04-02T03:00:14.323-07:00,0,21,0
2022-04-02T03:15:14.531-07:00,0,21,0
2022-04-02T03:30:14.601-07:00,0,21,0
2022-04-02T03:45:14.352-07:00,0,21,0
2022-04-02T04:00:14.563-07:00,0,21,0
2022-04-02T04:15:14.540-07:00,0,21,0
