t,v,s,r
2022-03-31T23:45:14.444-07:00,0,21,0
2022-04-01T00:00:13.858-07:00,0,21,0
2022-04-01T00:15:14.883-07:00,0,21,0
2022-04-01T00:30:13.883-07:00,0,21,0
2022-04-01T00:45:14.225-07:00,0,21,0
2022-04-01T01:00:13.881-07:00,0,21,0
2022-04-01T01:15:13.852-07:00,0,21,0
2022-04-01T01:30:13.949-07:00,0,21,0
2022-04-01T01:45:13.573-07:00,0,21,0
2022-04-01T02:00:13.839-07:00,0,21,0
2022-04-01T02:15:13.781-07:00,0,21,0
2022-04-01T02:30:13.685-07:00,0,21,0
2022-04-01T02:45:14.109-07:00,0,21,0
2022-04-01T03:00:13.690-07:00,0,21,0
2022-04-01T03:15:13.856-07:00,0,21,0
2022-04-01T03:30:13.767-07:00,0,21,0
2022-04-01T03:45:15.500-07:00,0,21,0
2022-04-01T04:00:13.876-07:00,0,21,0
2022-04-01T04:15:13.716-07:00,0,21,0
2022-04-01T04:30:13.620-07:00,0,21,0
2022-04-01T04:45:14.043-07:00,0,21,0
2022-04-01T05:00:14.104-07:00,0,21,0
2022-04-01T05:15:13.851-07:00,0,21,0
2022-04-01T05:30:14.198-07:00,0,21,0
2022-04-01T05:45:13.891-07:00,0,21,0
2022-04-01T06:00:13.983-07:00,0,21,0
2022-04-01T06:15:13.889-07:00,0,21,0
2022-04-01T06:30:13.475-07:00,0,21,0
2022-04-01T06:45:13.834-07:00,0,21,0
2022-04-01T07:00:13.812-07:00,0,21,0
2022-04-01T07:15:14.530-07:00,0,21,0
2022-04-01T07:30:13.822-07:00,0,21,0
2022-04-01T07:45:13.889-07:00,0,21,0
2022-04-01T08:00:13.648-07:00,0,21,0
2022-04-01T08:15:13.874-07:00,0,21,0
2022-04-01T08:30:14.078-07:00,0,21,0
2022-04-01T08:45:13.618-07:00,0,21,0
2022-04-01T09:00:13.751-07:00,0,21,0
2022-04-01T09:15:13.624-07:00,0,21,0
2022-04-01T09:30:13.863-07:00,0,21,0
2022-04-01T09:45:13.612-07:00,0,21,0
2022-04-01T10:00:13.554-07:00,0,21,0
2022-04-01T10:15:13.813-07:00,0,21,0
2022-04-01T10:30:13.924-07:00,0,21,0
2022-04-01T10:45:13.496-07:00,0,21,0
2022-04-01T11:00:14.122-07:00,0,21,0
2022-04-01T11:15:13.841-07:00,0,21,0
2022-04-01T11:30:14.458-07:00,0,21,0
2022-04-01T11:45:13.836-07:00,0,21,0
2022-04-01T12:00:13.545-07:00,0,21,0
2022-04-01T12:15:13.850-07:00,0,21,0
2022-04-01T12:30:14.456-07:00,0,21,0
2022-04-01T12:45:14.169-07:00,0,21,0
2022-04-01T13:00:14.886-07:00,0,21,0
2022-04-01T13:15:13.887-07:00,0,21,0
2022-04-01T13:30:13.610-07:00,0,21,0
2022-04-01T13:45:15.304-07:00,0,21,0
2022-04-01T14:00:14.575-07:00,0,21,0
