t,v,s,r
2022-03-31T23:45:14.635-07:00,0,21,0
2022-04-01T00:00:14.013-07:00,0,21,0
2022-04-01T00:15:15.054-07:00,0,21,0
2022-04-01T00:30:14.022-07:00,0,21,0
2022-04-01T00:45:14.371-07:00,0,21,0
2022-04-01T01:00:14.040-07:00,0,21,0
2022-04-01T01:15:14.003-07:00,0,21,0
2022-04-01T01:30:14.105-07:00,0,21,0
2022-04-01T01:45:13.726-07:00,0,21,0
2022-04-01T02:00:13.977-07:00,0,21,0
2022-04-01T02:15:13.940-07:00,0,21,0
2022-04-01T02:30:13.832-07:00,0,21,0
2022-04-01T02:45:14.256-07:00,0,21,0
2022-04-01T03:00:13.833-07:00,0,21,0
2022-04-01T03:15:14.009-07:00,0,21,0
2022-04-01T03:30:13.921-07:00,0,21,0
2022-04-01T03:45:15.651-07:00,0,21,0
2022-04-01T04:00:14.036-07:00,0,21,0
2022-04-01T04:15:13.860-07:00,0,21,0
2022-04-01T04:30:13.763-07:00,0,21,0
2022-04-01T04:45:14.196-07:00,0,21,0
2022-04-01T05:00:14.262-07:00,0,21,0
2022-04-01T05:15:14.013-07:00,0,21,0
2022-04-01T05:30:14.349-07:00,0,21,0
2022-04-01T05:45:14.086-07:00,0,21,0
2022-04-01T06:00:14.118-07:00,0,21,0
2022-04-01T06:15:14.027-07:00,0,21,0
2022-04-01T06:30:13.631-07:00,0,21,0
2022-04-01T06:45:13.995-07:00,0,21,0
2022-04-01T07:00:13.959-07:00,0,21,0
2022-04-01T07:15:14.679-07:00,0,21,0
2022-04-01T07:30:13.964-07:00,0,21,0
2022-04-01T07:45:14.027-07:00,0,21,0
2022-04-01T08:00:13.793-07:00,0,21,0
2022-04-01T08:15:14.024-07:00,0,21,0
2022-04-01T08:30:14.229-07:00,0,21,0
2022-04-01T08:45:13.759-07:00,0,21,0
2022-04-01T09:00:13.896-07:00,0,21,0
2022-04-01T09:15:13.907-07:00,0,21,0
2022-04-01T09:30:14.014-07:00,0,21,0
2022-04-01T09:45:13.753-07:00,0,21,0
2022-04-01T10:00:13.700-07:00,0,21,0
2022-04-01T10:15:13.966-07:00,0,21,0
2022-04-01T10:30:14.078-07:00,0,21,0
2022-04-01T10:45:13.663-07:00,0,21,0
2022-04-01T11:00:14.284-07:00,0,21,0
2022-04-01T11:15:13.987-07:00,0,21,0
2022-04-01T11:30:14.615-07:00,0,21,0
2022-04-01T11:45:13.996-07:00,0,21,0
2022-04-01T12:00:13.691-07:00,0,21,0
2022-04-01T12:15:13.995-07:00,0,21,0
2022-04-01T12:30:14.602-07:00,0,21,0
2022-04-01T12:45:14.320-07:00,0,21,0
