t,v,s,r
2022-03-31T23:45:15.460-07:00,0,21,0
2022-04-01T00:00:14.680-07:00,0,21,0
2022-04-01T00:15:15.692-07:00,0,21,0
2022-04-01T00:30:14.653-07:00,0,21,0
2022-04-01T00:45:15.027-07:00,0,21,0
2022-04-01T01:00:14.668-07:00,0,21,0
2022-04-01T01:15:14.647-07:00,0,21,0
2022-04-01T01:30:14.742-07:00,0,21,0
2022-04-01T01:45:14.346-07:00,0,21,0
2022-04-01T02:00:14.604-07:00,0,21,0
2022-04-01T02:15:14.577-07:00,0,21,0
2022-04-01T02:30:14.453-07:00,0,21,0
2022-04-01T02:45:14.884-07:00,0,21,0
2022-04-01T03:00:14.635-07:00,0,21,0
2022-04-01T03:15:14.648-07:00,0,21,0
2022-04-01T03:30:14.539-07:00,0,21,0
2022-04-01T03:45:16.470-07:00,0,21,0
2022-04-01T04:00:14.666-07:00,0,21,0
2022-04-01T04:15:14.624-07:00,0,21,0
2022-04-01T04:30:14.391-07:00,0,21,0
2022-04-01T04:45:14.830-07:00,0,21,0
2022-04-01T05:00:14.918-07:00,0,21,0
2022-04-01T05:15:14.645-07:00,0,21,0
2022-04-01T05:30:14.978-07:00,0,21,0
2022-04-01T05:45:14.813-07:00,0,21,0
2022-04-01T06:00:14.757-07:00,0,21,0
2022-04-01T06:15:14.651-07:00,0,21,0
2022-04-01T06:30:14.391-07:00,0,21,0
2022-04-01T06:45:14.641-07:00,0,21,0
2022-04-01T07:00:14.573-07:00,0,21,0
2022-04-01T07:15:15.309-07:00,0,21,0
2022-04-01T07:30:14.584-07:00,0,21,0
2022-04-01T07:45:14.654-07:00,0,21,0
2022-04-01T08:00:14.405-07:00,0,21,0
2022-04-01T08:15:14.618-07:00,0,21,0
2022-04-01T08:30:15.328-07:00,0,21,0
2022-04-01T08:45:14.395-07:00,0,21,0
2022-04-01T09:00:14.503-07:00,0,21,0
2022-04-01T09:15:14.533-07:00,0,21,0
2022-04-01T09:30:14.674-07:00,0,21,0
2022-04-01T09:45:14.550-07:00,0,21,0
2022-04-01T10:00:14.350-07:00,0,21,0
2022-04-01T10:15:14.609-07:00,0,21,0
