t,v,s,r
2022-03-31T23:45:15.628-07:00,-32.768001556396484,21,0
2022-04-01T00:00:14.818-07:00,-32.768001556396484,21,0
2022-04-01T00:15:15.835-07:00,-32.768001556396484,21,0
2022-04-01T00:30:14.807-07:00,-32.768001556396484,21,0
2022-04-01T00:45:15.172-07:00,-32.768001556396484,21,0
2022-04-01T01:00:14.818-07:00,-32.768001556396484,21,0
2022-04-01T01:15:14.787-07:00,-32.768001556396484,21,0
2022-04-01T01:30:14.885-07:00,-32.768001556396484,21,0
2022-04-01T01:45:14.502-07:00,-32.768001556396484,21,0
2022-04-01T02:00:14.751-07:00,-32.768001556396484,21,0
2022-04-01T02:15:14.726-07:00,-32.768001556396484,21,0
2022-04-01T02:30:14.599-07:00,-32.768001556396484,21,0
2022-04-01T02:45:15.038-07:00,-32.768001556396484,21,0
2022-04-01T03:00:14.780-07:00,-32.768001556396484,21,0
2022-04-01T03:15:14.805-07:00,-32.768001556396484,21,0
2022-04-01T03:30:14.689-07:00,-32.768001556396484,21,0
2022-04-01T03:45:16.640-07:00,-32.768001556396484,21,0
2022-04-01T04:00:14.796-07:00,-32.768001556396484,21,0
2022-04-01T04:15:14.777-07:00,-32.768001556396484,21,0
2022-04-01T04:30:14.541-07:00,-32.768001556396484,21,0
2022-04-01T04:45:14.980-07:00,-32.768001556396484,21,0
2022-04-01T05:00:15.050-07:00,-32.768001556396484,21,0
2022-04-01T05:15:14.819-07:00,-32.768001556396484,21,0
2022-04-01T05:30:15.137-07:00,-32.768001556396484,21,0
2022-04-01T05:45:14.985-07:00,-32.768001556396484,21,0
2022-04-01T06:00:14.916-07:00,-32.768001556396484,21,0
2022-04-01T06:15:14.790-07:00,-32.768001556396484,21,0
2022-04-01T06:30:14.542-07:00,-32.768001556396484,21,0
2022-04-01T06:45:14.786-07:00,-32.768001556396484,21,0
2022-04-01T07:00:14.725-07:00,-32.768001556396484,21,0
2022-04-01T07:15:15.470-07:00,-32.768001556396484,21,0
2022-04-01T07:30:14.719-07:00,-32.768001556396484,21,0
2022-04-01T07:45:14.805-07:00,-32.768001556396484,21,0
2022-04-01T08:00:14.559-07:00,-32.768001556396484,21,0
2022-04-01T08:15:14.755-07:00,-32.768001556396484,21,0
2022-04-01T08:30:15.493-07:00,-32.768001556396484,21,0
2022-04-01T08:45:14.546-07:00,-32.768001556396484,21,0
2022-04-01T09:00:14.649-07:00,-32.768001556396484,21,0
2022-04-01T09:15:14.671-07:00,-32.768001556396484,21,0
2022-04-01T09:30:14.848-07:00,-32.768001556396484,21,0
2022-04-01T09:45:14.692-07:00,-32.768001556396484,21,0
2022-04-01T10:00:14.491-07:00,-32.768001556396484,21,0
2022-04-01T10:15:14.752-07:00,-32.768001556396484,21,0
2022-04-01T10:30:14.854-07:00,-32.768001556396484,21,0
2022-04-01T10:45:14.427-07:00,-32.768001556396484,21,0
2022-04-01T11:00:15.047-07:00,-32.768001556396484,21,0
2022-04-01T11:15:14.753-07:00,-32.768001556396484,21,0
2022-04-01T11:30:15.376-07:00,-32.768001556396484,21,0
2022-04-01T11:45:14.761-07:00,-32.768001556396484,21,0
2022-04-01T12:00:14.447-07:00,-32.768001556396484,21,0
2022-04-01T12:15:14.766-07:00,-32.768001556396484,21,0
2022-04-01T12:30:15.422-07:00,-32.768001556396484,21,0
2022-04-01T12:45:15.075-07:00,-32.768001556396484,21,0
2022-04-01T13:00:15.806-07:00,-32.768001556396484,21,0
2022-04-01T13:15:14.803-07:00,-32.768001556396484,21,0
2022-04-01T13:30:14.570-07:00,-32.768001556396484,21,0
2022-04-01T13:45:16.214-07:00,-32.768001556396484,21,0
2022-04-01T14:00:15.495-07:00,-32.768001556396484,21,0
2022-04-01T14:15:16.222-07:00,-32.768001556396484,21,0
2022-04-01T14:30:14.942-07:00,-32.768001556396484,21,0
2022-04-01T14:45:14.744-07:00,-32.768001556396484,21,0
2022-04-01T15:00:15.165-07:00,-32.768001556396484,21,0
2022-04-01T15:15:15.027-07:00,-32.768001556396484,21,0
2022-04-01T15:30:14.661-07:00,-32.768001556396484,21,0
2022-04-01T15:45:15.060-07:00,-32.768001556396484,21,0
2022-04-01T16:00:15.059-07:00,-32.768001556396484,21,0
2022-04-01T16:15:14.809-07:00,-32.768001556396484,21,0
2022-04-01T16:30:15.205-07:00,-32.768001556396484,21,0
2022-04-01T16:45:15.718-07:00,-32.768001556396484,21,0
2022-04-01T17:00:14.867-07:00,-32.768001556396484,21,0
2022-04-01T17:15:15.844-07:00,-32.768001556396484,21,0
2022-04-01T17:30:14.738-07:00,-32.768001556396484,21,0
2022-04-01T17:45:14.904-07:00,-32.768001556396484,21,0
2022-04-01T18:00:14.903-07:00,-32.768001556396484,21,0
2022-04-01T18:15:14.723-07:00,-32.768001556396484,21,0
2022-04-01T18:30:15.767-07:00,-32.768001556396484,21,0
2022-04-01T18:45:14.595-07:00,-32.768001556396484,21,0
2022-04-01T19:00:14.886-07:00,-32.768001556396484,21,0
2022-04-01T19:15:14.726-07:00,-32.768001556396484,21,0
2022-04-01T19:30:14.770-07:00,-32.768001556396484,21,0
2022-04-01T19:45:14.874-07:00,-32.768001556396484,21,0
2022-04-01T20:00:15.827-07:00,-32.768001556396484,21,0
2022-04-01T20:15:14.713-07:00,-32.768001556396484,21,0
