t,v,s,r
2022-03-31T23:45:13.033-07:00,0,21,0
2022-04-01T00:00:12.789-07:00,0,21,0
2022-04-01T00:15:13.577-07:00,0,21,0
2022-04-01T00:30:12.812-07:00,0,21,0
2022-04-01T00:45:13.166-07:00,0,21,0
2022-04-01T01:00:12.665-07:00,0,21,0
2022-04-01T01:15:12.797-07:00,0,21,0
2022-04-01T01:30:12.719-07:00,0,21,0
2022-04-01T01:45:12.485-07:00,0,21,0
2022-04-01T02:00:12.748-07:00,0,21,0
2022-04-01T02:15:12.554-07:00,0,21,0
2022-04-01T02:30:12.616-07:00,0,21,0
2022-04-01T02:45:13.002-07:00,0,21,0
2022-04-01T03:00:12.584-07:00,0,21,0
2022-04-01T03:15:12.785-07:00,0,21,0
2022-04-01T03:30:12.701-07:00,0,21,0
2022-04-01T03:45:14.404-07:00,0,21,0
2022-04-01T04:00:12.809-07:00,0,21,0
2022-04-01T04:15:12.652-07:00,0,21,0
2022-04-01T04:30:12.549-07:00,0,21,0
2022-04-01T04:45:12.983-07:00,0,21,0
2022-04-01T05:00:12.859-07:00,0,21,0
2022-04-01T05:15:12.766-07:00,0,21,0
2022-04-01T05:30:13.129-07:00,0,21,0
2022-04-01T05:45:12.561-07:00,0,21,0
2022-04-01T06:00:12.880-07:00,0,21,0
2022-04-01T06:15:12.816-07:00,0,21,0
2022-04-01T06:30:12.394-07:00,0,21,0
2022-04-01T06:45:12.753-07:00,0,21,0
2022-04-01T07:00:12.735-07:00,0,21,0
2022-04-01T07:15:13.462-07:00,0,21,0
2022-04-01T07:30:12.642-07:00,0,21,0
2022-04-01T07:45:12.811-07:00,0,21,0
2022-04-01T08:00:12.577-07:00,0,21,0
2022-04-01T08:15:12.680-07:00,0,21,0
2022-04-01T08:30:12.936-07:00,0,21,0
2022-04-01T08:45:12.518-07:00,0,21,0
2022-04-01T09:00:12.502-07:00,0,21,0
2022-04-01T09:15:12.524-07:00,0,21,0
2022-04-01T09:30:12.781-07:00,0,21,0
2022-04-01T09:45:12.528-07:00,0,21,0
2022-04-01T10:00:12.479-07:00,0,21,0
2022-04-01T10:15:12.743-07:00,0,21,0
2022-04-01T10:30:12.863-07:00,0,21,0
2022-04-01T10:45:12.408-07:00,0,21,0
2022-04-01T11:00:13.065-07:00,0,21,0
2022-04-01T11:15:12.634-07:00,0,21,0
2022-04-01T11:30:13.423-07:00,0,21,0
2022-04-01T11:45:12.772-07:00,0,21,0
2022-04-01T12:00:12.477-07:00,0,21,0
2022-04-01T12:15:12.771-07:00,0,21,0
2022-04-01T12:30:13.274-07:00,0,21,0
2022-04-01T12:45:13.056-07:00,0,21,0
2022-04-01T13:00:13.526-07:00,0,21,0
2022-04-01T13:15:12.807-07:00,0,21,0
2022-04-01T13:30:12.537-07:00,0,21,0
2022-04-01T13:45:14.037-07:00,0,21,0
2022-04-01T14:00:13.154-07:00,0,21,0
2022-04-01T14:15:14.217-07:00,0,21,0
2022-04-01T14:30:12.933-07:00,0,21,0
2022-04-01T14:45:12.738-07:00,0,21,0
2022-04-01T15:00:13.162-07:00,0,21,0
2022-04-01T15:15:13.000-07:00,0,21,0
2022-04-01T15:30:12.694-07:00,0,21,0
2022-04-01T15:45:13.086-07:00,0,21,0
2022-04-01T16:00:12.887-07:00,0,21,0
2022-04-01T16:15:12.631-07:00,0,21,0
2022-04-01T16:30:13.116-07:00,0,21,0
2022-04-01T16:45:13.554-07:00,0,21,0
2022-04-01T17:00:12.886-07:00,0,21,0
2022-04-01T17:15:13.844-07:00,0,21,0
2022-04-01T17:30:12.742-07:00,0,21,0
2022-04-01T17:45:12.862-07:00,0,21,0
2022-04-01T18:00:12.588-07:00,0,21,0
2022-04-01T18:15:12.628-07:00,0,21,0
2022-04-01T18:30:13.727-07:00,0,21,0
2022-04-01T18:45:12.597-07:00,0,21,0
2022-04-01T19:00:12.808-07:00,0,21,0
2022-04-01T19:15:12.764-07:00,0,21,0
2022-04-01T19:30:12.750-07:00,0,21,0
2022-04-01T19:45:12.695-07:00,0,21,0
2022-04-01T20:00:13.826-07:00,0,21,0
2022-04-01T20:15:12.709-07:00,0,21,0
2022-04-01T20:30:12.910-07:00,0,21,0
2022-04-01T20:45:12.726-07:00,0,21,0
2022-04-01T21:00:12.927-07:00,0,21,0
2022-04-01T21:15:12.930-07:00,0,21,0
2022-04-01T21:30:12.469-07:00,0,21,0
2022-04-01T21:45:13.785-07:00,0,21,0
2022-04-01T22:00:13.083-07:00,0,21,0
2022-04-01T22:15:12.842-07:00,0,21,0
2022-04-01T22:30:12.942-07:00,0,21,0
2022-04-01T22:45:12.876-07:00,0,21,0
2022-04-01T23:00:12.843-07:00,0,21,0
2022-04-01T23:15:13.090-07:00,0,21,0
2022-04-01T23:30:12.653-07:00,0,21,0
2022-04-01T23:45:12.765-07:00,0,21,0
2022-04-02T00:00:13.044-07:00,0,21,0
2022-04-02T00:15:12.479-07:00,0,21,0
2022-04-02T00:30:13.024-07:00,0,21,0
2022-04-02T00:45:14.127-07:00,0,21,0
2022-04-02T01:00:12.570-07:00,0,21,0
2022-04-02T01:15:12.906-07:00,0,21,0
2022-04-02T01:30:13.011-07:00,0,21,0
2022-04-02T01:45:12.600-07:00,0,21,0
2022-04-02T02:00:13.046-07:00,0,21,0
2022-04-02T02:15:13.774-07:00,0,21,0
2022-04-02T02:30:12.758-07:00,0,21,0
2022-04-02T02:45:12.577-07:00,0,21,0
2022-04-02T03:00:12.634-07:00,0,21,0
2022-04-02T03:15:12.822-07:00,0,21,0
2022-04-02T03:30:12.750-07:00,0,21,0
2022-04-02T03:45:12.641-07:00,0,21,0
2022-04-02T04:00:12.852-07:00,0,21,0
2022-04-02T04:15:12.626-07:00,0,21,0
2022-04-02T04:30:12.794-07:00,0,21,0
2022-04-02T04:45:12.825-07:00,0,21,0
2022-04-02T05:00:12.627-07:00,0,21,0
2022-04-02T05:15:12.754-07:00,0,21,0
2022-04-02T05:30:12.669-07:00,0,21,0
2022-04-02T05:45:13.298-07:00,0,21,0
2022-04-02T06:00:13.134-07:00,0,21,0
2022-04-02T06:15:14.156-07:00,0,21,0
2022-04-02T06:30:13.133-07:00,0,21,0
2022-04-02T06:45:13.146-07:00,0,21,0
2022-04-02T07:00:12.892-07:00,0,21,0
2022-04-02T07:15:13.070-07:00,0,21,0
2022-04-02T07:30:12.938-07:00,0,21,0
2022-04-02T07:45:12.799-07:00,0,21,0
2022-04-02T08:00:13.920-07:00,0,21,0
2022-04-02T08:15:12.484-07:00,0,21,0
2022-04-02T08:30:13.915-07:00,0,21,0
2022-04-02T08:45:12.859-07:00,0,21,0
2022-04-02T09:00:12.704-07:00,0,21,0
2022-04-02T09:15:12.883-07:00,0,21,0
2022-04-02T09:30:12.775-07:00,0,21,0
2022-04-02T09:45:14.179-07:00,0,21,0
2022-04-02T10:00:13.025-07:00,0,21,0
2022-04-02T10:15:12.652-07:00,0,21,0
2022-04-02T10:30:13.032-07:00,0,21,0
2022-04-02T10:45:12.939-07:00,0,21,0
2022-04-02T11:00:12.873-07:00,0,21,0
2022-04-02T11:15:13.201-07:00,0,21,0
2022-04-02T11:30:12.782-07:00,0,21,0
2022-04-02T11:45:13.036-07:00,0,21,0
2022-04-02T12:00:12.892-07:00,0,21,0
2022-04-02T12:15:12.537-07:00,0,21,0
2022-04-02T12:30:12.741-07:00,0,21,0
2022-04-02T12:45:12.731-07:00,0,21,0
2022-04-02T13:00:12.851-07:00,0,21,0
2022-04-02T13:15:12.764-07:00,0,21,0
2022-04-02T13:30:12.730-07:00,0,21,0
2022-04-02T13:45:13.114-07:00,0,21,0
2022-04-02T14:00:12.942-07:00,0,21,0
2022-04-02T14:15:12.728-07:00,0,21,0
2022-04-02T14:30:12.773-07:00,0,21,0
2022-04-02T14:45:12.987-07:00,0,21,0
2022-04-02T15:00:12.695-07:00,0,21,0
2022-04-02T15:15:12.783-07:00,0,21,0
2022-04-02T15:30:12.575-07:00,0,21,0
2022-04-02T15:45:13.702-07:00,0,21,0
2022-04-02T16:00:12.741-07:00,0,21,0
2022-04-02T16:15:12.663-07:00,0,21,0
2022-04-02T16:30:13.046-07:00,0,21,0
2022-04-02T16:45:12.654-07:00,0,21,0
2022-04-02T17:00:12.912-07:00,0,21,0
2022-04-02T17:15:13.282-07:00,0,21,0
2022-04-02T17:30:13.026-07:00,0,21,0
2022-04-02T17:45:13.814-07:00,0,21,0
2022-04-02T18:00:12.633-07:00,0,21,0
2022-04-02T18:15:12.804-07:00,0,21,0
2022-04-02T18:30:12.982-07:00,0,21,0
2022-04-02T18:45:12.819-07:00,0,21,0
2022-04-02T19:00:13.355-07:00,0,21,0
2022-04-02T19:15:13.137-07:00,0,21,0
2022-04-02T19:30:12.706-07:00,0,21,0
2022-04-02T19:45:13.185-07:00,0,21,0
2022-04-02T20:00:13.270-07:00,0,21,0
2022-04-02T20:15:13.063-07:00,0,21,0
2022-04-02T20:30:13.270-07:00,0,21,0
2022-04-02T20:45:13.112-07:00,0,21,0
2022-04-02T21:00:12.679-07:00,0,21,0
2022-04-02T21:15:12.964-07:00,0,21,0
2022-04-02T21:30:12.743-07:00,0,21,0
2022-04-02T21:45:12.673-07:00,0,21,0
