t,v,s,r
2022-03-31T23:45:17.505-07:00,0,21,0
2022-04-01T00:00:16.154-07:00,0,21,0
2022-04-01T00:15:17.159-07:00,0,21,0
2022-04-01T00:30:16.309-07:00,0,21,0
2022-04-01T00:45:16.530-07:00,0,21,0
2022-04-01T01:00:16.432-07:00,0,21,0
2022-04-01T01:15:16.116-07:00,0,21,0
2022-04-01T01:30:16.253-07:00,0,21,0
2022-04-01T01:45:15.861-07:00,0,21,0
2022-04-01T02:00:16.116-07:00,0,21,0
2022-04-01T02:15:16.088-07:00,0,21,0
2022-04-01T02:30:15.974-07:00,0,21,0
2022-04-01T02:45:16.379-07:00,0,21,0
2022-04-01T03:00:16.134-07:00,0,21,0
2022-04-01T03:15:16.136-07:00,0,21,0
2022-04-01T03:30:16.161-07:00,0,21,0
2022-04-01T03:45:18.017-07:00,0,21,0
2022-04-01T04:00:16.156-07:00,0,21,0
2022-04-01T04:15:16.079-07:00,0,21,0
2022-04-01T04:30:15.924-07:00,0,21,0
2022-04-01T04:45:16.304-07:00,0,21,0
2022-04-01T05:00:16.512-07:00,0,21,0
2022-04-01T05:15:16.151-07:00,0,21,0
2022-04-01T05:30:17.448-07:00,0,21,0
2022-04-01T05:45:16.446-07:00,0,21,0
2022-04-01T06:00:16.302-07:00,0,21,0
2022-04-01T06:15:16.156-07:00,0,21,0
2022-04-01T06:30:16.155-07:00,0,21,0
2022-04-01T06:45:16.150-07:00,0,21,0
2022-04-01T07:00:16.091-07:00,0,21,0
2022-04-01T07:15:16.838-07:00,0,21,0
2022-04-01T07:30:16.109-07:00,0,21,0
2022-04-01T07:45:16.163-07:00,0,21,0
2022-04-01T08:00:15.880-07:00,0,21,0
2022-04-01T08:15:16.104-07:00,0,21,0
2022-04-01T08:30:16.946-07:00,0,21,0
2022-04-01T08:45:15.866-07:00,0,21,0
2022-04-01T09:00:15.989-07:00,0,21,0
2022-04-01T09:15:16.023-07:00,0,21,0
2022-04-01T09:30:16.198-07:00,0,21,0
2022-04-01T09:45:16.058-07:00,0,21,0
2022-04-01T10:00:15.963-07:00,0,21,0
2022-04-01T10:15:16.102-07:00,0,21,0
2022-04-01T10:30:16.220-07:00,0,21,0
2022-04-01T10:45:15.902-07:00,0,21,0
2022-04-01T11:00:16.468-07:00,0,21,0
2022-04-01T11:15:16.081-07:00,0,21,0
2022-04-01T11:30:16.721-07:00,0,21,0
2022-04-01T11:45:16.113-07:00,0,21,0
2022-04-01T12:00:16.011-07:00,0,21,0
2022-04-01T12:15:16.429-07:00,0,21,0
2022-04-01T12:30:16.777-07:00,0,21,0
2022-04-01T12:45:16.634-07:00,0,21,0
2022-04-01T13:00:17.129-07:00,0,21,0
2022-04-01T13:15:16.155-07:00,0,21,0
2022-04-01T13:30:15.899-07:00,0,21,0
2022-04-01T13:45:17.609-07:00,0,21,0
2022-04-01T14:00:16.995-07:00,0,21,0
2022-04-01T14:15:17.605-07:00,0,21,0
2022-04-01T14:30:16.316-07:00,0,21,0
2022-04-01T14:45:16.346-07:00,0,21,0
2022-04-01T15:00:16.546-07:00,0,21,0
2022-04-01T15:15:16.386-07:00,0,21,0
2022-04-01T15:30:16.030-07:00,0,21,0
2022-04-01T15:45:16.387-07:00,0,21,0
2022-04-01T16:00:16.423-07:00,0,21,0
2022-04-01T16:15:16.154-07:00,0,21,0
2022-04-01T16:30:16.537-07:00,0,21,0
2022-04-01T16:45:17.087-07:00,0,21,0
2022-04-01T17:00:16.225-07:00,0,21,0
2022-04-01T17:15:17.184-07:00,0,21,0
2022-04-01T17:30:16.135-07:00,0,21,0
2022-04-01T17:45:16.241-07:00,0,21,0
2022-04-01T18:00:16.221-07:00,0,21,0
2022-04-01T18:15:16.067-07:00,0,21,0
2022-04-01T18:30:17.110-07:00,0,21,0
2022-04-01T18:45:16.083-07:00,0,21,0
2022-04-01T19:00:16.210-07:00,0,21,0
2022-04-01T19:15:16.083-07:00,0,21,0
2022-04-01T19:30:16.114-07:00,0,21,0
2022-04-01T19:45:16.184-07:00,0,21,0
2022-04-01T20:00:17.207-07:00,0,21,0
2022-04-01T20:15:16.129-07:00,0,21,0
2022-04-01T20:30:16.278-07:00,0,21,0
2022-04-01T20:45:16.132-07:00,0,21,0
2022-04-01T21:00:16.262-07:00,0,21,0
2022-04-01T21:15:16.296-07:00,0,21,0
2022-04-01T21:30:16.250-07:00,0,21,0
2022-04-01T21:45:17.214-07:00,0,21,0
2022-04-01T22:00:16.531-07:00,0,21,0
2022-04-01T22:15:16.397-07:00,0,21,0
2022-04-01T22:30:16.266-07:00,0,21,0
2022-04-01T22:45:16.388-07:00,0,21,0
2022-04-01T23:00:16.222-07:00,0,21,0
2022-04-01T23:15:17.585-07:00,0,21,0
2022-04-01T23:30:16.263-07:00,0,21,0
2022-04-01T23:45:16.135-07:00,0,21,0
2022-04-02T00:00:16.374-07:00,0,21,0
2022-04-02T00:15:16.298-07:00,0,21,0
2022-04-02T00:30:16.406-07:00,0,21,0
2022-04-02T00:45:17.519-07:00,0,21,0
2022-04-02T01:00:15.942-07:00,0,21,0
2022-04-02T01:15:16.264-07:00,0,21,0
2022-04-02T01:30:16.368-07:00,0,21,0
2022-04-02T01:45:16.116-07:00,0,21,0
2022-04-02T02:00:16.420-07:00,0,21,0
2022-04-02T02:15:18.225-07:00,0,21,0
2022-04-02T02:30:16.109-07:00,0,21,0
2022-04-02T02:45:16.021-07:00,0,21,0
2022-04-02T03:00:15.979-07:00,0,21,0
2022-04-02T03:15:16.212-07:00,0,21,0
2022-04-02T03:30:16.231-07:00,0,21,0
2022-04-02T03:45:16.030-07:00,0,21,0
2022-04-02T04:00:16.224-07:00,0,21,0
2022-04-02T04:15:16.190-07:00,0,21,0
2022-04-02T04:30:16.145-07:00,0,21,0
2022-04-02T04:45:16.383-07:00,0,21,0
2022-04-02T05:00:15.987-07:00,0,21,0
2022-04-02T05:15:16.106-07:00,0,21,0
2022-04-02T05:30:16.299-07:00,0,21,0
2022-04-02T05:45:16.629-07:00,0,21,0
2022-04-02T06:00:16.507-07:00,0,21,0
2022-04-02T06:15:17.706-07:00,0,21,0
2022-04-02T06:30:16.660-07:00,0,21,0
2022-04-02T06:45:16.475-07:00,0,21,0
2022-04-02T07:00:17.058-07:00,0,21,0
2022-04-02T07:15:16.444-07:00,0,21,0
2022-04-02T07:30:16.753-07:00,0,21,0
2022-04-02T07:45:16.148-07:00,0,21,0
2022-04-02T08:00:17.324-07:00,0,21,0
2022-04-02T08:15:15.948-07:00,0,21,0
2022-04-02T08:30:17.305-07:00,0,21,0
2022-04-02T08:45:16.232-07:00,0,21,0
2022-04-02T09:00:16.039-07:00,0,21,0
2022-04-02T09:15:16.244-07:00,0,21,0
2022-04-02T09:30:16.334-07:00,0,21,0
2022-04-02T09:45:17.646-07:00,0,21,0
2022-04-02T10:00:16.493-07:00,0,21,0
2022-04-02T10:15:16.023-07:00,0,21,0
2022-04-02T10:30:16.382-07:00,0,21,0
2022-04-02T10:45:16.387-07:00,0,21,0
2022-04-02T11:00:16.277-07:00,0,21,0
2022-04-02T11:15:16.556-07:00,0,21,0
2022-04-02T11:30:17.118-07:00,0,21,0
2022-04-02T11:45:16.379-07:00,0,21,0
2022-04-02T12:00:16.274-07:00,0,21,0
2022-04-02T12:15:16.235-07:00,0,21,0
2022-04-02T12:30:16.161-07:00,0,21,0
2022-04-02T12:45:16.223-07:00,0,21,0
2022-04-02T13:00:16.459-07:00,0,21,0
2022-04-02T13:15:16.239-07:00,0,21,0
2022-04-02T13:30:16.109-07:00,0,21,0
2022-04-02T13:45:16.528-07:00,0,21,0
2022-04-02T14:00:16.271-07:00,0,21,0
2022-04-02T14:15:16.117-07:00,0,21,0
2022-04-02T14:30:16.155-07:00,0,21,0
2022-04-02T14:45:16.348-07:00,0,21,0
2022-04-02T15:00:16.289-07:00,0,21,0
2022-04-02T15:15:16.194-07:00,0,21,0
2022-04-02T15:30:16.065-07:00,0,21,0
2022-04-02T15:45:17.049-07:00,0,21,0
2022-04-02T16:00:16.080-07:00,0,21,0
2022-04-02T16:15:16.098-07:00,0,21,0
2022-04-02T16:30:16.404-07:00,0,21,0
2022-04-02T16:45:16.256-07:00,0,21,0
2022-04-02T17:00:16.253-07:00,0,21,0
2022-04-02T17:15:16.650-07:00,0,21,0
2022-04-02T17:30:16.647-07:00,0,21,0
2022-04-02T17:45:17.328-07:00,0,21,0
2022-04-02T18:00:16.149-07:00,0,21,0
2022-04-02T18:15:16.127-07:00,0,21,0
2022-04-02T18:30:16.345-07:00,0,21,0
2022-04-02T18:45:16.255-07:00,0,21,0
2022-04-02T19:00:16.739-07:00,0,21,0
2022-04-02T19:15:16.503-07:00,0,21,0
2022-04-02T19:30:16.474-07:00,0,21,0
2022-04-02T19:45:16.549-07:00,0,21,0
2022-04-02T20:00:16.695-07:00,0,21,0
2022-04-02T20:15:17.053-07:00,0,21,0
2022-04-02T20:30:16.614-07:00,0,21,0
2022-04-02T20:45:16.472-07:00,0,21,0
2022-04-02T21:00:16.041-07:00,0,21,0
2022-04-02T21:15:16.457-07:00,0,21,0
2022-04-02T21:30:16.393-07:00,0,21,0
2022-04-02T21:45:16.058-07:00,0,21,0
2022-04-02T22:00:16.022-07:00,0,21,0
2022-04-02T22:15:16.251-07:00,0,21,0
2022-04-02T22:30:16.047-07:00,0,21,0
2022-04-02T22:45:16.114-07:00,0,21,0
2022-04-02T23:00:16.082-07:00,0,21,0
2022-04-02T23:15:16.185-07:00,0,21,0
2022-04-02T23:30:16.505-07:00,0,21,0
2022-04-02T23:45:16.449-07:00,0,21,0
2022-04-03T00:00:16.482-07:00,0,21,0
2022-04-03T00:15:16.861-07:00,0,21,0
2022-04-03T00:30:16.249-07:00,0,21,0
2022-04-03T00:45:16.305-07:00,0,21,0
2022-04-03T01:00:16.087-07:00,0,21,0
2022-04-03T01:15:15.995-07:00,0,21,0
2022-04-03T01:30:15.968-07:00,0,21,0
2022-04-03T01:45:16.390-07:00,0,21,0
2022-04-03T02:00:16.378-07:00,0,21,0
2022-04-03T02:15:16.003-07:00,0,21,0
2022-04-03T02:30:16.435-07:00,0,21,0
2022-04-03T02:45:17.513-07:00,0,21,0
2022-04-03T03:00:16.132-07:00,0,21,0
2022-04-03T03:15:16.236-07:00,0,21,0
2022-04-03T03:30:16.151-07:00,0,21,0
2022-04-03T03:45:16.324-07:00,0,21,0
2022-04-03T04:00:16.517-07:00,0,21,0
2022-04-03T04:15:16.233-07:00,0,21,0
2022-04-03T04:30:16.586-07:00,0,21,0
2022-04-03T04:45:17.009-07:00,0,21,0
2022-04-03T05:00:19.797-07:00,0,21,0
2022-04-03T05:15:16.340-07:00,0,21,0
2022-04-03T05:30:15.924-07:00,0,21,0
2022-04-03T05:45:16.880-07:00,0,21,0
2022-04-03T06:00:16.397-07:00,0,21,0
2022-04-03T06:15:16.043-07:00,0,21,0
2022-04-03T06:30:16.201-07:00,0,21,0
2022-04-03T06:45:16.399-07:00,0,21,0
2022-04-03T07:00:15.986-07:00,0,21,0
2022-04-03T07:15:16.247-07:00,0,21,0
2022-04-03T07:30:16.268-07:00,0,21,0
2022-04-03T07:45:17.219-07:00,0,21,0
2022-04-03T08:00:16.099-07:00,0,21,0
2022-04-03T08:15:16.078-07:00,0,21,0
2022-04-03T08:30:16.330-07:00,0,21,0
2022-04-03T08:45:16.252-07:00,0,21,0
2022-04-03T09:00:16.184-07:00,0,21,0
2022-04-03T09:15:17.331-07:00,0,21,0
2022-04-03T09:30:16.858-07:00,0,21,0
2022-04-03T09:45:16.287-07:00,0,21,0
2022-04-03T10:00:16.339-07:00,0,21,0
2022-04-03T10:15:16.266-07:00,0,21,0
2022-04-03T10:30:16.166-07:00,0,21,0
2022-04-03T10:45:16.137-07:00,0,21,0
2022-04-03T11:00:16.191-07:00,0,21,0
2022-04-03T11:15:16.069-07:00,0,21,0
2022-04-03T11:30:16.379-07:00,0,21,0
2022-04-03T11:45:16.377-07:00,0,21,0
2022-04-03T12:00:16.372-07:00,0,21,0
2022-04-03T12:15:16.222-07:00,0,21,0
2022-04-03T12:30:17.524-07:00,0,21,0
2022-04-03T12:45:16.502-07:00,0,21,0
2022-04-03T13:00:16.022-07:00,0,21,0
2022-04-03T13:15:16.076-07:00,0,21,0
2022-04-03T13:30:17.252-07:00,0,21,0
2022-04-03T13:45:17.821-07:00,0,21,0
2022-04-03T14:00:17.441-07:00,0,21,0
2022-04-03T14:15:16.184-07:00,0,21,0
2022-04-03T14:30:16.365-07:00,0,21,0
2022-04-03T14:45:16.193-07:00,0,21,0
2022-04-03T15:00:15.920-07:00,0,21,0
