t,v,s,r
2022-03-31T23:45:17.567-07:00,0,21,0
2022-04-01T00:00:16.206-07:00,0,21,0
2022-04-01T00:15:17.227-07:00,0,21,0
2022-04-01T00:30:16.370-07:00,0,21,0
2022-04-01T00:45:16.585-07:00,0,21,0
2022-04-01T01:00:16.497-07:00,0,21,0
2022-04-01T01:15:16.177-07:00,0,21,0
2022-04-01T01:30:16.304-07:00,0,21,0
2022-04-01T01:45:15.924-07:00,0,21,0
2022-04-01T02:00:16.175-07:00,0,21,0
2022-04-01T02:15:16.145-07:00,0,21,0
2022-04-01T02:30:16.033-07:00,0,21,0
2022-04-01T02:45:16.431-07:00,0,21,0
2022-04-01T03:00:16.187-07:00,0,21,0
2022-04-01T03:15:16.205-07:00,0,21,0
2022-04-01T03:30:16.215-07:00,0,21,0
2022-04-01T03:45:18.074-07:00,0,21,0
2022-04-01T04:00:16.209-07:00,0,21,0
2022-04-01T04:15:16.139-07:00,0,21,0
2022-04-01T04:30:15.983-07:00,0,21,0
2022-04-01T04:45:16.360-07:00,0,21,0
2022-04-01T05:00:16.579-07:00,0,21,0
2022-04-01T05:15:16.207-07:00,0,21,0
2022-04-01T05:30:17.500-07:00,0,21,0
2022-04-01T05:45:16.504-07:00,0,21,0
2022-04-01T06:00:16.381-07:00,0,21,0
2022-04-01T06:15:16.226-07:00,0,21,0
2022-04-01T06:30:16.215-07:00,0,21,0
2022-04-01T06:45:16.221-07:00,0,21,0
2022-04-01T07:00:16.160-07:00,0,21,0
2022-04-01T07:15:17.032-07:00,0,21,0
2022-04-01T07:30:16.168-07:00,0,21,0
2022-04-01T07:45:16.216-07:00,0,21,0
2022-04-01T08:00:15.939-07:00,0,21,0
2022-04-01T08:15:16.165-07:00,0,21,0
2022-04-01T08:30:17.002-07:00,0,21,0
2022-04-01T08:45:15.939-07:00,0,21,0
2022-04-01T09:00:16.045-07:00,0,21,0
2022-04-01T09:15:16.081-07:00,0,21,0
2022-04-01T09:30:16.251-07:00,0,21,0
2022-04-01T09:45:16.119-07:00,0,21,0
2022-04-01T10:00:16.023-07:00,0,21,0
2022-04-01T10:15:16.161-07:00,0,21,0
2022-04-01T10:30:16.273-07:00,0,21,0
2022-04-01T10:45:15.963-07:00,0,21,0
2022-04-01T11:00:16.536-07:00,0,21,0
2022-04-01T11:15:16.147-07:00,0,21,0
2022-04-01T11:30:16.779-07:00,0,21,0
2022-04-01T11:45:16.164-07:00,0,21,0
2022-04-01T12:00:16.077-07:00,0,21,0
2022-04-01T12:15:16.491-07:00,0,21,0
2022-04-01T12:30:16.834-07:00,0,21,0
2022-04-01T12:45:16.688-07:00,0,21,0
2022-04-01T13:00:17.198-07:00,0,21,0
2022-04-01T13:15:16.211-07:00,0,21,0
2022-04-01T13:30:15.956-07:00,0,21,0
2022-04-01T13:45:17.671-07:00,0,21,0
2022-04-01T14:00:17.053-07:00,0,21,0
2022-04-01T14:15:17.670-07:00,0,21,0
2022-04-01T14:30:16.382-07:00,0,21,0
2022-04-01T14:45:16.405-07:00,0,21,0
2022-04-01T15:00:16.604-07:00,0,21,0
2022-04-01T15:15:16.446-07:00,0,21,0
2022-04-01T15:30:16.090-07:00,0,21,0
2022-04-01T15:45:16.455-07:00,0,21,0
2022-04-01T16:00:16.478-07:00,0,21,0
2022-04-01T16:15:16.207-07:00,0,21,0
2022-04-01T16:30:16.594-07:00,0,21,0
2022-04-01T16:45:17.138-07:00,0,21,0
2022-04-01T17:00:16.288-07:00,0,21,0
2022-04-01T17:15:17.244-07:00,0,21,0
2022-04-01T17:30:16.199-07:00,0,21,0
2022-04-01T17:45:16.307-07:00,0,21,0
2022-04-01T18:00:16.289-07:00,0,21,0
2022-04-01T18:15:16.136-07:00,0,21,0
2022-04-01T18:30:17.164-07:00,0,21,0
2022-04-01T18:45:16.145-07:00,0,21,0
2022-04-01T19:00:16.289-07:00,0,21,0
2022-04-01T19:15:16.141-07:00,0,21,0
