t,v,s,r
2022-03-31T23:45:17.680-07:00,0,21,0
2022-04-01T00:00:16.305-07:00,0,21,0
2022-04-01T00:15:17.308-07:00,0,21,0
2022-04-01T00:30:16.459-07:00,0,21,0
2022-04-01T00:45:16.685-07:00,0,21,0
2022-04-01T01:00:16.588-07:00,0,21,0
2022-04-01T01:15:16.259-07:00,0,21,0
2022-04-01T01:30:16.405-07:00,0,21,0
2022-04-01T01:45:16.004-07:00,0,21,0
2022-04-01T02:00:16.270-07:00,0,21,0
2022-04-01T02:15:16.242-07:00,0,21,0
2022-04-01T02:30:16.121-07:00,0,21,0
2022-04-01T02:45:16.513-07:00,0,21,0
2022-04-01T03:00:16.287-07:00,0,21,0
2022-04-01T03:15:16.292-07:00,0,21,0
2022-04-01T03:30:16.299-07:00,0,21,0
2022-04-01T03:45:18.168-07:00,0,21,0
2022-04-01T04:00:16.307-07:00,0,21,0
2022-04-01T04:15:16.233-07:00,0,21,0
2022-04-01T04:30:16.075-07:00,0,21,0
2022-04-01T04:45:16.449-07:00,0,21,0
2022-04-01T05:00:16.677-07:00,0,21,0
2022-04-01T05:15:16.300-07:00,0,21,0
2022-04-01T05:30:17.596-07:00,0,21,0
2022-04-01T05:45:16.599-07:00,0,21,0
2022-04-01T06:00:16.476-07:00,0,21,0
2022-04-01T06:15:16.322-07:00,0,21,0
2022-04-01T06:30:16.305-07:00,0,21,0
2022-04-01T06:45:16.324-07:00,0,21,0
2022-04-01T07:00:16.264-07:00,0,21,0
2022-04-01T07:15:17.132-07:00,0,21,0
2022-04-01T07:30:16.270-07:00,0,21,0
2022-04-01T07:45:16.305-07:00,0,21,0
2022-04-01T08:00:16.036-07:00,0,21,0
2022-04-01T08:15:16.255-07:00,0,21,0
2022-04-01T08:30:17.101-07:00,0,21,0
2022-04-01T08:45:16.035-07:00,0,21,0
2022-04-01T09:00:16.146-07:00,0,21,0
2022-04-01T09:15:16.183-07:00,0,21,0
2022-04-01T09:30:16.342-07:00,0,21,0
2022-04-01T09:45:16.212-07:00,0,21,0
2022-04-01T10:00:16.109-07:00,0,21,0
2022-04-01T10:15:16.247-07:00,0,21,0
2022-04-01T10:30:16.356-07:00,0,21,0
2022-04-01T10:45:16.055-07:00,0,21,0
2022-04-01T11:00:16.623-07:00,0,21,0
2022-04-01T11:15:16.224-07:00,0,21,0
2022-04-01T11:30:16.867-07:00,0,21,0
2022-04-01T11:45:16.247-07:00,0,21,0
2022-04-01T12:00:16.160-07:00,0,21,0
2022-04-01T12:15:16.574-07:00,0,21,0
2022-04-01T12:30:16.920-07:00,0,21,0
2022-04-01T12:45:16.771-07:00,0,21,0
2022-04-01T13:00:17.328-07:00,0,21,0
2022-04-01T13:15:16.308-07:00,0,21,0
2022-04-01T13:30:16.046-07:00,0,21,0
2022-04-01T13:45:17.751-07:00,0,21,0
2022-04-01T14:00:17.173-07:00,0,21,0
2022-04-01T14:15:17.761-07:00,0,21,0
2022-04-01T14:30:16.477-07:00,0,21,0
2022-04-01T14:45:16.500-07:00,0,21,0
2022-04-01T15:00:16.693-07:00,0,21,0
2022-04-01T15:15:16.542-07:00,0,21,0
2022-04-01T15:30:16.174-07:00,0,21,0
2022-04-01T15:45:16.549-07:00,0,21,0
2022-04-01T16:00:16.563-07:00,0,21,0
2022-04-01T16:15:16.296-07:00,0,21,0
2022-04-01T16:30:16.707-07:00,0,21,0
2022-04-01T16:45:17.223-07:00,0,21,0
2022-04-01T17:00:16.374-07:00,0,21,0
2022-04-01T17:15:17.342-07:00,0,21,0
2022-04-01T17:30:16.293-07:00,0,21,0
2022-04-01T17:45:16.388-07:00,0,21,0
2022-04-01T18:00:16.369-07:00,0,21,0
2022-04-01T18:15:16.227-07:00,0,21,0
2022-04-01T18:30:17.245-07:00,0,21,0
2022-04-01T18:45:16.238-07:00,0,21,0
2022-04-01T19:00:16.384-07:00,0,21,0
2022-04-01T19:15:16.236-07:00,0,21,0
2022-04-01T19:30:16.290-07:00,0,21,0
2022-04-01T19:45:16.330-07:00,0,21,0
2022-04-01T20:00:17.341-07:00,0,21,0
2022-04-01T20:15:16.264-07:00,0,21,0
2022-04-01T20:30:16.438-07:00,0,21,0
2022-04-01T20:45:16.271-07:00,0,21,0
2022-04-01T21:00:16.420-07:00,0,21,0
2022-04-01T21:15:16.448-07:00,0,21,0
2022-04-01T21:30:16.390-07:00,0,21,0
2022-04-01T21:45:17.365-07:00,0,21,0
2022-04-01T22:00:16.678-07:00,0,21,0
2022-04-01T22:15:16.570-07:00,0,21,0
2022-04-01T22:30:16.406-07:00,0,21,0
2022-04-01T22:45:16.542-07:00,0,21,0
2022-04-01T23:00:16.359-07:00,0,21,0
2022-04-01T23:15:17.810-07:00,0,21,0
2022-04-01T23:30:16.403-07:00,0,21,0
2022-04-01T23:45:16.277-07:00,0,21,0
2022-04-02T00:00:16.533-07:00,0,21,0
2022-04-02T00:15:16.449-07:00,0,21,0
2022-04-02T00:30:16.557-07:00,0,21,0
2022-04-02T00:45:17.660-07:00,0,21,0
2022-04-02T01:00:16.080-07:00,0,21,0
2022-04-02T01:15:16.412-07:00,0,21,0
2022-04-02T01:30:16.544-07:00,0,21,0
2022-04-02T01:45:16.258-07:00,0,21,0
2022-04-02T02:00:16.564-07:00,0,21,0
2022-04-02T02:15:18.383-07:00,0,21,0
2022-04-02T02:30:16.270-07:00,0,21,0
2022-04-02T02:45:16.184-07:00,0,21,0
2022-04-02T03:00:16.118-07:00,0,21,0
2022-04-02T03:15:16.353-07:00,0,21,0
2022-04-02T03:30:16.372-07:00,0,21,0
2022-04-02T03:45:16.176-07:00,0,21,0
2022-04-02T04:00:16.365-07:00,0,21,0
2022-04-02T04:15:16.338-07:00,0,21,0
2022-04-02T04:30:16.300-07:00,0,21,0
2022-04-02T04:45:16.555-07:00,0,21,0
2022-04-02T05:00:16.132-07:00,0,21,0
2022-04-02T05:15:16.245-07:00,0,21,0
2022-04-02T05:30:16.455-07:00,0,21,0
2022-04-02T05:45:16.806-07:00,0,21,0
2022-04-02T06:00:16.661-07:00,0,21,0
2022-04-02T06:15:17.853-07:00,0,21,0
2022-04-02T06:30:16.801-07:00,0,21,0
2022-04-02T06:45:16.689-07:00,0,21,0
2022-04-02T07:00:17.212-07:00,0,21,0
2022-04-02T07:15:16.624-07:00,0,21,0
2022-04-02T07:30:16.929-07:00,0,21,0
