t,v,s,r
2022-03-31T23:45:13.884-07:00,0,21,0
2022-04-01T00:00:13.447-07:00,0,21,0
2022-04-01T00:15:14.264-07:00,0,21,0
2022-04-01T00:30:13.459-07:00,0,21,0
2022-04-01T00:45:13.804-07:00,0,21,0
2022-04-01T01:00:13.435-07:00,0,21,0
2022-04-01T01:15:13.433-07:00,0,21,0
2022-04-01T01:30:13.551-07:00,0,21,0
2022-04-01T01:45:13.154-07:00,0,21,0
2022-04-01T02:00:13.425-07:00,0,21,0
2022-04-01T02:15:13.376-07:00,0,21,0
2022-04-01T02:30:13.256-07:00,0,21,0
2022-04-01T02:45:13.681-07:00,0,21,0
2022-04-01T03:00:13.252-07:00,0,21,0
2022-04-01T03:15:13.448-07:00,0,21,0
2022-04-01T03:30:13.355-07:00,0,21,0
2022-04-01T03:45:15.082-07:00,0,21,0
2022-04-01T04:00:13.468-07:00,0,21,0
2022-04-01T04:15:13.292-07:00,0,21,0
2022-04-01T04:30:13.210-07:00,0,21,0
2022-04-01T04:45:13.613-07:00,0,21,0
2022-04-01T05:00:13.661-07:00,0,21,0
2022-04-01T05:15:13.447-07:00,0,21,0
2022-04-01T05:30:13.785-07:00,0,21,0
2022-04-01T05:45:13.211-07:00,0,21,0
2022-04-01T06:00:13.561-07:00,0,21,0
2022-04-01T06:15:13.480-07:00,0,21,0
2022-04-01T06:30:13.071-07:00,0,21,0
2022-04-01T06:45:13.411-07:00,0,21,0
2022-04-01T07:00:13.405-07:00,0,21,0
2022-04-01T07:15:14.090-07:00,0,21,0
2022-04-01T07:30:13.428-07:00,0,21,0
2022-04-01T07:45:13.465-07:00,0,21,0
2022-04-01T08:00:13.240-07:00,0,21,0
2022-04-01T08:15:13.454-07:00,0,21,0
2022-04-01T08:30:13.678-07:00,0,21,0
2022-04-01T08:45:13.205-07:00,0,21,0
2022-04-01T09:00:13.167-07:00,0,21,0
2022-04-01T09:15:13.218-07:00,0,21,0
2022-04-01T09:30:13.432-07:00,0,21,0
2022-04-01T09:45:13.183-07:00,0,21,0
2022-04-01T10:00:13.134-07:00,0,21,0
2022-04-01T10:15:13.375-07:00,0,21,0
2022-04-01T10:30:13.520-07:00,0,21,0
2022-04-01T10:45:13.092-07:00,0,21,0
2022-04-01T11:00:13.707-07:00,0,21,0
2022-04-01T11:15:13.429-07:00,0,21,0
2022-04-01T11:30:14.044-07:00,0,21,0
2022-04-01T11:45:13.421-07:00,0,21,0
2022-04-01T12:00:13.125-07:00,0,21,0
2022-04-01T12:15:13.438-07:00,0,21,0
2022-04-01T12:30:14.047-07:00,0,21,0
2022-04-01T12:45:13.743-07:00,0,21,0
2022-04-01T13:00:14.440-07:00,0,21,0
2022-04-01T13:15:13.472-07:00,0,21,0
2022-04-01T13:30:13.198-07:00,0,21,0
2022-04-01T13:45:14.894-07:00,0,21,0
2022-04-01T14:00:14.078-07:00,0,21,0
2022-04-01T14:15:14.861-07:00,0,21,0
2022-04-01T14:30:13.614-07:00,0,21,0
2022-04-01T14:45:13.406-07:00,0,21,0
2022-04-01T15:00:13.831-07:00,0,21,0
2022-04-01T15:15:13.661-07:00,0,21,0
2022-04-01T15:30:13.322-07:00,0,21,0
2022-04-01T15:45:13.747-07:00,0,21,0
2022-04-01T16:00:13.693-07:00,0,21,0
2022-04-01T16:15:13.318-07:00,0,21,0
2022-04-01T16:30:13.777-07:00,0,21,0
2022-04-01T16:45:14.202-07:00,0,21,0
2022-04-01T17:00:13.539-07:00,0,21,0
2022-04-01T17:15:14.502-07:00,0,21,0
2022-04-01T17:30:13.404-07:00,0,21,0
2022-04-01T17:45:13.554-07:00,0,21,0
2022-04-01T18:00:13.420-07:00,0,21,0
2022-04-01T18:15:13.397-07:00,0,21,0
2022-04-01T18:30:14.372-07:00,0,21,0
2022-04-01T18:45:13.245-07:00,0,21,0
2022-04-01T19:00:13.517-07:00,0,21,0
2022-04-01T19:15:13.423-07:00,0,21,0
2022-04-01T19:30:13.430-07:00,0,21,0
2022-04-01T19:45:13.339-07:00,0,21,0
2022-04-01T20:00:14.496-07:00,0,21,0
2022-04-01T20:15:13.369-07:00,0,21,0
2022-04-01T20:30:13.573-07:00,0,21,0
2022-04-01T20:45:13.438-07:00,0,21,0
2022-04-01T21:00:13.571-07:00,0,21,0
2022-04-01T21:15:13.589-07:00,0,21,0
2022-04-01T21:30:13.124-07:00,0,21,0
2022-04-01T21:45:14.456-07:00,0,21,0
2022-04-01T22:00:13.773-07:00,0,21,0
2022-04-01T22:15:13.500-07:00,0,21,0
2022-04-01T22:30:13.573-07:00,0,21,0
2022-04-01T22:45:13.534-07:00,0,21,0
2022-04-01T23:00:13.545-07:00,0,21,0
2022-04-01T23:15:13.962-07:00,0,21,0
2022-04-01T23:30:13.491-07:00,0,21,0
2022-04-01T23:45:13.419-07:00,0,21,0
2022-04-02T00:00:13.729-07:00,0,21,0
2022-04-02T00:15:13.128-07:00,0,21,0
2022-04-02T00:30:13.676-07:00,0,21,0
2022-04-02T00:45:14.765-07:00,0,21,0
2022-04-02T01:00:13.245-07:00,0,21,0
2022-04-02T01:15:13.585-07:00,0,21,0
2022-04-02T01:30:13.660-07:00,0,21,0
2022-04-02T01:45:13.227-07:00,0,21,0
2022-04-02T02:00:13.683-07:00,0,21,0
2022-04-02T02:15:15.397-07:00,0,21,0
2022-04-02T02:30:13.419-07:00,0,21,0
2022-04-02T02:45:13.394-07:00,0,21,0
2022-04-02T03:00:13.278-07:00,0,21,0
2022-04-02T03:15:13.470-07:00,0,21,0
2022-04-02T03:30:13.408-07:00,0,21,0
2022-04-02T03:45:13.303-07:00,0,21,0
2022-04-02T04:00:13.514-07:00,0,21,0
2022-04-02T04:15:13.312-07:00,0,21,0
2022-04-02T04:30:13.438-07:00,0,21,0
2022-04-02T04:45:13.478-07:00,0,21,0
2022-04-02T05:00:13.293-07:00,0,21,0
2022-04-02T05:15:13.430-07:00,0,21,0
2022-04-02T05:30:13.445-07:00,0,21,0
2022-04-02T05:45:13.952-07:00,0,21,0
2022-04-02T06:00:13.809-07:00,0,21,0
2022-04-02T06:15:14.857-07:00,0,21,0
2022-04-02T06:30:13.791-07:00,0,21,0
2022-04-02T06:45:13.778-07:00,0,21,0
2022-04-02T07:00:13.580-07:00,0,21,0
2022-04-02T07:15:13.720-07:00,0,21,0
2022-04-02T07:30:13.558-07:00,0,21,0
2022-04-02T07:45:13.450-07:00,0,21,0
2022-04-02T08:00:14.594-07:00,0,21,0
2022-04-02T08:15:13.128-07:00,0,21,0
2022-04-02T08:30:14.575-07:00,0,21,0
2022-04-02T08:45:13.499-07:00,0,21,0
2022-04-02T09:00:13.352-07:00,0,21,0
2022-04-02T09:15:13.524-07:00,0,21,0
2022-04-02T09:30:13.452-07:00,0,21,0
2022-04-02T09:45:14.875-07:00,0,21,0
2022-04-02T10:00:13.833-07:00,0,21,0
2022-04-02T10:15:13.289-07:00,0,21,0
2022-04-02T10:30:13.690-07:00,0,21,0
2022-04-02T10:45:13.689-07:00,0,21,0
2022-04-02T11:00:13.548-07:00,0,21,0
2022-04-02T11:15:13.858-07:00,0,21,0
2022-04-02T11:30:13.504-07:00,0,21,0
2022-04-02T11:45:13.687-07:00,0,21,0
2022-04-02T12:00:13.561-07:00,0,21,0
2022-04-02T12:15:13.221-07:00,0,21,0
2022-04-02T12:30:13.443-07:00,0,21,0
2022-04-02T12:45:13.407-07:00,0,21,0
2022-04-02T13:00:13.515-07:00,0,21,0
2022-04-02T13:15:13.448-07:00,0,21,0
2022-04-02T13:30:13.426-07:00,0,21,0
2022-04-02T13:45:13.794-07:00,0,21,0
2022-04-02T14:00:13.596-07:00,0,21,0
2022-04-02T14:15:13.415-07:00,0,21,0
2022-04-02T14:30:13.434-07:00,0,21,0
2022-04-02T14:45:13.632-07:00,0,21,0
2022-04-02T15:00:13.372-07:00,0,21,0
