t,v,s,r
2022-03-31T23:45:17.921-07:00,0,21,0
2022-04-01T00:00:16.478-07:00,0,21,0
2022-04-01T00:15:17.479-07:00,0,21,0
2022-04-01T00:30:16.629-07:00,0,21,0
2022-04-01T00:45:16.857-07:00,0,21,0
2022-04-01T01:00:16.774-07:00,0,21,0
2022-04-01T01:15:16.430-07:00,0,21,0
2022-04-01T01:30:16.573-07:00,0,21,0
2022-04-01T01:45:16.186-07:00,0,21,0
2022-04-01T02:00:16.457-07:00,0,21,0
2022-04-01T02:15:16.417-07:00,0,21,0
2022-04-01T02:30:16.301-07:00,0,21,0
2022-04-01T02:45:16.686-07:00,0,21,0
2022-04-01T03:00:16.452-07:00,0,21,0
2022-04-01T03:15:16.468-07:00,0,21,0
2022-04-01T03:30:16.466-07:00,0,21,0
2022-04-01T03:45:18.346-07:00,0,21,0
2022-04-01T04:00:16.486-07:00,0,21,0
2022-04-01T04:15:16.411-07:00,0,21,0
2022-04-01T04:30:16.250-07:00,0,21,0
2022-04-01T04:45:16.627-07:00,0,21,0
2022-04-01T05:00:16.853-07:00,0,21,0
2022-04-01T05:15:16.496-07:00,0,21,0
2022-04-01T05:30:17.781-07:00,0,21,0
2022-04-01T05:45:16.771-07:00,0,21,0
2022-04-01T06:00:16.661-07:00,0,21,0
2022-04-01T06:15:16.494-07:00,0,21,0
2022-04-01T06:30:16.484-07:00,0,21,0
2022-04-01T06:45:16.502-07:00,0,21,0
2022-04-01T07:00:16.441-07:00,0,21,0
2022-04-01T07:15:17.369-07:00,0,21,0
2022-04-01T07:30:16.455-07:00,0,21,0
2022-04-01T07:45:16.484-07:00,0,21,0
2022-04-01T08:00:16.223-07:00,0,21,0
2022-04-01T08:15:16.427-07:00,0,21,0
2022-04-01T08:30:17.287-07:00,0,21,0
2022-04-01T08:45:16.342-07:00,0,21,0
2022-04-01T09:00:16.326-07:00,0,21,0
2022-04-01T09:15:16.353-07:00,0,21,0
2022-04-01T09:30:16.525-07:00,0,21,0
2022-04-01T09:45:16.411-07:00,0,21,0
2022-04-01T10:00:16.292-07:00,0,21,0
2022-04-01T10:15:16.430-07:00,0,21,0
2022-04-01T10:30:16.532-07:00,0,21,0
2022-04-01T10:45:16.229-07:00,0,21,0
2022-04-01T11:00:16.804-07:00,0,21,0
2022-04-01T11:15:16.400-07:00,0,21,0
2022-04-01T11:30:17.048-07:00,0,21,0
2022-04-01T11:45:16.421-07:00,0,21,0
2022-04-01T12:00:16.342-07:00,0,21,0
2022-04-01T12:15:16.764-07:00,0,21,0
2022-04-01T12:30:17.099-07:00,0,21,0
2022-04-01T12:45:16.942-07:00,0,21,0
2022-04-01T13:00:17.527-07:00,0,21,0
2022-04-01T13:15:16.490-07:00,0,21,0
2022-04-01T13:30:16.229-07:00,0,21,0
2022-04-01T13:45:17.932-07:00,0,21,0
2022-04-01T14:00:17.358-07:00,0,21,0
2022-04-01T14:15:17.936-07:00,0,21,0
2022-04-01T14:30:16.655-07:00,0,21,0
2022-04-01T14:45:16.696-07:00,0,21,0
2022-04-01T15:00:16.869-07:00,0,21,0
2022-04-01T15:15:16.715-07:00,0,21,0
2022-04-01T15:30:16.348-07:00,0,21,0
2022-04-01T15:45:16.730-07:00,0,21,0
2022-04-01T16:00:16.734-07:00,0,21,0
2022-04-01T16:15:16.486-07:00,0,21,0
2022-04-01T16:30:16.881-07:00,0,21,0
2022-04-01T16:45:17.401-07:00,0,21,0
2022-04-01T17:00:16.563-07:00,0,21,0
2022-04-01T17:15:17.521-07:00,0,21,0
2022-04-01T17:30:16.478-07:00,0,21,0
2022-04-01T17:45:16.580-07:00,0,21,0
2022-04-01T18:00:16.597-07:00,0,21,0
2022-04-01T18:15:16.562-07:00,0,21,0
2022-04-01T18:30:17.431-07:00,0,21,0
2022-04-01T18:45:16.447-07:00,0,21,0
2022-04-01T19:00:16.562-07:00,0,21,0
2022-04-01T19:15:16.436-07:00,0,21,0
2022-04-01T19:30:16.462-07:00,0,21,0
2022-04-01T19:45:16.516-07:00,0,21,0
2022-04-01T20:00:17.528-07:00,0,21,0
2022-04-01T20:15:16.443-07:00,0,21,0
2022-04-01T20:30:16.609-07:00,0,21,0
2022-04-01T20:45:16.445-07:00,0,21,0
2022-04-01T21:00:16.611-07:00,0,21,0
2022-04-01T21:15:16.633-07:00,0,21,0
2022-04-01T21:30:16.562-07:00,0,21,0
2022-04-01T21:45:17.530-07:00,0,21,0
2022-04-01T22:00:16.858-07:00,0,21,0
2022-04-01T22:15:16.780-07:00,0,21,0
2022-04-01T22:30:16.601-07:00,0,21,0
2022-04-01T22:45:16.727-07:00,0,21,0
2022-04-01T23:00:16.545-07:00,0,21,0
2022-04-01T23:15:18.058-07:00,0,21,0
2022-04-01T23:30:16.578-07:00,0,21,0
2022-04-01T23:45:16.464-07:00,0,21,0
2022-04-02T00:00:16.703-07:00,0,21,0
2022-04-02T00:15:16.628-07:00,0,21,0
2022-04-02T00:30:16.746-07:00,0,21,0
2022-04-02T00:45:17.838-07:00,0,21,0
2022-04-02T01:00:16.269-07:00,0,21,0
2022-04-02T01:15:16.591-07:00,0,21,0
2022-04-02T01:30:16.712-07:00,0,21,0
2022-04-02T01:45:16.438-07:00,0,21,0
2022-04-02T02:00:16.741-07:00,0,21,0
2022-04-02T02:15:18.574-07:00,0,21,0
2022-04-02T02:30:16.449-07:00,0,21,0
2022-04-02T02:45:16.350-07:00,0,21,0
2022-04-02T03:00:16.420-07:00,0,21,0
2022-04-02T03:15:16.519-07:00,0,21,0
2022-04-02T03:30:16.564-07:00,0,21,0
2022-04-02T03:45:16.351-07:00,0,21,0
2022-04-02T04:00:16.531-07:00,0,21,0
2022-04-02T04:15:16.508-07:00,0,21,0
2022-04-02T04:30:16.479-07:00,0,21,0
2022-04-02T04:45:16.732-07:00,0,21,0
2022-04-02T05:00:16.308-07:00,0,21,0
2022-04-02T05:15:16.436-07:00,0,21,0
2022-04-02T05:30:16.633-07:00,0,21,0
2022-04-02T05:45:16.977-07:00,0,21,0
2022-04-02T06:00:16.867-07:00,0,21,0
2022-04-02T06:15:18.025-07:00,0,21,0
2022-04-02T06:30:16.987-07:00,0,21,0
2022-04-02T06:45:16.876-07:00,0,21,0
2022-04-02T07:00:17.389-07:00,0,21,0
2022-04-02T07:15:16.806-07:00,0,21,0
2022-04-02T07:30:17.150-07:00,0,21,0
2022-04-02T07:45:16.513-07:00,0,21,0
2022-04-02T08:00:17.660-07:00,0,21,0
2022-04-02T08:15:16.265-07:00,0,21,0
2022-04-02T08:30:17.631-07:00,0,21,0
2022-04-02T08:45:16.558-07:00,0,21,0
2022-04-02T09:00:16.387-07:00,0,21,0
2022-04-02T09:15:16.566-07:00,0,21,0
2022-04-02T09:30:16.675-07:00,0,21,0
2022-04-02T09:45:17.970-07:00,0,21,0
2022-04-02T10:00:16.826-07:00,0,21,0
2022-04-02T10:15:16.701-07:00,0,21,0
2022-04-02T10:30:16.725-07:00,0,21,0
2022-04-02T10:45:16.714-07:00,0,21,0
2022-04-02T11:00:16.596-07:00,0,21,0
2022-04-02T11:15:16.885-07:00,0,21,0
2022-04-02T11:30:17.494-07:00,0,21,0
2022-04-02T11:45:16.711-07:00,0,21,0
2022-04-02T12:00:16.610-07:00,0,21,0
2022-04-02T12:15:16.551-07:00,0,21,0
2022-04-02T12:30:16.496-07:00,0,21,0
2022-04-02T12:45:16.552-07:00,0,21,0
2022-04-02T13:00:16.800-07:00,0,21,0
2022-04-02T13:15:16.568-07:00,0,21,0
2022-04-02T13:30:16.623-07:00,0,21,0
2022-04-02T13:45:16.849-07:00,0,21,0
2022-04-02T14:00:16.598-07:00,0,21,0
2022-04-02T14:15:16.441-07:00,0,21,0
2022-04-02T14:30:16.464-07:00,0,21,0
2022-04-02T14:45:16.683-07:00,0,21,0
2022-04-02T15:00:16.616-07:00,0,21,0
2022-04-02T15:15:16.509-07:00,0,21,0
2022-04-02T15:30:16.412-07:00,0,21,0
2022-04-02T15:45:17.363-07:00,0,21,0
2022-04-02T16:00:16.425-07:00,0,21,0
2022-04-02T16:15:16.410-07:00,0,21,0
2022-04-02T16:30:16.749-07:00,0,21,0
2022-04-02T16:45:16.578-07:00,0,21,0
2022-04-02T17:00:16.592-07:00,0,21,0
2022-04-02T17:15:16.962-07:00,0,21,0
2022-04-02T17:30:17.025-07:00,0,21,0
2022-04-02T17:45:17.664-07:00,0,21,0
2022-04-02T18:00:16.464-07:00,0,21,0
2022-04-02T18:15:16.458-07:00,0,21,0
2022-04-02T18:30:16.642-07:00,0,21,0
2022-04-02T18:45:16.569-07:00,0,21,0
2022-04-02T19:00:17.054-07:00,0,21,0
2022-04-02T19:15:16.825-07:00,0,21,0
2022-04-02T19:30:16.838-07:00,0,21,0
2022-04-02T19:45:16.888-07:00,0,21,0
2022-04-02T20:00:17.021-07:00,0,21,0
2022-04-02T20:15:17.675-07:00,0,21,0
2022-04-02T20:30:16.929-07:00,0,21,0
2022-04-02T20:45:16.961-07:00,0,21,0
2022-04-02T21:00:16.375-07:00,0,21,0
2022-04-02T21:15:16.774-07:00,0,21,0
2022-04-02T21:30:16.731-07:00,0,21,0
2022-04-02T21:45:16.378-07:00,0,21,0
2022-04-02T22:00:16.347-07:00,0,21,0
2022-04-02T22:15:16.576-07:00,0,21,0
2022-04-02T22:30:16.370-07:00,0,21,0
2022-04-02T22:45:16.429-07:00,0,21,0
2022-04-02T23:00:16.409-07:00,0,21,0
2022-04-02T23:15:16.523-07:00,0,21,0
2022-04-02T23:30:16.830-07:00,0,21,0
2022-04-02T23:45:16.783-07:00,0,21,0
2022-04-03T00:00:16.812-07:00,0,21,0
2022-04-03T00:15:17.202-07:00,0,21,0
2022-04-03T00:30:16.587-07:00,0,21,0
2022-04-03T00:45:16.643-07:00,0,21,0
2022-04-03T01:00:16.418-07:00,0,21,0
2022-04-03T01:15:16.303-07:00,0,21,0
2022-04-03T01:30:16.301-07:00,0,21,0
2022-04-03T01:45:16.729-07:00,0,21,0
2022-04-03T02:00:16.703-07:00,0,21,0
2022-04-03T02:15:16.349-07:00,0,21,0
2022-04-03T02:30:16.742-07:00,0,21,0
2022-04-03T02:45:17.846-07:00,0,21,0
2022-04-03T03:00:16.467-07:00,0,21,0
2022-04-03T03:15:16.568-07:00,0,21,0
2022-04-03T03:30:16.476-07:00,0,21,0
2022-04-03T03:45:16.657-07:00,0,21,0
2022-04-03T04:00:16.873-07:00,0,21,0
2022-04-03T04:15:16.564-07:00,0,21,0
2022-04-03T04:30:16.921-07:00,0,21,0
2022-04-03T04:45:17.355-07:00,0,21,0
2022-04-03T05:00:20.129-07:00,0,21,0
2022-04-03T05:15:16.669-07:00,0,21,0
2022-04-03T05:30:16.412-07:00,0,21,0
2022-04-03T05:45:17.196-07:00,0,21,0
2022-04-03T06:00:16.752-07:00,0,21,0
2022-04-03T06:15:16.383-07:00,0,21,0
2022-04-03T06:30:16.533-07:00,0,21,0
2022-04-03T06:45:16.728-07:00,0,21,0
2022-04-03T07:00:16.331-07:00,0,21,0
2022-04-03T07:15:16.590-07:00,0,21,0
2022-04-03T07:30:16.598-07:00,0,21,0
2022-04-03T07:45:17.545-07:00,0,21,0
2022-04-03T08:00:16.441-07:00,0,21,0
2022-04-03T08:15:16.414-07:00,0,21,0
2022-04-03T08:30:16.654-07:00,0,21,0
2022-04-03T08:45:16.568-07:00,0,21,0
2022-04-03T09:00:16.511-07:00,0,21,0
2022-04-03T09:15:17.640-07:00,0,21,0
2022-04-03T09:30:17.211-07:00,0,21,0
2022-04-03T09:45:16.593-07:00,0,21,0
2022-04-03T10:00:16.648-07:00,0,21,0
2022-04-03T10:15:16.612-07:00,0,21,0
2022-04-03T10:30:16.496-07:00,0,21,0
2022-04-03T10:45:16.464-07:00,0,21,0
2022-04-03T11:00:16.510-07:00,0,21,0
2022-04-03T11:15:16.398-07:00,0,21,0
2022-04-03T11:30:16.708-07:00,0,21,0
2022-04-03T11:45:16.705-07:00,0,21,0
2022-04-03T12:00:16.696-07:00,0,21,0
2022-04-03T12:15:16.550-07:00,0,21,0
2022-04-03T12:30:17.860-07:00,0,21,0
2022-04-03T12:45:16.811-07:00,0,21,0
2022-04-03T13:00:16.356-07:00,0,21,0
2022-04-03T13:15:16.417-07:00,0,21,0
2022-04-03T13:30:17.576-07:00,0,21,0
2022-04-03T13:45:18.159-07:00,0,21,0
2022-04-03T14:00:17.901-07:00,0,21,0
2022-04-03T14:15:16.504-07:00,0,21,0
2022-04-03T14:30:16.694-07:00,0,21,0
2022-04-03T14:45:16.508-07:00,0,21,0
2022-04-03T15:00:16.235-07:00,0,21,0
2022-04-03T15:15:16.607-07:00,0,21,0
2022-04-03T15:30:18.210-07:00,0,21,0
2022-04-03T15:45:17.351-07:00,0,21,0
2022-04-03T16:00:16.570-07:00,0,21,0
2022-04-03T16:15:16.529-07:00,0,21,0
2022-04-03T16:30:16.430-07:00,0,21,0
2022-04-03T16:45:16.693-07:00,0,21,0
2022-04-03T17:00:16.401-07:00,0,21,0
2022-04-03T17:15:17.272-07:00,0,21,0
2022-04-03T17:30:16.308-07:00,0,21,0
2022-04-03T17:45:16.272-07:00,0,21,0
2022-04-03T18:00:16.457-07:00,0,21,0
2022-04-03T18:15:17.308-07:00,0,21,0
2022-04-03T18:30:16.475-07:00,0,21,0
2022-04-03T18:45:17.291-07:00,0,21,0
2022-04-03T19:00:16.380-07:00,0,21,0
2022-04-03T19:15:16.403-07:00,0,21,0
2022-04-03T19:30:16.428-07:00,0,21,0
2022-04-03T19:45:16.163-07:00,0,21,0
2022-04-03T20:00:16.583-07:00,0,21,0
2022-04-03T20:15:17.444-07:00,0,21,0
2022-04-03T20:30:16.205-07:00,0,21,0
2022-04-03T20:45:16.700-07:00,0,21,0
2022-04-03T21:00:16.380-07:00,0,21,0
2022-04-03T21:15:16.309-07:00,0,21,0
2022-04-03T21:30:16.325-07:00,0,21,0
2022-04-03T21:45:16.544-07:00,0,21,0
2022-04-03T22:00:16.453-07:00,0,21,0
2022-04-03T22:15:16.443-07:00,0,21,0
2022-04-03T22:30:16.498-07:00,0,21,0
2022-04-03T22:45:17.454-07:00,0,21,0
2022-04-03T23:00:16.509-07:00,0,21,0
2022-04-03T23:15:16.333-07:00,0,21,0
2022-04-03T23:30:16.485-07:00,0,21,0
2022-04-03T23:45:16.302-07:00,0,21,0
2022-04-04T00:00:16.452-07:00,0,21,0
2022-04-04T00:15:16.599-07:00,0,21,0
2022-04-04T00:30:16.244-07:00,0,21,0
2022-04-04T00:45:16.528-07:00,0,21,0
2022-04-04T01:00:16.465-07:00,0,21,0
2022-04-04T01:15:16.269-07:00,0,21,0
2022-04-04T01:30:16.919-07:00,0,21,0
2022-04-04T01:45:17.001-07:00,0,21,0
2022-04-04T02:00:17.468-07:00,0,21,0
2022-04-04T02:15:17.972-07:00,0,21,0
2022-04-04T02:30:17.759-07:00,0,21,0
2022-04-04T02:45:16.371-07:00,0,21,0
2022-04-04T03:00:17.398-07:00,0,21,0
