t,v,s,r
2022-03-31T23:45:11.477-07:00,6.239998817443848,0,0
2022-04-01T00:00:10.957-07:00,11.279997825622559,0,0
2022-04-01T00:15:12.090-07:00,16.679996490478516,0,0
2022-04-01T00:30:11.771-07:00,11.759997367858887,0,0
2022-04-01T00:45:12.177-07:00,6.119998931884766,0,0
2022-04-01T01:00:11.900-07:00,12.71999740600586,0,0
2022-04-01T01:15:11.175-07:00,6.959998607635498,0,0
2022-04-01T01:30:11.102-07:00,9.599998474121094,0,0
2022-04-01T01:45:11.808-07:00,13.559996604919434,0,0
2022-04-01T02:00:12.385-07:00,16.679996490478516,0,0
2022-04-01T02:15:11.933-07:00,10.439997673034668,0,0
2022-04-01T02:30:12.280-07:00,8.039998054504395,0,0
2022-04-01T02:45:12.186-07:00,11.15999698638916,0,0
2022-04-01T03:00:12.244-07:00,8.879998207092285,0,0
2022-04-01T03:15:11.698-07:00,15.479996681213379,0,0
2022-04-01T03:30:11.937-07:00,11.519997596740723,0,0
2022-04-01T03:45:11.749-07:00,11.039998054504395,0,0
2022-04-01T04:00:11.650-07:00,12.119997024536133,0,0
2022-04-01T04:15:11.964-07:00,8.279997825622559,0,0
2022-04-01T04:30:11.287-07:00,12.839997291564941,0,0
2022-04-01T04:45:11.251-07:00,11.999998092651367,0,0
2022-04-01T05:00:16.047-07:00,9.11999797821045,0,0
2022-04-01T05:15:11.387-07:00,12.479997634887695,0,0
2022-04-01T05:30:10.822-07:00,4.679998874664307,0,0
2022-04-01T05:45:01.114-07:00,11.759997367858887,0,0
2022-04-01T06:00:11.980-07:00,6.599998950958252,0,0
2022-04-01T06:15:11.983-07:00,6.719998836517334,0,0
2022-04-01T06:30:13.939-07:00,6.959998607635498,0,0
2022-04-01T06:45:11.479-07:00,8.759998321533203,0,0
2022-04-01T07:00:14.619-07:00,13.31999683380127,0,0
2022-04-01T07:15:12.164-07:00,6.35999870300293,0,0
2022-04-01T07:30:11.415-07:00,17.999998092651367,0,0
2022-04-01T07:45:12.701-07:00,7.19999885559082,0,0
2022-04-01T08:00:11.914-07:00,11.639997482299805,0,0
2022-04-01T08:15:12.234-07:00,7.679998397827148,0,0
2022-04-01T08:30:11.670-07:00,7.559998512268066,0,0
2022-04-01T08:45:11.484-07:00,19.799997329711914,0,0
2022-04-01T09:00:11.716-07:00,13.199997901916504,0,0
2022-04-01T09:15:12.157-07:00,4.919999122619629,0,0
2022-04-01T09:30:11.322-07:00,8.759998321533203,0,0
2022-04-01T09:45:11.613-07:00,11.15999698638916,0,0
2022-04-01T10:00:11.486-07:00,6.839998722076416,0,0
2022-04-01T10:15:12.516-07:00,10.19999885559082,0,0
2022-04-01T10:30:11.478-07:00,13.79999828338623,0,0
2022-04-01T10:45:11.513-07:00,10.79999828338623,0,0
2022-04-01T11:00:12.172-07:00,3.479999303817749,0,0
2022-04-01T11:15:12.073-07:00,5.759998798370361,0,0
2022-04-01T11:30:12.064-07:00,5.399999141693115,0,0
2022-04-01T11:45:11.992-07:00,7.19999885559082,0,0
2022-04-01T12:00:12.418-07:00,1.919999599456787,0,0
2022-04-01T12:15:12.140-07:00,4.559998989105225,0,0
2022-04-01T12:30:11.904-07:00,5.159998893737793,0,0
2022-04-01T12:45:11.402-07:00,7.799998760223389,0,0
2022-04-01T13:00:11.219-07:00,1.799999713897705,0,0
2022-04-01T13:15:10.907-07:00,6.239998817443848,0,0
2022-04-01T13:30:11.729-07:00,3.239999294281006,0,0
2022-04-01T13:45:12.044-07:00,2.6399993896484375,0,0
2022-04-01T14:00:10.904-07:00,4.439999103546143,0,0
2022-04-01T14:15:11.786-07:00,3.479999303817749,0,0
2022-04-01T14:30:11.171-07:00,4.799999237060547,0,0
2022-04-01T14:45:11.040-07:00,2.6399993896484375,0,0
2022-04-01T15:00:10.732-07:00,7.19999885559082,0,0
2022-04-01T15:15:11.193-07:00,2.1599996089935303,0,0
2022-04-01T15:30:11.459-07:00,2.6399993896484375,0,0
2022-04-01T15:45:10.257-07:00,2.5199995040893555,0,0
2022-04-01T16:00:10.448-07:00,8.159997940063477,0,0
2022-04-01T16:15:11.639-07:00,2.7599995136260986,0,0
2022-04-01T16:30:11.906-07:00,1.3199996948242188,0,0
2022-04-01T16:45:11.204-07:00,5.279998779296875,0,0
2022-04-01T17:00:11.157-07:00,2.039999485015869,0,0
2022-04-01T17:15:10.547-07:00,3.839999198913574,0,0
2022-04-01T17:30:11.575-07:00,1.799999713897705,0,0
2022-04-01T17:45:11.719-07:00,7.679998397827148,0,0
2022-04-01T18:00:11.247-07:00,1.799999713897705,0,0
2022-04-01T18:15:12.300-07:00,3.119999408721924,0,0
2022-04-01T18:30:12.223-07:00,2.1599996089935303,0,0
2022-04-01T18:45:11.615-07:00,7.559998512268066,0,0
2022-04-01T19:00:12.403-07:00,2.2799994945526123,0,0
2022-04-01T19:15:12.360-07:00,5.039999008178711,0,0
2022-04-01T19:30:12.212-07:00,2.999999523162842,0,0
2022-04-01T19:45:11.605-07:00,4.799999237060547,0,0
2022-04-01T20:00:11.233-07:00,4.079998970031738,0,0
2022-04-01T20:15:10.665-07:00,8.759998321533203,0,0
2022-04-01T20:30:11.580-07:00,7.439998626708984,0,0
2022-04-01T20:45:11.820-07:00,6.839998722076416,0,0
2022-04-01T21:00:13.529-07:00,4.079998970031738,0,0
2022-04-01T21:15:01.070-07:00,5.039999008178711,0,0
2022-04-01T21:30:12.243-07:00,14.39999771118164,0,0
2022-04-01T21:45:11.665-07:00,5.879998683929443,0,0
2022-04-01T22:00:11.710-07:00,5.039999008178711,0,0
2022-04-01T22:15:11.648-07:00,9.959997177124023,0,0
2022-04-01T22:30:11.098-07:00,10.319997787475586,0,0
2022-04-01T22:45:11.567-07:00,13.199997901916504,0,0
2022-04-01T23:00:11.882-07:00,12.119997024536133,0,0
2022-04-01T23:15:11.718-07:00,13.559996604919434,0,0
2022-04-01T23:30:10.973-07:00,7.19999885559082,0,0
2022-04-01T23:45:10.825-07:00,7.679998397827148,0,0
2022-04-02T00:00:10.989-07:00,13.679997444152832,0,0
2022-04-02T00:15:11.250-07:00,9.239997863769531,0,0
2022-04-02T00:30:14.860-07:00,9.599998474121094,0,0
2022-04-02T00:45:12.017-07:00,5.639998912811279,0,0
2022-04-02T01:00:10.945-07:00,11.639997482299805,0,0
2022-04-02T01:15:11.977-07:00,5.519999027252197,0,0
2022-04-02T01:30:11.844-07:00,7.559998512268066,0,0
2022-04-02T01:45:11.659-07:00,14.75999641418457,0,0
2022-04-02T02:00:11.648-07:00,6.719998836517334,0,0
2022-04-02T02:15:11.806-07:00,12.959997177124023,0,0
2022-04-02T02:30:11.543-07:00,10.55999755859375,0,0
2022-04-02T02:45:10.766-07:00,6.599998950958252,0,0
2022-04-02T03:00:10.962-07:00,12.359996795654297,0,0
2022-04-02T03:15:11.539-07:00,7.319998741149902,0,0
2022-04-02T03:30:11.378-07:00,9.71999740600586,0,0
2022-04-02T03:45:12.072-07:00,8.999999046325684,0,0
2022-04-02T04:00:08.957-07:00,13.679997444152832,0,0
2022-04-02T04:15:08.693-07:00,12.359996795654297,0,0
2022-04-02T04:30:13.530-07:00,7.07999849319458,0,0
2022-04-02T04:45:11.876-07:00,12.479997634887695,0,0
2022-04-02T05:00:19.701-07:00,11.879997253417969,0,0
2022-04-02T05:15:11.537-07:00,11.879997253417969,0,0
2022-04-02T05:30:11.402-07:00,12.119997024536133,0,0
2022-04-02T05:45:13.564-07:00,14.39999771118164,0,0
2022-04-02T06:00:11.146-07:00,13.079997062683105,0,0
2022-04-02T06:15:08.264-07:00,13.679997444152832,0,0
2022-04-02T06:30:11.220-07:00,8.999999046325684,0,0
2022-04-02T06:45:12.144-07:00,7.07999849319458,0,0
2022-04-02T07:00:11.810-07:00,8.639998435974121,0,0
2022-04-02T07:15:12.184-07:00,11.15999698638916,0,0
2022-04-02T07:30:01.311-07:00,8.399998664855957,0,0
2022-04-02T07:45:15.222-07:00,6.119998931884766,0,0
2022-04-02T08:00:11.544-07:00,11.15999698638916,0,0
2022-04-02T08:15:11.402-07:00,9.839998245239258,0,0
2022-04-02T08:30:11.717-07:00,11.039998054504395,0,0
2022-04-02T08:45:12.727-07:00,16.679996490478516,0,0
2022-04-02T09:00:11.479-07:00,16.07999610900879,0,0
2022-04-02T09:15:11.951-07:00,9.959997177124023,0,0
2022-04-02T09:30:16.383-07:00,11.279997825622559,0,0
2022-04-02T09:45:11.093-07:00,6.839998722076416,0,0
2022-04-02T10:00:11.246-07:00,11.639997482299805,0,0
2022-04-02T10:15:11.725-07:00,11.399998664855957,0,0
2022-04-02T10:30:11.366-07:00,11.039998054504395,0,0
2022-04-02T10:45:12.361-07:00,8.279997825622559,0,0
2022-04-02T11:00:11.813-07:00,6.239998817443848,0,0
2022-04-02T11:15:12.080-07:00,10.919997215270996,0,0
2022-04-02T11:30:11.774-07:00,4.3199992179870605,0,0
2022-04-02T11:45:11.106-07:00,11.759997367858887,0,0
2022-04-02T12:00:11.347-07:00,1.6799997091293335,0,0
2022-04-02T12:15:11.582-07:00,5.039999008178711,0,0
2022-04-02T12:30:09.938-07:00,7.19999885559082,0,0
2022-04-02T12:45:12.287-07:00,4.679998874664307,0,0
2022-04-02T13:00:11.988-07:00,4.079998970031738,0,0
2022-04-02T13:15:11.987-07:00,9.959997177124023,0,0
2022-04-02T13:30:10.441-07:00,2.2799994945526123,0,0
2022-04-02T13:45:11.514-07:00,5.279998779296875,0,0
2022-04-02T14:00:11.101-07:00,4.439999103546143,0,0
2022-04-02T14:15:13.879-07:00,9.71999740600586,0,0
2022-04-02T14:30:11.210-07:00,3.479999303817749,0,0
2022-04-02T14:45:11.683-07:00,2.999999523162842,0,0
2022-04-02T15:00:11.512-07:00,6.239998817443848,0,0
2022-04-02T15:15:11.839-07:00,2.039999485015869,0,0
2022-04-02T15:30:12.738-07:00,5.759998798370361,0,0
2022-04-02T15:45:14.296-07:00,2.2799994945526123,0,0
2022-04-02T16:00:15.122-07:00,3.59999942779541,0,0
2022-04-02T16:15:11.736-07:00,5.879998683929443,0,0
2022-04-02T16:30:08.794-07:00,2.3999996185302734,0,0
2022-04-02T16:45:11.318-07:00,5.519999027252197,0,0
2022-04-02T17:00:11.506-07:00,1.799999713897705,0,0
2022-04-02T17:15:12.018-07:00,7.799998760223389,0,0
2022-04-02T17:30:11.486-07:00,3.119999408721924,0,0
2022-04-02T17:45:11.412-07:00,1.799999713897705,0,0
2022-04-02T18:00:11.307-07:00,2.2799994945526123,0,0
2022-04-02T18:15:12.140-07:00,6.35999870300293,0,0
2022-04-02T18:30:11.398-07:00,8.159997940063477,0,0
2022-04-02T18:45:11.415-07:00,3.59999942779541,0,0
2022-04-02T19:00:10.897-07:00,4.679998874664307,0,0
2022-04-02T19:15:11.053-07:00,12.71999740600586,0,0
2022-04-02T19:30:11.256-07:00,3.119999408721924,0,0
2022-04-02T19:45:10.437-07:00,11.639997482299805,0,0
2022-04-02T20:00:11.703-07:00,8.639998435974121,0,0
2022-04-02T20:15:11.822-07:00,2.6399993896484375,0,0
2022-04-02T20:30:11.795-07:00,5.639998912811279,0,0
2022-04-02T20:45:14.593-07:00,4.919999122619629,0,0
2022-04-02T21:00:13.094-07:00,8.279997825622559,0,0
2022-04-02T21:15:11.356-07:00,4.559998989105225,0,0
2022-04-02T21:30:11.531-07:00,7.439998626708984,0,0
2022-04-02T21:45:11.188-07:00,3.479999303817749,0,0
2022-04-02T22:00:12.900-07:00,7.07999849319458,0,0
2022-04-02T22:15:10.987-07:00,5.879998683929443,0,0
2022-04-02T22:30:11.085-07:00,7.679998397827148,0,0
2022-04-02T22:45:10.826-07:00,5.879998683929443,0,0
2022-04-02T23:00:01.232-07:00,8.399998664855957,0,0
2022-04-02T23:15:11.493-07:00,9.479997634887695,0,0
2022-04-02T23:30:10.914-07:00,4.439999103546143,0,0
2022-04-02T23:45:11.283-07:00,11.519997596740723,0,0
2022-04-03T00:00:12.206-07:00,8.999999046325684,0,0
2022-04-03T00:15:11.496-07:00,3.839999198913574,0,0
2022-04-03T00:30:11.023-07:00,10.679997444152832,0,0
2022-04-03T00:45:11.190-07:00,6.239998817443848,0,0
2022-04-03T01:00:11.146-07:00,3.9599993228912354,0,0
2022-04-03T01:15:12.154-07:00,4.799999237060547,0,0
2022-04-03T01:30:12.049-07:00,15.719996452331543,0,0
2022-04-03T01:45:11.967-07:00,4.079998970031738,0,0
2022-04-03T02:00:11.305-07:00,9.359997749328613,0,0
2022-04-03T02:15:11.428-07:00,7.439998626708984,0,0
2022-04-03T02:30:11.307-07:00,5.279998779296875,0,0
2022-04-03T02:45:11.641-07:00,13.439997673034668,0,0
2022-04-03T03:00:10.694-07:00,5.039999008178711,0,0
2022-04-03T03:15:10.861-07:00,4.3199992179870605,0,0
2022-04-03T03:30:11.905-07:00,5.159998893737793,0,0
2022-04-03T03:45:12.491-07:00,6.35999870300293,0,0
2022-04-03T04:00:12.261-07:00,16.199996948242188,0,0
