t,v,s,r
2022-03-31T23:45:04.000-07:00,135.06365966796875,0,0
2022-04-01T00:00:03.925-07:00,136.23931884765625,0,0
2022-04-01T00:15:04.203-07:00,138.1402587890625,0,0
2022-04-01T00:30:03.946-07:00,137.28521728515625,0,0
2022-04-01T00:45:04.132-07:00,134.0941162109375,0,0
2022-04-01T01:00:04.277-07:00,134.96441650390625,0,0
2022-04-01T01:15:03.880-07:00,136.57522583007812,0,0
2022-04-01T01:30:09.209-07:00,136.52178955078125,0,0
2022-04-01T01:45:04.111-07:00,136.81951904296875,0,0
2022-04-01T02:00:04.159-07:00,136.46835327148438,0,0
2022-04-01T02:15:03.815-07:00,134.83462524414062,0,0
2022-04-01T02:30:04.224-07:00,133.36886596679688,0,0
2022-04-01T02:45:03.889-07:00,134.79647827148438,0,0
2022-04-01T03:00:04.139-07:00,137.17071533203125,0,0
2022-04-01T03:15:03.942-07:00,136.7813720703125,0,0
2022-04-01T03:30:03.957-07:00,135.67440795898438,0,0
2022-04-01T03:45:04.421-07:00,134.75067138671875,0,0
2022-04-01T04:00:04.133-07:00,133.36886596679688,0,0
2022-04-01T04:15:04.033-07:00,132.12448120117188,0,0
2022-04-01T04:30:04.008-07:00,133.26962280273438,0,0
2022-04-01T04:45:04.002-07:00,135.46829223632812,0,0
2022-04-01T05:00:04.236-07:00,134.55218505859375,0,0
2022-04-01T05:15:03.852-07:00,131.51376342773438,0,0
2022-04-01T05:30:03.899-07:00,132.26953125,0,0
2022-04-01T05:45:03.764-07:00,133.116943359375,0,0
2022-04-01T06:00:03.796-07:00,133.681884765625,0,0
2022-04-01T06:15:03.898-07:00,127.26150512695312,0,0
2022-04-01T06:30:03.850-07:00,127.72720336914062,0,0
2022-04-01T06:45:03.868-07:00,129.20822143554688,0,0
2022-04-01T07:00:03.938-07:00,128.43716430664062,0,0
2022-04-01T07:15:03.833-07:00,125.11630249023438,0,0
2022-04-01T07:30:03.902-07:00,125.90261840820312,0,0
2022-04-01T07:45:04.055-07:00,129.15478515625,0,0
2022-04-01T08:00:03.758-07:00,130.65109252929688,0,0
2022-04-01T08:15:04.025-07:00,125.91787719726562,0,0
2022-04-01T08:30:04.174-07:00,127.14700317382812,0,0
2022-04-01T08:45:03.918-07:00,129.65866088867188,0,0
