t,v,s,r
2022-03-31T23:45:04.124-07:00,24990199808.0,0,0
2022-04-01T00:00:04.057-07:00,24990699520.0,0,0
2022-04-01T00:15:04.316-07:00,24991199232.0,0,0
2022-04-01T00:30:04.075-07:00,24991600640.0,0,0
2022-04-01T00:45:04.273-07:00,24992100352.0,0,0
2022-04-01T01:00:04.429-07:00,24992499712.0,0,0
2022-04-01T01:15:04.008-07:00,24992999424.0,0,0
2022-04-01T01:30:09.336-07:00,24993499136.0,0,0
2022-04-01T01:45:04.228-07:00,24994000896.0,0,0
2022-04-01T02:00:04.301-07:00,24994400256.0,0,0
2022-04-01T02:15:03.932-07:00,24994899968.0,0,0
2022-04-01T02:30:04.373-07:00,24995399680.0,0,0
2022-04-01T02:45:03.995-07:00,24995899392.0,0,0
2022-04-01T03:00:04.274-07:00,24996399104.0,0,0
2022-04-01T03:15:04.067-07:00,24996800512.0,0,0
2022-04-01T03:30:04.098-07:00,24997300224.0,0,0
2022-04-01T03:45:04.533-07:00,24997699584.0,0,0
2022-04-01T04:00:04.246-07:00,24998199296.0,0,0
2022-04-01T04:15:04.149-07:00,24998799360.0,0,0
2022-04-01T04:30:04.125-07:00,24999299072.0,0,0
2022-04-01T04:45:04.117-07:00,24999800832.0,0,0
2022-04-01T05:00:04.353-07:00,25000200192.0,0,0
2022-04-01T05:15:04.022-07:00,25000699904.0,0,0
2022-04-01T05:30:04.009-07:00,25001199616.0,0,0
2022-04-01T05:45:03.878-07:00,25001699328.0,0,0
2022-04-01T06:00:03.981-07:00,25002199040.0,0,0
2022-04-01T06:15:04.133-07:00,25002799104.0,0,0
2022-04-01T06:30:03.986-07:00,25003499520.0,0,0
2022-04-01T06:45:03.981-07:00,25004099584.0,0,0
2022-04-01T07:00:04.061-07:00,25004599296.0,0,0
2022-04-01T07:15:03.941-07:00,25005199360.0,0,0
2022-04-01T07:30:04.016-07:00,25005799424.0,0,0
2022-04-01T07:45:04.172-07:00,25006399488.0,0,0
2022-04-01T08:00:03.873-07:00,25006999552.0,0,0
2022-04-01T08:15:04.145-07:00,25007599616.0,0,0
2022-04-01T08:30:04.296-07:00,25008199680.0,0,0
2022-04-01T08:45:04.039-07:00,25008699392.0,0,0
2022-04-01T09:00:04.084-07:00,25009199104.0,0,0
2022-04-01T09:15:04.171-07:00,25009799168.0,0,0
2022-04-01T09:30:04.296-07:00,25010300928.0,0,0
2022-04-01T09:45:03.973-07:00,25010800640.0,0,0
2022-04-01T10:00:04.285-07:00,25011300352.0,0,0
2022-04-01T10:15:04.233-07:00,25011800064.0,0,0
2022-04-01T10:30:04.064-07:00,25012299776.0,0,0
2022-04-01T10:45:03.921-07:00,25012799488.0,0,0
2022-04-01T11:00:04.144-07:00,25013299200.0,0,0
2022-04-01T11:15:04.209-07:00,25013800960.0,0,0
2022-04-01T11:30:04.903-07:00,25014300672.0,0,0
2022-04-01T11:45:04.178-07:00,25014800384.0,0,0
2022-04-01T12:00:04.152-07:00,25015300096.0,0,0
2022-04-01T12:15:03.944-07:00,25015799808.0,0,0
2022-04-01T12:30:04.184-07:00,25016299520.0,0,0
2022-04-01T12:45:04.292-07:00,25016799232.0,0,0
2022-04-01T13:00:04.077-07:00,25017300992.0,0,0
2022-04-01T13:15:04.099-07:00,25017700352.0,0,0
2022-04-01T13:30:03.967-07:00,25018200064.0,0,0
2022-04-01T13:45:04.294-07:00,25018699776.0,0,0
2022-04-01T14:00:03.958-07:00,25019099136.0,0,0
2022-04-01T14:15:03.771-07:00,25019600896.0,0,0
2022-04-01T14:30:03.849-07:00,25020100608.0,0,0
2022-04-01T14:45:03.895-07:00,25020499968.0,0,0
2022-04-01T15:00:04.173-07:00,25020999680.0,0,0
