t,v,s,r
2022-03-31T23:45:00.606-07:00,1.1694424152374268,0,0
2022-04-01T00:00:00.677-07:00,0.5118846297264099,0,0
2022-04-01T00:15:00.536-07:00,0.0,0,0
2022-04-01T00:30:00.547-07:00,0.5249150395393372,0,0
2022-04-01T00:45:00.601-07:00,1.1419587135314941,0,0
2022-04-01T01:00:00.643-07:00,0.7225156426429749,0,0
2022-04-01T01:15:00.551-07:00,0.0,0,0
2022-04-01T01:30:00.586-07:00,1.6511452198028564,0,0
2022-04-01T01:45:00.577-07:00,1.1458258628845215,0,0
2022-04-01T02:00:00.555-07:00,0.5970230102539062,0,0
2022-04-01T02:15:00.528-07:00,0.0,0,0
2022-04-01T02:30:00.588-07:00,1.7812252044677734,0,0
2022-04-01T02:45:00.636-07:00,0.8746220469474792,0,0
2022-04-01T03:00:00.635-07:00,0.48448997735977173,0,0
2022-04-01T03:15:01.642-07:00,0.3256533443927765,0,0
2022-04-01T03:30:00.555-07:00,0.0,0,0
2022-04-01T03:45:00.572-07:00,0.13349923491477966,0,0
2022-04-01T04:00:00.599-07:00,0.6264311075210571,0,0
2022-04-01T04:15:00.619-07:00,1.036949634552002,0,0
2022-04-01T04:30:00.542-07:00,0.0,0,0
2022-04-01T04:45:00.521-07:00,2.617953062057495,0,0
2022-04-01T05:00:00.649-07:00,1.537192463874817,0,0
2022-04-01T05:15:00.570-07:00,0.8850660920143127,0,0
2022-04-01T05:30:00.619-07:00,0.9565770626068115,0,0
2022-04-01T05:45:00.774-07:00,1.0179555416107178,0,0
2022-04-01T06:00:00.533-07:00,0.4030991494655609,0,0
2022-04-01T06:15:00.617-07:00,0.0,0,0
2022-04-01T06:30:00.709-07:00,0.5163837671279907,0,0
2022-04-01T06:45:00.519-07:00,1.0063930749893188,0,0
2022-04-01T07:00:00.582-07:00,1.024588942527771,0,0
2022-04-01T07:15:00.579-07:00,1.0992844104766846,0,0
2022-04-01T07:30:00.566-07:00,0.24452418088912964,0,0
2022-04-01T07:45:00.525-07:00,0.0,0,0
2022-04-01T08:00:00.669-07:00,0.30364087224006653,0,0
2022-04-01T08:15:00.583-07:00,0.5626482963562012,0,0
2022-04-01T08:30:00.536-07:00,0.0,0,0
2022-04-01T08:45:00.539-07:00,2.0548646450042725,0,0
2022-04-01T09:00:00.681-07:00,0.669122040271759,0,0
2022-04-01T09:15:00.613-07:00,0.0,0,0
2022-04-01T09:30:00.592-07:00,1.0017374753952026,0,0
2022-04-01T09:45:00.040-07:00,0.0,0,0
2022-04-01T10:00:00.643-07:00,0.0,0,0
2022-04-01T10:15:00.835-07:00,0.0,0,0
2022-04-01T10:30:00.572-07:00,0.0,0,0
2022-04-01T10:45:02.261-07:00,0.0,0,0
2022-04-01T11:00:00.545-07:00,0.0,0,0
2022-04-01T11:15:00.541-07:00,0.0,0,0
2022-04-01T11:30:00.589-07:00,0.36481428146362305,0,0
2022-04-01T11:45:00.521-07:00,0.0,0,0
2022-04-01T12:00:00.616-07:00,0.0,0,0
2022-04-01T12:15:00.713-07:00,0.0,0,0
2022-04-01T12:30:00.637-07:00,0.0,0,0
2022-04-01T12:45:00.560-07:00,0.0,0,0
2022-04-01T13:00:00.534-07:00,0.0,0,0
2022-04-01T13:15:00.583-07:00,0.0,0,0
2022-04-01T13:30:00.585-07:00,0.0,0,0
2022-04-01T13:45:00.667-07:00,0.0,0,0
2022-04-01T14:00:00.531-07:00,0.0,0,0
2022-04-01T14:15:00.560-07:00,0.0,0,0
2022-04-01T14:30:00.699-07:00,0.0,0,0
2022-04-01T14:45:00.565-07:00,0.0,0,0
2022-04-01T15:00:03.160-07:00,0.0,0,0
2022-04-01T15:15:00.718-07:00,0.0,0,0
2022-04-01T15:30:00.629-07:00,0.0,0,0
