t,v,s,r
2022-03-31T23:45:01.131-07:00,59.80485534667969,0,0
2022-04-01T00:00:01.442-07:00,61.38194274902344,0,0
2022-04-01T00:15:01.120-07:00,60.735687255859375,0,0
2022-04-01T00:30:01.128-07:00,60.15848159790039,0,0
2022-04-01T00:45:01.118-07:00,60.54869842529297,0,0
2022-04-01T01:00:01.178-07:00,59.81706619262695,0,0
2022-04-01T01:15:01.085-07:00,60.165531158447266,0,0
2022-04-01T01:30:01.133-07:00,60.18998336791992,0,0
2022-04-01T01:45:01.251-07:00,59.683799743652344,0,0
2022-04-01T02:00:01.116-07:00,59.65927505493164,0,0
2022-04-01T02:15:01.130-07:00,60.88772964477539,0,0
2022-04-01T02:30:01.209-07:00,59.966758728027344,0,0
2022-04-01T02:45:01.164-07:00,60.19416046142578,0,0
2022-04-01T03:00:01.209-07:00,59.8537712097168,0,0
2022-04-01T03:15:02.194-07:00,60.437828063964844,0,0
2022-04-01T03:30:01.193-07:00,59.128238677978516,0,0
2022-04-01T03:45:01.113-07:00,59.92771911621094,0,0
2022-04-01T04:00:01.244-07:00,60.16812515258789,0,0
2022-04-01T04:15:01.156-07:00,59.322265625,0,0
2022-04-01T04:30:01.167-07:00,60.145320892333984,0,0
2022-04-01T04:45:01.131-07:00,59.58104705810547,0,0
2022-04-01T05:00:01.237-07:00,59.7390251159668,0,0
2022-04-01T05:15:01.230-07:00,60.19282913208008,0,0
2022-04-01T05:30:01.197-07:00,59.14426803588867,0,0
2022-04-01T05:45:01.326-07:00,59.74468994140625,0,0
2022-04-01T06:00:01.135-07:00,60.472354888916016,0,0
2022-04-01T06:15:01.257-07:00,59.13433074951172,0,0
2022-04-01T06:30:01.253-07:00,60.0444450378418,0,0
2022-04-01T06:45:01.190-07:00,59.22378158569336,0,0
2022-04-01T07:00:01.114-07:00,59.82686233520508,0,0
2022-04-01T07:15:01.147-07:00,60.4735107421875,0,0
2022-04-01T07:30:01.236-07:00,59.102935791015625,0,0
2022-04-01T07:45:01.075-07:00,60.10353088378906,0,0
2022-04-01T08:00:01.243-07:00,59.78853988647461,0,0
2022-04-01T08:15:01.161-07:00,59.427284240722656,0,0
2022-04-01T08:30:01.192-07:00,60.35802459716797,0,0
2022-04-01T08:45:01.115-07:00,59.03827667236328,0,0
2022-04-01T09:00:01.288-07:00,58.79482650756836,0,0
2022-04-01T09:15:01.176-07:00,59.88811111450195,0,0
2022-04-01T09:30:01.166-07:00,61.112552642822266,0,0
2022-04-01T09:45:00.055-07:00,60.3179817199707,0,0
2022-04-01T10:00:01.200-07:00,59.57835388183594,0,0
2022-04-01T10:15:01.389-07:00,60.352054595947266,0,0
2022-04-01T10:30:01.104-07:00,58.9204216003418,0,0
2022-04-01T10:45:06.991-07:00,59.83574676513672,0,0
2022-04-01T11:00:01.312-07:00,60.311397552490234,0,0
2022-04-01T11:15:01.156-07:00,59.213531494140625,0,0
2022-04-01T11:30:01.188-07:00,61.797183990478516,0,0
2022-04-01T11:45:01.164-07:00,60.3895263671875,0,0
2022-04-01T12:00:01.154-07:00,59.369449615478516,0,0
2022-04-01T12:15:01.278-07:00,59.90501022338867,0,0
2022-04-01T12:30:01.163-07:00,61.269710540771484,0,0
2022-04-01T12:45:01.120-07:00,58.720115661621094,0,0
2022-04-01T13:00:01.135-07:00,60.212379455566406,0,0
2022-04-01T13:15:01.143-07:00,60.540733337402344,0,0
2022-04-01T13:30:01.205-07:00,60.13629150390625,0,0
2022-04-01T13:45:01.302-07:00,60.034950256347656,0,0
2022-04-01T14:00:01.136-07:00,59.58928298950195,0,0
2022-04-01T14:15:01.333-07:00,60.54212188720703,0,0
2022-04-01T14:30:01.271-07:00,59.684104919433594,0,0
2022-04-01T14:45:01.113-07:00,61.591224670410156,0,0
2022-04-01T15:00:03.705-07:00,59.605125427246094,0,0
2022-04-01T15:15:01.421-07:00,60.643035888671875,0,0
2022-04-01T15:30:01.175-07:00,60.553680419921875,0,0
2022-04-01T15:45:01.169-07:00,60.279232025146484,0,0
2022-04-01T16:00:01.226-07:00,59.2113151550293,0,0
2022-04-01T16:15:02.926-07:00,60.904083251953125,0,0
2022-04-01T16:30:01.176-07:00,59.260162353515625,0,0
2022-04-01T16:45:01.122-07:00,60.35211181640625,0,0
2022-04-01T17:00:01.161-07:00,59.67340087890625,0,0
2022-04-01T17:15:01.261-07:00,61.73479461669922,0,0
2022-04-01T17:30:01.140-07:00,61.059024810791016,0,0
2022-04-01T17:45:01.211-07:00,61.54373550415039,0,0
2022-04-01T18:00:01.183-07:00,60.01312255859375,0,0
2022-04-01T18:15:01.140-07:00,60.954994201660156,0,0
2022-04-01T18:30:01.159-07:00,59.69779968261719,0,0
2022-04-01T18:45:01.244-07:00,60.789207458496094,0,0
2022-04-01T19:00:01.261-07:00,60.579593658447266,0,0
2022-04-01T19:15:01.203-07:00,60.28087615966797,0,0
2022-04-01T19:30:01.131-07:00,60.38382339477539,0,0
2022-04-01T19:45:01.254-07:00,59.62013244628906,0,0
2022-04-01T20:00:01.241-07:00,60.786827087402344,0,0
2022-04-01T20:15:01.195-07:00,60.208221435546875,0,0
2022-04-01T20:30:01.183-07:00,60.3260612487793,0,0
2022-04-01T20:45:01.256-07:00,60.268619537353516,0,0
2022-04-01T21:00:01.166-07:00,60.93143844604492,0,0
2022-04-01T21:15:01.196-07:00,59.42058563232422,0,0
2022-04-01T21:30:01.257-07:00,60.4149169921875,0,0
2022-04-01T21:45:01.235-07:00,60.2564582824707,0,0
2022-04-01T22:00:01.265-07:00,60.10628890991211,0,0
2022-04-01T22:15:01.368-07:00,59.975894927978516,0,0
2022-04-01T22:30:01.187-07:00,59.94539260864258,0,0
2022-04-01T22:45:01.179-07:00,60.303035736083984,0,0
2022-04-01T23:00:01.185-07:00,59.99072265625,0,0
2022-04-01T23:15:01.182-07:00,59.43606185913086,0,0
2022-04-01T23:30:01.177-07:00,60.427921295166016,0,0
2022-04-01T23:45:01.125-07:00,59.43887710571289,0,0
2022-04-02T00:00:01.127-07:00,59.69696044921875,0,0
2022-04-02T00:15:01.969-07:00,60.75117874145508,0,0
2022-04-02T00:30:01.179-07:00,59.1362190246582,0,0
2022-04-02T00:45:01.134-07:00,60.51019287109375,0,0
2022-04-02T01:00:01.207-07:00,59.808406829833984,0,0
2022-04-02T01:15:01.154-07:00,61.59444046020508,0,0
2022-04-02T01:30:01.140-07:00,61.429874420166016,0,0
2022-04-02T01:45:01.096-07:00,60.240177154541016,0,0
2022-04-02T02:00:01.147-07:00,60.406532287597656,0,0
2022-04-02T02:15:01.261-07:00,60.113468170166016,0,0
2022-04-02T02:30:01.152-07:00,59.73143768310547,0,0
2022-04-02T02:45:01.305-07:00,60.64594268798828,0,0
2022-04-02T03:00:01.300-07:00,60.00102233886719,0,0
2022-04-02T03:15:01.314-07:00,60.166324615478516,0,0
2022-04-02T03:30:01.279-07:00,59.7334098815918,0,0
2022-04-02T03:45:01.293-07:00,60.346492767333984,0,0
2022-04-02T04:00:01.207-07:00,58.99419403076172,0,0
2022-04-02T04:15:01.276-07:00,60.46009826660156,0,0
2022-04-02T04:30:01.259-07:00,59.13789749145508,0,0
2022-04-02T04:45:01.166-07:00,60.30522537231445,0,0
2022-04-02T05:00:01.122-07:00,59.641876220703125,0,0
2022-04-02T05:15:01.104-07:00,59.7740592956543,0,0
2022-04-02T05:30:01.128-07:00,60.382179260253906,0,0
2022-04-02T05:45:01.102-07:00,58.89661407470703,0,0
2022-04-02T06:00:01.212-07:00,59.952850341796875,0,0
2022-04-02T06:15:01.060-07:00,59.31605529785156,0,0
2022-04-02T06:30:01.191-07:00,60.1572380065918,0,0
2022-04-02T06:45:01.157-07:00,60.10184860229492,0,0
2022-04-02T07:00:01.174-07:00,59.70158386230469,0,0
2022-04-02T07:15:01.205-07:00,60.53591537475586,0,0
2022-04-02T07:30:01.231-07:00,59.5506591796875,0,0
2022-04-02T07:45:01.191-07:00,60.41194152832031,0,0
2022-04-02T08:00:01.150-07:00,58.685035705566406,0,0
2022-04-02T08:15:01.251-07:00,59.8458137512207,0,0
2022-04-02T08:30:01.332-07:00,60.61640548706055,0,0
2022-04-02T08:45:01.226-07:00,59.4504508972168,0,0
2022-04-02T09:00:01.208-07:00,59.53533172607422,0,0
2022-04-02T09:15:01.133-07:00,61.01835250854492,0,0
2022-04-02T09:30:01.213-07:00,60.743465423583984,0,0
2022-04-02T09:45:00.058-07:00,59.247215270996094,0,0
2022-04-02T10:00:01.167-07:00,60.359798431396484,0,0
2022-04-02T10:15:01.171-07:00,59.58588409423828,0,0
2022-04-02T10:30:01.157-07:00,59.88493728637695,0,0
2022-04-02T10:45:01.211-07:00,60.46796798706055,0,0
2022-04-02T11:00:01.209-07:00,59.20680236816406,0,0
2022-04-02T11:15:01.174-07:00,59.81251907348633,0,0
2022-04-02T11:30:01.319-07:00,59.987083435058594,0,0
2022-04-02T11:45:01.144-07:00,60.478824615478516,0,0
2022-04-02T12:00:01.164-07:00,59.354591369628906,0,0
2022-04-02T12:15:01.137-07:00,60.33827209472656,0,0
2022-04-02T12:30:01.153-07:00,61.570865631103516,0,0
2022-04-02T12:45:01.157-07:00,60.476539611816406,0,0
2022-04-02T13:00:01.162-07:00,59.829322814941406,0,0
2022-04-02T13:15:01.155-07:00,61.34901809692383,0,0
2022-04-02T13:30:01.139-07:00,60.14772415161133,0,0
