t,v,s,r
2022-03-31T23:45:01.147-07:00,59.29458236694336,0,0
2022-04-01T00:00:01.459-07:00,59.78866195678711,0,0
2022-04-01T00:15:01.134-07:00,60.035911560058594,0,0
2022-04-01T00:30:01.145-07:00,59.09364318847656,0,0
2022-04-01T00:45:01.134-07:00,60.13734817504883,0,0
2022-04-01T01:00:01.192-07:00,59.494873046875,0,0
2022-04-01T01:15:01.102-07:00,59.092491149902344,0,0
2022-04-01T01:30:01.149-07:00,59.79908752441406,0,0
2022-04-01T01:45:01.273-07:00,58.999351501464844,0,0
2022-04-01T02:00:01.132-07:00,59.32665252685547,0,0
2022-04-01T02:15:01.147-07:00,60.32312774658203,0,0
2022-04-01T02:30:01.224-07:00,59.519859313964844,0,0
2022-04-01T02:45:01.180-07:00,58.970027923583984,0,0
2022-04-01T03:00:01.225-07:00,59.54168701171875,0,0
2022-04-01T03:15:02.211-07:00,59.678321838378906,0,0
2022-04-01T03:30:01.220-07:00,58.76423263549805,0,0
2022-04-01T03:45:01.128-07:00,59.637393951416016,0,0
2022-04-01T04:00:01.259-07:00,59.60117721557617,0,0
2022-04-01T04:15:01.171-07:00,59.01112365722656,0,0
2022-04-01T04:30:01.183-07:00,59.908607482910156,0,0
2022-04-01T04:45:01.193-07:00,58.79948425292969,0,0
2022-04-01T05:00:01.255-07:00,59.40436935424805,0,0
2022-04-01T05:15:01.245-07:00,59.89647674560547,0,0
2022-04-01T05:30:01.211-07:00,58.503395080566406,0,0
2022-04-01T05:45:01.342-07:00,59.5316162109375,0,0
2022-04-01T06:00:01.150-07:00,59.821475982666016,0,0
2022-04-01T06:15:01.273-07:00,58.648597717285156,0,0
2022-04-01T06:30:01.268-07:00,59.801856994628906,0,0
2022-04-01T06:45:01.204-07:00,58.20808410644531,0,0
2022-04-01T07:00:01.130-07:00,59.520751953125,0,0
2022-04-01T07:15:01.175-07:00,59.6975212097168,0,0
2022-04-01T07:30:01.254-07:00,58.888694763183594,0,0
2022-04-01T07:45:01.094-07:00,59.85179901123047,0,0
2022-04-01T08:00:01.259-07:00,59.051239013671875,0,0
2022-04-01T08:15:01.177-07:00,59.121063232421875,0,0
2022-04-01T08:30:01.209-07:00,60.128517150878906,0,0
2022-04-01T08:45:01.131-07:00,58.99604415893555,0,0
2022-04-01T09:00:01.304-07:00,58.509010314941406,0,0
2022-04-01T09:15:01.189-07:00,59.61481475830078,0,0
2022-04-01T09:30:01.184-07:00,59.715274810791016,0,0
2022-04-01T09:45:00.056-07:00,59.816558837890625,0,0
2022-04-01T10:00:01.215-07:00,58.87660598754883,0,0
2022-04-01T10:15:01.405-07:00,59.96335220336914,0,0
2022-04-01T10:30:01.121-07:00,58.43778991699219,0,0
2022-04-01T10:45:07.008-07:00,59.61577606201172,0,0
2022-04-01T11:00:01.327-07:00,59.57188034057617,0,0
2022-04-01T11:15:01.172-07:00,58.93804168701172,0,0
2022-04-01T11:30:01.205-07:00,61.35601806640625,0,0
2022-04-01T11:45:01.177-07:00,59.50031661987305,0,0
2022-04-01T12:00:01.170-07:00,58.519039154052734,0,0
2022-04-01T12:15:01.296-07:00,59.548919677734375,0,0
2022-04-01T12:30:01.177-07:00,59.16585159301758,0,0
2022-04-01T12:45:01.135-07:00,58.7503547668457,0,0
2022-04-01T13:00:01.150-07:00,60.12294006347656,0,0
2022-04-01T13:15:01.157-07:00,58.591331481933594,0,0
2022-04-01T13:30:01.219-07:00,59.215545654296875,0,0
2022-04-01T13:45:01.323-07:00,58.716773986816406,0,0
2022-04-01T14:00:01.162-07:00,58.7802619934082,0,0
2022-04-01T14:15:01.348-07:00,59.130828857421875,0,0
2022-04-01T14:30:01.287-07:00,59.29148864746094,0,0
2022-04-01T14:45:01.131-07:00,59.56623840332031,0,0
2022-04-01T15:00:03.721-07:00,58.76496124267578,0,0
2022-04-01T15:15:01.436-07:00,60.24176025390625,0,0
2022-04-01T15:30:01.193-07:00,59.51842498779297,0,0
2022-04-01T15:45:01.185-07:00,59.48918151855469,0,0
2022-04-01T16:00:01.243-07:00,58.90754699707031,0,0
2022-04-01T16:15:02.943-07:00,59.6941032409668,0,0
2022-04-01T16:30:01.193-07:00,58.84883499145508,0,0
2022-04-01T16:45:01.138-07:00,60.013328552246094,0,0
2022-04-01T17:00:01.177-07:00,58.14336395263672,0,0
2022-04-01T17:15:01.278-07:00,59.80926513671875,0,0
2022-04-01T17:30:01.156-07:00,59.39905548095703,0,0
2022-04-01T17:45:01.229-07:00,60.37561798095703,0,0
2022-04-01T18:00:01.200-07:00,58.833370208740234,0,0
2022-04-01T18:15:01.156-07:00,59.716915130615234,0,0
2022-04-01T18:30:01.175-07:00,59.34141540527344,0,0
2022-04-01T18:45:01.259-07:00,58.4908447265625,0,0
2022-04-01T19:00:01.277-07:00,60.15283966064453,0,0
2022-04-01T19:15:01.219-07:00,58.893917083740234,0,0
2022-04-01T19:30:01.150-07:00,59.78471755981445,0,0
2022-04-01T19:45:01.270-07:00,58.87663269042969,0,0
2022-04-01T20:00:01.257-07:00,59.99203872680664,0,0
2022-04-01T20:15:01.211-07:00,58.97856903076172,0,0
2022-04-01T20:30:01.198-07:00,59.47871780395508,0,0
2022-04-01T20:45:01.272-07:00,59.870811462402344,0,0
2022-04-01T21:00:01.182-07:00,59.5662956237793,0,0
2022-04-01T21:15:01.213-07:00,59.04576873779297,0,0
2022-04-01T21:30:01.272-07:00,59.0162467956543,0,0
2022-04-01T21:45:01.251-07:00,59.55007553100586,0,0
2022-04-01T22:00:01.283-07:00,59.561004638671875,0,0
2022-04-01T22:15:01.386-07:00,59.382225036621094,0,0
2022-04-01T22:30:01.210-07:00,58.7685432434082,0,0
2022-04-01T22:45:01.221-07:00,59.82723617553711,0,0
2022-04-01T23:00:01.204-07:00,59.18395233154297,0,0
2022-04-01T23:15:01.199-07:00,59.1284294128418,0,0
2022-04-01T23:30:01.194-07:00,60.12865447998047,0,0
2022-04-01T23:45:01.142-07:00,58.620033264160156,0,0
2022-04-02T00:00:01.143-07:00,59.502166748046875,0,0
2022-04-02T00:15:01.990-07:00,59.91098403930664,0,0
2022-04-02T00:30:01.195-07:00,58.34421920776367,0,0
2022-04-02T00:45:01.152-07:00,60.1744270324707,0,0
2022-04-02T01:00:01.221-07:00,58.70351791381836,0,0
