t,v,r,s
2020-12-04T09:38:01.333-08:00,35081,1,0
2022-05-11T16:00:01.016-07:00,11869,1,0
2022-05-11T16:15:00.227-07:00,11870,0,0
2022-05-11T16:30:00.182-07:00,11870,0,0
2022-05-11T16:45:00.155-07:00,11871,0,0
2022-05-11T17:00:00.189-07:00,11872,0,0
2022-05-11T17:15:00.172-07:00,11872,0,0
2022-05-11T17:30:00.369-07:00,11873,0,0
2022-05-11T17:45:00.208-07:00,11873,0,0
2022-05-11T18:00:00.163-07:00,11874,0,0
2022-05-11T18:15:00.196-07:00,11874,0,0
2022-05-11T18:30:01.123-07:00,11875,0,0
2022-05-11T18:45:00.162-07:00,11876,0,0
2022-05-11T19:00:00.184-07:00,11876,0,0
2022-05-11T19:15:00.154-07:00,11877,0,0
2022-05-11T19:30:00.175-07:00,11877,0,0
2022-05-11T19:45:00.158-07:00,11878,0,0
2022-05-11T20:00:00.167-07:00,11878,0,0
2022-05-11T20:15:00.171-07:00,11879,0,0
2022-05-11T20:30:00.204-07:00,11880,0,0
2022-05-11T20:45:00.172-07:00,11880,0,0
2022-05-11T21:00:00.160-07:00,11881,0,0
2022-05-11T21:15:00.163-07:00,11881,0,0
2022-05-11T21:30:00.164-07:00,11882,0,0
2022-05-11T21:45:00.189-07:00,11882,0,0
2022-05-11T22:00:00.182-07:00,11883,0,0
2022-05-11T22:15:00.153-07:00,11884,0,0
2022-05-11T22:30:00.209-07:00,11884,0,0
2022-05-11T22:45:00.155-07:00,11885,0,0
2022-05-11T23:00:00.165-07:00,11885,0,0
2022-05-11T23:15:00.173-07:00,11886,0,0
2022-05-11T23:30:00.164-07:00,11886,0,0
2022-05-11T23:45:00.174-07:00,11887,0,0
2022-05-12T00:00:00.267-07:00,11888,0,0
2022-05-12T00:15:00.180-07:00,11888,0,0
2022-05-12T00:30:00.152-07:00,11889,0,0
2022-05-12T00:45:00.215-07:00,11889,0,0
2022-05-12T01:00:00.177-07:00,11890,0,0
2022-05-12T01:15:00.172-07:00,11891,0,0
2022-05-12T01:30:00.145-07:00,11891,0,0
2022-05-12T01:45:00.153-07:00,11892,0,0
2022-05-12T02:00:00.154-07:00,11892,0,0
2022-05-12T02:15:00.178-07:00,11893,0,0
2022-05-12T02:30:00.432-07:00,11893,0,0
2022-05-12T02:45:00.194-07:00,11894,0,0
2022-05-12T03:00:00.194-07:00,11894,0,0
2022-05-12T03:15:00.198-07:00,11895,0,0
2022-05-12T03:30:00.167-07:00,11896,0,0
2022-05-12T03:45:00.194-07:00,11896,0,0
2022-05-12T04:00:00.158-07:00,11897,0,0
2022-05-12T04:15:00.167-07:00,11897,0,0
2022-05-12T04:30:00.160-07:00,11898,0,0
2022-05-12T04:45:00.169-07:00,11899,0,0
2022-05-12T05:00:00.157-07:00,11899,0,0
2022-05-12T05:15:00.154-07:00,11900,0,0
2022-05-12T05:30:00.151-07:00,11900,0,0
2022-05-12T05:45:00.306-07:00,11901,0,0
2022-05-12T06:00:00.156-07:00,11901,0,0
2022-05-12T06:15:00.154-07:00,11902,0,0
2022-05-12T06:30:00.194-07:00,11903,0,0
2022-05-12T06:45:00.148-07:00,11903,0,0
2022-05-12T07:00:00.163-07:00,11904,0,0
2022-05-12T07:15:00.173-07:00,11904,0,0
2022-05-12T07:30:00.154-07:00,11905,0,0
2022-05-12T07:45:00.167-07:00,11905,0,0
2022-05-12T08:00:00.167-07:00,11906,0,0
2022-05-12T08:15:00.183-07:00,11907,0,0
2022-05-12T08:30:00.158-07:00,11907,0,0
2022-05-12T08:45:00.199-07:00,11908,0,0
2022-05-12T09:00:00.163-07:00,11908,0,0
2022-05-12T09:15:00.148-07:00,11909,0,0
2022-05-12T09:30:00.188-07:00,11909,0,0
2022-05-12T09:45:00.163-07:00,11910,0,0
2022-05-12T10:00:01.454-07:00,11911,0,0
2022-05-12T10:15:00.176-07:00,11911,0,0
2022-05-12T10:30:00.837-07:00,11912,0,0
2022-05-12T10:45:00.155-07:00,11912,0,0
2022-05-12T11:00:00.193-07:00,11913,0,0
2022-05-12T11:15:00.176-07:00,11913,0,0
2022-05-12T11:30:00.156-07:00,11914,0,0
2022-05-12T11:45:00.160-07:00,11915,0,0
2022-05-12T12:00:00.173-07:00,11915,0,0
2022-05-12T12:15:00.167-07:00,11916,0,0
2022-05-12T12:30:00.143-07:00,11916,0,0
2022-05-12T12:45:00.175-07:00,11917,0,0
2022-05-12T13:00:00.287-07:00,11917,0,0
2022-05-12T13:15:00.147-07:00,11918,0,0
2022-05-12T13:30:00.165-07:00,11919,0,0
2022-05-12T13:45:00.231-07:00,11919,0,0
2022-05-12T14:00:00.182-07:00,11920,0,0
2022-05-12T14:15:00.159-07:00,11920,0,0
2022-05-12T14:30:00.173-07:00,11921,0,0
2022-05-12T14:45:00.210-07:00,11921,0,0
2022-05-12T15:00:00.193-07:00,11922,0,0
2022-05-12T15:15:00.173-07:00,11924,0,0
2022-05-12T15:30:00.183-07:00,11937,0,0
2022-05-12T15:45:00.169-07:00,11940,0,0
2022-05-12T16:00:00.155-07:00,11943,0,0
2022-05-12T16:15:00.216-07:00,11947,0,0
2022-05-12T16:30:00.158-07:00,11949,0,0
2022-05-12T16:45:00.158-07:00,11952,0,0
2022-05-12T17:00:00.178-07:00,11956,0,0
2022-05-12T17:15:00.153-07:00,11959,0,0
2022-05-12T17:30:00.157-07:00,11965,0,0
2022-05-12T17:45:00.161-07:00,11980,0,0
2022-05-12T18:00:00.171-07:00,12007,0,0
2022-05-12T18:15:00.165-07:00,12018,0,0
2022-05-12T18:30:00.161-07:00,12023,0,0
2022-05-12T18:45:00.153-07:00,12027,0,0
2022-05-12T19:00:00.186-07:00,12037,0,0
2022-05-12T19:15:00.166-07:00,12037,0,0
2022-05-12T19:30:00.170-07:00,12038,0,0
2022-05-12T19:45:00.157-07:00,12038,0,0
2022-05-12T20:00:00.208-07:00,12039,0,0
2022-05-12T20:15:00.204-07:00,12039,0,0
2022-05-12T20:30:00.146-07:00,12040,0,0
2022-05-12T20:45:00.154-07:00,12041,0,0
