t,v,r,s
2020-12-04T09:38:01.334-08:00,12484,1,0
2022-05-11T16:00:00.789-07:00,25522,1,0
2022-05-11T16:15:00.170-07:00,25523,0,0
2022-05-11T16:30:00.161-07:00,25527,0,0
2022-05-11T16:45:00.133-07:00,25531,0,0
2022-05-11T17:00:00.167-07:00,25533,0,0
2022-05-11T17:15:00.148-07:00,25537,0,0
2022-05-11T17:30:00.344-07:00,25542,0,0
2022-05-11T17:45:00.179-07:00,25546,0,0
2022-05-11T18:00:00.143-07:00,25549,0,0
2022-05-11T18:15:00.168-07:00,25552,0,0
2022-05-11T18:30:01.089-07:00,25555,0,0
2022-05-11T18:45:00.140-07:00,25558,0,0
2022-05-11T19:00:00.160-07:00,25561,0,0
2022-05-11T19:15:00.133-07:00,25565,0,0
2022-05-11T19:30:00.154-07:00,25571,0,0
2022-05-11T19:45:00.138-07:00,25576,0,0
2022-05-11T20:00:00.143-07:00,25581,0,0
2022-05-11T20:15:00.148-07:00,25589,0,0
2022-05-11T20:30:00.162-07:00,25592,0,0
2022-05-11T20:45:00.145-07:00,25594,0,0
2022-05-11T21:00:00.137-07:00,25597,0,0
2022-05-11T21:15:00.139-07:00,25599,0,0
2022-05-11T21:30:00.141-07:00,25602,0,0
2022-05-11T21:45:00.169-07:00,25607,0,0
2022-05-11T22:00:00.157-07:00,25611,0,0
2022-05-11T22:15:00.131-07:00,25615,0,0
2022-05-11T22:30:00.182-07:00,25618,0,0
2022-05-11T22:45:00.133-07:00,25624,0,0
2022-05-11T23:00:00.140-07:00,25627,0,0
2022-05-11T23:15:00.151-07:00,25633,0,0
2022-05-11T23:30:00.139-07:00,25638,0,0
2022-05-11T23:45:00.153-07:00,25641,0,0
2022-05-12T00:00:00.238-07:00,25644,0,0
2022-05-12T00:15:00.149-07:00,25646,0,0
2022-05-12T00:30:00.131-07:00,25647,0,0
2022-05-12T00:45:00.161-07:00,25651,0,0
2022-05-12T01:00:00.156-07:00,25655,0,0
2022-05-12T01:15:00.148-07:00,25659,0,0
2022-05-12T01:30:00.126-07:00,25662,0,0
2022-05-12T01:45:00.136-07:00,25666,0,0
