t,v,r,s
2020-12-04T09:38:01.335-08:00,178808,1,0
2022-05-11T16:00:01.020-07:00,70434,1,0
2022-05-11T16:15:00.228-07:00,70442,0,0
2022-05-11T16:30:00.182-07:00,70450,0,0
2022-05-11T16:45:00.156-07:00,70458,0,0
2022-05-11T17:00:00.190-07:00,70466,0,0
2022-05-11T17:15:00.173-07:00,70475,0,0
2022-05-11T17:30:00.371-07:00,70483,0,0
2022-05-11T17:45:00.209-07:00,70492,0,0
2022-05-11T18:00:00.164-07:00,70500,0,0
2022-05-11T18:15:00.196-07:00,70508,0,0
2022-05-11T18:30:01.124-07:00,70517,0,0
2022-05-11T18:45:00.162-07:00,70525,0,0
2022-05-11T19:00:00.185-07:00,70533,0,0
2022-05-11T19:15:00.155-07:00,70542,0,0
2022-05-11T19:30:00.176-07:00,70551,0,0
2022-05-11T19:45:00.159-07:00,70560,0,0
2022-05-11T20:00:00.167-07:00,70569,0,0
2022-05-11T20:15:00.173-07:00,70578,0,0
2022-05-11T20:30:00.205-07:00,70586,0,0
2022-05-11T20:45:00.173-07:00,70595,0,0
2022-05-11T21:00:00.161-07:00,70603,0,0
2022-05-11T21:15:00.164-07:00,70612,0,0
2022-05-11T21:30:00.164-07:00,70620,0,0
2022-05-11T21:45:00.196-07:00,70629,0,0
2022-05-11T22:00:00.183-07:00,70638,0,0
2022-05-11T22:15:00.155-07:00,70647,0,0
2022-05-11T22:30:00.209-07:00,70655,0,0
2022-05-11T22:45:00.156-07:00,70664,0,0
2022-05-11T23:00:00.171-07:00,70672,0,0
2022-05-11T23:15:00.173-07:00,70681,0,0
2022-05-11T23:30:00.165-07:00,70691,0,0
2022-05-11T23:45:00.174-07:00,70699,0,0
2022-05-12T00:00:00.268-07:00,70707,0,0
2022-05-12T00:15:00.181-07:00,70715,0,0
2022-05-12T00:30:00.152-07:00,70723,0,0
2022-05-12T00:45:00.215-07:00,70731,0,0
2022-05-12T01:00:00.178-07:00,70739,0,0
2022-05-12T01:15:00.174-07:00,70748,0,0
2022-05-12T01:30:00.146-07:00,70756,0,0
2022-05-12T01:45:00.154-07:00,70764,0,0
2022-05-12T02:00:00.154-07:00,70773,0,0
2022-05-12T02:15:00.179-07:00,70782,0,0
2022-05-12T02:30:00.433-07:00,70790,0,0
2022-05-12T02:45:00.195-07:00,70798,0,0
2022-05-12T03:00:00.196-07:00,70806,0,0
2022-05-12T03:15:00.198-07:00,70814,0,0
2022-05-12T03:30:00.168-07:00,70822,0,0
2022-05-12T03:45:00.194-07:00,70830,0,0
2022-05-12T04:00:00.158-07:00,70837,0,0
2022-05-12T04:15:00.167-07:00,70845,0,0
2022-05-12T04:30:00.160-07:00,70852,0,0
2022-05-12T04:45:00.169-07:00,70859,0,0
2022-05-12T05:00:00.157-07:00,70867,0,0
2022-05-12T05:15:00.155-07:00,70874,0,0
2022-05-12T05:30:00.152-07:00,70881,0,0
2022-05-12T05:45:00.314-07:00,70889,0,0
2022-05-12T06:00:00.157-07:00,70896,0,0
2022-05-12T06:15:00.155-07:00,70903,0,0
2022-05-12T06:30:00.194-07:00,70911,0,0
2022-05-12T06:45:00.148-07:00,70918,0,0
2022-05-12T07:00:00.164-07:00,70926,0,0
2022-05-12T07:15:00.173-07:00,70934,0,0
2022-05-12T07:30:00.155-07:00,70942,0,0
2022-05-12T07:45:00.168-07:00,70950,0,0
2022-05-12T08:00:00.168-07:00,70958,0,0
2022-05-12T08:15:00.183-07:00,70966,0,0
2022-05-12T08:30:00.158-07:00,70974,0,0
2022-05-12T08:45:00.201-07:00,70982,0,0
2022-05-12T09:00:00.164-07:00,70990,0,0
2022-05-12T09:15:00.149-07:00,70998,0,0
2022-05-12T09:30:00.190-07:00,71006,0,0
2022-05-12T09:45:00.163-07:00,71015,0,0
2022-05-12T10:00:01.455-07:00,71023,0,0
2022-05-12T10:15:00.176-07:00,71033,0,0
2022-05-12T10:30:00.839-07:00,71043,0,0
2022-05-12T10:45:00.155-07:00,71052,0,0
2022-05-12T11:00:00.194-07:00,71060,0,0
2022-05-12T11:15:00.177-07:00,71068,0,0
2022-05-12T11:30:00.156-07:00,71076,0,0
2022-05-12T11:45:00.161-07:00,71084,0,0
2022-05-12T12:00:00.175-07:00,71093,0,0
2022-05-12T12:15:00.168-07:00,71102,0,0
2022-05-12T12:30:00.145-07:00,71111,0,0
2022-05-12T12:45:00.176-07:00,71119,0,0
2022-05-12T13:00:00.287-07:00,71127,0,0
2022-05-12T13:15:00.149-07:00,71135,0,0
2022-05-12T13:30:00.166-07:00,71143,0,0
2022-05-12T13:45:00.231-07:00,71151,0,0
2022-05-12T14:00:00.182-07:00,71159,0,0
2022-05-12T14:15:00.159-07:00,71167,0,0
2022-05-12T14:30:00.174-07:00,71174,0,0
2022-05-12T14:45:00.215-07:00,71183,0,0
2022-05-12T15:00:00.194-07:00,71192,0,0
2022-05-12T15:15:00.173-07:00,71199,0,0
2022-05-12T15:30:00.184-07:00,71207,0,0
2022-05-12T15:45:00.169-07:00,71215,0,0
2022-05-12T16:00:00.155-07:00,71223,0,0
2022-05-12T16:15:00.217-07:00,71231,0,0
2022-05-12T16:30:00.159-07:00,71238,0,0
2022-05-12T16:45:00.158-07:00,71246,0,0
2022-05-12T17:00:00.178-07:00,71253,0,0
2022-05-12T17:15:00.153-07:00,71261,0,0
2022-05-12T17:30:00.157-07:00,71269,0,0
2022-05-12T17:45:00.162-07:00,71277,0,0
2022-05-12T18:00:00.172-07:00,71286,0,0
2022-05-12T18:15:00.165-07:00,71294,0,0
2022-05-12T18:30:00.162-07:00,71302,0,0
2022-05-12T18:45:00.154-07:00,71311,0,0
2022-05-12T19:00:00.187-07:00,71320,0,0
2022-05-12T19:15:00.166-07:00,71328,0,0
2022-05-12T19:30:00.171-07:00,71336,0,0
2022-05-12T19:45:00.158-07:00,71344,0,0
2022-05-12T20:00:00.209-07:00,71353,0,0
2022-05-12T20:15:00.205-07:00,71362,0,0
2022-05-12T20:30:00.146-07:00,71371,0,0
2022-05-12T20:45:00.155-07:00,71381,0,0
2022-05-12T21:00:00.165-07:00,71391,0,0
2022-05-12T21:15:00.138-07:00,71401,0,0
2022-05-12T21:30:00.160-07:00,71410,0,0
2022-05-12T21:45:00.477-07:00,71418,0,0
2022-05-12T22:00:00.165-07:00,71426,0,0
2022-05-12T22:15:00.151-07:00,71435,0,0
2022-05-12T22:30:00.155-07:00,71443,0,0
2022-05-12T22:45:00.188-07:00,71451,0,0
2022-05-12T23:00:00.158-07:00,71459,0,0
2022-05-12T23:15:00.156-07:00,71466,0,0
2022-05-12T23:30:00.168-07:00,71474,0,0
2022-05-12T23:45:00.157-07:00,71482,0,0
2022-05-13T00:00:00.194-07:00,71489,0,0
2022-05-13T00:15:00.170-07:00,71498,0,0
2022-05-13T00:30:00.165-07:00,71507,0,0
2022-05-13T00:45:00.169-07:00,71516,0,0
2022-05-13T01:00:00.189-07:00,71524,0,0
2022-05-13T01:15:00.171-07:00,71532,0,0
2022-05-13T01:30:00.149-07:00,71540,0,0
2022-05-13T01:45:00.161-07:00,71548,0,0
2022-05-13T02:00:00.193-07:00,71555,0,0
2022-05-13T02:15:00.163-07:00,71563,0,0
2022-05-13T02:30:05.037-07:00,71572,0,0
2022-05-13T02:45:00.167-07:00,71580,0,0
2022-05-13T03:00:00.150-07:00,71587,0,0
2022-05-13T03:15:00.187-07:00,71595,0,0
2022-05-13T03:30:00.147-07:00,71603,0,0
2022-05-13T03:45:00.190-07:00,71610,0,0
2022-05-13T04:00:00.163-07:00,71618,0,0
2022-05-13T04:15:00.159-07:00,71626,0,0
2022-05-13T04:30:00.154-07:00,71634,0,0
2022-05-13T04:45:00.365-07:00,71641,0,0
2022-05-13T05:00:00.164-07:00,71649,0,0
2022-05-13T05:15:00.155-07:00,71656,0,0
2022-05-13T05:30:00.179-07:00,71664,0,0
2022-05-13T05:45:00.186-07:00,71672,0,0
2022-05-13T06:00:00.149-07:00,71680,0,0
2022-05-13T06:15:00.149-07:00,71688,0,0
2022-05-13T06:30:00.188-07:00,71695,0,0
2022-05-13T06:45:00.180-07:00,71703,0,0
2022-05-13T07:00:00.203-07:00,71711,0,0
2022-05-13T07:15:00.143-07:00,71718,0,0
2022-05-13T07:30:00.160-07:00,71726,0,0
2022-05-13T07:45:00.223-07:00,71734,0,0
2022-05-13T08:00:00.150-07:00,71742,0,0
2022-05-13T08:15:00.176-07:00,71750,0,0
2022-05-13T08:30:00.150-07:00,71758,0,0
2022-05-13T08:45:00.167-07:00,71767,0,0
2022-05-13T09:00:00.297-07:00,71776,0,0
2022-05-13T09:15:00.151-07:00,71784,0,0
2022-05-13T09:30:00.145-07:00,71793,0,0
2022-05-13T09:45:00.188-07:00,71802,0,0
2022-05-13T10:00:00.189-07:00,71811,0,0
2022-05-13T10:15:00.155-07:00,71820,0,0
2022-05-13T10:30:00.186-07:00,71830,0,0
2022-05-13T10:45:00.165-07:00,71840,0,0
2022-05-13T11:00:00.179-07:00,71849,0,0
2022-05-13T11:15:00.156-07:00,71857,0,0
2022-05-13T11:30:00.153-07:00,71866,0,0
2022-05-13T11:45:00.164-07:00,71875,0,0
2022-05-13T12:00:00.194-07:00,71884,0,0
2022-05-13T12:15:00.202-07:00,71893,0,0
2022-05-13T12:30:00.169-07:00,71901,0,0
2022-05-13T12:45:00.217-07:00,71909,0,0
2022-05-13T13:00:00.152-07:00,71917,0,0
2022-05-13T13:15:00.193-07:00,71926,0,0
2022-05-13T13:30:00.328-07:00,71934,0,0
2022-05-13T13:45:00.194-07:00,71942,0,0
2022-05-13T14:00:00.152-07:00,71950,0,0
2022-05-13T14:15:00.183-07:00,71958,0,0
2022-05-13T14:30:00.219-07:00,71966,0,0
2022-05-13T14:45:00.191-07:00,71974,0,0
2022-05-13T15:00:00.133-07:00,71982,0,0
2022-05-13T15:15:00.157-07:00,71990,0,0
2022-05-13T15:30:00.136-07:00,71998,0,0
2022-05-13T15:45:00.131-07:00,72006,0,0
2022-05-13T16:00:00.139-07:00,72014,0,0
2022-05-13T16:15:00.140-07:00,72022,0,0
2022-05-13T16:30:00.152-07:00,72030,0,0
2022-05-13T16:45:00.142-07:00,72039,0,0
2022-05-13T17:00:00.134-07:00,72047,0,0
2022-05-13T17:15:00.169-07:00,72057,0,0
2022-05-13T17:30:00.165-07:00,72066,0,0
2022-05-13T17:45:00.169-07:00,72074,0,0
2022-05-13T18:00:00.169-07:00,72083,0,0
2022-05-13T18:15:00.144-07:00,72093,0,0
2022-05-13T18:30:00.136-07:00,72103,0,0
2022-05-13T18:45:00.151-07:00,72112,0,0
2022-05-13T19:00:00.131-07:00,72120,0,0
2022-05-13T19:15:00.133-07:00,72127,0,0
2022-05-13T19:30:00.296-07:00,72135,0,0
2022-05-13T19:45:00.134-07:00,72142,0,0
2022-05-13T20:00:00.162-07:00,72150,0,0
2022-05-13T20:15:00.144-07:00,72159,0,0
2022-05-13T20:30:00.223-07:00,72167,0,0
2022-05-13T20:45:00.200-07:00,72176,0,0
2022-05-13T21:00:00.147-07:00,72184,0,0
2022-05-13T21:15:00.178-07:00,72192,0,0
2022-05-13T21:30:00.133-07:00,72201,0,0
2022-05-13T21:45:00.161-07:00,72208,0,0
2022-05-13T22:00:00.190-07:00,72217,0,0
2022-05-13T22:15:00.192-07:00,72226,0,0
2022-05-13T22:30:00.240-07:00,72235,0,0
2022-05-13T22:45:00.138-07:00,72243,0,0
2022-05-13T23:00:00.140-07:00,72250,0,0
2022-05-13T23:15:00.145-07:00,72259,0,0
2022-05-13T23:30:00.139-07:00,72267,0,0
