t,v,s,r
2022-03-31T23:45:01.799-07:00,6070.73681640625,0,0
2022-04-01T00:00:02.206-07:00,6070.9580078125,0,0
2022-04-01T00:15:01.798-07:00,6071.1806640625,0,0
2022-04-01T00:30:01.565-07:00,6071.400390625,0,0
2022-04-01T00:45:01.779-07:00,6071.6162109375,0,0
2022-04-01T01:00:01.569-07:00,6071.83447265625,0,0
2022-04-01T01:15:01.917-07:00,6072.05517578125,0,0
2022-04-01T01:30:01.795-07:00,6072.271484375,0,0
2022-04-01T01:45:01.728-07:00,6072.48583984375,0,0
2022-04-01T02:00:02.232-07:00,6072.705078125,0,0
2022-04-01T02:15:02.018-07:00,6072.92626953125,0,0
2022-04-01T02:30:02.081-07:00,6073.1416015625,0,0
2022-04-01T02:45:01.674-07:00,6073.36376953125,0,0
2022-04-01T03:00:01.860-07:00,6073.587890625,0,0
2022-04-01T03:15:01.977-07:00,6073.806640625,0,0
2022-04-01T03:30:02.210-07:00,6074.02685546875,0,0
2022-04-01T03:45:02.021-07:00,6074.2509765625,0,0
2022-04-01T04:00:02.335-07:00,6074.47265625,0,0
2022-04-01T04:15:02.417-07:00,6074.6865234375,0,0
2022-04-01T04:30:02.445-07:00,6074.9091796875,0,0
2022-04-01T04:45:01.727-07:00,6075.13134765625,0,0
2022-04-01T05:00:01.881-07:00,6075.3447265625,0,0
2022-04-01T05:15:06.199-07:00,6075.5625,0,0
2022-04-01T05:30:01.739-07:00,6075.78662109375,0,0
2022-04-01T05:45:01.677-07:00,6076.0087890625,0,0
2022-04-01T06:00:02.011-07:00,6076.22509765625,0,0
2022-04-01T06:15:01.950-07:00,6076.44677734375,0,0
2022-04-01T06:30:02.042-07:00,6076.67041015625,0,0
2022-04-01T06:45:02.007-07:00,6076.88818359375,0,0
2022-04-01T07:00:03.482-07:00,6077.10693359375,0,0
2022-04-01T07:15:01.746-07:00,6077.330078125,0,0
2022-04-01T07:30:02.231-07:00,6077.55126953125,0,0
2022-04-01T07:45:01.577-07:00,6077.7744140625,0,0
2022-04-01T08:00:01.550-07:00,6077.99951171875,0,0
2022-04-01T08:15:01.673-07:00,6078.22265625,0,0
2022-04-01T08:30:02.111-07:00,6078.4443359375,0,0
2022-04-01T08:45:01.671-07:00,6078.66748046875,0,0
2022-04-01T09:00:03.794-07:00,6078.892578125,0,0
2022-04-01T09:15:02.230-07:00,6079.1123046875,0,0
