t,v,s,r
2022-03-31T23:45:00.857-07:00,0.35940492153167725,0,0
2022-04-01T00:00:00.770-07:00,0.35940492153167725,0,0
2022-04-01T00:15:01.115-07:00,0.35940492153167725,0,0
2022-04-01T00:30:00.755-07:00,0.36105215549468994,0,0
2022-04-01T00:45:00.861-07:00,0.35940492153167725,0,0
2022-04-01T01:00:00.945-07:00,0.36105215549468994,0,0
2022-04-01T01:15:00.752-07:00,0.35446321964263916,0,0
2022-04-01T01:30:00.803-07:00,0.35446321964263916,0,0
2022-04-01T01:45:00.803-07:00,0.35611045360565186,0,0
2022-04-01T02:00:00.893-07:00,0.35940492153167725,0,0
2022-04-01T02:15:00.849-07:00,0.35940492153167725,0,0
2022-04-01T02:30:00.909-07:00,0.35940492153167725,0,0
2022-04-01T02:45:00.838-07:00,0.36105215549468994,0,0
2022-04-01T03:00:01.023-07:00,0.35940492153167725,0,0
2022-04-01T03:15:00.767-07:00,0.35940492153167725,0,0
2022-04-01T03:30:00.808-07:00,0.35775768756866455,0,0
2022-04-01T03:45:00.866-07:00,0.35940492153167725,0,0
2022-04-01T04:00:00.927-07:00,0.36105215549468994,0,0
2022-04-01T04:15:00.881-07:00,0.36105215549468994,0,0
2022-04-01T04:30:00.785-07:00,0.35775768756866455,0,0
2022-04-01T04:45:00.819-07:00,0.36105215549468994,0,0
2022-04-01T05:00:01.132-07:00,0.35940492153167725,0,0
2022-04-01T05:15:00.816-07:00,0.36105215549468994,0,0
2022-04-01T05:30:00.805-07:00,0.35940492153167725,0,0
2022-04-01T05:45:00.719-07:00,0.35940492153167725,0,0
2022-04-01T06:00:00.789-07:00,0.35611045360565186,0,0
2022-04-01T06:15:00.913-07:00,0.35940492153167725,0,0
2022-04-01T06:30:00.775-07:00,0.36105215549468994,0,0
2022-04-01T06:45:00.872-07:00,0.35611045360565186,0,0
2022-04-01T07:00:00.849-07:00,0.35611045360565186,0,0
2022-04-01T07:15:00.724-07:00,0.35611045360565186,0,0
2022-04-01T07:30:00.778-07:00,0.35940492153167725,0,0
2022-04-01T07:45:00.836-07:00,0.35940492153167725,0,0
2022-04-01T08:00:00.835-07:00,0.35940492153167725,0,0
2022-04-01T08:15:00.828-07:00,0.35940492153167725,0,0
2022-04-01T08:30:00.885-07:00,0.4532972574234009,0,0
2022-04-01T08:45:00.859-07:00,0.36434662342071533,0,0
2022-04-01T09:00:00.881-07:00,0.35611045360565186,0,0
2022-04-01T09:15:00.732-07:00,0.4532972574234009,0,0
2022-04-01T09:30:00.876-07:00,0.8288615942001343,0,0
2022-04-01T09:45:00.805-07:00,0.27210402488708496,0,0
2022-04-01T10:00:00.876-07:00,0.27210402488708496,0,0
2022-04-01T10:15:00.870-07:00,0.2539844512939453,0,0
2022-04-01T10:30:00.779-07:00,0.3132823705673218,0,0
2022-04-01T10:45:00.742-07:00,0.3017517328262329,0,0
2022-04-01T11:00:00.727-07:00,0.23421764373779297,0,0
2022-04-01T11:15:00.717-07:00,0.23586487770080566,0,0
2022-04-01T11:30:01.176-07:00,0.23421764373779297,0,0
2022-04-01T11:45:00.804-07:00,0.3495215177536011,0,0
2022-04-01T12:00:00.791-07:00,0.3808189630508423,0,0
2022-04-01T12:15:00.758-07:00,0.3001070022583008,0,0
2022-04-01T12:30:00.827-07:00,0.24739551544189453,0,0
2022-04-01T12:45:00.845-07:00,0.2885763645172119,0,0
2022-04-01T13:00:00.972-07:00,0.3017517328262329,0,0
2022-04-01T13:15:00.827-07:00,0.6921411752700806,0,0
2022-04-01T13:30:00.816-07:00,0.5653066635131836,0,0
2022-04-01T13:45:00.865-07:00,0.8469811677932739,0,0
2022-04-01T14:00:00.831-07:00,0.7448526620864868,0,0
2022-04-01T14:15:00.766-07:00,0.8799233436584473,0,0
2022-04-01T14:30:00.776-07:00,0.695435643196106,0,0
2022-04-01T14:45:00.740-07:00,0.9705212116241455,0,0
2022-04-01T15:00:00.872-07:00,0.7464998960494995,0,0
2022-04-01T15:15:00.839-07:00,0.5867207050323486,0,0
2022-04-01T15:30:00.730-07:00,0.5850734710693359,0,0
2022-04-01T15:45:00.837-07:00,0.8403922319412231,0,0
2022-04-01T16:00:00.783-07:00,0.8354505300521851,0,0
2022-04-01T16:15:00.781-07:00,0.8552173376083374,0,0
2022-04-01T16:30:00.804-07:00,0.6262543201446533,0,0
2022-04-01T16:45:01.883-07:00,0.5208313465118408,0,0
2022-04-01T17:00:00.745-07:00,0.4845947027206421,0,0
2022-04-01T17:15:00.829-07:00,0.5076534748077393,0,0
2022-04-01T17:30:03.863-07:00,0.23586487770080566,0,0
2022-04-01T17:45:00.733-07:00,0.2902235984802246,0,0
2022-04-01T18:00:00.730-07:00,0.27210402488708496,0,0
2022-04-01T18:15:00.826-07:00,0.27704572677612305,0,0
2022-04-01T18:30:00.819-07:00,0.2638678550720215,0,0
2022-04-01T18:45:01.094-07:00,0.24410104751586914,0,0
2022-04-01T19:00:00.818-07:00,0.23586487770080566,0,0
2022-04-01T19:15:00.957-07:00,0.24574828147888184,0,0
2022-04-01T19:30:00.783-07:00,0.24410104751586914,0,0
2022-04-01T19:45:00.769-07:00,0.27210402488708496,0,0
2022-04-01T20:00:00.725-07:00,0.27375125885009766,0,0
2022-04-01T20:15:00.854-07:00,0.24410104751586914,0,0
2022-04-01T20:30:00.830-07:00,0.24574828147888184,0,0
2022-04-01T20:45:00.814-07:00,0.3330491781234741,0,0
2022-04-01T21:00:00.728-07:00,0.2902235984802246,0,0
2022-04-01T21:15:00.891-07:00,0.27045679092407227,0,0
2022-04-01T21:30:00.703-07:00,0.2622206211090088,0,0
2022-04-01T21:45:05.005-07:00,0.27045679092407227,0,0
2022-04-01T22:00:00.761-07:00,0.3429325819015503,0,0
2022-04-01T22:15:00.824-07:00,0.2605733871459961,0,0
2022-04-01T22:30:00.896-07:00,0.23751211166381836,0,0
2022-04-01T22:45:00.785-07:00,0.2589261531829834,0,0
2022-04-01T23:00:00.830-07:00,0.23915934562683105,0,0
2022-04-01T23:15:00.928-07:00,0.24574828147888184,0,0
2022-04-01T23:30:00.891-07:00,0.23586487770080566,0,0
2022-04-01T23:45:00.699-07:00,0.23751211166381836,0,0
2022-04-02T00:00:00.826-07:00,0.3017517328262329,0,0
2022-04-02T00:15:00.867-07:00,0.23586487770080566,0,0
2022-04-02T00:30:00.798-07:00,0.23586487770080566,0,0
2022-04-02T00:45:00.732-07:00,0.23586487770080566,0,0
2022-04-02T01:00:00.931-07:00,0.23586487770080566,0,0
2022-04-02T01:15:00.774-07:00,0.23586487770080566,0,0
2022-04-02T01:30:00.945-07:00,0.23586487770080566,0,0
2022-04-02T01:45:00.742-07:00,0.23421764373779297,0,0
2022-04-02T02:00:00.776-07:00,0.23586487770080566,0,0
2022-04-02T02:15:03.845-07:00,0.23586487770080566,0,0
2022-04-02T02:30:00.842-07:00,0.23915934562683105,0,0
2022-04-02T02:45:00.847-07:00,0.23586487770080566,0,0
2022-04-02T03:00:00.751-07:00,0.23586487770080566,0,0
2022-04-02T03:15:00.746-07:00,0.23586487770080566,0,0
2022-04-02T03:30:00.836-07:00,0.24410104751586914,0,0
2022-04-02T03:45:00.814-07:00,0.23421764373779297,0,0
2022-04-02T04:00:00.788-07:00,0.23421764373779297,0,0
2022-04-02T04:15:00.800-07:00,0.23586487770080566,0,0
2022-04-02T04:30:00.858-07:00,0.23421764373779297,0,0
2022-04-02T04:45:00.838-07:00,0.23421764373779297,0,0
2022-04-02T05:00:00.813-07:00,0.23586487770080566,0,0
2022-04-02T05:15:00.778-07:00,0.23586487770080566,0,0
2022-04-02T05:30:00.925-07:00,0.23586487770080566,0,0
2022-04-02T05:45:00.781-07:00,0.23421764373779297,0,0
2022-04-02T06:00:00.832-07:00,0.23586487770080566,0,0
2022-04-02T06:15:00.827-07:00,0.23421764373779297,0,0
2022-04-02T06:30:00.771-07:00,0.23421764373779297,0,0
2022-04-02T06:45:00.760-07:00,0.23586487770080566,0,0
2022-04-02T07:00:06.075-07:00,0.23751211166381836,0,0
2022-04-02T07:15:00.788-07:00,0.23751211166381836,0,0
2022-04-02T07:30:00.746-07:00,0.23586487770080566,0,0
2022-04-02T07:45:00.827-07:00,0.23586487770080566,0,0
2022-04-02T08:00:00.828-07:00,0.23421764373779297,0,0
2022-04-02T08:15:00.780-07:00,0.23586487770080566,0,0
2022-04-02T08:30:00.780-07:00,0.23586487770080566,0,0
2022-04-02T08:45:00.802-07:00,0.23586487770080566,0,0
2022-04-02T09:00:00.860-07:00,0.24574828147888184,0,0
2022-04-02T09:15:00.771-07:00,0.23586487770080566,0,0
2022-04-02T09:30:00.808-07:00,0.2622206211090088,0,0
2022-04-02T09:45:00.738-07:00,0.24410104751586914,0,0
2022-04-02T10:00:00.777-07:00,0.23586487770080566,0,0
2022-04-02T10:15:00.967-07:00,0.23421764373779297,0,0
2022-04-02T10:30:00.796-07:00,0.23586487770080566,0,0
2022-04-02T10:45:00.769-07:00,0.24739551544189453,0,0
2022-04-02T11:00:00.753-07:00,0.24410104751586914,0,0
2022-04-02T11:15:00.802-07:00,0.27210402488708496,0,0
2022-04-02T11:30:00.822-07:00,0.23421764373779297,0,0
2022-04-02T11:45:00.801-07:00,0.23586487770080566,0,0
2022-04-02T12:00:00.910-07:00,0.23092317581176758,0,0
2022-04-02T12:15:00.811-07:00,0.23586487770080566,0,0
2022-04-02T12:30:01.290-07:00,0.23421764373779297,0,0
2022-04-02T12:45:01.039-07:00,0.27210402488708496,0,0
2022-04-02T13:00:00.739-07:00,0.22927594184875488,0,0
2022-04-02T13:15:00.788-07:00,0.27210402488708496,0,0
2022-04-02T13:30:01.631-07:00,0.32151854038238525,0,0
2022-04-02T13:45:00.758-07:00,0.32975471019744873,0,0
2022-04-02T14:00:00.813-07:00,0.28363466262817383,0,0
2022-04-02T14:15:00.824-07:00,0.2243342399597168,0,0
2022-04-02T14:30:00.763-07:00,0.27210402488708496,0,0
2022-04-02T14:45:00.730-07:00,0.32975471019744873,0,0
2022-04-02T15:00:00.832-07:00,0.2902235984802246,0,0
2022-04-02T15:15:00.712-07:00,0.2951653003692627,0,0
2022-04-02T15:30:00.995-07:00,0.23586487770080566,0,0
2022-04-02T15:45:00.763-07:00,0.2589261531829834,0,0
2022-04-02T16:00:00.769-07:00,0.3132823705673218,0,0
2022-04-02T16:15:00.849-07:00,0.2605733871459961,0,0
2022-04-02T16:30:00.848-07:00,0.3314019441604614,0,0
2022-04-02T16:45:00.760-07:00,0.255631685256958,0,0
2022-04-02T17:00:00.769-07:00,0.27539849281311035,0,0
2022-04-02T17:15:00.848-07:00,0.32316577434539795,0,0
2022-04-02T17:30:00.798-07:00,0.27539849281311035,0,0
2022-04-02T17:45:00.766-07:00,0.24410104751586914,0,0
2022-04-02T18:00:00.784-07:00,0.27539849281311035,0,0
2022-04-02T18:15:00.805-07:00,0.22927594184875488,0,0
2022-04-02T18:30:00.805-07:00,0.23421764373779297,0,0
2022-04-02T18:45:00.772-07:00,0.3017517328262329,0,0
