t,v
2022-03-31T23:45-07:00,73626.40062831731
2022-04-01T00:00-07:00,73328.102989236
2022-04-01T00:15-07:00,74263.41042532319
2022-04-01T00:30-07:00,73666.43024698112
2022-04-01T00:45-07:00,71236.94031423116
2022-04-01T01:00-07:00,71089.90844567755
2022-04-01T01:15-07:00,69931.55135559343
2022-04-01T01:30-07:00,68253.19412305918
2022-04-01T01:45-07:00,68696.98402997627
2022-04-01T02:00-07:00,68626.16239695568
2022-04-01T02:15-07:00,68812.64653390393
2022-04-01T02:30-07:00,70563.74990035607
2022-04-01T02:45-07:00,68394.06758874145
2022-04-01T03:00-07:00,72057.1625966599
2022-04-01T03:15-07:00,66270.18839848254
2022-04-01T03:30-07:00,66388.35275357669
2022-04-01T03:45-07:00,65710.15863736862
2022-04-01T04:00-07:00,65506.93134261386
2022-04-01T04:15-07:00,66730.91391329588
2022-04-01T04:30-07:00,65793.68197631137
2022-04-01T04:45-07:00,65418.78920151758
2022-04-01T05:00-07:00,66406.82796219076
2022-04-01T05:15-07:00,67124.47434679346
2022-04-01T05:30-07:00,65964.77010608124
2022-04-01T05:45-07:00,65964.77010608124
2022-04-01T06:00-07:00,67042.875508748
2022-04-01T06:15-07:00,66356.02113850207
2022-04-01T06:30-07:00,65336.80546329265
2022-04-01T06:45-07:00,65642.4162057837
2022-04-01T07:00-07:00,70262.75796001854
2022-04-01T07:15-07:00,72020.40462952148
2022-04-01T07:30-07:00,71531.00405133842
2022-04-01T07:45-07:00,70159.4122618336
2022-04-01T08:00-07:00,68767.80566299688
2022-04-01T08:15-07:00,71644.54960427905
2022-04-01T08:30-07:00,69614.00870753913
2022-04-01T08:45-07:00,68464.50432158259
2022-04-01T09:00-07:00,67833.46047735833
2022-04-01T09:15-07:00,70491.00376643817
2022-04-01T09:30-07:00,71865.67475737867
2022-04-01T09:45-07:00,71188.05799143978
2022-04-01T10:00-07:00,71229.62721082143
2022-04-01T10:15-07:00,74857.31140222958
2022-04-01T10:30-07:00,70677.48790338643
2022-04-01T10:45-07:00,72915.29754676542
2022-04-01T11:00-07:00,70231.96594566177
2022-04-01T11:15-07:00,71236.94031423116
2022-04-01T11:30-07:00,69989.2863825124
2022-04-01T11:45-07:00,68722.19499173088
2022-04-01T12:00-07:00,68696.98402997627
2022-04-01T12:15-07:00,77790.25076971289
2022-04-01T12:30-07:00,71905.51192595276
2022-04-01T12:45-07:00,72541.75192259974
2022-04-01T13:00-07:00,72280.01980056708
2022-04-01T13:15-07:00,74714.32098556028
2022-04-01T13:30-07:00,72467.27373787425
2022-04-01T13:45-07:00,73515.16447645343
2022-04-01T14:00-07:00,72131.44833129563
