t,v
2022-03-31T23:45-07:00,27359.18588122339
2022-04-01T00:00-07:00,27294.81132620875
2022-04-01T00:15-07:00,32389.350101538006
2022-04-01T00:30-07:00,27972.62054223737
2022-04-01T00:45-07:00,29062.080500198193
2022-04-01T01:00-07:00,27596.765516994925
2022-04-01T01:15-07:00,29375.58169636816
2022-04-01T01:30-07:00,29916.847573733434
2022-04-01T01:45-07:00,26986.217607326893
2022-04-01T02:00-07:00,28207.313426662953
2022-04-01T02:15-07:00,26868.43815241221
2022-04-01T02:30-07:00,27963.09426279574
2022-04-01T02:45-07:00,24046.638711747913
2022-04-01T03:00-07:00,28518.793896890755
2022-04-01T03:15-07:00,26986.217607326893
2022-04-01T03:30-07:00,26927.616555004148
2022-04-01T03:45-07:00,25091.642698981137
2022-04-01T04:00-07:00,25643.01220605723
2022-04-01T04:15-07:00,24782.760304964686
2022-04-01T04:30-07:00,25332.9751115024
2022-04-01T04:45-07:00,26623.06428800662
2022-04-01T05:00-07:00,24660.073372761894
2022-04-01T05:15-07:00,25515.706471700916
2022-04-01T05:30-07:00,25518.881898181462
2022-04-01T05:45-07:00,26682.820040867748
2022-04-01T06:00-07:00,25520.902624123624
2022-04-01T06:15-07:00,28340.681338845756
2022-04-01T06:30-07:00,25458.83747018574
2022-04-01T06:45-07:00,35456.52340660789
2022-04-01T07:00-07:00,25948.430498458543
2022-04-01T07:15-07:00,25765.121787990836
2022-04-01T07:30-07:00,24046.638711747913
2022-04-01T07:45-07:00,25276.683460256412
2022-04-01T08:00-07:00,25578.92632617718
2022-04-01T08:15-07:00,26991.125084615007
2022-04-01T08:30-07:00,25824.87754085196
2022-04-01T08:45-07:00,28586.055203251348
2022-04-01T09:00-07:00,28273.997382754354
2022-04-01T09:15-07:00,28641.192153958957
2022-04-01T09:30-07:00,25578.92632617718
2022-04-01T09:45-07:00,28227.52068608459
2022-04-01T10:00-07:00,25578.92632617718
2022-04-01T10:15-07:00,27596.765516994925
2022-04-01T10:30-07:00,33580.13503174161
2022-04-01T10:45-07:00,25520.902624123624
2022-04-01T11:00-07:00,27230.436771194105
2022-04-01T11:15-07:00,26438.023526731344
2022-04-01T11:30-07:00,27546.536043575426
2022-04-01T11:45-07:00,30303.672254090485
2022-04-01T12:00-07:00,29130.78518223176
2022-04-01T12:15-07:00,34965.775677796715
2022-04-01T12:30-07:00,28095.307474440164
2022-04-01T12:45-07:00,26808.682399551086
2022-04-01T13:00-07:00,26623.06428800662
2022-04-01T13:15-07:00,26132.31655919544
2022-04-01T13:30-07:00,27604.559745628983
2022-04-01T13:45-07:00,29672.62840986622
2022-04-01T14:00-07:00,35495.494549778196
2022-04-01T14:15-07:00,32847.477540139975
2022-04-01T14:30-07:00,37731.86081748421
2022-04-01T14:45-07:00,32680.33463720958
2022-04-01T15:00-07:00,29724.301258958694
2022-04-01T15:15-07:00,29253.18343929996
2022-04-01T15:30-07:00,27050.014812072346
2022-04-01T15:45-07:00,29306.299664065406
2022-04-01T16:00-07:00,29620.37821050456
2022-04-01T16:15-07:00,27718.87509892853
2022-04-01T16:30-07:00,31504.27213887031
2022-04-01T16:45-07:00,27784.40435448155
2022-04-01T17:00-07:00,34923.340433011275
2022-04-01T17:15-07:00,29008.38692516356
2022-04-01T17:30-07:00,28586.055203251348
2022-04-01T17:45-07:00,30649.50506533507
2022-04-01T18:00-07:00,29620.37821050456
2022-04-01T18:15-07:00,28573.64217246377
2022-04-01T18:30-07:00,30990.71907442614
2022-04-01T18:45-07:00,27539.60784034515
2022-04-01T19:00-07:00,28273.997382754354
2022-04-01T19:15-07:00,26131.450533791653
2022-04-01T19:30-07:00,29184.1900821318
2022-04-01T19:45-07:00,26741.99844345968
2022-04-01T20:00-07:00,28817.86133633098
2022-04-01T20:15-07:00,29497.979953436363
2022-04-01T20:30-07:00,35328.0629717132
2022-04-01T20:45-07:00,26438.023526731344
2022-04-01T21:00-07:00,29690.23759307651
2022-04-01T21:15-07:00,27481.872813426187
2022-04-01T21:30-07:00,29076.80293206253
2022-04-01T21:45-07:00,27050.014812072346
2022-04-01T22:00-07:00,28708.742135454144
2022-04-01T22:15-07:00,27294.81132620875
2022-04-01T22:30-07:00,28831.42906765694
2022-04-01T22:45-07:00,29620.37821050456
2022-04-01T23:00-07:00,28217.99440664296
2022-04-01T23:15-07:00,27840.984680862137
2022-04-01T23:30-07:00,26623.06428800662
2022-04-01T23:45-07:00,26315.625269663145
2022-04-02T00:00-07:00,26991.125084615007
2022-04-02T00:15-07:00,27972.62054223737
2022-04-02T00:30-07:00,26438.023526731344
2022-04-02T00:45-07:00,28095.307474440164
2022-04-02T01:00-07:00,27359.18588122339
