t,v
2022-03-31T23:45-07:00,24292.012576153506
2022-04-01T00:00-07:00,23622.86361416273
2022-04-01T00:15-07:00,27172.413069140548
2022-04-01T00:30-07:00,23010.872328821726
2022-04-01T00:45-07:00,24607.82317340023
2022-04-01T01:00-07:00,23267.79319861111
2022-04-01T01:15-07:00,22346.05349384987
2022-04-01T01:30-07:00,23876.897732606165
2022-04-01T01:45-07:00,22223.943911916267
2022-04-01T02:00-07:00,23933.478058986748
2022-04-01T02:15-07:00,22398.881043480724
2022-04-01T02:30-07:00,23010.872328821726
2022-04-01T02:45-07:00,19950.91590211671
2022-04-01T03:00-07:00,23745.26187123093
2022-04-01T03:15-07:00,23145.972291812097
2022-04-01T03:30-07:00,23200.82056738511
2022-04-01T03:45-07:00,21369.176838381023
2022-04-01T04:00-07:00,22780.509571415067
2022-04-01T04:15-07:00,21052.500215730513
2022-04-01T04:30-07:00,21028.82885469374
2022-04-01T04:45-07:00,22888.474071753524
2022-04-01T05:00-07:00,20734.091542272436
2022-04-01T05:15-07:00,21766.68249871808
2022-04-01T05:30-07:00,22031.68627227612
2022-04-01T05:45-07:00,22888.474071753524
2022-04-01T06:00-07:00,20831.37506263089
2022-04-01T06:15-07:00,23990.05838536733
2022-04-01T06:30-07:00,20636.51934677939
2022-04-01T06:45-07:00,31211.55555239117
2022-04-01T07:00-07:00,22766.075814685326
2022-04-01T07:15-07:00,22171.40503742001
2022-04-01T07:30-07:00,19583.72113091211
2022-04-01T07:45-07:00,21684.121410223965
2022-04-01T08:00-07:00,19875.283016852867
2022-04-01T08:15-07:00,22154.08452934432
2022-04-01T08:30-07:00,20366.03074566405
2022-04-01T08:45-07:00,23255.668842958126
2022-04-01T09:00-07:00,21002.848092580207
2022-04-01T09:15-07:00,22956.6014035179
2022-04-01T09:30-07:00,20120.65688125846
2022-04-01T09:45-07:00,21151.80446203113
2022-04-01T10:00-07:00,19875.283016852867
2022-04-01T10:15-07:00,22346.05349384987
2022-04-01T10:30-07:00,27963.09426279574
2022-04-01T10:45-07:00,19734.98690143979
2022-04-01T11:00-07:00,21318.658689826934
2022-04-01T11:15-07:00,20440.50893038951
2022-04-01T11:30-07:00,21960.960864300392
2022-04-01T11:45-07:00,24846.846184844737
2022-04-01T12:00-07:00,23933.478058986748
2022-04-01T12:15-07:00,29130.78518223176
2022-04-01T12:30-07:00,21542.093244003318
2022-04-01T12:45-07:00,20120.65688125846
2022-04-01T13:00-07:00,21419.694986935116
2022-04-01T13:15-07:00,20930.101958662315
2022-04-01T13:30-07:00,20073.31415918491
2022-04-01T13:45-07:00,22834.491821584295
2022-04-01T14:00-07:00,27963.09426279574
2022-04-01T14:15-07:00,27474.655935061317
2022-04-01T14:30-07:00,29916.847573733434
2022-04-01T14:45-07:00,26131.450533791653
2022-04-01T15:00-07:00,22101.83432998266
2022-04-01T15:15-07:00,23389.61410541012
2022-04-01T15:30-07:00,21124.957674513815
2022-04-01T15:45-07:00,23511.43501220913
2022-04-01T16:00-07:00,23322.93014931872
2022-04-01T16:15-07:00,22049.584130621
2022-04-01T16:30-07:00,24851.464986998253
2022-04-01T16:45-07:00,22223.943911916267
2022-04-01T17:00-07:00,29672.62840986622
2022-04-01T17:15-07:00,23500.46535709453
2022-04-01T17:30-07:00,22888.474071753524
2022-04-01T17:45-07:00,24177.69722285396
2022-04-01T18:00-07:00,23567.14931318593
2022-04-01T18:15-07:00,22536.867757817043
2022-04-01T18:30-07:00,25095.106800596273
2022-04-01T18:45-07:00,22590.272657717083
2022-04-01T19:00-07:00,23255.668842958126
2022-04-01T19:15-07:00,20465.912342233856
2022-04-01T19:30-07:00,23755.076825807155
2022-04-01T19:45-07:00,21318.658689826934
2022-04-01T20:00-07:00,23024.151385013087
2022-04-01T20:15-07:00,22346.05349384987
2022-04-01T20:30-07:00,28073.94551448015
2022-04-01T20:45-07:00,20880.738510646603
2022-04-01T21:00-07:00,23867.66012829913
2022-04-01T21:15-07:00,21786.889758139718
2022-04-01T21:30-07:00,24234.85489950373
2022-04-01T21:45-07:00,22154.08452934432
2022-04-01T22:00-07:00,22031.68627227612
2022-04-01T22:15-07:00,22154.08452934432
2022-04-01T22:30-07:00,23133.270585889928
2022-04-01T22:45-07:00,23689.258895119536
2022-04-01T23:00-07:00,21979.724748049055
2022-04-01T23:15-07:00,21491.28642031463
2022-04-01T23:30-07:00,20440.50893038951
2022-04-01T23:45-07:00,21174.898472798715
2022-04-02T00:00-07:00,20807.703701594113
2022-04-02T00:15-07:00,22398.881043480724
2022-04-02T00:30-07:00,20195.71241625311
2022-04-02T00:45-07:00,22521.279300548922
2022-04-02T01:00-07:00,21542.093244003318
2022-04-02T01:15-07:00,21102.152338880824
2022-04-02T01:30-07:00,20807.703701594113
2022-04-02T01:45-07:00,21002.848092580207
2022-04-02T02:00-07:00,19583.72113091211
2022-04-02T02:15-07:00,21613.396002248235
2022-04-02T02:30-07:00,20685.30544452591
2022-04-02T02:45-07:00,19216.526359707506
2022-04-02T03:00-07:00,20807.703701594113
2022-04-02T03:15-07:00,21247.06725644742
2022-04-02T03:30-07:00,20807.703701594113
2022-04-02T03:45-07:00,19461.322873843907
2022-04-02T04:00-07:00,20195.71241625311
2022-04-02T04:15-07:00,21419.694986935116
2022-04-02T04:30-07:00,20440.50893038951
2022-04-02T04:45-07:00,22398.881043480724
2022-04-02T05:00-07:00,19583.72113091211
2022-04-02T05:15-07:00,19659.642691310542
2022-04-02T05:30-07:00,19491.345087841768
2022-04-02T05:45-07:00,21511.205004601674
2022-04-02T06:00-07:00,20562.907187457713
2022-04-02T06:15-07:00,20709.554155831876
2022-04-02T06:30-07:00,20587.733249032866
2022-04-02T06:45-07:00,19537.53310937694
2022-04-02T07:00-07:00,21318.658689826934
2022-04-02T07:15-07:00,19583.72113091211
2022-04-02T07:30-07:00,18849.331588502904
2022-04-02T07:45-07:00,19216.526359707506
2022-04-02T08:00-07:00,20100.449621836822
2022-04-02T08:15-07:00,19507.222220244483
2022-04-02T08:30-07:00,19706.119387980307
2022-04-02T08:45-07:00,19461.322873843907
2022-04-02T09:00-07:00,19338.924616775705
2022-04-02T09:15-07:00,18771.10062702771
2022-04-02T09:30-07:00,20045.02399599462
2022-04-02T09:45-07:00,18359.7385602301
2022-04-02T10:00-07:00,18971.729845571102
2022-04-02T10:15-07:00,18726.933331434702
2022-04-02T10:30-07:00,19799.07278131984
2022-04-02T10:45-07:00,20905.85324735635
2022-04-02T11:00-07:00,21643.70689138069
2022-04-02T11:15-07:00,20562.907187457713
2022-04-02T11:30-07:00,19261.84835583889
2022-04-02T11:45-07:00,20536.92642534418
2022-04-02T12:00-07:00,20685.30544452591
2022-04-02T12:15-07:00,18194.327708107274
2022-04-02T12:30-07:00,19828.51764504851
2022-04-02T12:45-07:00,21224.83927108362
2022-04-02T13:00-07:00,18815.267922620715
2022-04-02T13:15-07:00,20685.30544452591
2022-04-02T13:30-07:00,19583.72113091211
2022-04-02T13:45-07:00,18648.413694824914
2022-04-02T14:00-07:00,20440.50893038951
2022-04-02T14:15-07:00,20807.703701594113
2022-04-02T14:30-07:00,21592.900067692004
2022-04-02T14:45-07:00,19461.322873843907
2022-04-02T15:00-07:00,20782.87764001896
2022-04-02T15:15-07:00,20366.03074566405
2022-04-02T15:30-07:00,18034.979033810934
2022-04-02T15:45-07:00,21613.396002248235
2022-04-02T16:00-07:00,18403.039830419322
2022-04-02T16:15-07:00,19216.526359707506
2022-04-02T16:30-07:00,22012.633713392865
2022-04-02T16:45-07:00,21397.75567670591
2022-04-02T17:00-07:00,19706.119387980307
2022-04-02T17:15-07:00,22258.584928067645
2022-04-02T17:30-07:00,21664.49150107152
