t,v
2022-03-31T23:45-07:00,28451.82126566476
2022-04-01T00:00-07:00,28486.462281816137
2022-04-01T00:15-07:00,28498.00928719993
2022-04-01T00:30-07:00,28544.1973087351
2022-04-01T00:45-07:00,28382.539233362004
2022-04-01T01:00-07:00,29753.168772418176
2022-04-01T01:15-07:00,28382.539233362004
2022-04-01T01:30-07:00,28394.086238745796
2022-04-01T01:45-07:00,28428.727254897174
2022-04-01T02:00-07:00,28405.63324412959
2022-04-01T02:15-07:00,28417.18024951338
2022-04-01T02:30-07:00,31284.301686309063
2022-04-01T02:45-07:00,28440.274260280967
2022-04-01T03:00-07:00,28405.63324412959
2022-04-01T03:15-07:00,29850.163617642032
2022-04-01T03:30-07:00,28394.086238745796
2022-04-01T03:45-07:00,28405.63324412959
2022-04-01T04:00-07:00,28347.898217210626
2022-04-01T04:15-07:00,28532.650303351307
2022-04-01T04:30-07:00,28544.1973087351
2022-04-01T04:45-07:00,28521.103297967515
2022-04-01T05:00-07:00,28486.462281816137
2022-04-01T05:15-07:00,30056.27766374273
2022-04-01T05:30-07:00,28474.915276432344
2022-04-01T05:45-07:00,28463.368271048552
2022-04-01T06:00-07:00,28324.80420644304
2022-04-01T06:15-07:00,29971.407174171854
2022-04-01T06:30-07:00,28440.274260280967
2022-04-01T06:45-07:00,27018.26054726692
2022-04-01T07:00-07:00,27040.199857496125
2022-04-01T07:15-07:00,25533.89300518039
2022-04-01T07:30-07:00,25648.208358479937
2022-04-01T07:45-07:00,22678.3185737685
2022-04-01T08:00-07:00,21373.506965399945
2022-04-01T08:15-07:00,21364.8467113621
2022-04-01T08:30-07:00,19980.93811611457
2022-04-01T08:45-07:00,18493.683822682095
2022-04-01T09:00-07:00,17050.308149708027
2022-04-01T09:15-07:00,17050.308149708027
2022-04-01T09:30-07:00,17133.446588471335
2022-04-01T09:45-07:00,17161.159401392437
2022-04-01T10:00-07:00,15699.308519804305
2022-04-01T10:15-07:00,22752.219408224773
2022-04-01T10:30-07:00,22733.744199610705
2022-04-01T10:45-07:00,22706.031386689603
2022-04-01T11:00-07:00,22715.268990996636
2022-04-01T11:15-07:00,19883.94327089071
2022-04-01T11:30-07:00,17140.37479170161
2022-04-01T11:45-07:00,17112.66197878051
2022-04-01T12:00-07:00,17071.092759398856
2022-04-01T12:15-07:00,21373.506965399945
2022-04-01T12:30-07:00,17091.87736908968
2022-04-01T12:45-07:00,19956.689404808607
2022-04-01T13:00-07:00,18516.200483180488
2022-04-01T13:15-07:00,18508.694929681023
