t,v
2022-03-31T23:45-07:00,57849.342272262125
2022-04-01T00:00-07:00,57816.43330691832
2022-04-01T00:15-07:00,58782.34030727256
2022-04-01T00:30-07:00,57833.17646472481
2022-04-01T00:45-07:00,57024.88608785934
2022-04-01T01:00-07:00,57420.08234711964
2022-04-01T01:15-07:00,58058.34306970877
2022-04-01T01:30-07:00,58905.31591460995
2022-04-01T01:45-07:00,58058.34306970877
2022-04-01T02:00-07:00,58889.72745734183
2022-04-01T02:15-07:00,60576.16759364473
2022-04-01T02:30-07:00,57068.47603318316
2022-04-01T02:45-07:00,61245.3165556355
2022-04-01T03:00-07:00,57384.28663042988
2022-04-01T03:15-07:00,57799.11279884263
2022-04-01T03:30-07:00,61688.72156237314
2022-04-01T03:45-07:00,57107.735851488054
2022-04-01T04:00-07:00,59347.8548959438
2022-04-01T04:15-07:00,56278.08351466256
2022-04-01T04:30-07:00,56554.63429360439
2022-04-01T04:45-07:00,60024.220736299445
2022-04-01T05:00-07:00,56022.60602054615
2022-04-01T05:15-07:00,61383.88062024101
2022-04-01T05:30-07:00,57901.592471623786
2022-04-01T05:45-07:00,56672.70242365367
2022-04-01T06:00-07:00,62115.67208643886
2022-04-01T06:15-07:00,57226.95868207571
2022-04-01T06:30-07:00,59058.3137359452
2022-04-01T06:45-07:00,57384.28663042988
2022-04-01T07:00-07:00,59458.41747249361
2022-04-01T07:15-07:00,61000.23136636451
2022-04-01T07:30-07:00,56811.26648825918
2022-04-01T07:45-07:00,57695.47842552309
2022-04-01T08:00-07:00,58383.96862153172
2022-04-01T08:15-07:00,57282.38430791791
2022-04-01T08:30-07:00,65265.98383027206
2022-04-01T08:45-07:00,62928.00391518867
2022-04-01T09:00-07:00,61255.99753561551
2022-04-01T09:15-07:00,59748.24730762681
2022-04-01T09:30-07:00,60968.18842642449
2022-04-01T09:45-07:00,63600.90565392918
2022-04-01T10:00-07:00,63468.40376715016
2022-04-01T10:15-07:00,60841.17136720277
2022-04-01T10:30-07:00,62645.96830868954
2022-04-01T10:45-07:00,62928.00391518867
2022-04-01T11:00-07:00,66921.24705203871
2022-04-01T11:15-07:00,62500.47604085375
2022-04-01T11:30-07:00,60817.50000616599
2022-04-01T11:45-07:00,62483.732883047254
2022-04-01T12:00-07:00,61661.008749452034
2022-04-01T12:15-07:00,61372.910965126415
2022-04-01T12:30-07:00,64851.15766185931
2022-04-01T12:45-07:00,64288.81849966862
2022-04-01T13:00-07:00,61809.09909349917
2022-04-01T13:15-07:00,64855.77646401283
2022-04-01T13:30-07:00,61650.616444606625
2022-04-01T13:45-07:00,62500.47604085375
2022-04-01T14:00-07:00,60288.0698093191
2022-04-01T14:15-07:00,60990.12773665369
2022-04-01T14:30-07:00,65267.715881079625
2022-04-01T14:45-07:00,60841.17136720277
2022-04-01T15:00-07:00,59498.254641067695
2022-04-01T15:15-07:00,61404.08787966265
2022-04-01T15:30-07:00,62652.60783678522
2022-04-01T15:45-07:00,62514.90979758349
2022-04-01T16:00-07:00,61809.09909349917
2022-04-01T16:15-07:00,64167.2862680042
2022-04-01T16:30-07:00,61818.04802267161
2022-04-01T16:45-07:00,60136.80403879142
2022-04-01T17:00-07:00,59886.23402196312
2022-04-01T17:15-07:00,59859.6759095804
2022-04-01T17:30-07:00,59596.692861964526
2022-04-01T17:45-07:00,60564.620588260936
2022-04-01T18:00-07:00,61245.3165556355
2022-04-01T18:15-07:00,59072.45881754035
2022-04-01T18:30-07:00,62377.21175838177
2022-04-01T18:45-07:00,61234.05822538631
2022-04-01T19:00-07:00,59443.98371576387
2022-04-01T19:15-07:00,58490.48974619721
2022-04-01T19:30-07:00,57799.11279884263
2022-04-01T19:45-07:00,62232.00816568058
2022-04-01T20:00-07:00,59886.23402196312
2022-04-01T20:15-07:00,60576.16759364473
2022-04-01T20:30-07:00,58368.3801642636
2022-04-01T20:45-07:00,58213.93896725537
2022-04-01T21:00-07:00,62777.02681979558
2022-04-01T21:15-07:00,58058.34306970877
2022-04-01T21:30-07:00,60841.17136720277
2022-04-01T21:45-07:00,58734.708910064415
2022-04-01T22:00-07:00,56073.990194504026
2022-04-01T22:15-07:00,60691.060297213466
2022-04-01T22:30-07:00,56790.77055370295
2022-04-01T22:45-07:00,60829.62436181898
2022-04-01T23:00-07:00,54757.05423048249
2022-04-01T23:15-07:00,58352.21435672629
2022-04-01T23:30-07:00,57660.837409371714
2022-04-01T23:45-07:00,57660.837409371714
2022-04-02T00:00-07:00,58905.31591460995
2022-04-02T00:15-07:00,56949.83055286469
2022-04-02T00:30-07:00,58213.93896725537
2022-04-02T00:45-07:00,58058.34306970877
2022-04-02T01:00-07:00,56811.26648825918
2022-04-02T01:15-07:00,60817.50000616599
2022-04-02T01:30-07:00,56651.91781396284
2022-04-02T01:45-07:00,60691.060297213466
2022-04-02T02:00-07:00,57365.52274668122
2022-04-02T02:15-07:00,56651.91781396284
2022-04-02T02:30-07:00,61245.3165556355
2022-04-02T02:45-07:00,57226.95868207571
2022-04-02T03:00-07:00,58767.04052513903
2022-04-02T03:15-07:00,57485.03425240347
2022-04-02T03:30-07:00,57504.08681128673
2022-04-02T03:45-07:00,57226.95868207571
2022-04-02T04:00-07:00,56949.83055286469
2022-04-02T04:15-07:00,60136.80403879142
2022-04-02T04:30-07:00,56352.27302425342
2022-04-02T04:45-07:00,56651.91781396284
2022-04-02T05:00-07:00,54455.6773899655
2022-04-02T05:15-07:00,55884.61930620983
2022-04-02T05:30-07:00,59610.260593290484
2022-04-02T05:45-07:00,57126.49973523671
2022-04-02T06:00-07:00,57402.47316390936
2022-04-02T06:15-07:00,58536.38909259778
2022-04-02T06:30-07:00,56574.55287789143
2022-04-02T06:45-07:00,59472.27387895416
2022-04-02T07:00-07:00,56456.19607270756
2022-04-02T07:15-07:00,61809.09909349917
2022-04-02T07:30-07:00,56513.06507422274
2022-04-02T07:45-07:00,55402.2431563019
2022-04-02T08:00-07:00,58124.16100039639
2022-04-02T08:15-07:00,57207.32877292326
2022-04-02T08:30-07:00,60449.439209557604
2022-04-02T08:45-07:00,55425.62584220408
2022-04-02T09:00-07:00,57678.446592582
2022-04-02T09:15-07:00,57623.886992143576
